"","site","date","prec","date_parsed","month","day","year"
"1","ME","2015-01-01",0,2015-01-01,1,1,2015
"2","ME","2015-01-02",1.1711,2015-01-02,1,2,2015
"3","ME","2015-01-03",7.0858,2015-01-03,1,3,2015
"4","ME","2015-01-04",12.6561,2015-01-04,1,4,2015
"5","ME","2015-01-05",0,2015-01-05,1,5,2015
"6","ME","2015-01-06",0,2015-01-06,1,6,2015
"7","ME","2015-01-07",0,2015-01-07,1,7,2015
"8","ME","2015-01-08",0,2015-01-08,1,8,2015
"9","ME","2015-01-09",0,2015-01-09,1,9,2015
"10","ME","2015-01-10",0,2015-01-10,1,10,2015
"11","ME","2015-01-11",1.2203,2015-01-11,1,11,2015
"12","ME","2015-01-12",25.6173,2015-01-12,1,12,2015
"13","ME","2015-01-13",3.8677,2015-01-13,1,13,2015
"14","ME","2015-01-14",0.2854,2015-01-14,1,14,2015
"15","ME","2015-01-15",0.9841,2015-01-15,1,15,2015
"16","ME","2015-01-16",0,2015-01-16,1,16,2015
"17","ME","2015-01-17",3.9366,2015-01-17,1,17,2015
"18","ME","2015-01-18",22.9699,2015-01-18,1,18,2015
"19","ME","2015-01-19",0,2015-01-19,1,19,2015
"20","ME","2015-01-20",0,2015-01-20,1,20,2015
"21","ME","2015-01-21",0,2015-01-21,1,21,2015
"22","ME","2015-01-22",0,2015-01-22,1,22,2015
"23","ME","2015-01-23",68.8901,2015-01-23,1,23,2015
"24","ME","2015-01-24",5.6982,2015-01-24,1,24,2015
"25","ME","2015-01-25",0,2015-01-25,1,25,2015
"26","ME","2015-01-26",0,2015-01-26,1,26,2015
"27","ME","2015-01-27",0,2015-01-27,1,27,2015
"28","ME","2015-01-28",0,2015-01-28,1,28,2015
"29","ME","2015-01-29",0,2015-01-29,1,29,2015
"30","ME","2015-01-30",0,2015-01-30,1,30,2015
"31","ME","2015-01-31",0,2015-01-31,1,31,2015
"32","ME","2015-02-01",8.8081,2015-02-01,2,1,2015
"33","ME","2015-02-02",8.2471,2015-02-02,2,2,2015
"34","ME","2015-02-03",0,2015-02-03,2,3,2015
"35","ME","2015-02-04",12.0755,2015-02-04,2,4,2015
"36","ME","2015-02-05",0,2015-02-05,2,5,2015
"37","ME","2015-02-06",0,2015-02-06,2,6,2015
"38","ME","2015-02-07",0,2015-02-07,2,7,2015
"39","ME","2015-02-08",0,2015-02-08,2,8,2015
"40","ME","2015-02-09",0,2015-02-09,2,9,2015
"41","ME","2015-02-10",5.216,2015-02-10,2,10,2015
"42","ME","2015-02-11",0,2015-02-11,2,11,2015
"43","ME","2015-02-12",0,2015-02-12,2,12,2015
"44","ME","2015-02-13",0,2015-02-13,2,13,2015
"45","ME","2015-02-14",0,2015-02-14,2,14,2015
"46","ME","2015-02-15",0,2015-02-15,2,15,2015
"47","ME","2015-02-16",21.2674,2015-02-16,2,16,2015
"48","ME","2015-02-17",2.2045,2015-02-17,2,17,2015
"49","ME","2015-02-18",0.7086,2015-02-18,2,18,2015
"50","ME","2015-02-19",0,2015-02-19,2,19,2015
"51","ME","2015-02-20",0,2015-02-20,2,20,2015
"52","ME","2015-02-21",3.3363,2015-02-21,2,21,2015
"53","ME","2015-02-22",14.0241,2015-02-22,2,22,2015
"54","ME","2015-02-23",4.5763,2015-02-23,2,23,2015
"55","ME","2015-02-24",12.7152,2015-02-24,2,24,2015
"56","ME","2015-02-25",34.1203,2015-02-25,2,25,2015
"57","ME","2015-02-26",0,2015-02-26,2,26,2015
"58","ME","2015-02-27",0,2015-02-27,2,27,2015
"59","ME","2015-02-28",0,2015-02-28,2,28,2015
"60","ME","2015-03-01",3.5429,2015-03-01,3,1,2015
"61","ME","2015-03-02",0,2015-03-02,3,2,2015
"62","ME","2015-03-03",4.1039,2015-03-03,3,3,2015
"63","ME","2015-03-04",0,2015-03-04,3,4,2015
"64","ME","2015-03-05",7.824,2015-03-05,3,5,2015
"65","ME","2015-03-06",0,2015-03-06,3,6,2015
"66","ME","2015-03-07",0,2015-03-07,3,7,2015
"67","ME","2015-03-08",0,2015-03-08,3,8,2015
"68","ME","2015-03-09",0,2015-03-09,3,9,2015
"69","ME","2015-03-10",1.1514,2015-03-10,3,10,2015
"70","ME","2015-03-11",1.6435,2015-03-11,3,11,2015
"71","ME","2015-03-12",0,2015-03-12,3,12,2015
"72","ME","2015-03-13",0,2015-03-13,3,13,2015
"73","ME","2015-03-14",22.5763,2015-03-14,3,14,2015
"74","ME","2015-03-15",0,2015-03-15,3,15,2015
"75","ME","2015-03-16",0,2015-03-16,3,16,2015
"76","ME","2015-03-17",0,2015-03-17,3,17,2015
"77","ME","2015-03-18",0,2015-03-18,3,18,2015
"78","ME","2015-03-19",16.3565,2015-03-19,3,19,2015
"79","ME","2015-03-20",3.3264,2015-03-20,3,20,2015
"80","ME","2015-03-21",0,2015-03-21,3,21,2015
"81","ME","2015-03-22",6.5249,2015-03-22,3,22,2015
"82","ME","2015-03-23",0.3149,2015-03-23,3,23,2015
"83","ME","2015-03-24",0,2015-03-24,3,24,2015
"84","ME","2015-03-25",0,2015-03-25,3,25,2015
"85","ME","2015-03-26",0.9743,2015-03-26,3,26,2015
"86","ME","2015-03-27",14.0536,2015-03-27,3,27,2015
"87","ME","2015-03-28",0,2015-03-28,3,28,2015
"88","ME","2015-03-29",0,2015-03-29,3,29,2015
"89","ME","2015-03-30",0.3444,2015-03-30,3,30,2015
"90","ME","2015-03-31",0,2015-03-31,3,31,2015
"91","ME","2015-04-01",0,2015-04-01,4,1,2015
"92","ME","2015-04-02",0,2015-04-02,4,2,2015
"93","ME","2015-04-03",0,2015-04-03,4,3,2015
"94","ME","2015-04-04",0.3051,2015-04-04,4,4,2015
"95","ME","2015-04-05",0,2015-04-05,4,5,2015
"96","ME","2015-04-06",0,2015-04-06,4,6,2015
"97","ME","2015-04-07",0,2015-04-07,4,7,2015
"98","ME","2015-04-08",1.4762,2015-04-08,4,8,2015
"99","ME","2015-04-09",9.6446,2015-04-09,4,9,2015
"100","ME","2015-04-10",0,2015-04-10,4,10,2015
"101","ME","2015-04-11",0.4035,2015-04-11,4,11,2015
"102","ME","2015-04-12",0,2015-04-12,4,12,2015
"103","ME","2015-04-13",0,2015-04-13,4,13,2015
"104","ME","2015-04-14",1.614,2015-04-14,4,14,2015
"105","ME","2015-04-15",2.175,2015-04-15,4,15,2015
"106","ME","2015-04-16",0,2015-04-16,4,16,2015
"107","ME","2015-04-17",7.9322,2015-04-17,4,17,2015
"108","ME","2015-04-18",24.5643,2015-04-18,4,18,2015
"109","ME","2015-04-19",13.2269,2015-04-19,4,19,2015
"110","ME","2015-04-20",0,2015-04-20,4,20,2015
"111","ME","2015-04-21",0,2015-04-21,4,21,2015
"112","ME","2015-04-22",0,2015-04-22,4,22,2015
"113","ME","2015-04-23",0,2015-04-23,4,23,2015
"114","ME","2015-04-24",0,2015-04-24,4,24,2015
"115","ME","2015-04-25",2.0175,2015-04-25,4,25,2015
"116","ME","2015-04-26",0.7775,2015-04-26,4,26,2015
"117","ME","2015-04-27",0,2015-04-27,4,27,2015
"118","ME","2015-04-28",0,2015-04-28,4,28,2015
"119","ME","2015-04-29",10.6091,2015-04-29,4,29,2015
"120","ME","2015-04-30",4.9207,2015-04-30,4,30,2015
"121","ME","2015-05-01",4.094,2015-05-01,5,1,2015
"122","ME","2015-05-02",0,2015-05-02,5,2,2015
"123","ME","2015-05-03",0,2015-05-03,5,3,2015
"124","ME","2015-05-04",0,2015-05-04,5,4,2015
"125","ME","2015-05-05",0,2015-05-05,5,5,2015
"126","ME","2015-05-06",0,2015-05-06,5,6,2015
"127","ME","2015-05-07",1.6435,2015-05-07,5,7,2015
"128","ME","2015-05-08",3.2378,2015-05-08,5,8,2015
"129","ME","2015-05-09",35.2422,2015-05-09,5,9,2015
"130","ME","2015-05-10",71.7638,2015-05-10,5,10,2015
"131","ME","2015-05-11",0.866,2015-05-11,5,11,2015
"132","ME","2015-05-12",0,2015-05-12,5,12,2015
"133","ME","2015-05-13",0,2015-05-13,5,13,2015
"134","ME","2015-05-14",0,2015-05-14,5,14,2015
"135","ME","2015-05-15",0,2015-05-15,5,15,2015
"136","ME","2015-05-16",0,2015-05-16,5,16,2015
"137","ME","2015-05-17",0,2015-05-17,5,17,2015
"138","ME","2015-05-18",0,2015-05-18,5,18,2015
"139","ME","2015-05-19",0,2015-05-19,5,19,2015
"140","ME","2015-05-20",0,2015-05-20,5,20,2015
"141","ME","2015-05-21",8.9951,2015-05-21,5,21,2015
"142","ME","2015-05-22",0,2015-05-22,5,22,2015
"143","ME","2015-05-23",0,2015-05-23,5,23,2015
"144","ME","2015-05-24",0,2015-05-24,5,24,2015
"145","ME","2015-05-25",0,2015-05-25,5,25,2015
"146","ME","2015-05-26",0,2015-05-26,5,26,2015
"147","ME","2015-05-27",0,2015-05-27,5,27,2015
"148","ME","2015-05-28",0,2015-05-28,5,28,2015
"149","ME","2015-05-29",0,2015-05-29,5,29,2015
"150","ME","2015-05-30",0,2015-05-30,5,30,2015
"151","ME","2015-05-31",0,2015-05-31,5,31,2015
"152","ME","2015-06-01",0,2015-06-01,6,1,2015
"153","ME","2015-06-02",33.4019,2015-06-02,6,2,2015
"154","ME","2015-06-03",41.2652,2015-06-03,6,3,2015
"155","ME","2015-06-04",0.3051,2015-06-04,6,4,2015
