"","...1","X","quad","site","num_news","num_fr","site_ID","startyear","startx","endx","ID","size0","rep0","size1","comm1","TSF","TBF","s.TSF","s.TBF","s.sq.TSF","s.logsize0","logsize1","prep1","crep1","s.T_RA","s.P_RA","s.sq.T_RA","s.sq.P_RA","s.T_RC","s.sq.T_RC","s.T_RW","s.P_RW","s.sq.P_RW","s.T_RD","s.P_RD","s.sq.P_RD","s.T_RH","s.P_RH","s.sq.T_RH","s.T_LA","s.P_LA","s.sq.T_LA","s.sq.P_LA","s.T_LC","s.sq.T_LC","s.T_LW","s.P_LW","s.sq.P_LW","s.T_LD","s.P_LD","s.sq.P_LD","s.T_LH","s.P_LH","s.sq.T_LH","log.fr"
"1",1,8012,"1","B1",0,0,"B1_10",2017,25,50,"10",28,0,108,"qs25-50, no new 18",2,2,0.203245607928512,-0.259886169783635,-0.157547990964043,-1.07141783649841,4.68305672464516,0,NA,-2.36862629476308,-1.41006152483415,-2.31153536203068,-1.29366347540778,-1.50570612346134,2.1604296878708,-2.61379419009847,-0.84324046440217,-0.697786546746978,-2.39424738572615,-1.27424043786845,-0.982082011206066,0.270365618424768,-0.465560261938743,0.260595732476686,-2.27497247394543,-1.65965558419395,-2.21249568004335,-1.4690371205153,-1.43149353941621,-1.16238801419305,-2.55351221288694,-1.48947520009183,-1.33636957476237,-2.33623345887767,-1.83062512216391,-1.61208329862218,-1.19813397201061,-1.6276903612905,-1.18478995649408,-2.30258509299405
"2",2,8021,"2","B1",0,0,"B1_21",2017,25,50,"21",70,0,96,"qs25-50, no new 18",2,2,0.203245607928512,-0.259886169783635,-0.157547990964043,-0.232793396817394,4.56538931597625,0,NA,-2.36862629476308,-1.41006152483415,-2.31153536203068,-1.29366347540778,-1.50570612346134,2.1604296878708,-2.61379419009847,-0.84324046440217,-0.697786546746978,-2.39424738572615,-1.27424043786845,-0.982082011206066,0.270365618424768,-0.465560261938743,0.260595732476686,-2.27497247394543,-1.65965558419395,-2.21249568004335,-1.4690371205153,-1.43149353941621,-1.16238801419305,-2.55351221288694,-1.48947520009183,-1.33636957476237,-2.33623345887767,-1.83062512216391,-1.61208329862218,-1.19813397201061,-1.6276903612905,-1.18478995649408,-2.30258509299405
"3",3,8092,"4","B1",0,9,"B1_77",2017,25,50,"77",98,0,NA,"qs 25-50; PresAlive18",2,2,0.203245607928512,-0.259886169783635,-0.157547990964043,0.0755049916563531,NA,0,NA,-2.36862629476308,-1.41006152483415,-2.31153536203068,-1.29366347540778,-1.50570612346134,2.1604296878708,-2.61379419009847,-0.84324046440217,-0.697786546746978,-2.39424738572615,-1.27424043786845,-0.982082011206066,0.270365618424768,-0.465560261938743,0.260595732476686,-2.27497247394543,-1.65965558419395,-2.21249568004335,-1.4690371205153,-1.43149353941621,-1.16238801419305,-2.55351221288694,-1.48947520009183,-1.33636957476237,-2.33623345887767,-1.83062512216391,-1.61208329862218,-1.19813397201061,-1.6276903612905,-1.18478995649408,2.2082744135228
"4",4,8135,"5","B1",0,45,"B1_123",2017,25,50,"123",24,0,NA,"qs 25-50 no news",2,2,0.203245607928512,-0.259886169783635,-0.157547990964043,-1.21228839045651,NA,NA,NA,-2.36862629476308,-1.41006152483415,-2.31153536203068,-1.29366347540778,-1.50570612346134,2.1604296878708,-2.61379419009847,-0.84324046440217,-0.697786546746978,-2.39424738572615,-1.27424043786845,-0.982082011206066,0.270365618424768,-0.465560261938743,0.260595732476686,-2.27497247394543,-1.65965558419395,-2.21249568004335,-1.4690371205153,-1.43149353941621,-1.16238801419305,-2.55351221288694,-1.48947520009183,-1.33636957476237,-2.33623345887767,-1.83062512216391,-1.61208329862218,-1.19813397201061,-1.6276903612905,-1.18478995649408,3.80888224650863
"5",5,8221,"6","B1",1,56,"B1_210",2017,25,50,"210",48,0,135,"qs25-50, no new 18",2,2,0.203245607928512,-0.259886169783635,-0.157547990964043,-0.578315373021186,4.90601524496615,0,NA,-2.36862629476308,-1.41006152483415,-2.31153536203068,-1.29366347540778,-1.50570612346134,2.1604296878708,-2.61379419009847,-0.84324046440217,-0.697786546746978,-2.39424738572615,-1.27424043786845,-0.982082011206066,0.270365618424768,-0.465560261938743,0.260595732476686,-2.27497247394543,-1.65965558419395,-2.21249568004335,-1.4690371205153,-1.43149353941621,-1.16238801419305,-2.55351221288694,-1.48947520009183,-1.33636957476237,-2.33623345887767,-1.83062512216391,-1.61208329862218,-1.19813397201061,-1.6276903612905,-1.18478995649408,4.02713581252865
"6",6,8362,"4","B2",0,0,"B2_257",2017,25,50,"257",NA,NA,373,"qs25-50 no new 18",2,7,0.203245607928512,1.8963905785433,-0.157547990964043,NA,5.92184648022711,0,NA,-2.36862629476308,-1.41006152483415,-2.31153536203068,-1.29366347540778,-1.50570612346134,2.1604296878708,-2.61379419009847,-0.84324046440217,-0.697786546746978,-2.39424738572615,-1.27424043786845,-0.982082011206066,0.270365618424768,-0.465560261938743,0.260595732476686,-2.02070675261557,-0.84047695015244,-1.98017498703592,-0.881668329739562,-0.827215084410469,-0.870592590652799,-2.66821169290401,-0.809228219686438,-0.851173747871396,-1.83071476571578,-1.12744319456097,-1.13093640801354,-1.48440456252265,-0.0602826191412972,-1.44941045957241,-2.30258509299405
"7",7,8424,"6","B2",0,0,"B2_319",2017,25,50,"319",320,0,232,"2 stems,QS25-50 no new 18",2,7,0.203245607928512,1.8963905785433,-0.157547990964043,1.16043899102968,5.44716831328039,1,12,-2.36862629476308,-1.41006152483415,-2.31153536203068,-1.29366347540778,-1.50570612346134,2.1604296878708,-2.61379419009847,-0.84324046440217,-0.697786546746978,-2.39424738572615,-1.27424043786845,-0.982082011206066,0.270365618424768,-0.465560261938743,0.260595732476686,-2.02070675261557,-0.84047695015244,-1.98017498703592,-0.881668329739562,-0.827215084410469,-0.870592590652799,-2.66821169290401,-0.809228219686438,-0.851173747871396,-1.83071476571578,-1.12744319456097,-1.13093640801354,-1.48440456252265,-0.0602826191412972,-1.44941045957241,-2.30258509299405
"8",8,8433,"7","B2",0,14,"B2_329",2017,25,50,"329",228,0,135,"QS25-50 no new 18",2,7,0.203245607928512,1.8963905785433,-0.157547990964043,0.849585937430007,4.90601524496615,0,NA,-2.36862629476308,-1.41006152483415,-2.31153536203068,-1.29366347540778,-1.50570612346134,2.1604296878708,-2.61379419009847,-0.84324046440217,-0.697786546746978,-2.39424738572615,-1.27424043786845,-0.982082011206066,0.270365618424768,-0.465560261938743,0.260595732476686,-2.02070675261557,-0.84047695015244,-1.98017498703592,-0.881668329739562,-0.827215084410469,-0.870592590652799,-2.66821169290401,-0.809228219686438,-0.851173747871396,-1.83071476571578,-1.12744319456097,-1.13093640801354,-1.48440456252265,-0.0602826191412972,-1.44941045957241,2.64617479738412
"9",9,8442,"9","B2",0,0,"B2_338",2017,25,50,"338",136,0,576,"same pl as ys at 28, 35?,QS25-50 no new 18",2,7,0.203245607928512,1.8963905785433,-0.157547990964043,0.375857021194989,6.35628125673834,0,NA,-2.36862629476308,-1.41006152483415,-2.31153536203068,-1.29366347540778,-1.50570612346134,2.1604296878708,-2.61379419009847,-0.84324046440217,-0.697786546746978,-2.39424738572615,-1.27424043786845,-0.982082011206066,0.270365618424768,-0.465560261938743,0.260595732476686,-2.02070675261557,-0.84047695015244,-1.98017498703592,-0.881668329739562,-0.827215084410469,-0.870592590652799,-2.66821169290401,-0.809228219686438,-0.851173747871396,-1.83071476571578,-1.12744319456097,-1.13093640801354,-1.48440456252265,-0.0602826191412972,-1.44941045957241,-2.30258509299405
"10",10,8511,"14","B2",0,0,"B2_88",2017,25,50,"88",360,0,497,"qs25-50 no new",2,7,0.203245607928512,1.8963905785433,-0.157547990964043,1.26845876283232,6.20879121310063,1,8,-2.36862629476308,-1.41006152483415,-2.31153536203068,-1.29366347540778,-1.50570612346134,2.1604296878708,-2.61379419009847,-0.84324046440217,-0.697786546746978,-2.39424738572615,-1.27424043786845,-0.982082011206066,0.270365618424768,-0.465560261938743,0.260595732476686,-2.02070675261557,-0.84047695015244,-1.98017498703592,-0.881668329739562,-0.827215084410469,-0.870592590652799,-2.66821169290401,-0.809228219686438,-0.851173747871396,-1.83071476571578,-1.12744319456097,-1.13093640801354,-1.48440456252265,-0.0602826191412972,-1.44941045957241,-2.30258509299405
