"","quad","site","num_news","num_fr","key_qsy","startyear","TSF","TBF"
"1","4","B2",0,0,"4_B2_2017",2017,10,12
"2","6","B2",0,0,"6_B2_2017",2017,10,12
"3","7","B2",0,14,"7_B2_2017",2017,10,12
"4","9","B2",0,0,"9_B2_2017",2017,10,12
"5","14","B2",0,0,"14_B2_2017",2017,10,12
"6","15","B2",0,0,"15_B2_2017",2017,10,12
"7","17","B2",0,0,"17_B2_2017",2017,10,12
"8","18","B2",0,16,"18_B2_2017",2017,10,12
"9","19","B2",0,0,"19_B2_2017",2017,10,12
"10","20","B2",0,0,"20_B2_2017",2017,10,12
"11","1","CH",0,0,"1_CH_2017",2017,13,3
"12","2","CH",0,0,"2_CH_2017",2017,13,3
"13","3","CH",0,0,"3_CH_2017",2017,13,3
"14","4","CH",0,33,"4_CH_2017",2017,13,3
"15","5","CH",0,20,"5_CH_2017",2017,13,3
"16","6","CH",0,0,"6_CH_2017",2017,13,3
"17","7","CH",0,0,"7_CH_2017",2017,13,3
"18","8","CH",0,0,"8_CH_2017",2017,13,3
"19","9","CH",0,0,"9_CH_2017",2017,13,3
"20","10","CH",0,0,"10_CH_2017",2017,13,3
"21","11","CH",0,11,"11_CH_2017",2017,13,3
"22","12","CH",0,0,"12_CH_2017",2017,13,3
"23","13","CH",0,0,"13_CH_2017",2017,13,3
"24","14","CH",0,0,"14_CH_2017",2017,13,3
"25","1","CM",0,16,"1_CM_2017",2017,2,15
"26","2","CM",0,0,"2_CM_2017",2017,2,15
"27","6","CM",0,0,"6_CM_2017",2017,2,15
"28","7","CM",0,9,"7_CM_2017",2017,2,15
"29","east-5","GSP-BI",0,0,"east-5_GSP-BI_2017",2017,1,3
"30","east-5","GSP-BI",0,0,"east-5_GSP-BI_2017",2017,1,3
"31","east-6","GSP-BI",0,0,"east-6_GSP-BI_2017",2017,1,3
"32","west-1","GSP-BI",0,0,"west-1_GSP-BI_2017",2017,1,3
"33","west-2","GSP-BI",0,0,"west-2_GSP-BI_2017",2017,1,3
"34","west-3","GSP-BI",0,0,"west-3_GSP-BI_2017",2017,1,3
"35","west-4","GSP-BI",0,0,"west-4_GSP-BI_2017",2017,1,3
"36","west-5","GSP-BI",0,0,"west-5_GSP-BI_2017",2017,1,3
"37","north-7","GSP-LI",0,0,"north-7_GSP-LI_2017",2017,3,1
"38","north-8","GSP-LI",0,0,"north-8_GSP-LI_2017",2017,3,1
"39","north-9","GSP-LI",0,0,"north-9_GSP-LI_2017",2017,3,1
"40","north-10","GSP-LI",0,0,"north-10_GSP-LI_2017",2017,3,1
