"","site","quad","trans","percent_woody","meanHeight","count_woody","note","startyear","TSF","TBF","TSF_M","TBF_M","logHeight","IntHeight","logIntHeight"
"1","B1",1,NA,0.148148148148148,8.5,12,NA,2024,38,NA,0,2,2.2512917986065,102,4.63472898822964
"2","B1",2,NA,0.0740740740740741,5.5,6,NA,2024,38,NA,0,2,1.87180217690159,33,3.52636052461616
"3","B1",3,NA,0.185185185185185,8.4,15,NA,2024,38,NA,0,2,2.24070968927596,126,4.84418708645859
"4","B1",4,NA,0.0740740740740741,6,6,NA,2024,38,NA,0,2,1.94591014905531,36,3.61091791264422
"5","B1",5,NA,0.0864197530864197,5.5,7,NA,2024,38,NA,0,2,1.87180217690159,38.5,3.67630067190708
"6","B1",6,NA,0.111111111111111,14.6666666666667,9,NA,2024,38,NA,0,2,2.75153531304195,132,4.89034912822175
"7","B1",7,NA,0.123456790123457,6,10,NA,2024,38,NA,0,2,1.94591014905531,60,4.11087386417331
"8","B2",1,NA,0.209876543209877,6.57142857142857,17,NA,2024,17,12,3,2,2.02438176449681,111.714285714286,4.72485617179056
"9","B2",2,NA,0.123456790123457,7,10,NA,2024,17,12,3,2,2.07944154167984,70,4.26267987704132
"10","B2",3,NA,0.271604938271605,12.4285714285714,22,NA,2024,17,12,3,2,2.59738463321469,273.428571428571,5.61469101371324
"11","B2",4,NA,0.296296296296296,7.25,24,NA,2024,17,12,3,2,2.11021320034659,174,5.16478597392351
"12","B2",5,NA,0.320987654320988,8.55555555555556,26,NA,2024,17,12,3,2,2.25712271891729,222.444444444444,5.40916281243643
"13","B2",6,NA,0.172839506172839,5.33333333333333,14,NA,2024,17,12,3,2,1.84582669049833,74.6666666666667,4.32633772881329
"14","B2",8,NA,0.197530864197531,16.2,16,NA,2024,17,12,3,2,2.84490938381941,259.2,5.56145056607841
"15","B2",9,NA,0.308641975308642,11.125,25,NA,2024,17,12,3,2,2.49526943682355,278.125,5.63165971016032
"16","B2",11,NA,0.197530864197531,8,16,NA,2024,17,12,3,2,2.19722457733622,128,4.85981240436167
"17","B2",13,NA,0.123456790123457,12.3333333333333,10,NA,2024,17,12,3,2,2.59026716544583,123.333333333333,4.82296613097571
"18","B2",14,NA,0.308641975308642,19,25,NA,2024,17,12,3,2,2.99573227355399,475,6.16541785423142
"19","B2",15,NA,0,NA,0,NA,2024,17,12,3,2,NA,0,0
"20","B2",16,NA,0.185185185185185,11,15,NA,2024,17,12,3,2,2.484906649788,165,5.11198778835654
"21","B2",17,NA,0.469135802469136,9.53846153846154,38,NA,2024,17,12,3,2,2.35503156836659,362.461538461538,5.89567348246631
"22","B2",18,NA,0.320987654320988,9.14285714285714,26,NA,2024,17,12,3,2,2.316769727986,237.714285714286,5.47526737954008
"23","B2",19,NA,0.345679012345679,8,28,NA,2024,17,12,3,2,2.19722457733622,224,5.41610040220442
"24","B2",20,NA,0.518518518518518,7.72727272727273,42,NA,2024,17,12,3,2,2.16645291866947,324.545454545455,5.78550209720006
"25","CH",1,NA,0.222222222222222,17.2,18,NA,2024,4,15,15,2,2.90142159408275,309.6,5.73850591071459
"26","CH",2,NA,0.530864197530864,50.5,43,NA,2024,4,15,15,2,3.94158180766969,2171.5,7.68363385713955
"27","CH",3,NA,0.604938271604938,64.4117647058823,49,NA,2024,4,15,15,2,4.18070213075431,3156.17647058824,8.05743338518651
"28","CH",4,NA,0.345679012345679,36.6666666666667,28,NA,2024,4,15,15,2,3.62877553004423,1026.66666666667,6.93504613921804
"29","CH",6,NA,0.469135802469136,48.8666666666667,38,NA,2024,4,15,15,2,3.90935277687227,1856.93333333333,7.52722003785456
"30","CH",7,NA,0.654320987654321,27,53,NA,2024,4,15,15,2,3.3322045101752,1431,7.26682734752059
"31","CH",11,NA,0.444444444444444,17.7692307692308,36,NA,2024,4,15,15,2,2.93221886783166,639.692307692308,6.4625493224738
"32","CH",12,NA,0.592592592592593,16.7142857142857,48,NA,2024,4,15,15,2,2.87437141654972,802.285714285714,6.68871045923689
"33","CH",13,NA,0.62962962962963,48.1538461538462,51,NA,2024,4,15,15,2,3.894955096916,2455.84615384615,7.80663375511352
"34","CM",1,NA,0.592592592592593,16.2857142857143,48,NA,2024,3,1,3,1,2.84988039654143,781.714285714286,6.6627677324831
"35","CM",2,NA,0.567901234567901,14.7692307692308,46,NA,2024,3,1,3,1,2.75806062167687,679.384615384615,6.52265824913235
"36","CM",6,NA,0.432098765432099,21.2727272727273,35,NA,2024,3,1,3,1,3.10336293774636,744.545454545455,6.61411610423804
"37","CM",7,NA,0.62962962962963,19.4666666666667,51,NA,2024,3,1,3,1,3.01879754648499,992.8,6.90153597916822
"38","GSP-BI",1,"W",0,NA,0,"no woody cover in quad",2024,8,3,2,1,NA,0,0
"39","GSP-BI",2,"E",0,NA,0,"no woody cover in quad",2024,8,3,2,1,NA,0,0
"40","GSP-BI",2,"W",0.037037037037037,21.5,3,NA,2024,8,3,2,1,3.11351530921037,64.5,4.18205014264121
"41","GSP-BI",3,"E",0,NA,0,"no woody cover in quad",2024,8,3,2,1,NA,0,0
"42","GSP-BI",3,"W",0.0123456790123457,NA,1,NA,2024,8,3,2,1,NA,NA,NA
"43","GSP-BI",4,"E",0,NA,0,"no woody cover in quad",2024,8,3,2,1,NA,0,0
"44","GSP-BI",4,"W",0.037037037037037,22,3,NA,2024,8,3,2,1,3.13549421592915,66,4.20469261939097
"45","GSP-BI",5,"E",0,NA,0,"no woody cover in quad",2024,8,3,2,1,NA,0,0
"46","GSP-BI",5,"W",0.0617283950617284,24,5,NA,2024,8,3,2,1,3.2188758248682,120,4.79579054559674
"47","GSP-BI",6,"E",0,NA,0,"no woody cover in quad",2024,8,3,2,1,NA,0,0
"48","GSP-BI",7,"E",0.0493827160493827,18,4,NA,2024,8,3,2,1,2.94443897916644,72,4.29045944114839
"49","GSP-BI",8,"E",0,NA,0,"no woody cover in quad",2024,8,3,2,1,NA,0,0
"50","GSP-BI",9,"E",0,NA,0,"no woody cover in quad",2024,8,3,2,1,NA,0,0
"51","GSP-LI",1,"S",0.0246913580246914,7,2,NA,2024,2,2,2,2,2.07944154167984,14,2.70805020110221
"52","GSP-LI",2,"S",0,NA,0,"no woody cover in quad",2024,2,2,2,2,NA,0,0
