,"(deg C) Mean Temperature (gridMET) at -77.3088E,34.5915N, 2015-01-01 to 2025-01-01"
"2015-01-01",5.2914
"2015-01-02",13.4016
"2015-01-03",16.2117
"2015-01-04",16.4565
"2015-01-05",6.8017
"2015-01-06",7.3414
"2015-01-07",-0.713
"2015-01-08",-4.4234
"2015-01-09",6.8013
"2015-01-10",1.7663
"2015-01-11",6.9065
"2015-01-12",13.3516
"2015-01-13",5.3116
"2015-01-14",3.501
"2015-01-15",6.6412
"2015-01-16",8.6767
"2015-01-17",10.3516
"2015-01-18",10.3366
"2015-01-19",11.162
"2015-01-20",11.1418
"2015-01-21",10.5718
"2015-01-22",10.5314
"2015-01-23",13.0219
"2015-01-24",9.1069
"2015-01-25",7.7216
"2015-01-26",9.4468
"2015-01-27",1.7516
"2015-01-28",1.7866
"2015-01-29",4.6812
"2015-01-30",4.5513
"2015-01-31",3.3576
"2015-02-01",10.3682
"2015-02-02",7.4081
"2015-02-03",2.1679
"2015-02-04",6.9682
"2015-02-05",2.8235
"2015-02-06",0.5326
"2015-02-07",6.8626
"2015-02-08",14.7381
"2015-02-09",14.2077
"2015-02-10",4.0983
"2015-02-11",2.6378
"2015-02-12",7.8484
"2015-02-13",-1.9524
"2015-02-14",2.8726
"2015-02-15",-3.2416
"2015-02-16",-1.4922
"2015-02-17",-1.4369
"2015-02-18",0.8879
"2015-02-19",-6.5019
"2015-02-20",-5.8223
"2015-02-21",6.2578
"2015-02-22",14.1231
"2015-02-23",5.1978
"2015-02-24",-1.8371
"2015-02-25",2.2282
"2015-02-26",1.7627
"2015-02-27",4.9183
"2015-02-28",4.5218
"2015-03-01",9.5415
"2015-03-02",11.872
"2015-03-03",10.167
"2015-03-04",19.1668
"2015-03-05",12.7521
"2015-03-06",0.6367
"2015-03-07",6.8116
"2015-03-08",14.5218
"2015-03-09",14.3123
"2015-03-10",19.3919
"2015-03-11",20.7574
"2015-03-12",12.2972
"2015-03-13",14.6517
"2015-03-14",17.1973
"2015-03-15",13.8624
"2015-03-16",15.1719
"2015-03-17",17.6821
"2015-03-18",11.8766
"2015-03-19",11.4371
"2015-03-20",14.3219
"2015-03-21",13.2217
"2015-03-22",14.6219
"2015-03-23",9.8869
"2015-03-24",14.5519
"2015-03-25",18.9715
"2015-03-26",21.0521
"2015-03-27",12.2471
"2015-03-28",4.7271
"2015-03-29",6.5767
"2015-03-30",11.9021
"2015-03-31",16.2701
"2015-04-01",11.7052
"2015-04-02",17.5551
"2015-04-03",21.97
"2015-04-04",13.9352
"2015-04-05",15.6249
"2015-04-06",19.95
"2015-04-07",20.1055
"2015-04-08",22.8851
"2015-04-09",20.2502
"2015-04-10",24.0299
"2015-04-11",17.8851
"2015-04-12",19.0902
"2015-04-13",22.8553
"2015-04-14",22.1598
"2015-04-15",16.1
"2015-04-16",19.7106
"2015-04-17",21.9001
"2015-04-18",21.5404
"2015-04-19",22.0853
"2015-04-20",22.7551
"2015-04-21",18.14
"2015-04-22",20.7299
"2015-04-23",14.8355
"2015-04-24",16.8098
"2015-04-25",17.0006
"2015-04-26",12.3556
"2015-04-27",15.35
"2015-04-28",15.6246
"2015-04-29",16.6797
"2015-04-30",13.9538
"2015-05-01",13.4538
"2015-05-02",15.4535
"2015-05-03",17.3088
"2015-05-04",18.4489
"2015-05-05",18.564
"2015-05-06",20.5089
"2015-05-07",22.084
"2015-05-08",23.5939
"2015-05-09",23.3193
"2015-05-10",22.1789
"2015-05-11",25.4189
"2015-05-12",26.6886
"2015-05-13",20.7789
"2015-05-14",17.0189
"2015-05-15",18.2185
"2015-05-16",20.3443
"2015-05-17",24.5591
"2015-05-18",26.1936
"2015-05-19",25.7792
"2015-05-20",25.4289
"2015-05-21",21.9088
"2015-05-22",16.7838
"2015-05-23",19.989
"2015-05-24",20.3185
"2015-05-25",21.4391
"2015-05-26",25.5389
"2015-05-27",22.8587
"2015-05-28",21.5135
"2015-05-29",23.7243
"2015-05-30",23.3687
"2015-05-31",23.5898
"2015-06-01",25.0251
"2015-06-02",23.905
"2015-06-03",22.0054
"2015-06-04",23.0949
"2015-06-05",20.3452
"2015-06-06",23.2902
"2015-06-07",20.9351
"2015-06-08",26.7451
"2015-06-09",23.695
"2015-06-10",25.005
