,"(mm) Precipitation (gridMET) at -76.8740E,34.7672N, 2015-01-01 to 2025-05-01"
"2015-01-01",0
"2015-01-02",0
"2015-01-03",10.5992
"2015-01-04",4.3204
"2015-01-05",0
"2015-01-06",0
"2015-01-07",0
"2015-01-08",0
"2015-01-09",0
"2015-01-10",0
"2015-01-11",0
"2015-01-12",17.4587
"2015-01-13",5.3144
"2015-01-14",0
"2015-01-15",0.4527
"2015-01-16",0
"2015-01-17",0
"2015-01-18",18.0591
"2015-01-19",0
"2015-01-20",0
"2015-01-21",0
"2015-01-22",0
"2015-01-23",44.9262
"2015-01-24",9.2313
"2015-01-25",0
"2015-01-26",0.4822
"2015-01-27",0
"2015-01-28",0
"2015-01-29",0
"2015-01-30",0
"2015-01-31",0
"2015-02-01",12.8529
"2015-02-02",8.0109
"2015-02-03",0
"2015-02-04",20.7064
"2015-02-05",0
"2015-02-06",0
"2015-02-07",0
"2015-02-08",0
"2015-02-09",0.6692
"2015-02-10",4.9306
"2015-02-11",0
"2015-02-12",0
"2015-02-13",0
"2015-02-14",0
"2015-02-15",0
"2015-02-16",30.1936
"2015-02-17",0
"2015-02-18",0.4625
"2015-02-19",0
"2015-02-20",0
"2015-02-21",7.5189
"2015-02-22",14.5752
"2015-02-23",4.3598
"2015-02-24",14.8409
"2015-02-25",28.4319
"2015-02-26",0
"2015-02-27",0
"2015-02-28",0
"2015-03-01",7.1449
"2015-03-02",0
"2015-03-03",5.1668
"2015-03-04",0
"2015-03-05",7.1547
"2015-03-06",0
"2015-03-07",0
"2015-03-08",0
"2015-03-09",0
"2015-03-10",0
"2015-03-11",1.3581
"2015-03-12",0
"2015-03-13",0
"2015-03-14",26.5621
"2015-03-15",0
"2015-03-16",0
"2015-03-17",0
"2015-03-18",0
"2015-03-19",19.3384
"2015-03-20",7.5189
"2015-03-21",0
"2015-03-22",6.0623
"2015-03-23",0.6102
"2015-03-24",0
"2015-03-25",0
"2015-03-26",3.5724
"2015-03-27",8.0601
"2015-03-28",0
"2015-03-29",0
"2015-03-30",0.5019
"2015-03-31",0
"2015-04-01",0
"2015-04-02",0
"2015-04-03",0
"2015-04-04",0.3543
"2015-04-05",0
"2015-04-06",0
"2015-04-07",0
"2015-04-08",1.6632
"2015-04-09",7.7452
"2015-04-10",0
"2015-04-11",0
"2015-04-12",0
"2015-04-13",1.7616
"2015-04-14",0.4822
"2015-04-15",1.9781
"2015-04-16",0
"2015-04-17",0
"2015-04-18",3.1394
"2015-04-19",23.2849
"2015-04-20",0
"2015-04-21",0
"2015-04-22",0
"2015-04-23",0
"2015-04-24",0
"2015-04-25",1.2892
"2015-04-26",3.2477
"2015-04-27",0
"2015-04-28",0
"2015-04-29",1.8305
"2015-04-30",0.9153
"2015-05-01",0
"2015-05-02",0
"2015-05-03",0
"2015-05-04",0
"2015-05-05",0
"2015-05-06",0
"2015-05-07",8.8573
"2015-05-08",9.0443
"2015-05-09",9.6151
"2015-05-10",26.6408
"2015-05-11",1.4959
"2015-05-12",13.1383
"2015-05-13",0
"2015-05-14",0
"2015-05-15",0
"2015-05-16",0
"2015-05-17",0
"2015-05-18",0
"2015-05-19",5.216
"2015-05-20",0.5806
"2015-05-21",3.2674
"2015-05-22",0
"2015-05-23",0
"2015-05-24",0
"2015-05-25",0
"2015-05-26",0
"2015-05-27",0
"2015-05-28",0
"2015-05-29",0
"2015-05-30",0
"2015-05-31",0
"2015-06-01",0.5708
"2015-06-02",18.2657
"2015-06-03",44.4834
"2015-06-04",1.6927
"2015-06-05",0
"2015-06-06",8.0897
"2015-06-07",0
"2015-06-08",0
"2015-06-09",6.269
"2015-06-10",0
"2015-06-11",0
"2015-06-12",0
"2015-06-13",0
"2015-06-14",3.9759
"2015-06-15",0
"2015-06-16",0
"2015-06-17",10.3335
"2015-06-18",2.9918
"2015-06-19",4.6648
"2015-06-20",0
"2015-06-21",0
"2015-06-22",0
"2015-06-23",0
"2015-06-24",12.0755
"2015-06-25",0
"2015-06-26",2.7359
"2015-06-27",4.8518
"2015-06-28",0
"2015-06-29",0
"2015-06-30",0
"2015-07-01",0
"2015-07-02",0
"2015-07-03",1.801
"2015-07-04",0
"2015-07-05",0.6397
"2015-07-06",0
"2015-07-07",0
"2015-07-08",0
"2015-07-09",0
"2015-07-10",0
"2015-07-11",10.8354
"2015-07-12",0.9153
"2015-07-13",17.3111
"2015-07-14",0
"2015-07-15",0
"2015-07-16",1.5057
"2015-07-17",0
"2015-07-18",0
"2015-07-19",0
"2015-07-20",0
"2015-07-21",10.9929
"2015-07-22",0.4822
"2015-07-23",79.3319
"2015-07-24",0
"2015-07-25",0
"2015-07-26",0
"2015-07-27",0
"2015-07-28",0
"2015-07-29",0
"2015-07-30",0.4527
"2015-07-31",9.4478
"2015-08-01",7.1449
"2015-08-02",13.7879
"2015-08-03",48.6266
"2015-08-04",3.2575
"2015-08-05",0
"2015-08-06",8.5522
"2015-08-07",22.409
"2015-08-08",7.5976
"2015-08-09",0
"2015-08-10",0
"2015-08-11",46.0481
"2015-08-12",0.4035
"2015-08-13",0
"2015-08-14",0
"2015-08-15",0
"2015-08-16",0
"2015-08-17",0
"2015-08-18",0
"2015-08-19",5.5407
"2015-08-20",0.62
"2015-08-21",11.4456
"2015-08-22",0
"2015-08-23",0
"2015-08-24",0
"2015-08-25",8.7884
"2015-08-26",5.3242
"2015-08-27",5.2357
"2015-08-28",0
"2015-08-29",0
"2015-08-30",0
"2015-08-31",27.5069
"2015-09-01",0
"2015-09-02",2.6473
"2015-09-03",0
"2015-09-04",0
"2015-09-05",0.4133
"2015-09-06",0.8365
"2015-09-07",30.7939
"2015-09-08",0
"2015-09-09",4.3794
"2015-09-10",0.7283
"2015-09-11",0
"2015-09-12",2.1553
"2015-09-13",0
"2015-09-14",0
"2015-09-15",0
"2015-09-16",0
"2015-09-17",0
"2015-09-18",5.6588
"2015-09-19",0
"2015-09-20",0
"2015-09-21",0
"2015-09-22",3.041
"2015-09-23",4.1137
"2015-09-24",43.4106
"2015-09-25",32.9295
"2015-09-26",24.4166
"2015-09-27",38.2045
"2015-09-28",19.3483
"2015-09-29",0.7479
"2015-09-30",0.561
"2015-10-01",62.07
"2015-10-02",32.9787
"2015-10-03",8.5621
"2015-10-04",40.9798
"2015-10-05",26.8672
"2015-10-06",0.5905
"2015-10-07",0
"2015-10-08",0
"2015-10-09",0
"2015-10-10",12.5774
"2015-10-11",5.6785
"2015-10-12",0
"2015-10-13",0
"2015-10-14",0
"2015-10-15",0
"2015-10-16",0
"2015-10-17",0
"2015-10-18",0
"2015-10-19",0
"2015-10-20",0
"2015-10-21",0
"2015-10-22",0
"2015-10-23",0
"2015-10-24",0
"2015-10-25",0
"2015-10-26",0
"2015-10-27",22.783
"2015-10-28",4.3893
"2015-10-29",0
"2015-10-30",0
"2015-10-31",0
"2015-11-01",0
"2015-11-02",12.6561
"2015-11-03",15.2936
"2015-11-04",0.9546
"2015-11-05",0
"2015-11-06",0
"2015-11-07",7.3909
"2015-11-08",3.6413
"2015-11-09",25.0859
"2015-11-10",3.5036
"2015-11-11",0
"2015-11-12",0
"2015-11-13",0
"2015-11-14",0
"2015-11-15",0
"2015-11-16",0
"2015-11-17",0
"2015-11-18",0.5708
"2015-11-19",124.514
"2015-11-20",0
"2015-11-21",2.7064
"2015-11-22",9.7037
"2015-11-23",0
"2015-11-24",0
"2015-11-25",0
"2015-11-26",0
"2015-11-27",0
"2015-11-28",0
"2015-11-29",0
"2015-11-30",0.2952
"2015-12-01",2.8048
"2015-12-02",1.5845
"2015-12-03",0
"2015-12-04",0
"2015-12-05",0
"2015-12-06",0
"2015-12-07",30.1837
"2015-12-08",0
"2015-12-09",0.7381
"2015-12-10",0
"2015-12-11",0
"2015-12-12",0
"2015-12-13",0
"2015-12-14",1.3581
"2015-12-15",0
"2015-12-16",5.6391
"2015-12-17",3.9169
"2015-12-18",4.035
"2015-12-19",0
"2015-12-20",0
"2015-12-21",0
"2015-12-22",29.6326
"2015-12-23",0.6594
"2015-12-24",0.3937
"2015-12-25",0
"2015-12-26",0
"2015-12-27",0
"2015-12-28",7.8436
"2015-12-29",0
"2015-12-30",4.1531
"2015-12-31",0
"2016-01-01",0
"2016-01-02",0
"2016-01-03",0
"2016-01-04",0
"2016-01-05",0
"2016-01-06",0
"2016-01-07",0
"2016-01-08",4.7
"2016-01-09",7.1
"2016-01-10",0
"2016-01-11",0
"2016-01-12",0
"2016-01-13",0
"2016-01-14",0
"2016-01-15",34.3
"2016-01-16",0
"2016-01-17",11.3
"2016-01-18",0
"2016-01-19",0
"2016-01-20",0
"2016-01-21",0
"2016-01-22",68
"2016-01-23",0
"2016-01-24",0
"2016-01-25",0
"2016-01-26",0
"2016-01-27",0
"2016-01-28",6.9
"2016-01-29",0
"2016-01-30",0
"2016-01-31",0
"2016-02-01",0
"2016-02-02",0.5
"2016-02-03",55.5
"2016-02-04",77.1
"2016-02-05",0
"2016-02-06",7.9
"2016-02-07",25.1
"2016-02-08",0
"2016-02-09",0
"2016-02-10",0
"2016-02-11",0
"2016-02-12",5.7
"2016-02-13",0
"2016-02-14",0
"2016-02-15",10
"2016-02-16",16
"2016-02-17",0
"2016-02-18",0
"2016-02-19",0
"2016-02-20",0
"2016-02-21",0
"2016-02-22",2.7
"2016-02-23",5.7
"2016-02-24",3.5
"2016-02-25",0
"2016-02-26",0
"2016-02-27",0
"2016-02-28",0
"2016-02-29",0
"2016-03-01",3.1
"2016-03-02",0.9
"2016-03-03",22
"2016-03-04",0
"2016-03-05",0
"2016-03-06",0
"2016-03-07",0
"2016-03-08",0
"2016-03-09",0
"2016-03-10",0
"2016-03-11",0
"2016-03-12",0
"2016-03-13",2.7
"2016-03-14",0
"2016-03-15",0
"2016-03-16",0
"2016-03-17",0
"2016-03-18",0
"2016-03-19",0.6
"2016-03-20",6.2
"2016-03-21",0
"2016-03-22",0
"2016-03-23",0
"2016-03-24",3.1
"2016-03-25",5.7
"2016-03-26",0
"2016-03-27",29.2
"2016-03-28",0
"2016-03-29",0
"2016-03-30",0
"2016-03-31",2.8
"2016-04-01",25.5
"2016-04-02",4.1
"2016-04-03",0
"2016-04-04",0
"2016-04-05",0
"2016-04-06",4.4
"2016-04-07",11.1
"2016-04-08",0
"2016-04-09",0
"2016-04-10",0
"2016-04-11",0
"2016-04-12",14.8
"2016-04-13",0
"2016-04-14",0
"2016-04-15",0
"2016-04-16",0
"2016-04-17",0
"2016-04-18",0
"2016-04-19",0
"2016-04-20",0
"2016-04-21",0
"2016-04-22",11.4
"2016-04-23",0.9
"2016-04-24",0
"2016-04-25",0
"2016-04-26",0
"2016-04-27",0.5
"2016-04-28",0
"2016-04-29",0
"2016-04-30",0
"2016-05-01",0
"2016-05-02",9.6
"2016-05-03",43.1
"2016-05-04",2
"2016-05-05",30.4
"2016-05-06",0
"2016-05-07",0
"2016-05-08",0
"2016-05-09",0
"2016-05-10",0
"2016-05-11",0
"2016-05-12",0
"2016-05-13",4.1
"2016-05-14",0
"2016-05-15",0
"2016-05-16",0
"2016-05-17",11.3
"2016-05-18",8.5
"2016-05-19",0
"2016-05-20",32.2
"2016-05-21",1.9
"2016-05-22",0.7
"2016-05-23",0
"2016-05-24",0
"2016-05-25",0
"2016-05-26",0
"2016-05-27",0
"2016-05-28",4.9
"2016-05-29",19.5
"2016-05-30",0.5
"2016-05-31",25.2
"2016-06-01",1.9
"2016-06-02",0
"2016-06-03",0
"2016-06-04",0
"2016-06-05",0
"2016-06-06",91.4
"2016-06-07",26.5
"2016-06-08",0
"2016-06-09",0
"2016-06-10",0
"2016-06-11",0
"2016-06-12",0
"2016-06-13",0
"2016-06-14",13.8
"2016-06-15",23.9
"2016-06-16",0.6
"2016-06-17",13.1
"2016-06-18",0
"2016-06-19",0
"2016-06-20",0
"2016-06-21",0
"2016-06-22",0
"2016-06-23",0
"2016-06-24",3.2
"2016-06-25",0
"2016-06-26",0
"2016-06-27",0
"2016-06-28",3.4
"2016-06-29",0
"2016-06-30",0.7
"2016-07-01",32.1
"2016-07-02",0
"2016-07-03",5
"2016-07-04",0
"2016-07-05",6.6
"2016-07-06",0
"2016-07-07",16.8
"2016-07-08",16.9
"2016-07-09",0
"2016-07-10",0
"2016-07-11",0
"2016-07-12",2.6
"2016-07-13",0
"2016-07-14",0
"2016-07-15",6.4
"2016-07-16",9.2
"2016-07-17",0
"2016-07-18",0
"2016-07-19",9.8
"2016-07-20",16.6
"2016-07-21",0
"2016-07-22",0
"2016-07-23",0
"2016-07-24",0
"2016-07-25",0
"2016-07-26",0
"2016-07-27",11.5
"2016-07-28",0
"2016-07-29",0
"2016-07-30",4
"2016-07-31",37.6
"2016-08-01",1.4
"2016-08-02",28.8
"2016-08-03",3.5
"2016-08-04",0
"2016-08-05",4.4
"2016-08-06",0.9
"2016-08-07",0
"2016-08-08",1.6
"2016-08-09",0
"2016-08-10",0
"2016-08-11",0
"2016-08-12",0
"2016-08-13",0
"2016-08-14",0
"2016-08-15",0
"2016-08-16",0.9
"2016-08-17",0
"2016-08-18",20.6
"2016-08-19",22.9
"2016-08-20",1.1
"2016-08-21",0
"2016-08-22",0
"2016-08-23",0
"2016-08-24",0
"2016-08-25",0
"2016-08-26",0
"2016-08-27",0
"2016-08-28",7.7
"2016-08-29",0
"2016-08-30",0.5
"2016-08-31",6.2
"2016-09-01",8.7
"2016-09-02",120.3
"2016-09-03",1.6
"2016-09-04",0
"2016-09-05",0
"2016-09-06",0
"2016-09-07",7.8
"2016-09-08",0
"2016-09-09",0
"2016-09-10",0
"2016-09-11",2.8
"2016-09-12",67.8
"2016-09-13",0
"2016-09-14",0
"2016-09-15",4.5
"2016-09-16",0
"2016-09-17",1.3
"2016-09-18",1.2
"2016-09-19",29.9
"2016-09-20",0
"2016-09-21",0
"2016-09-22",38.8
"2016-09-23",60.4
"2016-09-24",0
"2016-09-25",0
"2016-09-26",0
"2016-09-27",7.6
"2016-09-28",0
"2016-09-29",12.2
"2016-09-30",34.9
"2016-10-01",11.6
"2016-10-02",0
"2016-10-03",0
"2016-10-04",0
