"Plot Title: 10771269"
"#","Date Time, GMT-07:00","Water Content, m³/m³ (LGR S/N: 10771269, SEN S/N: 10769192)","Water Content, m³/m³ (LGR S/N: 10771269, SEN S/N: 10775626)"
1,05/12/16 11:22:49 AM,0.2124,0.1870
2,05/12/16 11:52:49 AM,0.2124,0.1855
3,05/12/16 12:22:49 PM,0.2124,0.1862
4,05/12/16 12:52:49 PM,0.2124,0.1862
5,05/12/16 01:22:49 PM,0.2124,0.1862
6,05/12/16 01:52:49 PM,0.2124,0.1862
7,05/12/16 02:22:49 PM,0.2124,0.1870
8,05/12/16 02:52:49 PM,0.2131,0.1870
9,05/12/16 03:22:49 PM,0.2124,0.1870
10,05/12/16 03:52:49 PM,0.2124,0.1870
11,05/12/16 04:22:49 PM,0.2124,0.1870
12,05/12/16 04:52:49 PM,0.2124,0.1870
13,05/12/16 05:22:49 PM,0.2124,0.1862
14,05/12/16 05:52:49 PM,0.2124,0.1862
15,05/12/16 06:22:49 PM,0.2124,0.1862
16,05/12/16 06:52:49 PM,0.2116,0.1870
17,05/12/16 07:22:49 PM,0.2124,0.1862
18,05/12/16 07:52:49 PM,0.2116,0.1862
19,05/12/16 08:22:49 PM,0.2116,0.1862
20,05/12/16 08:52:49 PM,0.2116,0.1862
21,05/12/16 09:22:49 PM,0.2116,0.1862
22,05/12/16 09:52:49 PM,0.2109,0.1862
23,05/12/16 10:22:49 PM,0.2109,0.1862
24,05/12/16 10:52:49 PM,0.2109,0.1862
25,05/12/16 11:22:49 PM,0.2109,0.1862
26,05/12/16 11:52:49 PM,0.2109,0.1862
27,05/13/16 12:22:49 AM,0.2109,0.1862
28,05/13/16 12:52:49 AM,0.2109,0.1862
29,05/13/16 01:22:49 AM,0.2116,0.1862
30,05/13/16 01:52:49 AM,0.2109,0.1862
31,05/13/16 02:22:49 AM,0.2116,0.1862
32,05/13/16 02:52:49 AM,0.2116,0.1862
33,05/13/16 03:22:49 AM,0.2116,0.1862
34,05/13/16 03:52:49 AM,0.2116,0.1862
35,05/13/16 04:22:49 AM,0.2116,0.1862
36,05/13/16 04:52:49 AM,0.2116,0.1862
37,05/13/16 05:22:49 AM,0.2116,0.1862
