1-Wire/iButton Part Number: DS1921G-F5
1-Wire/iButton Registration Number: 6C00000037DFD721
Is Mission Active?  false
Mission Start:  Mon May 11 07:21:00 EDT 2015
Sample Rate:  Every 60 minute(s)
Number of Mission Samples:  9748
Total Samples:  9748
Roll Over Enabled?  false
Roll Over Occurred?  Roll over has occurred
Active Alarms:  None fired
Next Clock Alarm At:  Disabled
High Temperature Alarm:  85 �C
Low Temperature Alarm:  -40 �C

Date/Time,Unit,Value
5/11/15 7:21:00 AM,C,25
5/11/15 8:21:00 AM,C,23.5
5/11/15 9:21:00 AM,C,23
5/11/15 10:21:00 AM,C,23.5
5/11/15 11:21:00 AM,C,30
5/11/15 12:21:00 PM,C,32
5/11/15 1:21:00 PM,C,34
5/11/15 2:21:00 PM,C,36.5
5/11/15 3:21:00 PM,C,39.5
5/11/15 4:21:00 PM,C,33
5/11/15 5:21:00 PM,C,32
5/11/15 6:21:00 PM,C,32.5
5/11/15 7:21:00 PM,C,32.5
5/11/15 8:21:00 PM,C,32
5/11/15 9:21:00 PM,C,31.5
5/11/15 10:21:00 PM,C,30.5
5/11/15 11:21:00 PM,C,29.5
5/12/15 12:21:00 AM,C,28.5
5/12/15 1:21:00 AM,C,28
5/12/15 2:21:00 AM,C,27
5/12/15 3:21:00 AM,C,26.5
5/12/15 4:21:00 AM,C,26
5/12/15 5:21:00 AM,C,25.5
5/12/15 6:21:00 AM,C,25
5/12/15 7:21:00 AM,C,24.5
5/12/15 8:21:00 AM,C,24.5
5/12/15 9:21:00 AM,C,24.5
5/12/15 10:21:00 AM,C,26
5/12/15 11:21:00 AM,C,28
5/12/15 12:21:00 PM,C,29
5/12/15 1:21:00 PM,C,30.5
5/12/15 2:21:00 PM,C,33
5/12/15 3:21:00 PM,C,34
5/12/15 4:21:00 PM,C,34.5
5/12/15 5:21:00 PM,C,34
5/12/15 6:21:00 PM,C,34
5/12/15 7:21:00 PM,C,34.5
5/12/15 8:21:00 PM,C,34.5
