1-Wire/iButton Part Number: DS1921G-F5
1-Wire/iButton Registration Number: 18000000380ABF21
Is Mission Active?  false
Mission Start:  Mon Jun 20 16:03:00 EDT 2016
Sample Rate:  Every 255 minute(s)
Number of Mission Samples:  672
Total Samples:  10425
Roll Over Enabled?  false
Roll Over Occurred?  Roll over has NOT occurred
Active Alarms:  None fired
Next Clock Alarm At:  Disabled
High Temperature Alarm:  85 �C
Low Temperature Alarm:  -40 �C

Date/Time,Unit,Value
6/20/16 4:03:00 PM,C,34
6/20/16 8:18:00 PM,C,23.5
6/21/16 12:33:00 AM,C,21
6/21/16 4:48:00 AM,C,20
6/21/16 9:03:00 AM,C,23
6/21/16 1:18:00 PM,C,33
6/21/16 5:33:00 PM,C,29
6/21/16 9:48:00 PM,C,24.5
6/22/16 2:03:00 AM,C,23
6/22/16 6:18:00 AM,C,22
6/22/16 10:33:00 AM,C,27.5
6/22/16 2:48:00 PM,C,35
6/22/16 7:03:00 PM,C,29
6/22/16 11:18:00 PM,C,25.5
6/23/16 3:33:00 AM,C,24.5
6/23/16 7:48:00 AM,C,24.5
6/23/16 12:03:00 PM,C,36
6/23/16 4:18:00 PM,C,35
6/23/16 8:33:00 PM,C,28
6/24/16 12:48:00 AM,C,25
6/24/16 5:03:00 AM,C,23
6/24/16 9:18:00 AM,C,27
6/24/16 1:33:00 PM,C,30.5
6/24/16 5:48:00 PM,C,28.5
6/24/16 10:03:00 PM,C,25.5
6/25/16 2:18:00 AM,C,23
6/25/16 6:33:00 AM,C,22
6/25/16 10:48:00 AM,C,29
6/25/16 3:03:00 PM,C,28.5
6/25/16 7:18:00 PM,C,26.5
6/25/16 11:33:00 PM,C,24
6/26/16 3:48:00 AM,C,22.5
6/26/16 8:03:00 AM,C,23
6/26/16 12:18:00 PM,C,27.5
6/26/16 4:33:00 PM,C,30.5
6/26/16 8:48:00 PM,C,25.5
6/27/16 1:03:00 AM,C,23
6/27/16 5:18:00 AM,C,21.5
6/27/16 9:33:00 AM,C,28
6/27/16 1:48:00 PM,C,34.5
6/27/16 6:03:00 PM,C,28.5
6/27/16 10:18:00 PM,C,24
6/28/16 2:33:00 AM,C,22.5
6/28/16 6:48:00 AM,C,22
6/28/16 11:03:00 AM,C,28.5
6/28/16 3:18:00 PM,C,28.5
6/28/16 7:33:00 PM,C,25
6/28/16 11:48:00 PM,C,23.5
6/29/16 4:03:00 AM,C,23
6/29/16 8:18:00 AM,C,24.5
6/29/16 12:33:00 PM,C,33
6/29/16 4:48:00 PM,C,31.5
6/29/16 9:03:00 PM,C,25.5
6/30/16 1:18:00 AM,C,23
6/30/16 5:33:00 AM,C,21.5
6/30/16 9:48:00 AM,C,27.5
6/30/16 2:03:00 PM,C,36
6/30/16 6:18:00 PM,C,29.5
