1-Wire/iButton Part Number: DS1921G-F5
1-Wire/iButton Registration Number: E800000037F1C021
Is Mission Active?  true
Mission Start:  Fri Oct 14 11:21:00 EDT 2016
Sample Rate:  Every 255 minute(s)
Number of Mission Samples:  826
Total Samples:  7277
Roll Over Enabled?  false
Roll Over Occurred?  Roll over has NOT occurred
Active Alarms:  None fired
Next Clock Alarm At:  Disabled
High Temperature Alarm:  85 �C
Low Temperature Alarm:  -40 �C

Date/Time,Unit,Value
10/14/16 11:21:00 AM,C,22.5
10/14/16 3:36:00 PM,C,23
10/14/16 7:51:00 PM,C,18
10/15/16 12:06:00 AM,C,16.5
10/15/16 4:21:00 AM,C,15.5
10/15/16 8:36:00 AM,C,16
10/15/16 12:51:00 PM,C,26
10/15/16 5:06:00 PM,C,20.5
10/15/16 9:21:00 PM,C,17
10/16/16 1:36:00 AM,C,16
10/16/16 5:51:00 AM,C,15
10/16/16 10:06:00 AM,C,19
10/16/16 2:21:00 PM,C,23
10/16/16 6:36:00 PM,C,20
10/16/16 10:51:00 PM,C,17.5
10/17/16 3:06:00 AM,C,16.5
10/17/16 7:21:00 AM,C,16
10/17/16 11:36:00 AM,C,20
10/17/16 3:51:00 PM,C,23
10/17/16 8:06:00 PM,C,19.5
10/18/16 12:21:00 AM,C,18
10/18/16 4:36:00 AM,C,17.5
10/18/16 8:51:00 AM,C,18
10/18/16 1:06:00 PM,C,30.5
10/18/16 5:21:00 PM,C,22.5
10/18/16 9:36:00 PM,C,19.5
10/19/16 1:51:00 AM,C,18.5
10/19/16 6:06:00 AM,C,18
10/19/16 10:21:00 AM,C,21.5
10/19/16 2:36:00 PM,C,27
10/19/16 6:51:00 PM,C,21.5
10/19/16 11:06:00 PM,C,19.5
10/20/16 3:21:00 AM,C,19
10/20/16 7:36:00 AM,C,18
10/20/16 11:51:00 AM,C,22
10/20/16 4:06:00 PM,C,23.5
10/20/16 8:21:00 PM,C,20.5
10/21/16 12:36:00 AM,C,19
10/21/16 4:51:00 AM,C,19
10/21/16 9:06:00 AM,C,20
