1-Wire/iButton Part Number: DS1921G-F5
1-Wire/iButton Registration Number: 980000003807AE21
Is Mission Active?  false
Mission Start:  Mon Oct 17 12:17:00 EDT 2016
Sample Rate:  Every 255 minute(s)
Number of Mission Samples:  718
Total Samples:  10386
Roll Over Enabled?  false
Roll Over Occurred?  Roll over has NOT occurred
Active Alarms:  None fired
Next Clock Alarm At:  Disabled
High Temperature Alarm:  85 �C
Low Temperature Alarm:  -40 �C

Date/Time,Unit,Value
10/17/16 12:17:00 PM,C,26.5
10/17/16 4:32:00 PM,C,20.5
10/17/16 8:47:00 PM,C,19
10/18/16 1:02:00 AM,C,18
10/18/16 5:17:00 AM,C,17.5
10/18/16 9:32:00 AM,C,18.5
10/18/16 1:47:00 PM,C,21.5
10/18/16 6:02:00 PM,C,20.5
10/18/16 10:17:00 PM,C,19
10/19/16 2:32:00 AM,C,18.5
10/19/16 6:47:00 AM,C,18.5
10/19/16 11:02:00 AM,C,20.5
10/19/16 3:17:00 PM,C,21.5
10/19/16 7:32:00 PM,C,20
10/19/16 11:47:00 PM,C,19
10/20/16 4:02:00 AM,C,18.5
10/20/16 8:17:00 AM,C,18
10/20/16 12:32:00 PM,C,21
10/20/16 4:47:00 PM,C,21
10/20/16 9:02:00 PM,C,19
10/21/16 1:17:00 AM,C,18.5
10/21/16 5:32:00 AM,C,18.5
10/21/16 9:47:00 AM,C,19
10/21/16 2:02:00 PM,C,22
10/21/16 6:17:00 PM,C,20.5
10/21/16 10:32:00 PM,C,19.5
10/22/16 2:47:00 AM,C,17
10/22/16 7:02:00 AM,C,16
10/22/16 11:17:00 AM,C,17.5
10/22/16 3:32:00 PM,C,17.5
10/22/16 7:47:00 PM,C,16
10/23/16 12:02:00 AM,C,14.5
10/23/16 4:17:00 AM,C,13.5
10/23/16 8:32:00 AM,C,13
10/23/16 12:47:00 PM,C,16.5
10/23/16 5:02:00 PM,C,16.5
10/23/16 9:17:00 PM,C,14.5
10/24/16 1:32:00 AM,C,14
10/24/16 5:47:00 AM,C,14
10/24/16 10:02:00 AM,C,16
10/24/16 2:17:00 PM,C,18
10/24/16 6:32:00 PM,C,17
10/24/16 10:47:00 PM,C,15.5
10/25/16 3:02:00 AM,C,15
10/25/16 7:17:00 AM,C,15
10/25/16 11:32:00 AM,C,16.5
10/25/16 3:47:00 PM,C,16.5
10/25/16 8:02:00 PM,C,14.5
10/26/16 12:17:00 AM,C,13
10/26/16 4:32:00 AM,C,12
10/26/16 8:47:00 AM,C,12
10/26/16 1:02:00 PM,C,16.5
10/26/16 5:17:00 PM,C,16.5
10/26/16 9:32:00 PM,C,14.5
10/27/16 1:47:00 AM,C,13.5
10/27/16 6:02:00 AM,C,13.5
10/27/16 10:17:00 AM,C,15.5
10/27/16 2:32:00 PM,C,18
10/27/16 6:47:00 PM,C,17
10/27/16 11:02:00 PM,C,17
10/28/16 3:17:00 AM,C,16.5
10/28/16 7:32:00 AM,C,16.5
10/28/16 11:47:00 AM,C,18.5
10/28/16 4:02:00 PM,C,19
10/28/16 8:17:00 PM,C,17.5
10/29/16 12:32:00 AM,C,15.5
10/29/16 4:47:00 AM,C,14.5
10/29/16 9:02:00 AM,C,14
10/29/16 1:17:00 PM,C,17.5
10/29/16 5:32:00 PM,C,17
10/29/16 9:47:00 PM,C,15.5
10/30/16 2:02:00 AM,C,15
10/30/16 6:17:00 AM,C,15
10/30/16 10:32:00 AM,C,17
10/30/16 2:47:00 PM,C,19
10/30/16 7:02:00 PM,C,18
10/30/16 11:17:00 PM,C,17
10/31/16 3:32:00 AM,C,16.5
10/31/16 7:47:00 AM,C,16
10/31/16 12:02:00 PM,C,18.5
10/31/16 4:17:00 PM,C,19
10/31/16 8:32:00 PM,C,17.5
11/1/16 12:47:00 AM,C,15
11/1/16 5:02:00 AM,C,14.5
11/1/16 9:17:00 AM,C,15
11/1/16 1:32:00 PM,C,18.5
11/1/16 5:47:00 PM,C,17.5
11/1/16 10:02:00 PM,C,16
11/2/16 2:17:00 AM,C,16
11/2/16 6:32:00 AM,C,15.5
11/2/16 10:47:00 AM,C,17.5
11/2/16 3:02:00 PM,C,19
11/2/16 7:17:00 PM,C,17.5
11/2/16 11:32:00 PM,C,16.5
11/3/16 3:47:00 AM,C,16
11/3/16 8:02:00 AM,C,15.5
11/3/16 12:17:00 PM,C,18.5
11/3/16 4:32:00 PM,C,19.5
11/3/16 8:47:00 PM,C,17.5
11/4/16 1:02:00 AM,C,17
11/4/16 5:17:00 AM,C,17.5
11/4/16 9:32:00 AM,C,16.5
11/4/16 1:47:00 PM,C,18
11/4/16 6:02:00 PM,C,17
11/4/16 10:17:00 PM,C,15
11/5/16 2:32:00 AM,C,14
11/5/16 6:47:00 AM,C,13.5
11/5/16 11:02:00 AM,C,16
11/5/16 3:17:00 PM,C,16.5
11/5/16 7:32:00 PM,C,14
11/5/16 11:47:00 PM,C,12.5
11/6/16 3:02:00 AM,C,11.5
11/6/16 7:17:00 AM,C,11
11/6/16 11:32:00 AM,C,14.5
11/6/16 3:47:00 PM,C,15.5
11/6/16 8:02:00 PM,C,13
11/7/16 12:17:00 AM,C,12.5
11/7/16 4:32:00 AM,C,11.5
11/7/16 8:47:00 AM,C,12.5
11/7/16 1:02:00 PM,C,15
11/7/16 5:17:00 PM,C,13.5
11/7/16 9:32:00 PM,C,11.5
11/8/16 1:47:00 AM,C,10.5
11/8/16 6:02:00 AM,C,10
11/8/16 10:17:00 AM,C,13
11/8/16 2:32:00 PM,C,14
11/8/16 6:47:00 PM,C,12.5
11/8/16 11:02:00 PM,C,11.5
11/9/16 3:17:00 AM,C,11.5
11/9/16 7:32:00 AM,C,12
11/9/16 11:47:00 AM,C,15
11/9/16 4:02:00 PM,C,14.5
11/9/16 8:17:00 PM,C,13.5
11/10/16 12:32:00 AM,C,13
11/10/16 4:47:00 AM,C,12
11/10/16 9:02:00 AM,C,12.5
11/10/16 1:17:00 PM,C,13.5
11/10/16 5:32:00 PM,C,12.5
11/10/16 9:47:00 PM,C,11
11/11/16 2:02:00 AM,C,10
11/11/16 6:17:00 AM,C,10
11/11/16 10:32:00 AM,C,13
11/11/16 2:47:00 PM,C,14
11/11/16 7:02:00 PM,C,12
11/11/16 11:17:00 PM,C,11.5
11/12/16 3:32:00 AM,C,12
11/12/16 7:47:00 AM,C,11.5
11/12/16 12:02:00 PM,C,13.5
11/12/16 4:17:00 PM,C,12.5
11/12/16 8:32:00 PM,C,10.5
11/13/16 12:47:00 AM,C,10
11/13/16 5:02:00 AM,C,10
11/13/16 9:17:00 AM,C,11
11/13/16 1:32:00 PM,C,13.5
11/13/16 5:47:00 PM,C,13
11/13/16 10:02:00 PM,C,13
11/14/16 2:17:00 AM,C,13
11/14/16 6:32:00 AM,C,13
11/14/16 10:47:00 AM,C,15
11/14/16 3:02:00 PM,C,16
11/14/16 7:17:00 PM,C,15
11/14/16 11:32:00 PM,C,15
11/15/16 3:47:00 AM,C,14.5
11/15/16 8:02:00 AM,C,14.5
11/15/16 12:17:00 PM,C,15.5
11/15/16 4:32:00 PM,C,14.5
11/15/16 8:47:00 PM,C,12.5
11/16/16 1:02:00 AM,C,11
11/16/16 5:17:00 AM,C,10
11/16/16 9:32:00 AM,C,12
11/16/16 1:47:00 PM,C,14
11/16/16 6:02:00 PM,C,12.5
11/16/16 10:17:00 PM,C,11
11/17/16 2:32:00 AM,C,10.5
11/17/16 6:47:00 AM,C,10
11/17/16 11:02:00 AM,C,13
11/17/16 3:17:00 PM,C,13.5
11/17/16 7:32:00 PM,C,11.5
11/17/16 11:47:00 PM,C,10.5
11/18/16 4:02:00 AM,C,10
11/18/16 8:17:00 AM,C,10
11/18/16 12:32:00 PM,C,13.5
11/18/16 4:47:00 PM,C,13.5
11/18/16 9:02:00 PM,C,12
11/19/16 1:17:00 AM,C,11.5
11/19/16 5:32:00 AM,C,10.5
11/19/16 9:47:00 AM,C,13
11/19/16 2:02:00 PM,C,14.5
11/19/16 6:17:00 PM,C,14
11/19/16 10:32:00 PM,C,12
11/20/16 2:47:00 AM,C,10.5
11/20/16 7:02:00 AM,C,9.5
11/20/16 11:17:00 AM,C,11
11/20/16 3:32:00 PM,C,11
11/20/16 7:47:00 PM,C,9
11/21/16 12:02:00 AM,C,8.5
11/21/16 4:17:00 AM,C,8
11/21/16 8:32:00 AM,C,8
11/21/16 12:47:00 PM,C,10.5
11/21/16 5:02:00 PM,C,10
11/21/16 9:17:00 PM,C,8
11/22/16 1:32:00 AM,C,7
11/22/16 5:47:00 AM,C,7
11/22/16 10:02:00 AM,C,8.5
11/22/16 2:17:00 PM,C,11
11/22/16 6:32:00 PM,C,8.5
11/22/16 10:47:00 PM,C,7
11/23/16 3:02:00 AM,C,6.5
11/23/16 7:17:00 AM,C,6
11/23/16 11:32:00 AM,C,10
11/23/16 3:47:00 PM,C,10.5
11/23/16 8:02:00 PM,C,9
11/24/16 12:17:00 AM,C,9
11/24/16 4:32:00 AM,C,9.5
11/24/16 8:47:00 AM,C,11
11/24/16 1:02:00 PM,C,15
11/24/16 5:17:00 PM,C,13.5
11/24/16 9:32:00 PM,C,12.5
11/25/16 1:47:00 AM,C,12
11/25/16 6:02:00 AM,C,11
11/25/16 10:17:00 AM,C,13
11/25/16 2:32:00 PM,C,15
11/25/16 6:47:00 PM,C,13
11/25/16 11:02:00 PM,C,12.5
11/26/16 3:17:00 AM,C,13.5
11/26/16 7:32:00 AM,C,13
11/26/16 11:47:00 AM,C,13.5
11/26/16 4:02:00 PM,C,13
11/26/16 8:17:00 PM,C,10.5
11/27/16 12:32:00 AM,C,9.5
11/27/16 4:47:00 AM,C,8
11/27/16 9:02:00 AM,C,8.5
11/27/16 1:17:00 PM,C,10.5
11/27/16 5:32:00 PM,C,9.5
11/27/16 9:47:00 PM,C,8
11/28/16 2:02:00 AM,C,7
11/28/16 6:17:00 AM,C,7
11/28/16 10:32:00 AM,C,10
11/28/16 2:47:00 PM,C,12.5
11/28/16 7:02:00 PM,C,10.5
11/28/16 11:17:00 PM,C,11.5
11/29/16 3:32:00 AM,C,12
11/29/16 7:47:00 AM,C,12.5
11/29/16 12:02:00 PM,C,15
11/29/16 4:17:00 PM,C,15.5
11/29/16 8:32:00 PM,C,14.5
11/30/16 12:47:00 AM,C,14
11/30/16 5:02:00 AM,C,14.5
11/30/16 9:17:00 AM,C,15.5
11/30/16 1:32:00 PM,C,17
11/30/16 5:47:00 PM,C,16
11/30/16 10:02:00 PM,C,16
12/1/16 2:17:00 AM,C,16.5
12/1/16 6:32:00 AM,C,16
12/1/16 10:47:00 AM,C,16.5
12/1/16 3:02:00 PM,C,16
12/1/16 7:17:00 PM,C,13.5
12/1/16 11:32:00 PM,C,12
12/2/16 3:47:00 AM,C,10.5
12/2/16 8:02:00 AM,C,10
12/2/16 12:17:00 PM,C,13
12/2/16 4:32:00 PM,C,12
12/2/16 8:47:00 PM,C,10
12/3/16 1:02:00 AM,C,9
12/3/16 5:17:00 AM,C,8.5
12/3/16 9:32:00 AM,C,9.5
12/3/16 1:47:00 PM,C,11
12/3/16 6:02:00 PM,C,10.5
12/3/16 10:17:00 PM,C,9.5
12/4/16 2:32:00 AM,C,10
12/4/16 6:47:00 AM,C,10
12/4/16 11:02:00 AM,C,11.5
12/4/16 3:17:00 PM,C,12
12/4/16 7:32:00 PM,C,11
12/4/16 11:47:00 PM,C,11
12/5/16 4:02:00 AM,C,11.5
12/5/16 8:17:00 AM,C,13
12/5/16 12:32:00 PM,C,13.5
12/5/16 4:47:00 PM,C,13
12/5/16 9:02:00 PM,C,12
12/6/16 1:17:00 AM,C,12
12/6/16 5:32:00 AM,C,12
12/6/16 9:47:00 AM,C,12.5
12/6/16 2:02:00 PM,C,14.5
12/6/16 6:17:00 PM,C,14.5
12/6/16 10:32:00 PM,C,13
12/7/16 2:47:00 AM,C,12
12/7/16 7:02:00 AM,C,11.5
12/7/16 11:17:00 AM,C,12
12/7/16 3:32:00 PM,C,12.5
12/7/16 7:47:00 PM,C,11
12/8/16 12:02:00 AM,C,10
12/8/16 4:17:00 AM,C,11
12/8/16 8:32:00 AM,C,11.5
12/8/16 12:47:00 PM,C,13.5
12/8/16 5:02:00 PM,C,11.5
12/8/16 9:17:00 PM,C,10.5
12/9/16 1:32:00 AM,C,9
12/9/16 5:47:00 AM,C,8
12/9/16 10:02:00 AM,C,8.5
12/9/16 2:17:00 PM,C,9
12/9/16 6:32:00 PM,C,7.5
12/9/16 10:47:00 PM,C,6.5
12/10/16 3:02:00 AM,C,5.5
12/10/16 7:17:00 AM,C,5
12/10/16 11:32:00 AM,C,7.5
12/10/16 3:47:00 PM,C,8
12/10/16 8:02:00 PM,C,6
12/11/16 12:17:00 AM,C,5
12/11/16 4:32:00 AM,C,4.5
12/11/16 8:47:00 AM,C,5
12/11/16 1:02:00 PM,C,9
12/11/16 5:17:00 PM,C,9
12/11/16 9:32:00 PM,C,8.5
12/12/16 1:47:00 AM,C,10
12/12/16 6:02:00 AM,C,10.5
12/12/16 10:17:00 AM,C,13
12/12/16 2:32:00 PM,C,14
12/12/16 6:47:00 PM,C,12.5
12/12/16 11:02:00 PM,C,11.5
12/13/16 3:17:00 AM,C,10.5
12/13/16 7:32:00 AM,C,10.5
12/13/16 11:47:00 AM,C,11.5
12/13/16 4:02:00 PM,C,12
12/13/16 8:17:00 PM,C,11.5
12/14/16 12:32:00 AM,C,11.5
12/14/16 4:47:00 AM,C,11.5
12/14/16 9:02:00 AM,C,11.5
12/14/16 1:17:00 PM,C,12.5
12/14/16 5:32:00 PM,C,11.5
12/14/16 9:47:00 PM,C,10.5
12/15/16 2:02:00 AM,C,9
12/15/16 6:17:00 AM,C,8
