1-Wire/iButton Part Number: DS1921G-F5
1-Wire/iButton Registration Number: 980000003807AE21
Is Mission Active?  false
Mission Start:  Tue May 30 13:18:00 EDT 2017
Sample Rate:  Every 255 minute(s)
Number of Mission Samples:  1028
Total Samples:  11968
Roll Over Enabled?  false
Roll Over Occurred?  Roll over has NOT occurred
Active Alarms:  None fired
Next Clock Alarm At:  Disabled
High Temperature Alarm:  85 �C
Low Temperature Alarm:  -40 �C

Date/Time,Unit,Value
5/30/17 1:18:00 PM,C,37
5/30/17 5:33:00 PM,C,25.5
5/30/17 9:48:00 PM,C,23
5/31/17 2:03:00 AM,C,22
5/31/17 6:18:00 AM,C,21.5
5/31/17 10:33:00 AM,C,23
5/31/17 2:48:00 PM,C,26.5
5/31/17 7:03:00 PM,C,23.5
5/31/17 11:18:00 PM,C,22
6/1/17 3:33:00 AM,C,22
6/1/17 7:48:00 AM,C,22
6/1/17 12:03:00 PM,C,25
6/1/17 4:18:00 PM,C,25
6/1/17 8:33:00 PM,C,22.5
6/2/17 12:48:00 AM,C,21.5
6/2/17 5:03:00 AM,C,20.5
6/2/17 9:18:00 AM,C,22
6/2/17 1:33:00 PM,C,28
6/2/17 5:48:00 PM,C,25
6/2/17 10:03:00 PM,C,22
6/3/17 2:18:00 AM,C,20.5
6/3/17 6:33:00 AM,C,19.5
6/3/17 10:48:00 AM,C,24
6/3/17 3:03:00 PM,C,31.5
6/3/17 7:18:00 PM,C,24
6/3/17 11:33:00 PM,C,22
6/4/17 3:48:00 AM,C,21
6/4/17 8:03:00 AM,C,21
6/4/17 12:18:00 PM,C,25
6/4/17 4:33:00 PM,C,27
6/4/17 8:48:00 PM,C,23.5
6/5/17 1:03:00 AM,C,22.5
6/5/17 5:18:00 AM,C,22
6/5/17 9:33:00 AM,C,24
6/5/17 1:48:00 PM,C,24.5
6/5/17 6:03:00 PM,C,25
6/5/17 10:18:00 PM,C,23.5
6/6/17 2:33:00 AM,C,22.5
6/6/17 6:48:00 AM,C,22
6/6/17 11:03:00 AM,C,24.5
6/6/17 3:18:00 PM,C,28
6/6/17 7:33:00 PM,C,24
6/6/17 11:48:00 PM,C,22.5
6/7/17 4:03:00 AM,C,22
6/7/17 8:18:00 AM,C,21.5
6/7/17 12:33:00 PM,C,22
6/7/17 4:48:00 PM,C,22
6/7/17 9:03:00 PM,C,20.5
6/8/17 1:18:00 AM,C,19.5
6/8/17 5:33:00 AM,C,18.5
6/8/17 9:48:00 AM,C,19
6/8/17 2:03:00 PM,C,20
6/8/17 6:18:00 PM,C,20.5
6/8/17 10:33:00 PM,C,19.5
6/9/17 2:48:00 AM,C,17.5
6/9/17 7:03:00 AM,C,17
