1-Wire/iButton Part Number: DS1921G-F5
1-Wire/iButton Registration Number: D700000037FC3821
Is Mission Active?  false
Mission Start:  Mon Oct 17 12:27:00 EDT 2016
Sample Rate:  Every 255 minute(s)
Number of Mission Samples:  718
Total Samples:  10389
Roll Over Enabled?  false
Roll Over Occurred?  Roll over has NOT occurred
Active Alarms:  None fired
Next Clock Alarm At:  Disabled
High Temperature Alarm:  85 �C
Low Temperature Alarm:  -40 �C

Date/Time,Unit,Value
10/17/16 12:27:00 PM,C,32
10/17/16 4:42:00 PM,C,22.5
10/17/16 8:57:00 PM,C,19.5
10/18/16 1:12:00 AM,C,19
10/18/16 5:27:00 AM,C,18.5
10/18/16 9:42:00 AM,C,19
10/18/16 1:57:00 PM,C,23
10/18/16 6:12:00 PM,C,21.5
10/18/16 10:27:00 PM,C,20
10/19/16 2:42:00 AM,C,19.5
10/19/16 6:57:00 AM,C,19
10/19/16 11:12:00 AM,C,20.5
10/19/16 3:27:00 PM,C,23.5
10/19/16 7:42:00 PM,C,21
10/19/16 11:57:00 PM,C,19.5
10/20/16 4:12:00 AM,C,19
10/20/16 8:27:00 AM,C,19
10/20/16 12:42:00 PM,C,22
10/20/16 4:57:00 PM,C,23
10/20/16 9:12:00 PM,C,20
10/21/16 1:27:00 AM,C,19.5
10/21/16 5:42:00 AM,C,19.5
10/21/16 9:57:00 AM,C,20
10/21/16 2:12:00 PM,C,23
10/21/16 6:27:00 PM,C,21.5
10/21/16 10:42:00 PM,C,20.5
10/22/16 2:57:00 AM,C,18
10/22/16 7:12:00 AM,C,17
10/22/16 11:27:00 AM,C,18
10/22/16 3:42:00 PM,C,20.5
10/22/16 7:57:00 PM,C,17
10/23/16 12:12:00 AM,C,16
10/23/16 4:27:00 AM,C,14.5
10/23/16 8:42:00 AM,C,14.5
10/23/16 12:57:00 PM,C,18
10/23/16 5:12:00 PM,C,18.5
10/23/16 9:27:00 PM,C,16
10/24/16 1:42:00 AM,C,15.5
10/24/16 5:57:00 AM,C,15
10/24/16 10:12:00 AM,C,16.5
10/24/16 2:27:00 PM,C,20
