"Plot Title: 10760187"
"#","Date Time, GMT-05:00","Water Content, m³/m³ (LGR S/N: 10760187, SEN S/N: 10769194)","Water Content, m³/m³ (LGR S/N: 10760187, SEN S/N: 10769196)"
1,02/21/17 10:29:34 AM,0.4019,0.4259
2,02/21/17 10:59:34 AM,0.4027,0.4179
3,02/21/17 11:29:34 AM,0.4019,0.4179
4,02/21/17 11:59:34 AM,0.4019,0.4179
5,02/21/17 12:29:34 PM,0.4012,0.4179
6,02/21/17 12:59:34 PM,0.4012,0.4172
7,02/21/17 01:29:34 PM,0.4005,0.4179
8,02/21/17 01:59:34 PM,0.4012,0.4172
9,02/21/17 02:29:34 PM,0.4005,0.4165
10,02/21/17 02:59:34 PM,0.4005,0.4165
11,02/21/17 03:29:34 PM,0.4005,0.4165
12,02/21/17 03:59:34 PM,0.4005,0.4165
13,02/21/17 04:29:34 PM,0.4005,0.4157
14,02/21/17 04:59:34 PM,0.4005,0.4157
15,02/21/17 05:29:34 PM,0.3998,0.4157
16,02/21/17 05:59:34 PM,0.3998,0.4157
17,02/21/17 06:29:34 PM,0.4005,0.4165
18,02/21/17 06:59:34 PM,0.4005,0.4157
19,02/21/17 07:29:34 PM,0.4005,0.4157
20,02/21/17 07:59:34 PM,0.4005,0.4157
21,02/21/17 08:29:34 PM,0.4005,0.4157
22,02/21/17 08:59:34 PM,0.4005,0.4157
23,02/21/17 09:29:34 PM,0.4005,0.4157
24,02/21/17 09:59:34 PM,0.4005,0.4157
25,02/21/17 10:29:34 PM,0.4005,0.4165
26,02/21/17 10:59:34 PM,0.4005,0.4157
27,02/21/17 11:29:34 PM,0.4005,0.4157
28,02/21/17 11:59:34 PM,0.4005,0.4157
29,02/22/17 12:29:34 AM,0.4005,0.4165
30,02/22/17 12:59:34 AM,0.4005,0.4165
31,02/22/17 01:29:34 AM,0.4005,0.4165
32,02/22/17 01:59:34 AM,0.4012,0.4157
33,02/22/17 02:29:34 AM,0.4005,0.4165
34,02/22/17 02:59:34 AM,0.4012,0.4165
35,02/22/17 03:29:34 AM,0.4012,0.4165
36,02/22/17 03:59:34 AM,0.4012,0.4165
37,02/22/17 04:29:34 AM,0.4012,0.4165
