"Plot Title: 10771271"
"#","Date Time, GMT-04:00","Water Content, m³/m³ (LGR S/N: 10771271, SEN S/N: 10775624)","Water Content, m³/m³ (LGR S/N: 10771271, SEN S/N: 10775629)"
1,10/17/16 02:35:35 PM,0.2777,0.3279
2,10/17/16 03:05:35 PM,0.2763,0.3271
3,10/17/16 03:35:35 PM,0.2763,0.3264
4,10/17/16 04:05:35 PM,0.2763,0.3257
5,10/17/16 04:35:35 PM,0.2763,0.3264
6,10/17/16 05:05:35 PM,0.2756,0.3264
7,10/17/16 05:35:35 PM,0.2756,0.3257
8,10/17/16 06:05:35 PM,0.2763,0.3264
9,10/17/16 06:35:35 PM,0.2756,0.3257
10,10/17/16 07:05:35 PM,0.2748,0.3257
11,10/17/16 07:35:35 PM,0.2756,0.3264
12,10/17/16 08:05:35 PM,0.2748,0.3264
13,10/17/16 08:35:35 PM,0.2748,0.3257
14,10/17/16 09:05:35 PM,0.2756,0.3257
15,10/17/16 09:35:35 PM,0.2748,0.3257
16,10/17/16 10:05:35 PM,0.2756,0.3257
17,10/17/16 10:35:35 PM,0.2748,0.3257
18,10/17/16 11:05:35 PM,0.2748,0.3257
19,10/17/16 11:35:35 PM,0.2756,0.3264
20,10/18/16 12:05:35 AM,0.2748,0.3257
21,10/18/16 12:35:35 AM,0.2741,0.3264
22,10/18/16 01:05:35 AM,0.2748,0.3264
23,10/18/16 01:35:35 AM,0.2748,0.3264
24,10/18/16 02:05:35 AM,0.2741,0.3264
25,10/18/16 02:35:35 AM,0.2748,0.3264
26,10/18/16 03:05:35 AM,0.2741,0.3264
27,10/18/16 03:35:35 AM,0.2748,0.3264
28,10/18/16 04:05:35 AM,0.2741,0.3264
29,10/18/16 04:35:35 AM,0.2741,0.3264
30,10/18/16 05:05:35 AM,0.2741,0.3264
31,10/18/16 05:35:35 AM,0.2741,0.3264
32,10/18/16 06:05:35 AM,0.2741,0.3264
33,10/18/16 06:35:35 AM,0.2741,0.3264
34,10/18/16 07:05:35 AM,0.2741,0.3264
35,10/18/16 07:35:35 AM,0.2741,0.3264
36,10/18/16 08:05:35 AM,0.2734,0.3264
37,10/18/16 08:35:35 AM,0.2734,0.3264
38,10/18/16 09:05:35 AM,0.2734,0.3264
39,10/18/16 09:35:35 AM,0.2741,0.3264
40,10/18/16 10:05:35 AM,0.2741,0.3271
41,10/18/16 10:35:35 AM,0.2741,0.3264
42,10/18/16 11:05:35 AM,0.2734,0.3264
43,10/18/16 11:35:35 AM,0.2734,0.3257
44,10/18/16 12:05:35 PM,0.2734,0.3257
45,10/18/16 12:35:35 PM,0.2734,0.3257
46,10/18/16 01:05:35 PM,0.2734,0.3257
47,10/18/16 01:35:35 PM,0.2734,0.3250
48,10/18/16 02:05:35 PM,0.2734,0.3250
49,10/18/16 02:35:35 PM,0.2727,0.3250
50,10/18/16 03:05:35 PM,0.2727,0.3242
51,10/18/16 03:35:35 PM,0.2727,0.3242
52,10/18/16 04:05:35 PM,0.2727,0.3242
53,10/18/16 04:35:35 PM,0.2719,0.3242
54,10/18/16 05:05:35 PM,0.2719,0.3242
55,10/18/16 05:35:35 PM,0.2712,0.3242
56,10/18/16 06:05:35 PM,0.2712,0.3242
57,10/18/16 06:35:35 PM,0.2712,0.3235
58,10/18/16 07:05:35 PM,0.2712,0.3235
59,10/18/16 07:35:35 PM,0.2712,0.3242
60,10/18/16 08:05:35 PM,0.2712,0.3242
61,10/18/16 08:35:35 PM,0.2712,0.3235
62,10/18/16 09:05:35 PM,0.2712,0.3242
63,10/18/16 09:35:35 PM,0.2712,0.3242
64,10/18/16 10:05:35 PM,0.2712,0.3235
65,10/18/16 10:35:35 PM,0.2705,0.3242
66,10/18/16 11:05:35 PM,0.2705,0.3242
67,10/18/16 11:35:35 PM,0.2705,0.3242
68,10/19/16 12:05:35 AM,0.2705,0.3242
69,10/19/16 12:35:35 AM,0.2705,0.3242
70,10/19/16 01:05:35 AM,0.2705,0.3235
71,10/19/16 01:35:35 AM,0.2705,0.3242
72,10/19/16 02:05:35 AM,0.2698,0.3242
73,10/19/16 02:35:35 AM,0.2705,0.3242
74,10/19/16 03:05:35 AM,0.2705,0.3242
75,10/19/16 03:35:35 AM,0.2705,0.3242
76,10/19/16 04:05:35 AM,0.2705,0.3242
77,10/19/16 04:35:35 AM,0.2698,0.3242
78,10/19/16 05:05:35 AM,0.2698,0.3242
79,10/19/16 05:35:35 AM,0.2705,0.3235
80,10/19/16 06:05:35 AM,0.2698,0.3235
81,10/19/16 06:35:35 AM,0.2698,0.3242
82,10/19/16 07:05:35 AM,0.2698,0.3242
83,10/19/16 07:35:35 AM,0.2698,0.3242
84,10/19/16 08:05:35 AM,0.2698,0.3242
85,10/19/16 08:35:35 AM,0.2698,0.3242
86,10/19/16 09:05:35 AM,0.2690,0.3242
87,10/19/16 09:35:35 AM,0.2698,0.3242
88,10/19/16 10:05:35 AM,0.2698,0.3242
89,10/19/16 10:35:35 AM,0.2690,0.3242
90,10/19/16 11:05:35 AM,0.2690,0.3242
91,10/19/16 11:35:35 AM,0.2690,0.3235
92,10/19/16 12:05:35 PM,0.2690,0.3235
93,10/19/16 12:35:35 PM,0.2690,0.3228
94,10/19/16 01:05:35 PM,0.2690,0.3228
95,10/19/16 01:35:35 PM,0.2683,0.3228
96,10/19/16 02:05:35 PM,0.2683,0.3228
97,10/19/16 02:35:35 PM,0.2683,0.3228
98,10/19/16 03:05:35 PM,0.2676,0.3220
99,10/19/16 03:35:35 PM,0.2683,0.3220
100,10/19/16 04:05:35 PM,0.2676,0.3220
101,10/19/16 04:35:35 PM,0.2676,0.3220
102,10/19/16 05:05:35 PM,0.2676,0.3220
103,10/19/16 05:35:35 PM,0.2676,0.3213
104,10/19/16 06:05:35 PM,0.2676,0.3220
105,10/19/16 06:35:35 PM,0.2676,0.3220
106,10/19/16 07:05:35 PM,0.2668,0.3220
107,10/19/16 07:35:35 PM,0.2668,0.3220
108,10/19/16 08:05:35 PM,0.2668,0.3213
109,10/19/16 08:35:35 PM,0.2668,0.3220
110,10/19/16 09:05:35 PM,0.2668,0.3220
111,10/19/16 09:35:35 PM,0.2668,0.3220
112,10/19/16 10:05:35 PM,0.2668,0.3213
113,10/19/16 10:35:35 PM,0.2661,0.3220
114,10/19/16 11:05:35 PM,0.2661,0.3220
115,10/19/16 11:35:35 PM,0.2661,0.3220
116,10/20/16 12:05:35 AM,0.2661,0.3220
117,10/20/16 12:35:35 AM,0.2661,0.3213
118,10/20/16 01:05:35 AM,0.2661,0.3220
119,10/20/16 01:35:35 AM,0.2654,0.3220
120,10/20/16 02:05:35 AM,0.2654,0.3220
121,10/20/16 02:35:35 AM,0.2654,0.3220
122,10/20/16 03:05:35 AM,0.2654,0.3220
123,10/20/16 03:35:35 AM,0.2654,0.3220
124,10/20/16 04:05:35 AM,0.2654,0.3220
125,10/20/16 04:35:35 AM,0.2654,0.3213
126,10/20/16 05:05:35 AM,0.2654,0.3220
127,10/20/16 05:35:35 AM,0.2654,0.3213
128,10/20/16 06:05:35 AM,0.2654,0.3228
129,10/20/16 06:35:35 AM,0.2647,0.3220
130,10/20/16 07:05:35 AM,0.2647,0.3220
131,10/20/16 07:35:35 AM,0.2647,0.3220
132,10/20/16 08:05:35 AM,0.2654,0.3220
133,10/20/16 08:35:35 AM,0.2654,0.3220
134,10/20/16 09:05:35 AM,0.2647,0.3220
135,10/20/16 09:35:35 AM,0.2647,0.3220
136,10/20/16 10:05:35 AM,0.2647,0.3220
137,10/20/16 10:35:35 AM,0.2647,0.3220
138,10/20/16 11:05:35 AM,0.2647,0.3220
139,10/20/16 11:35:35 AM,0.2647,0.3220
140,10/20/16 12:05:35 PM,0.2647,0.3213
141,10/20/16 12:35:35 PM,0.2647,0.3220
142,10/20/16 01:05:35 PM,0.2647,0.3213
143,10/20/16 01:35:35 PM,0.2639,0.3213
144,10/20/16 02:05:35 PM,0.2639,0.3213
145,10/20/16 02:35:35 PM,0.2639,0.3206
146,10/20/16 03:05:35 PM,0.2639,0.3206
147,10/20/16 03:35:35 PM,0.2639,0.3206
148,10/20/16 04:05:35 PM,0.2639,0.3199
149,10/20/16 04:35:35 PM,0.2632,0.3199
150,10/20/16 05:05:35 PM,0.2632,0.3199
151,10/20/16 05:35:35 PM,0.2632,0.3206
152,10/20/16 06:05:35 PM,0.2632,0.3199
153,10/20/16 06:35:35 PM,0.2632,0.3199
154,10/20/16 07:05:35 PM,0.2632,0.3199
155,10/20/16 07:35:35 PM,0.2625,0.3199
156,10/20/16 08:05:35 PM,0.2632,0.3199
157,10/20/16 08:35:35 PM,0.2625,0.3191
158,10/20/16 09:05:35 PM,0.2625,0.3199
159,10/20/16 09:35:35 PM,0.2625,0.3199
160,10/20/16 10:05:35 PM,0.2618,0.3191
161,10/20/16 10:35:35 PM,0.2618,0.3191
162,10/20/16 11:05:35 PM,0.2618,0.3199
163,10/20/16 11:35:35 PM,0.2618,0.3199
164,10/21/16 12:05:35 AM,0.2618,0.3199
165,10/21/16 12:35:35 AM,0.2618,0.3199
166,10/21/16 01:05:35 AM,0.2618,0.3199
167,10/21/16 01:35:35 AM,0.2618,0.3199
168,10/21/16 02:05:35 AM,0.2618,0.3199
169,10/21/16 02:35:35 AM,0.2618,0.3199
170,10/21/16 03:05:35 AM,0.2610,0.3199
171,10/21/16 03:35:35 AM,0.2610,0.3199
172,10/21/16 04:05:35 AM,0.2618,0.3199
173,10/21/16 04:35:35 AM,0.2618,0.3206
174,10/21/16 05:05:35 AM,0.2618,0.3206
175,10/21/16 05:35:35 AM,0.2618,0.3199
176,10/21/16 06:05:35 AM,0.2618,0.3206
177,10/21/16 06:35:35 AM,0.2610,0.3199
178,10/21/16 07:05:35 AM,0.2618,0.3199
179,10/21/16 07:35:35 AM,0.2618,0.3199
180,10/21/16 08:05:35 AM,0.2610,0.3199
181,10/21/16 08:35:35 AM,0.2618,0.3206
182,10/21/16 09:05:35 AM,0.2618,0.3199
183,10/21/16 09:35:35 AM,0.2618,0.3206
184,10/21/16 10:05:35 AM,0.2618,0.3206
185,10/21/16 10:35:35 AM,0.2618,0.3206
186,10/21/16 11:05:35 AM,0.2610,0.3199
187,10/21/16 11:35:35 AM,0.2610,0.3199
188,10/21/16 12:05:35 PM,0.2610,0.3191
189,10/21/16 12:35:35 PM,0.2610,0.3191
190,10/21/16 01:05:35 PM,0.2610,0.3191
191,10/21/16 01:35:35 PM,0.2610,0.3191
192,10/21/16 02:05:35 PM,0.2610,0.3191
193,10/21/16 02:35:35 PM,0.2603,0.3184
194,10/21/16 03:05:35 PM,0.2603,0.3184
195,10/21/16 03:35:35 PM,0.2603,0.3184
196,10/21/16 04:05:35 PM,0.2596,0.3184
197,10/21/16 04:35:35 PM,0.2596,0.3184
198,10/21/16 05:05:35 PM,0.2596,0.3184
199,10/21/16 05:35:35 PM,0.2596,0.3177
200,10/21/16 06:05:35 PM,0.2596,0.3177
201,10/21/16 06:35:35 PM,0.2596,0.3177
202,10/21/16 07:05:35 PM,0.2596,0.3184
203,10/21/16 07:35:35 PM,0.2596,0.3184
204,10/21/16 08:05:35 PM,0.2603,0.3184
205,10/21/16 08:35:35 PM,0.2603,0.3184
206,10/21/16 09:05:35 PM,0.2603,0.3184
207,10/21/16 09:35:35 PM,0.2603,0.3184
208,10/21/16 10:05:35 PM,0.2603,0.3184
209,10/21/16 10:35:35 PM,0.2603,0.3184
210,10/21/16 11:05:35 PM,0.2603,0.3184
211,10/21/16 11:35:35 PM,0.2596,0.3184
212,10/22/16 12:05:35 AM,0.2596,0.3184
213,10/22/16 12:35:35 AM,0.2596,0.3184
214,10/22/16 01:05:35 AM,0.2589,0.3184
215,10/22/16 01:35:35 AM,0.2581,0.3184
216,10/22/16 02:05:35 AM,0.2589,0.3184
217,10/22/16 02:35:35 AM,0.2581,0.3184
218,10/22/16 03:05:35 AM,0.2581,0.3184
219,10/22/16 03:35:35 AM,0.2581,0.3184
220,10/22/16 04:05:35 AM,0.2581,0.3184
221,10/22/16 04:35:35 AM,0.2581,0.3184
222,10/22/16 05:05:35 AM,0.2581,0.3184
223,10/22/16 05:35:35 AM,0.2574,0.3184
224,10/22/16 06:05:35 AM,0.2574,0.3184
225,10/22/16 06:35:35 AM,0.2567,0.3184
226,10/22/16 07:05:35 AM,0.2567,0.3184
