1-Wire/iButton Part Number: DS1921G-F5
1-Wire/iButton Registration Number: 6C00000037DFD721
Is Mission Active?  false
Mission Start:  Mon Feb 27 12:18:00 EST 2017
Sample Rate:  Every 255 minute(s)
Number of Mission Samples:  531
Total Samples:  11703
Roll Over Enabled?  false
Roll Over Occurred?  Roll over has NOT occurred
Active Alarms:  None fired
Next Clock Alarm At:  Disabled
High Temperature Alarm:  85 �C
Low Temperature Alarm:  -40 �C

Date/Time,Unit,Value
2/27/17 12:18:00 PM,C,30.5
2/27/17 4:33:00 PM,C,17
2/27/17 8:48:00 PM,C,14
2/28/17 1:03:00 AM,C,13.5
2/28/17 5:18:00 AM,C,13.5
2/28/17 9:33:00 AM,C,14
2/28/17 1:48:00 PM,C,18.5
2/28/17 6:03:00 PM,C,19
2/28/17 10:18:00 PM,C,16.5
3/1/17 2:33:00 AM,C,16
3/1/17 6:48:00 AM,C,16
3/1/17 11:03:00 AM,C,17.5
3/1/17 3:18:00 PM,C,20.5
3/1/17 7:33:00 PM,C,18
3/1/17 11:48:00 PM,C,17
3/2/17 4:03:00 AM,C,16.5
3/2/17 8:18:00 AM,C,16.5
3/2/17 12:33:00 PM,C,15.5
3/2/17 4:48:00 PM,C,16.5
3/2/17 9:03:00 PM,C,13.5
3/3/17 1:18:00 AM,C,12
3/3/17 5:33:00 AM,C,10.5
3/3/17 9:48:00 AM,C,11
3/3/17 2:03:00 PM,C,15
3/3/17 6:18:00 PM,C,14
3/3/17 10:33:00 PM,C,11
3/4/17 2:48:00 AM,C,9.5
3/4/17 7:03:00 AM,C,8
3/4/17 11:18:00 AM,C,9.5
3/4/17 3:33:00 PM,C,15.5
3/4/17 7:48:00 PM,C,11
3/5/17 12:03:00 AM,C,9
3/5/17 4:18:00 AM,C,8
3/5/17 8:33:00 AM,C,8
3/5/17 12:48:00 PM,C,11.5
3/5/17 5:03:00 PM,C,14.5
3/5/17 9:18:00 PM,C,10
3/6/17 1:33:00 AM,C,8.5
3/6/17 5:48:00 AM,C,8
3/6/17 10:03:00 AM,C,9
3/6/17 2:18:00 PM,C,16.5
3/6/17 6:33:00 PM,C,14
3/6/17 10:48:00 PM,C,11
3/7/17 3:03:00 AM,C,10.5
3/7/17 7:18:00 AM,C,10.5
3/7/17 11:33:00 AM,C,13.5
3/7/17 3:48:00 PM,C,18.5
3/7/17 8:03:00 PM,C,15
3/8/17 12:18:00 AM,C,14.5
3/8/17 4:33:00 AM,C,14
3/8/17 8:48:00 AM,C,14.5
3/8/17 1:03:00 PM,C,16.5
3/8/17 5:18:00 PM,C,18.5
3/8/17 9:33:00 PM,C,14
3/9/17 1:48:00 AM,C,11.5
3/9/17 6:03:00 AM,C,10.5
3/9/17 10:18:00 AM,C,11.5
3/9/17 2:33:00 PM,C,18.5
3/9/17 6:48:00 PM,C,15.5
3/9/17 11:03:00 PM,C,12.5
3/10/17 3:18:00 AM,C,12
3/10/17 7:33:00 AM,C,12.5
3/10/17 11:48:00 AM,C,14.5
3/10/17 4:03:00 PM,C,18
3/10/17 8:18:00 PM,C,14.5
3/11/17 12:33:00 AM,C,11.5
3/11/17 4:48:00 AM,C,9.5
3/11/17 9:03:00 AM,C,9.5
3/11/17 1:18:00 PM,C,13.5
3/11/17 5:33:00 PM,C,15
3/11/17 9:48:00 PM,C,12
3/12/17 3:03:00 AM,C,11
3/12/17 7:18:00 AM,C,10.5
3/12/17 11:33:00 AM,C,7.5
3/12/17 3:48:00 PM,C,9
3/12/17 8:03:00 PM,C,9.5
3/13/17 12:18:00 AM,C,7.5
3/13/17 4:33:00 AM,C,7
3/13/17 8:48:00 AM,C,8
3/13/17 1:03:00 PM,C,11
3/13/17 5:18:00 PM,C,11.5
3/13/17 9:33:00 PM,C,11
3/14/17 1:48:00 AM,C,12.5
3/14/17 6:03:00 AM,C,12
3/14/17 10:18:00 AM,C,10.5
3/14/17 2:33:00 PM,C,12
3/14/17 6:48:00 PM,C,13.5
3/14/17 11:03:00 PM,C,11
3/15/17 3:18:00 AM,C,8.5
3/15/17 7:33:00 AM,C,6.5
3/15/17 11:48:00 AM,C,6
3/15/17 4:03:00 PM,C,12.5
3/15/17 8:18:00 PM,C,8.5
3/16/17 12:33:00 AM,C,6.5
3/16/17 4:48:00 AM,C,5.5
3/16/17 9:03:00 AM,C,4.5
3/16/17 1:18:00 PM,C,7
3/16/17 5:33:00 PM,C,12
3/16/17 9:48:00 PM,C,7.5
3/17/17 2:03:00 AM,C,6
3/17/17 6:18:00 AM,C,5
3/17/17 10:33:00 AM,C,5.5
3/17/17 2:48:00 PM,C,14.5
3/17/17 7:03:00 PM,C,12.5
3/17/17 11:18:00 PM,C,9.5
3/18/17 3:33:00 AM,C,10
3/18/17 7:48:00 AM,C,10.5
3/18/17 12:03:00 PM,C,11.5
3/18/17 4:18:00 PM,C,12
3/18/17 8:33:00 PM,C,12
3/19/17 12:48:00 AM,C,11
3/19/17 5:03:00 AM,C,11
3/19/17 9:18:00 AM,C,9
3/19/17 1:33:00 PM,C,11.5
3/19/17 5:48:00 PM,C,12.5
3/19/17 10:03:00 PM,C,9.5
3/20/17 2:18:00 AM,C,8
3/20/17 6:33:00 AM,C,7
3/20/17 10:48:00 AM,C,7.5
3/20/17 3:03:00 PM,C,15
3/20/17 7:18:00 PM,C,14.5
3/20/17 11:33:00 PM,C,11
3/21/17 3:48:00 AM,C,10.5
3/21/17 8:03:00 AM,C,11
3/21/17 12:18:00 PM,C,13.5
3/21/17 4:33:00 PM,C,18.5
3/21/17 8:48:00 PM,C,15.5
3/22/17 1:03:00 AM,C,13.5
3/22/17 5:18:00 AM,C,13.5
3/22/17 9:33:00 AM,C,13
3/22/17 1:48:00 PM,C,16
3/22/17 6:03:00 PM,C,16
3/22/17 10:18:00 PM,C,12
3/23/17 2:33:00 AM,C,10
3/23/17 6:48:00 AM,C,8.5
3/23/17 11:03:00 AM,C,9
3/23/17 3:18:00 PM,C,15.5
3/23/17 7:33:00 PM,C,13.5
3/23/17 11:48:00 PM,C,10
3/24/17 4:03:00 AM,C,9
3/24/17 8:18:00 AM,C,8.5
3/24/17 12:33:00 PM,C,12
3/24/17 4:48:00 PM,C,18.5
3/24/17 9:03:00 PM,C,14.5
3/25/17 1:18:00 AM,C,12.5
3/25/17 5:33:00 AM,C,11.5
3/25/17 9:48:00 AM,C,12
3/25/17 2:03:00 PM,C,18.5
3/25/17 6:18:00 PM,C,18.5
3/25/17 10:33:00 PM,C,14.5
3/26/17 2:48:00 AM,C,13
3/26/17 7:03:00 AM,C,12.5
3/26/17 11:18:00 AM,C,15
3/26/17 3:33:00 PM,C,21
3/26/17 7:48:00 PM,C,18
3/27/17 12:03:00 AM,C,15
3/27/17 4:18:00 AM,C,13.5
3/27/17 8:33:00 AM,C,13
3/27/17 12:48:00 PM,C,16.5
3/27/17 5:03:00 PM,C,20.5
3/27/17 9:18:00 PM,C,17
3/28/17 1:33:00 AM,C,15
3/28/17 5:48:00 AM,C,15.5
3/28/17 10:03:00 AM,C,15.5
3/28/17 2:18:00 PM,C,18.5
3/28/17 6:33:00 PM,C,19
3/28/17 10:48:00 PM,C,16.5
3/29/17 3:03:00 AM,C,15
3/29/17 7:18:00 AM,C,14.5
3/29/17 11:33:00 AM,C,16
3/29/17 3:48:00 PM,C,20
3/29/17 8:03:00 PM,C,17.5
3/30/17 12:18:00 AM,C,15
3/30/17 4:33:00 AM,C,13.5
3/30/17 8:48:00 AM,C,13
3/30/17 1:03:00 PM,C,17
3/30/17 5:18:00 PM,C,22
3/30/17 9:33:00 PM,C,17
3/31/17 1:48:00 AM,C,16
3/31/17 6:03:00 AM,C,16
3/31/17 10:18:00 AM,C,17
3/31/17 2:33:00 PM,C,18
3/31/17 6:48:00 PM,C,20
3/31/17 11:03:00 PM,C,17.5
4/1/17 3:18:00 AM,C,16
4/1/17 7:33:00 AM,C,14
4/1/17 11:48:00 AM,C,15
4/1/17 4:03:00 PM,C,20.5
4/1/17 8:18:00 PM,C,19
4/2/17 12:33:00 AM,C,15.5
4/2/17 4:48:00 AM,C,14.5
4/2/17 9:03:00 AM,C,14
4/2/17 1:18:00 PM,C,17
4/2/17 5:33:00 PM,C,21.5
4/2/17 9:48:00 PM,C,16
4/3/17 2:03:00 AM,C,14.5
4/3/17 6:18:00 AM,C,14.5
4/3/17 10:33:00 AM,C,15
4/3/17 2:48:00 PM,C,18.5
4/3/17 7:03:00 PM,C,20
4/3/17 11:18:00 PM,C,18
4/4/17 3:33:00 AM,C,17.5
4/4/17 7:48:00 AM,C,17.5
4/4/17 12:03:00 PM,C,18.5
4/4/17 4:18:00 PM,C,23
4/4/17 8:33:00 PM,C,20.5
4/5/17 12:48:00 AM,C,17.5
4/5/17 5:03:00 AM,C,16.5
4/5/17 9:18:00 AM,C,16.5
4/5/17 1:33:00 PM,C,22
4/5/17 5:48:00 PM,C,21
4/5/17 10:03:00 PM,C,19
4/6/17 2:18:00 AM,C,18.5
4/6/17 6:33:00 AM,C,18
4/6/17 10:48:00 AM,C,18
4/6/17 3:03:00 PM,C,23.5
4/6/17 7:18:00 PM,C,20.5
4/6/17 11:33:00 PM,C,16
4/7/17 3:48:00 AM,C,14.5
4/7/17 8:03:00 AM,C,13
4/7/17 12:18:00 PM,C,15
4/7/17 4:33:00 PM,C,17.5
4/7/17 8:48:00 PM,C,15.5
4/8/17 1:03:00 AM,C,13
4/8/17 5:18:00 AM,C,12
4/8/17 9:33:00 AM,C,11.5
4/8/17 1:48:00 PM,C,17.5
4/8/17 6:03:00 PM,C,18
4/8/17 10:18:00 PM,C,14
4/9/17 2:33:00 AM,C,12.5
4/9/17 6:48:00 AM,C,11.5
4/9/17 11:03:00 AM,C,13
4/9/17 3:18:00 PM,C,22.5
4/9/17 7:33:00 PM,C,18.5
4/9/17 11:48:00 PM,C,14.5
4/10/17 4:03:00 AM,C,13.5
4/10/17 8:18:00 AM,C,12.5
4/10/17 12:33:00 PM,C,17
4/10/17 4:48:00 PM,C,22.5
4/10/17 9:03:00 PM,C,18
4/11/17 1:18:00 AM,C,16
4/11/17 5:33:00 AM,C,15
4/11/17 9:48:00 AM,C,15
4/11/17 2:03:00 PM,C,24
4/11/17 6:18:00 PM,C,22
4/11/17 10:33:00 PM,C,17.5
4/12/17 2:48:00 AM,C,16
4/12/17 7:03:00 AM,C,15
4/12/17 11:18:00 AM,C,17.5
4/12/17 3:33:00 PM,C,23.5
4/12/17 7:48:00 PM,C,20.5
4/13/17 12:03:00 AM,C,17.5
4/13/17 4:18:00 AM,C,17
4/13/17 8:33:00 AM,C,16
4/13/17 12:48:00 PM,C,20
4/13/17 5:03:00 PM,C,23.5
4/13/17 9:18:00 PM,C,19
4/14/17 1:33:00 AM,C,16.5
4/14/17 5:48:00 AM,C,15.5
4/14/17 10:03:00 AM,C,16
4/14/17 2:18:00 PM,C,25.5
4/14/17 6:33:00 PM,C,22
4/14/17 10:48:00 PM,C,18.5
4/15/17 3:03:00 AM,C,17
4/15/17 7:18:00 AM,C,16.5
4/15/17 11:33:00 AM,C,19
4/15/17 3:48:00 PM,C,24
4/15/17 8:03:00 PM,C,21.5
4/16/17 12:18:00 AM,C,19
4/16/17 4:33:00 AM,C,18
4/16/17 8:48:00 AM,C,17.5
4/16/17 1:03:00 PM,C,22.5
4/16/17 5:18:00 PM,C,26
4/16/17 9:33:00 PM,C,20
4/17/17 1:48:00 AM,C,19
4/17/17 6:03:00 AM,C,18
4/17/17 10:18:00 AM,C,18.5
4/17/17 2:33:00 PM,C,27.5
4/17/17 6:48:00 PM,C,24
4/17/17 11:03:00 PM,C,20
4/18/17 3:18:00 AM,C,19
4/18/17 7:33:00 AM,C,18.5
4/18/17 11:48:00 AM,C,19.5
4/18/17 4:03:00 PM,C,23.5
4/18/17 8:18:00 PM,C,20.5
4/19/17 12:33:00 AM,C,19
4/19/17 4:48:00 AM,C,18
4/19/17 9:03:00 AM,C,18
4/19/17 1:18:00 PM,C,23.5
4/19/17 5:33:00 PM,C,27
4/19/17 9:48:00 PM,C,20.5
4/20/17 2:03:00 AM,C,19
4/20/17 6:18:00 AM,C,18
4/20/17 10:33:00 AM,C,19.5
4/20/17 2:48:00 PM,C,27
4/20/17 7:03:00 PM,C,24.5
4/20/17 11:18:00 PM,C,20.5
4/21/17 3:33:00 AM,C,19.5
4/21/17 7:48:00 AM,C,18.5
4/21/17 12:03:00 PM,C,21
4/21/17 4:18:00 PM,C,25
4/21/17 8:33:00 PM,C,22.5
4/22/17 12:48:00 AM,C,20.5
4/22/17 5:03:00 AM,C,19.5
4/22/17 9:18:00 AM,C,20
4/22/17 1:33:00 PM,C,27
4/22/17 5:48:00 PM,C,27
4/22/17 10:03:00 PM,C,21.5
4/23/17 2:18:00 AM,C,20.5
4/23/17 6:33:00 AM,C,19.5
4/23/17 10:48:00 AM,C,19.5
4/23/17 3:03:00 PM,C,20.5
4/23/17 7:18:00 PM,C,19.5
4/23/17 11:33:00 PM,C,19
4/24/17 3:48:00 AM,C,18.5
