1-Wire/iButton Part Number: DS1921G-F5
1-Wire/iButton Registration Number: AB00000037E85C21
Is Mission Active?  false
Mission Start:  Mon Oct 17 15:37:00 EDT 2016
Sample Rate:  Every 255 minute(s)
Number of Mission Samples:  751
Total Samples:  11176
Roll Over Enabled?  false
Roll Over Occurred?  Roll over has NOT occurred
Active Alarms:  None fired
Next Clock Alarm At:  Disabled
High Temperature Alarm:  85 �C
Low Temperature Alarm:  -40 �C

Date/Time,Unit,Value
10/17/16 3:37:00 PM,C,29
10/17/16 7:52:00 PM,C,20.5
10/18/16 12:07:00 AM,C,19
10/18/16 4:22:00 AM,C,18
10/18/16 8:37:00 AM,C,18.5
10/18/16 12:52:00 PM,C,26
10/18/16 5:07:00 PM,C,23
10/18/16 9:22:00 PM,C,20.5
10/19/16 1:37:00 AM,C,19.5
10/19/16 5:52:00 AM,C,18.5
10/19/16 10:07:00 AM,C,20.5
10/19/16 2:22:00 PM,C,25.5
10/19/16 6:37:00 PM,C,22.5
10/19/16 10:52:00 PM,C,20.5
10/20/16 3:07:00 AM,C,19.5
10/20/16 7:22:00 AM,C,18.5
10/20/16 11:37:00 AM,C,25.5
10/20/16 3:52:00 PM,C,24.5
10/20/16 8:07:00 PM,C,21
10/21/16 12:22:00 AM,C,19
10/21/16 4:37:00 AM,C,19.5
10/21/16 8:52:00 AM,C,19.5
10/21/16 1:07:00 PM,C,27
10/21/16 5:22:00 PM,C,23
10/21/16 9:37:00 PM,C,21
10/22/16 1:52:00 AM,C,17.5
10/22/16 6:07:00 AM,C,16.5
10/22/16 10:22:00 AM,C,18
10/22/16 2:37:00 PM,C,21
10/22/16 6:52:00 PM,C,18
10/22/16 11:07:00 PM,C,15.5
10/23/16 3:22:00 AM,C,14
10/23/16 7:37:00 AM,C,13
10/23/16 11:52:00 AM,C,21
10/23/16 4:07:00 PM,C,19
10/23/16 8:22:00 PM,C,16
10/24/16 12:37:00 AM,C,15
10/24/16 4:52:00 AM,C,14
10/24/16 9:07:00 AM,C,14.5
10/24/16 1:22:00 PM,C,22.5
10/24/16 5:37:00 PM,C,19.5
10/24/16 9:52:00 PM,C,16.5
10/25/16 2:07:00 AM,C,15.5
10/25/16 6:22:00 AM,C,15
10/25/16 10:37:00 AM,C,17.5
