1-Wire/iButton Part Number: DS1921G-F5
1-Wire/iButton Registration Number: 18000000380ABF21
Is Mission Active?  false
Mission Start:  Mon Oct 17 15:31:00 EDT 2016
Sample Rate:  Every 255 minute(s)
Number of Mission Samples:  751
Total Samples:  11176
Roll Over Enabled?  false
Roll Over Occurred?  Roll over has NOT occurred
Active Alarms:  None fired
Next Clock Alarm At:  Disabled
High Temperature Alarm:  85 �C
Low Temperature Alarm:  -40 �C

Date/Time,Unit,Value
10/17/16 3:31:00 PM,C,27.5
10/17/16 7:46:00 PM,C,19.5
10/18/16 12:01:00 AM,C,18
10/18/16 4:16:00 AM,C,17
10/18/16 8:31:00 AM,C,17.5
10/18/16 12:46:00 PM,C,24.5
10/18/16 5:01:00 PM,C,23.5
10/18/16 9:16:00 PM,C,19
10/19/16 1:31:00 AM,C,18
10/19/16 5:46:00 AM,C,17.5
10/19/16 10:01:00 AM,C,20.5
10/19/16 2:16:00 PM,C,32.5
10/19/16 6:31:00 PM,C,21.5
10/19/16 10:46:00 PM,C,19
10/20/16 3:01:00 AM,C,18
10/20/16 7:16:00 AM,C,17
10/20/16 11:31:00 AM,C,27
10/20/16 3:46:00 PM,C,26.5
10/20/16 8:01:00 PM,C,19.5
10/21/16 12:16:00 AM,C,17.5
10/21/16 4:31:00 AM,C,18.5
10/21/16 8:46:00 AM,C,18.5
10/21/16 1:01:00 PM,C,27
10/21/16 5:16:00 PM,C,23
10/21/16 9:31:00 PM,C,20
10/22/16 1:46:00 AM,C,16
10/22/16 6:01:00 AM,C,14.5
10/22/16 10:16:00 AM,C,16.5
10/22/16 2:31:00 PM,C,24
10/22/16 6:46:00 PM,C,16
10/22/16 11:01:00 PM,C,13
10/23/16 3:16:00 AM,C,11
10/23/16 7:31:00 AM,C,10
10/23/16 11:46:00 AM,C,22
10/23/16 4:01:00 PM,C,21
10/23/16 8:16:00 PM,C,13.5
10/24/16 12:31:00 AM,C,12.5
10/24/16 4:46:00 AM,C,12
10/24/16 9:01:00 AM,C,13
10/24/16 1:16:00 PM,C,26
10/24/16 5:31:00 PM,C,18.5
10/24/16 9:46:00 PM,C,15
10/25/16 2:01:00 AM,C,13.5
10/25/16 6:16:00 AM,C,13
10/25/16 10:31:00 AM,C,17
10/25/16 2:46:00 PM,C,20.5
10/25/16 7:01:00 PM,C,14
10/25/16 11:16:00 PM,C,11
10/26/16 3:31:00 AM,C,10
10/26/16 7:46:00 AM,C,9
10/26/16 12:01:00 PM,C,20.5
10/26/16 4:16:00 PM,C,18.5
10/26/16 8:31:00 PM,C,13
10/27/16 12:46:00 AM,C,12
10/27/16 5:01:00 AM,C,11.5
10/27/16 9:16:00 AM,C,14.5
10/27/16 1:31:00 PM,C,22
10/27/16 5:46:00 PM,C,18
10/27/16 10:01:00 PM,C,16
10/28/16 2:16:00 AM,C,14.5
10/28/16 6:31:00 AM,C,14.5
10/28/16 10:46:00 AM,C,19.5
10/28/16 3:01:00 PM,C,24.5
10/28/16 7:16:00 PM,C,16.5
10/28/16 11:31:00 PM,C,14.5
10/29/16 3:46:00 AM,C,12.5
10/29/16 8:01:00 AM,C,12
10/29/16 12:16:00 PM,C,20
10/29/16 4:31:00 PM,C,20
10/29/16 8:46:00 PM,C,15
10/30/16 1:01:00 AM,C,13.5
10/30/16 5:16:00 AM,C,13
10/30/16 9:31:00 AM,C,16
10/30/16 1:46:00 PM,C,26.5
10/30/16 6:01:00 PM,C,19.5
10/30/16 10:16:00 PM,C,17
10/31/16 2:31:00 AM,C,15.5
10/31/16 6:46:00 AM,C,14.5
10/31/16 11:01:00 AM,C,20
10/31/16 3:16:00 PM,C,22
10/31/16 7:31:00 PM,C,18
10/31/16 11:46:00 PM,C,15
11/1/16 4:01:00 AM,C,13.5
11/1/16 8:16:00 AM,C,14
11/1/16 12:31:00 PM,C,20.5
11/1/16 4:46:00 PM,C,19.5
11/1/16 9:01:00 PM,C,15.5
11/2/16 1:16:00 AM,C,14
11/2/16 5:31:00 AM,C,13.5
11/2/16 9:46:00 AM,C,16.5
11/2/16 2:01:00 PM,C,27.5
11/2/16 6:16:00 PM,C,18.5
11/2/16 10:31:00 PM,C,15.5
11/3/16 2:46:00 AM,C,14.5
11/3/16 7:01:00 AM,C,14
11/3/16 11:16:00 AM,C,20
11/3/16 3:31:00 PM,C,25
11/3/16 7:46:00 PM,C,17.5
11/4/16 12:01:00 AM,C,16.5
11/4/16 4:16:00 AM,C,17
11/4/16 8:31:00 AM,C,17
11/4/16 12:46:00 PM,C,18.5
11/4/16 5:01:00 PM,C,18.5
11/4/16 9:16:00 PM,C,13.5
11/5/16 1:31:00 AM,C,11
11/5/16 5:46:00 AM,C,10
11/5/16 10:01:00 AM,C,13
11/5/16 2:16:00 PM,C,26
11/5/16 6:31:00 PM,C,13.5
11/5/16 10:46:00 PM,C,9.5
11/6/16 2:01:00 AM,C,8
11/6/16 6:16:00 AM,C,7
11/6/16 10:31:00 AM,C,16
11/6/16 2:46:00 PM,C,18.5
11/6/16 7:01:00 PM,C,12
11/6/16 11:16:00 PM,C,10
11/7/16 3:31:00 AM,C,8.5
11/7/16 7:46:00 AM,C,9
11/7/16 12:01:00 PM,C,16.5
11/7/16 4:16:00 PM,C,14
11/7/16 8:31:00 PM,C,9.5
11/8/16 12:46:00 AM,C,7.5
11/8/16 5:01:00 AM,C,6.5
11/8/16 9:16:00 AM,C,10
11/8/16 1:31:00 PM,C,19.5
11/8/16 5:46:00 PM,C,11.5
11/8/16 10:01:00 PM,C,10
11/9/16 2:16:00 AM,C,9.5
11/9/16 6:31:00 AM,C,10
11/9/16 10:46:00 AM,C,15
11/9/16 3:01:00 PM,C,14.5
11/9/16 7:16:00 PM,C,11
