"Plot Title: ;"
"#","Date Time, GMT-04:00","Water Content, m³/m³ (LGR S/N: 20360220, SEN S/N: 20369779)","Water Content, m³/m³ (LGR S/N: 20360220, SEN S/N: 20369780)"
1,06/20/18 03:28:09 PM,0.2959,0.3133
2,06/20/18 03:58:09 PM,0.3337,0.3271
3,06/20/18 04:28:09 PM,0.3402,0.3308
4,06/20/18 04:58:09 PM,0.3409,0.3315
5,06/20/18 05:28:09 PM,0.3409,0.3300
6,06/20/18 05:58:09 PM,0.3409,0.3308
7,06/20/18 06:28:09 PM,0.3402,0.3300
8,06/20/18 06:58:09 PM,0.3402,0.3286
9,06/20/18 07:28:09 PM,0.3395,0.3286
10,06/20/18 07:58:09 PM,0.3388,0.3271
11,06/20/18 08:28:09 PM,0.3373,0.3271
12,06/20/18 08:58:09 PM,0.3358,0.3264
13,06/20/18 09:28:09 PM,0.3351,0.3264
14,06/20/18 09:58:09 PM,0.3337,0.3257
15,06/20/18 10:28:09 PM,0.3329,0.3257
16,06/20/18 10:58:09 PM,0.3315,0.3250
17,06/20/18 11:28:09 PM,0.3264,0.3235
18,06/20/18 11:58:09 PM,0.3300,0.3250
19,06/21/18 12:28:09 AM,0.3438,0.3242
20,06/21/18 12:58:09 AM,0.3460,0.3220
21,06/21/18 01:28:09 AM,0.3438,0.3199
22,06/21/18 01:58:09 AM,0.3402,0.3177
23,06/21/18 02:28:09 AM,0.3351,0.3162
24,06/21/18 02:58:09 AM,0.3329,0.3155
25,06/21/18 03:28:09 AM,0.3322,0.3162
26,06/21/18 03:58:09 AM,0.3322,0.3162
27,06/21/18 04:28:09 AM,0.3322,0.3162
28,06/21/18 04:58:09 AM,0.3329,0.3177
29,06/21/18 05:28:09 AM,0.3329,0.3177
30,06/21/18 05:58:09 AM,0.3337,0.3177
31,06/21/18 06:28:09 AM,0.3337,0.3177
32,06/21/18 06:58:09 AM,0.3337,0.3177
33,06/21/18 07:28:09 AM,0.3337,0.3184
34,06/21/18 07:58:09 AM,0.3337,0.3184
35,06/21/18 08:28:09 AM,0.3337,0.3177
36,06/21/18 08:58:09 AM,0.3344,0.3177
37,06/21/18 09:28:09 AM,0.3337,0.3177
38,06/21/18 09:58:09 AM,0.3344,0.3170
39,06/21/18 10:28:09 AM,0.3337,0.3177
40,06/21/18 10:58:09 AM,0.3337,0.3170
41,06/21/18 11:28:09 AM,0.3337,0.3162
42,06/21/18 11:58:09 AM,0.3337,0.3148
43,06/21/18 12:28:09 PM,0.3329,0.3148
44,06/21/18 12:58:09 PM,0.3329,0.3148
45,06/21/18 01:28:09 PM,0.3322,0.3141
46,06/21/18 01:58:09 PM,0.3322,0.3133
47,06/21/18 02:28:09 PM,0.3315,0.3126
48,06/21/18 02:58:09 PM,0.3286,0.3126
49,06/21/18 03:28:09 PM,0.3271,0.3119
50,06/21/18 03:58:09 PM,0.3264,0.3112
51,06/21/18 04:28:09 PM,0.3184,0.3097
52,06/21/18 04:58:09 PM,0.3162,0.3097
53,06/21/18 05:28:09 PM,0.3162,0.3090
54,06/21/18 05:58:09 PM,0.3148,0.3082
55,06/21/18 06:28:09 PM,0.3148,0.3082
56,06/21/18 06:58:09 PM,0.3141,0.3090
57,06/21/18 07:28:09 PM,0.3141,0.3090
58,06/21/18 07:58:09 PM,0.3133,0.3090
59,06/21/18 08:28:09 PM,0.3133,0.3082
60,06/21/18 08:58:09 PM,0.3133,0.3082
61,06/21/18 09:28:09 PM,0.3126,0.3090
62,06/21/18 09:58:09 PM,0.3126,0.3097
63,06/21/18 10:28:09 PM,0.3126,0.3104
64,06/21/18 10:58:09 PM,0.3126,0.3104
65,06/21/18 11:28:09 PM,0.3126,0.3104
