"Plot Title: 10771268"
"#","Date Time, GMT-05:00","Water Content, m³/m³ (LGR S/N: 10771268, SEN S/N: 10775621)","Water Content, m³/m³ (LGR S/N: 10771268, SEN S/N: 10775627)"
1,03/09/17 01:08:30 PM,0.2378,0.2705
2,03/09/17 01:38:30 PM,0.2363,0.2661
3,03/09/17 02:08:30 PM,0.2363,0.2661
4,03/09/17 02:38:30 PM,0.2363,0.2661
5,03/09/17 03:08:30 PM,0.2363,0.2661
6,03/09/17 03:38:30 PM,0.2363,0.2661
7,03/09/17 04:08:30 PM,0.2363,0.2661
8,03/09/17 04:38:30 PM,0.2356,0.2654
9,03/09/17 05:08:30 PM,0.2356,0.2661
10,03/09/17 05:38:30 PM,0.2356,0.2661
11,03/09/17 06:08:30 PM,0.2356,0.2654
12,03/09/17 06:38:30 PM,0.2356,0.2654
13,03/09/17 07:08:30 PM,0.2356,0.2654
14,03/09/17 07:38:30 PM,0.2356,0.2654
15,03/09/17 08:08:30 PM,0.2356,0.2661
16,03/09/17 08:38:30 PM,0.2356,0.2661
17,03/09/17 09:08:30 PM,0.2356,0.2661
18,03/09/17 09:38:30 PM,0.2356,0.2661
19,03/09/17 10:08:30 PM,0.2356,0.2661
20,03/09/17 10:38:30 PM,0.2356,0.2661
21,03/09/17 11:08:30 PM,0.2356,0.2661
22,03/09/17 11:38:30 PM,0.2349,0.2661
23,03/10/17 12:08:30 AM,0.2356,0.2661
24,03/10/17 12:38:30 AM,0.2356,0.2661
25,03/10/17 01:08:30 AM,0.2356,0.2661
26,03/10/17 01:38:30 AM,0.2349,0.2661
27,03/10/17 02:08:30 AM,0.2356,0.2661
28,03/10/17 02:38:30 AM,0.2356,0.2661
29,03/10/17 03:08:30 AM,0.2356,0.2661
30,03/10/17 03:38:30 AM,0.2356,0.2668
31,03/10/17 04:08:30 AM,0.2349,0.2661
32,03/10/17 04:38:30 AM,0.2349,0.2668
33,03/10/17 05:08:30 AM,0.2349,0.2668
34,03/10/17 05:38:30 AM,0.2356,0.2668
35,03/10/17 06:08:30 AM,0.2349,0.2668
36,03/10/17 06:38:30 AM,0.2349,0.2668
37,03/10/17 07:08:30 AM,0.2349,0.2668
38,03/10/17 07:38:30 AM,0.2392,0.2806
39,03/10/17 08:08:30 AM,0.2414,0.3010
40,03/10/17 08:38:30 AM,0.2407,0.2952
41,03/10/17 09:08:30 AM,0.2407,0.2915
42,03/10/17 09:38:30 AM,0.2407,0.2901
43,03/10/17 10:08:30 AM,0.2407,0.2879
44,03/10/17 10:38:30 AM,0.2407,0.2865
45,03/10/17 11:08:30 AM,0.2400,0.2843
46,03/10/17 11:38:30 AM,0.2400,0.2799
47,03/10/17 12:08:30 PM,0.2392,0.2785
48,03/10/17 12:38:30 PM,0.2392,0.2763
49,03/10/17 01:08:30 PM,0.2392,0.2748
50,03/10/17 01:38:30 PM,0.2385,0.2741
51,03/10/17 02:08:30 PM,0.2378,0.2719
52,03/10/17 02:38:30 PM,0.2378,0.2719
