"Plot Title: 20377495"
"#","Date Time, GMT-04:00","Water Content, m³/m³ (LGR S/N: 20377495, SEN S/N: 20377879)","Water Content, m³/m³ (LGR S/N: 20377495, SEN S/N: 20377882)"
1,05/16/18 12:41:00 PM,0.1964,0.3315
2,05/16/18 01:11:00 PM,0.1920,0.3322
3,05/16/18 01:41:00 PM,0.1913,0.3322
4,05/16/18 02:11:00 PM,0.1913,0.3329
5,05/16/18 02:41:00 PM,0.1913,0.3329
6,05/16/18 03:11:00 PM,0.1920,0.3337
7,05/16/18 03:41:00 PM,0.1920,0.3337
8,05/16/18 04:11:00 PM,0.1920,0.3337
9,05/16/18 04:41:00 PM,0.1920,0.3344
10,05/16/18 05:11:00 PM,0.1920,0.3344
11,05/16/18 05:41:00 PM,0.1913,0.3344
12,05/16/18 06:11:00 PM,0.1920,0.3351
13,05/16/18 06:41:00 PM,0.1913,0.3351
14,05/16/18 07:11:00 PM,0.1913,0.3351
15,05/16/18 07:41:00 PM,0.1913,0.3351
16,05/16/18 08:11:00 PM,0.1913,0.3351
17,05/16/18 08:41:00 PM,0.1920,0.3358
18,05/16/18 09:11:00 PM,0.1920,0.3358
19,05/16/18 09:41:00 PM,0.1913,0.3358
20,05/16/18 10:11:00 PM,0.1920,0.3358
21,05/16/18 10:41:00 PM,0.1913,0.3358
22,05/16/18 11:11:00 PM,0.1913,0.3366
23,05/16/18 11:41:00 PM,0.1913,0.3366
24,05/17/18 12:11:00 AM,0.1913,0.3366
25,05/17/18 12:41:00 AM,0.1913,0.3366
26,05/17/18 01:11:00 AM,0.1913,0.3373
27,05/17/18 01:41:00 AM,0.1913,0.3373
28,05/17/18 02:11:00 AM,0.1913,0.3373
29,05/17/18 02:41:00 AM,0.1913,0.3373
30,05/17/18 03:11:00 AM,0.1913,0.3373
31,05/17/18 03:41:00 AM,0.1913,0.3380
32,05/17/18 04:11:00 AM,0.1920,0.3380
33,05/17/18 04:41:00 AM,0.1920,0.3388
34,05/17/18 05:11:00 AM,0.1920,0.3388
35,05/17/18 05:41:00 AM,0.1920,0.3395
36,05/17/18 06:11:00 AM,0.1920,0.3402
37,05/17/18 06:41:00 AM,0.1920,0.3409
38,05/17/18 07:11:00 AM,0.1928,0.3424
39,05/17/18 07:41:00 AM,0.1928,0.3424
40,05/17/18 08:11:00 AM,0.1928,0.3424
41,05/17/18 08:41:00 AM,0.1928,0.3424
42,05/17/18 09:11:00 AM,0.1928,0.3424
43,05/17/18 09:41:00 AM,0.1928,0.3424
44,05/17/18 10:11:00 AM,0.1928,0.3431
