"Plot Title: 10771268"
"#","Date Time, GMT-04:00","Water Content, m³/m³ (LGR S/N: 10771268, SEN S/N: 10775621)","Water Content, m³/m³ (LGR S/N: 10771268, SEN S/N: 10775627)"
1,06/22/18 06:08:56 PM,0.2305,0.2603
2,06/22/18 06:38:56 PM,0.2291,0.2589
3,06/22/18 07:08:56 PM,0.2291,0.2589
4,06/22/18 07:38:56 PM,0.2284,0.2589
5,06/22/18 08:08:56 PM,0.2284,0.2589
6,06/22/18 08:38:56 PM,0.2276,0.2589
7,06/22/18 09:08:56 PM,0.2284,0.2589
8,06/22/18 09:38:56 PM,0.2284,0.2589
9,06/22/18 10:08:56 PM,0.2284,0.2589
10,06/22/18 10:38:56 PM,0.2276,0.2589
11,06/22/18 11:08:56 PM,0.2276,0.2589
12,06/22/18 11:38:56 PM,0.2276,0.2589
13,06/23/18 12:08:56 AM,0.2276,0.2589
14,06/23/18 12:38:56 AM,0.2276,0.2589
15,06/23/18 01:08:56 AM,0.2276,0.2589
16,06/23/18 01:38:56 AM,0.2276,0.2589
17,06/23/18 02:08:56 AM,0.2276,0.2596
18,06/23/18 02:38:56 AM,0.2276,0.2596
19,06/23/18 03:08:56 AM,0.2276,0.2596
20,06/23/18 03:38:56 AM,0.2276,0.2596
21,06/23/18 04:08:56 AM,0.2276,0.2596
22,06/23/18 04:38:56 AM,0.2276,0.2589
23,06/23/18 05:08:56 AM,0.2276,0.2596
24,06/23/18 05:38:56 AM,0.2276,0.2596
25,06/23/18 06:08:56 AM,0.2276,0.2596
26,06/23/18 06:38:56 AM,0.2284,0.2596
27,06/23/18 07:08:56 AM,0.2284,0.2596
28,06/23/18 07:38:56 AM,0.2284,0.2596
29,06/23/18 08:08:56 AM,0.2284,0.2596
30,06/23/18 08:38:56 AM,0.2284,0.2596
31,06/23/18 09:08:56 AM,0.2284,0.2596
32,06/23/18 09:38:56 AM,0.2284,0.2589
33,06/23/18 10:08:56 AM,0.2284,0.2589
34,06/23/18 10:38:56 AM,0.2284,0.2589
35,06/23/18 11:08:56 AM,0.2284,0.2589
36,06/23/18 11:38:56 AM,0.2276,0.2589
37,06/23/18 12:08:56 PM,0.2276,0.2589
38,06/23/18 12:38:56 PM,0.2276,0.2589
39,06/23/18 01:08:56 PM,0.2284,0.2581
40,06/23/18 01:38:56 PM,0.2276,0.2589
41,06/23/18 02:08:56 PM,0.2276,0.2581
42,06/23/18 02:38:56 PM,0.2276,0.2581
43,06/23/18 03:08:56 PM,0.2276,0.2581
44,06/23/18 03:38:56 PM,0.2276,0.2581
45,06/23/18 04:08:56 PM,0.2276,0.2574
46,06/23/18 04:38:56 PM,0.2269,0.2574
47,06/23/18 05:08:56 PM,0.2269,0.2574
48,06/23/18 05:38:56 PM,0.2269,0.2574
49,06/23/18 06:08:56 PM,0.2269,0.2574
50,06/23/18 06:38:56 PM,0.2262,0.2574
51,06/23/18 07:08:56 PM,0.2262,0.2567
52,06/23/18 07:38:56 PM,0.2262,0.2574
53,06/23/18 08:08:56 PM,0.2262,0.2567
54,06/23/18 08:38:56 PM,0.2254,0.2574
55,06/23/18 09:08:56 PM,0.2254,0.2574
56,06/23/18 09:38:56 PM,0.2254,0.2567
57,06/23/18 10:08:56 PM,0.2254,0.2567
58,06/23/18 10:38:56 PM,0.2254,0.2574
59,06/23/18 11:08:56 PM,0.2254,0.2574
60,06/23/18 11:38:56 PM,0.2254,0.2574
61,06/24/18 12:08:56 AM,0.2254,0.2574
62,06/24/18 12:38:56 AM,0.2254,0.2567
63,06/24/18 01:08:56 AM,0.2254,0.2574
64,06/24/18 01:38:56 AM,0.2254,0.2567
65,06/24/18 02:08:56 AM,0.2254,0.2574
66,06/24/18 02:38:56 AM,0.2254,0.2574
67,06/24/18 03:08:56 AM,0.2262,0.2574
68,06/24/18 03:38:56 AM,0.2262,0.2574
69,06/24/18 04:08:56 AM,0.2262,0.2574
70,06/24/18 04:38:56 AM,0.2262,0.2574
71,06/24/18 05:08:56 AM,0.2254,0.2574
72,06/24/18 05:38:56 AM,0.2262,0.2574
73,06/24/18 06:08:56 AM,0.2262,0.2574
74,06/24/18 06:38:56 AM,0.2262,0.2574
75,06/24/18 07:08:56 AM,0.2262,0.2574
76,06/24/18 07:38:56 AM,0.2262,0.2574
77,06/24/18 08:08:56 AM,0.2262,0.2581
78,06/24/18 08:38:56 AM,0.2262,0.2574
79,06/24/18 09:08:56 AM,0.2262,0.2574
80,06/24/18 09:38:56 AM,0.2262,0.2574
81,06/24/18 10:08:56 AM,0.2262,0.2567
82,06/24/18 10:38:56 AM,0.2262,0.2574
83,06/24/18 11:08:56 AM,0.2262,0.2574
84,06/24/18 11:38:56 AM,0.2262,0.2574
85,06/24/18 12:08:56 PM,0.2254,0.2567
86,06/24/18 12:38:56 PM,0.2262,0.2567
87,06/24/18 01:08:56 PM,0.2262,0.2574
88,06/24/18 01:38:56 PM,0.2262,0.2567
89,06/24/18 02:08:56 PM,0.2262,0.2567
90,06/24/18 02:38:56 PM,0.2262,0.2567
91,06/24/18 03:08:56 PM,0.2262,0.2567
92,06/24/18 03:38:56 PM,0.2254,0.2567
93,06/24/18 04:08:56 PM,0.2254,0.2560
94,06/24/18 04:38:56 PM,0.2254,0.2560
95,06/24/18 05:08:56 PM,0.2247,0.2560
96,06/24/18 05:38:56 PM,0.2247,0.2560
97,06/24/18 06:08:56 PM,0.2247,0.2560
98,06/24/18 06:38:56 PM,0.2247,0.2567
99,06/24/18 07:08:56 PM,0.2247,0.2560
100,06/24/18 07:38:56 PM,0.2247,0.2560
101,06/24/18 08:08:56 PM,0.2407,0.2981
102,06/24/18 08:38:56 PM,0.2320,0.2748
103,06/24/18 09:08:56 PM,0.2298,0.2668
104,06/24/18 09:38:56 PM,0.2291,0.2654
105,06/24/18 10:08:56 PM,0.2276,0.2639
106,06/24/18 10:38:56 PM,0.2276,0.2632
107,06/24/18 11:08:56 PM,0.2269,0.2625
108,06/24/18 11:38:56 PM,0.2269,0.2625
109,06/25/18 12:08:56 AM,0.2269,0.2625
110,06/25/18 12:38:56 AM,0.2269,0.2618
111,06/25/18 01:08:56 AM,0.2262,0.2618
112,06/25/18 01:38:56 AM,0.2262,0.2610
113,06/25/18 02:08:56 AM,0.2262,0.2610
114,06/25/18 02:38:56 AM,0.2262,0.2610
115,06/25/18 03:08:56 AM,0.2262,0.2610
116,06/25/18 03:38:56 AM,0.2269,0.2610
117,06/25/18 04:08:56 AM,0.2269,0.2610
118,06/25/18 04:38:56 AM,0.2269,0.2610
119,06/25/18 05:08:56 AM,0.2269,0.2610
120,06/25/18 05:38:56 AM,0.2269,0.2610
121,06/25/18 06:08:56 AM,0.2262,0.2610
122,06/25/18 06:38:56 AM,0.2262,0.2610
