"Plot Title: 20376492"
"#","Date Time, GMT-04:00","Temp, °C (LGR S/N: 20376492, SEN S/N: 20376492)","Host Connected (LGR S/N: 20376492)","Coupler Detached (LGR S/N: 20376492)","Bad Battery (LGR S/N: 20376492)","Coupler Attached (LGR S/N: 20376492)","End Of File (LGR S/N: 20376492)"
1,06/25/19 09:09:42 AM,29.252,,,,,
2,06/25/19 09:10:17 AM,,Logged,,,,
3,06/25/19 09:10:19 AM,,,Logged,,,
4,06/25/19 11:09:42 AM,28.060,,,,,
5,06/25/19 01:09:42 PM,30.760,,,,,
6,06/25/19 03:09:42 PM,30.760,,,,,
7,06/25/19 05:09:42 PM,28.853,,,,,
8,06/25/19 07:09:42 PM,26.585,,,,,
9,06/25/19 09:09:42 PM,25.222,,,,,
10,06/25/19 11:09:42 PM,24.351,,,,,
11,06/26/19 01:09:42 AM,23.581,,,,,
12,06/26/19 03:09:42 AM,23.100,,,,,
13,06/26/19 05:09:42 AM,22.621,,,,,
14,06/26/19 07:09:42 AM,22.429,,,,,
15,06/26/19 09:09:42 AM,23.773,,,,,
16,06/26/19 11:09:42 AM,27.173,,,,,
17,06/26/19 01:09:42 PM,30.862,,,,,
18,06/26/19 03:09:42 PM,30.356,,,,,
19,06/26/19 05:09:42 PM,28.258,,,,,
20,06/26/19 07:09:42 PM,26.585,,,,,
21,06/26/19 09:09:42 PM,24.835,,,,,
22,06/26/19 11:09:42 PM,23.773,,,,,
23,06/27/19 01:09:42 AM,23.004,,,,,
24,06/27/19 03:09:42 AM,22.525,,,,,
25,06/27/19 05:09:42 AM,22.046,,,,,
26,06/27/19 07:09:42 AM,22.142,,,,,
27,06/27/19 09:09:42 AM,24.062,,,,,
28,06/27/19 11:09:42 AM,27.567,,,,,
29,06/27/19 01:09:42 PM,31.166,,,,,
30,06/27/19 03:09:42 PM,31.983,,,,,
31,06/27/19 05:09:42 PM,29.652,,,,,
32,06/27/19 07:09:42 PM,27.567,,,,,
33,06/27/19 09:09:42 PM,25.708,,,,,
34,06/27/19 11:09:42 PM,24.641,,,,,
35,06/28/19 01:09:42 AM,23.869,,,,,
36,06/28/19 03:09:42 AM,23.196,,,,,
37,06/28/19 05:09:42 AM,22.717,,,,,
38,06/28/19 07:09:42 AM,22.429,,,,,
39,06/28/19 09:09:42 AM,24.545,,,,,
40,06/28/19 11:09:42 AM,27.862,,,,,
41,06/28/19 01:09:42 PM,31.064,,,,,
42,06/28/19 03:09:42 PM,30.862,,,,,
43,06/28/19 05:09:42 PM,29.452,,,,,
44,06/28/19 07:09:42 PM,26.879,,,,,
45,06/28/19 09:09:42 PM,25.319,,,,,
46,06/28/19 11:09:42 PM,24.545,,,,,
47,06/29/19 01:09:42 AM,23.869,,,,,
48,06/29/19 03:09:42 AM,23.292,,,,,
49,06/29/19 05:09:42 AM,22.908,,,,,
50,06/29/19 07:09:42 AM,23.004,,,,,
51,06/29/19 09:09:42 AM,24.351,,,,,
52,06/29/19 11:09:42 AM,27.961,,,,,
53,06/29/19 01:09:42 PM,29.352,,,,,
54,06/29/19 03:09:42 PM,30.054,,,,,
55,06/29/19 05:09:42 PM,28.655,,,,,
56,06/29/19 07:09:42 PM,26.781,,,,,
57,06/29/19 09:09:42 PM,25.513,,,,,
58,06/29/19 11:09:42 PM,24.641,,,,,
59,06/30/19 01:09:42 AM,24.062,,,,,
60,06/30/19 03:09:42 AM,23.677,,,,,
61,06/30/19 05:09:42 AM,23.292,,,,,
62,06/30/19 07:09:42 AM,23.196,,,,,
63,06/30/19 09:09:42 AM,24.641,,,,,
64,06/30/19 11:09:42 AM,28.060,,,,,
65,06/30/19 01:09:42 PM,31.778,,,,,
66,06/30/19 03:09:42 PM,32.600,,,,,
67,06/30/19 05:09:42 PM,30.356,,,,,
68,06/30/19 07:09:42 PM,27.961,,,,,
69,06/30/19 09:09:42 PM,26.292,,,,,
70,06/30/19 11:09:42 PM,25.708,,,,,
71,07/01/19 01:09:42 AM,24.835,,,,,
72,07/01/19 03:09:42 AM,24.255,,,,,
73,07/01/19 05:09:42 AM,23.869,,,,,
74,07/01/19 07:09:42 AM,23.869,,,,,
75,07/01/19 09:09:42 AM,24.931,,,,,
76,07/01/19 11:09:42 AM,28.159,,,,,
77,07/01/19 01:09:42 PM,31.778,,,,,
78,07/01/19 03:09:42 PM,32.497,,,,,
79,07/01/19 05:09:42 PM,29.853,,,,,
80,07/01/19 07:09:42 PM,27.468,,,,,
81,07/01/19 09:09:42 PM,25.416,,,,,
82,07/01/19 11:09:42 PM,24.255,,,,,
83,07/02/19 01:09:42 AM,23.484,,,,,
84,07/02/19 03:09:42 AM,23.100,,,,,
85,07/02/19 05:09:42 AM,22.717,,,,,
86,07/02/19 07:09:42 AM,22.812,,,,,
87,07/02/19 09:09:42 AM,24.545,,,,,
88,07/02/19 11:09:42 AM,28.456,,,,,
89,07/02/19 01:09:42 PM,31.676,,,,,
90,07/02/19 03:09:42 PM,33.430,,,,,
91,07/02/19 05:09:42 PM,30.457,,,,,
92,07/02/19 07:09:42 PM,28.357,,,,,
93,07/02/19 09:09:42 PM,26.781,,,,,
94,07/02/19 11:09:42 PM,25.805,,,,,
95,07/03/19 01:09:42 AM,25.125,,,,,
96,07/03/19 03:09:42 AM,24.738,,,,,
97,07/03/19 05:09:42 AM,24.351,,,,,
98,07/03/19 07:09:42 AM,23.966,,,,,
99,07/03/19 09:09:42 AM,25.513,,,,,
100,07/03/19 11:09:42 AM,29.152,,,,,
101,07/03/19 01:09:42 PM,32.497,,,,,
102,07/03/19 03:09:42 PM,33.639,,,,,
103,07/03/19 05:09:42 PM,30.356,,,,,
104,07/03/19 07:09:42 PM,28.357,,,,,
105,07/03/19 09:09:42 PM,26.292,,,,,
106,07/03/19 11:09:42 PM,25.416,,,,,
107,07/04/19 01:09:42 AM,24.835,,,,,
108,07/04/19 03:09:42 AM,24.448,,,,,
109,07/04/19 05:09:42 AM,23.966,,,,,
110,07/04/19 07:09:42 AM,24.062,,,,,
111,07/04/19 09:09:42 AM,25.805,,,,,
112,07/04/19 11:09:42 AM,29.152,,,,,
113,07/04/19 01:09:42 PM,32.911,,,,,
114,07/04/19 03:09:42 PM,29.853,,,,,
115,07/04/19 05:09:42 PM,25.610,,,,,
116,07/04/19 07:09:42 PM,24.738,,,,,
117,07/04/19 09:09:42 PM,24.351,,,,,
118,07/04/19 11:09:42 PM,23.773,,,,,
119,07/05/19 01:09:42 AM,23.484,,,,,
120,07/05/19 03:09:42 AM,23.388,,,,,
121,07/05/19 05:09:42 AM,23.196,,,,,
122,07/05/19 07:09:42 AM,23.484,,,,,
123,07/05/19 09:09:42 AM,25.125,,,,,
124,07/05/19 11:09:42 AM,27.567,,,,,
125,07/05/19 01:09:42 PM,28.655,,,,,
126,07/05/19 03:09:42 PM,30.054,,,,,
127,07/05/19 05:09:42 PM,28.555,,,,,
128,07/05/19 07:09:42 PM,25.222,,,,,
129,07/05/19 09:09:42 PM,25.028,,,,,
130,07/05/19 11:09:42 PM,24.738,,,,,
131,07/06/19 01:09:42 AM,24.545,,,,,
132,07/06/19 03:09:42 AM,24.062,,,,,
133,07/06/19 05:09:42 AM,23.869,,,,,
134,07/06/19 07:09:42 AM,23.966,,,,,
135,07/06/19 09:09:42 AM,24.835,,,,,
136,07/06/19 11:09:42 AM,27.961,,,,,
137,07/06/19 01:09:42 PM,31.676,,,,,
138,07/06/19 03:09:42 PM,31.064,,,,,
139,07/06/19 05:09:42 PM,29.452,,,,,
140,07/06/19 07:09:42 PM,26.585,,,,,
141,07/06/19 09:09:42 PM,25.902,,,,,
142,07/06/19 11:09:42 PM,25.125,,,,,
143,07/07/19 01:09:42 AM,24.738,,,,,
144,07/07/19 03:09:42 AM,24.545,,,,,
145,07/07/19 05:09:42 AM,24.351,,,,,
146,07/07/19 07:09:42 AM,24.158,,,,,
147,07/07/19 09:09:42 AM,25.125,,,,,
148,07/07/19 11:09:42 AM,28.655,,,,,
149,07/07/19 01:09:42 PM,30.760,,,,,
150,07/07/19 03:09:42 PM,28.060,,,,,
151,07/07/19 05:09:42 PM,27.075,,,,,
152,07/07/19 07:09:42 PM,27.272,,,,,
153,07/07/19 09:09:42 PM,26.097,,,,,
154,07/07/19 11:09:42 PM,25.610,,,,,
155,07/08/19 01:09:42 AM,25.125,,,,,
156,07/08/19 03:09:42 AM,24.738,,,,,
157,07/08/19 05:09:42 AM,24.835,,,,,
158,07/08/19 07:09:42 AM,25.028,,,,,
159,07/08/19 09:09:42 AM,26.097,,,,,
160,07/08/19 11:09:42 AM,28.555,,,,,
161,07/08/19 01:09:42 PM,31.472,,,,,
162,07/08/19 03:09:42 PM,29.452,,,,,
163,07/08/19 05:09:42 PM,28.555,,,,,
164,07/08/19 07:09:42 PM,26.585,,,,,
165,07/08/19 09:09:42 PM,25.805,,,,,
166,07/08/19 11:09:42 PM,25.222,,,,,
167,07/09/19 01:09:42 AM,24.738,,,,,
168,07/09/19 03:09:42 AM,24.448,,,,,
169,07/09/19 05:09:42 AM,24.545,,,,,
170,07/09/19 07:09:42 AM,24.545,,,,,
171,07/09/19 09:09:42 AM,24.641,,,,,
172,07/09/19 11:09:42 AM,25.416,,,,,
173,07/09/19 01:09:42 PM,29.152,,,,,
