"Plot Title: 20569080"
"#","Date Time, GMT-04:00","Water Content, m³/m³ (LGR S/N: 20569080, SEN S/N: 20571108)","Water Content, m³/m³ (LGR S/N: 20569080, SEN S/N: 20571109)"
1,07/09/19 12:29:35 PM,0.2567,0.2291
2,07/09/19 12:59:35 PM,0.2494,0.2240
3,07/09/19 01:29:35 PM,0.2494,0.2240
4,07/09/19 01:59:35 PM,0.2487,0.2233
5,07/09/19 02:29:35 PM,0.2487,0.2225
6,07/09/19 02:59:35 PM,0.2480,0.2218
7,07/09/19 03:29:35 PM,0.2480,0.2211
8,07/09/19 03:59:35 PM,0.2472,0.2204
9,07/09/19 04:29:35 PM,0.2472,0.2196
10,07/09/19 04:59:35 PM,0.2472,0.2189
11,07/09/19 05:29:35 PM,0.2465,0.2189
12,07/09/19 05:59:35 PM,0.2465,0.2182
13,07/09/19 06:29:35 PM,0.2465,0.2175
14,07/09/19 06:59:35 PM,0.2465,0.2167
15,07/09/19 07:29:35 PM,0.2458,0.2160
16,07/09/19 07:59:35 PM,0.2451,0.2160
17,07/09/19 08:29:35 PM,0.2451,0.2153
18,07/09/19 08:59:35 PM,0.2451,0.2146
19,07/09/19 09:29:35 PM,0.2451,0.2146
20,07/09/19 09:59:35 PM,0.2451,0.2138
21,07/09/19 10:29:35 PM,0.2451,0.2146
22,07/09/19 10:59:35 PM,0.2451,0.2138
23,07/09/19 11:29:35 PM,0.2451,0.2138
24,07/09/19 11:59:35 PM,0.2451,0.2131
25,07/10/19 12:29:35 AM,0.2451,0.2131
26,07/10/19 12:59:35 AM,0.2451,0.2131
27,07/10/19 01:29:35 AM,0.2443,0.2124
28,07/10/19 01:59:35 AM,0.2451,0.2124
29,07/10/19 02:29:35 AM,0.2443,0.2124
30,07/10/19 02:59:35 AM,0.2451,0.2124
31,07/10/19 03:29:35 AM,0.2451,0.2116
32,07/10/19 03:59:35 AM,0.2451,0.2116
33,07/10/19 04:29:35 AM,0.2451,0.2116
34,07/10/19 04:59:35 AM,0.2451,0.2109
35,07/10/19 05:29:35 AM,0.2451,0.2109
36,07/10/19 05:59:35 AM,0.2451,0.2109
37,07/10/19 06:29:35 AM,0.2451,0.2109
