"Plot Title: 20376510"
"#","Date Time, GMT-04:00","Temp, °F (LGR S/N: 20376510, SEN S/N: 20376510)","Coupler Detached (LGR S/N: 20376510)","Bad Battery (LGR S/N: 20376510)","Coupler Attached (LGR S/N: 20376510)","Host Connected (LGR S/N: 20376510)","Stopped (LGR S/N: 20376510)","End Of File (LGR S/N: 20376510)"
1,06/16/19 04:35:14 PM,88.466,,,,,,
2,06/16/19 04:36:14 PM,,Logged,,,,,
3,06/16/19 06:35:14 PM,78.274,,,,,,
4,06/16/19 08:35:14 PM,76.528,,,,,,
5,06/16/19 10:35:14 PM,75.312,,,,,,
6,06/17/19 12:35:14 AM,74.791,,,,,,
7,06/17/19 02:35:14 AM,74.619,,,,,,
8,06/17/19 04:35:14 AM,74.098,,,,,,
9,06/17/19 06:35:14 AM,73.580,,,,,,
10,06/17/19 08:35:14 AM,74.271,,,,,,
11,06/17/19 10:35:14 AM,76.354,,,,,,
12,06/17/19 12:35:14 PM,81.090,,,,,,
13,06/17/19 02:35:14 PM,85.194,,,,,,
14,06/17/19 04:35:14 PM,81.975,,,,,,
15,06/17/19 06:35:14 PM,80.382,,,,,,
16,06/17/19 08:35:14 PM,78.624,,,,,,
17,06/17/19 10:35:14 PM,77.574,,,,,,
18,06/18/19 12:35:14 AM,76.876,,,,,,
19,06/18/19 02:35:14 AM,76.528,,,,,,
20,06/18/19 04:35:14 AM,76.181,,,,,,
21,06/18/19 06:35:14 AM,75.659,,,,,,
22,06/18/19 08:35:14 AM,76.181,,,,,,
23,06/18/19 10:35:14 AM,77.749,,,,,,
24,06/18/19 12:35:14 PM,82.864,,,,,,
25,06/18/19 02:35:14 PM,85.915,,,,,,
26,06/18/19 04:35:14 PM,83.043,,,,,,
27,06/18/19 06:35:14 PM,81.621,,,,,,
28,06/18/19 08:35:14 PM,79.502,,,,,,
29,06/18/19 10:35:14 PM,78.449,,,,,,
30,06/19/19 12:35:14 AM,77.400,,,,,,
31,06/19/19 02:35:14 AM,76.703,,,,,,
32,06/19/19 04:35:14 AM,76.528,,,,,,
33,06/19/19 06:35:14 AM,76.006,,,,,,
34,06/19/19 08:35:14 AM,76.354,,,,,,
35,06/19/19 10:35:14 AM,78.624,,,,,,
36,06/19/19 12:35:14 PM,80.911,,,,,,
37,06/19/19 02:35:14 PM,84.474,,,,,,
38,06/19/19 04:35:14 PM,83.043,,,,,,
39,06/19/19 06:35:14 PM,81.621,,,,,,
40,06/19/19 08:35:14 PM,79.853,,,,,,
41,06/19/19 10:35:14 PM,78.624,,,,,,
42,06/20/19 12:35:14 AM,78.274,,,,,,
43,06/20/19 02:35:14 AM,77.749,,,,,,
44,06/20/19 04:35:14 AM,77.400,,,,,,
45,06/20/19 06:35:14 AM,76.876,,,,,,
46,06/20/19 08:35:14 AM,77.050,,,,,,
47,06/20/19 10:35:14 AM,78.800,,,,,,
48,06/20/19 12:35:14 PM,84.295,,,,,,
