"Plot Title: 20376530"
"#","Date Time, GMT-04:00","Temp, °C (LGR S/N: 20376530, SEN S/N: 20376530)","Coupler Detached (LGR S/N: 20376530)","Bad Battery (LGR S/N: 20376530)","Good Battery (LGR S/N: 20376530)","End Of File (LGR S/N: 20376530)"
1,06/19/19 02:34:12 PM,36.079,,,,
2,06/19/19 02:34:34 PM,,Logged,,,
3,06/19/19 04:34:12 PM,28.853,,,,
4,06/19/19 06:34:12 PM,27.567,,,,
5,06/19/19 08:34:12 PM,26.195,,,,
6,06/19/19 10:34:12 PM,25.610,,,,
7,06/20/19 12:34:12 AM,25.028,,,,
8,06/20/19 02:34:12 AM,24.738,,,,
9,06/20/19 04:34:12 AM,24.448,,,,
10,06/20/19 06:34:12 AM,24.158,,,,
11,06/20/19 08:34:12 AM,25.028,,,,
12,06/20/19 10:34:12 AM,28.357,,,,
13,06/20/19 12:34:12 PM,29.053,,,,
14,06/20/19 02:34:12 PM,32.188,,,,
15,06/20/19 04:34:12 PM,29.752,,,,
16,06/20/19 06:34:12 PM,26.097,,,,
17,06/20/19 08:34:12 PM,25.319,,,,
18,06/20/19 10:34:12 PM,24.738,,,,
19,06/21/19 12:34:12 AM,24.158,,,,
20,06/21/19 02:34:12 AM,23.773,,,,
21,06/21/19 04:34:12 AM,23.484,,,,
22,06/21/19 06:34:12 AM,23.292,,,,
23,06/21/19 08:34:12 AM,24.158,,,,
24,06/21/19 10:34:12 AM,28.953,,,,
25,06/21/19 12:34:12 PM,28.853,,,,
26,06/21/19 02:34:12 PM,32.704,,,,
27,06/21/19 04:34:12 PM,29.652,,,,
28,06/21/19 06:34:12 PM,27.862,,,,
29,06/21/19 08:34:12 PM,25.610,,,,
30,06/21/19 10:34:12 PM,24.062,,,,
31,06/22/19 12:34:12 AM,23.196,,,,
32,06/22/19 02:34:12 AM,22.525,,,,
33,06/22/19 04:34:12 AM,22.333,,,,
34,06/22/19 06:34:12 AM,22.429,,,,
35,06/22/19 08:34:12 AM,22.525,,,,
36,06/22/19 10:34:12 AM,25.805,,,,
37,06/22/19 12:34:12 PM,26.977,,,,
38,06/22/19 02:34:12 PM,31.166,,,,
39,06/22/19 04:34:12 PM,28.853,,,,
40,06/22/19 06:34:12 PM,27.468,,,,
41,06/22/19 08:34:12 PM,25.902,,,,
42,06/22/19 10:34:12 PM,24.351,,,,
43,06/23/19 12:34:12 AM,23.677,,,,
44,06/23/19 02:34:12 AM,22.717,,,,
45,06/23/19 04:34:12 AM,22.238,,,,
46,06/23/19 06:34:12 AM,22.429,,,,
47,06/23/19 08:34:12 AM,23.388,,,,
48,06/23/19 10:34:12 AM,26.195,,,,
49,06/23/19 12:34:12 PM,25.708,,,,
50,06/23/19 02:34:12 PM,28.555,,,,
51,06/23/19 04:34:12 PM,27.961,,,,
52,06/23/19 06:34:12 PM,26.585,,,,
53,06/23/19 08:34:12 PM,25.416,,,,
54,06/23/19 10:34:12 PM,24.545,,,,
55,06/24/19 12:34:12 AM,23.388,,,,
56,06/24/19 02:34:12 AM,23.004,,,,
57,06/24/19 04:34:12 AM,22.525,,,,
58,06/24/19 06:34:12 AM,22.333,,,,
59,06/24/19 08:34:12 AM,23.581,,,,
60,06/24/19 10:34:12 AM,28.258,,,,
61,06/24/19 12:34:12 PM,28.853,,,,
62,06/24/19 02:34:12 PM,32.188,,,,
63,06/24/19 04:34:12 PM,29.853,,,,
64,06/24/19 06:34:12 PM,28.258,,,,
65,06/24/19 08:34:12 PM,26.585,,,,
66,06/24/19 10:34:12 PM,25.610,,,,
67,06/25/19 12:34:12 AM,25.222,,,,
68,06/25/19 02:34:12 AM,25.125,,,,
69,06/25/19 04:34:12 AM,24.158,,,,
70,06/25/19 06:34:12 AM,23.581,,,,
71,06/25/19 08:34:12 AM,24.545,,,,
72,06/25/19 10:34:12 AM,28.655,,,,
73,06/25/19 12:34:12 PM,29.252,,,,
74,06/25/19 02:34:12 PM,33.118,,,,
75,06/25/19 04:34:12 PM,30.457,,,,
76,06/25/19 06:34:12 PM,28.555,,,,
77,06/25/19 08:34:12 PM,26.390,,,,
78,06/25/19 10:34:12 PM,24.931,,,,
79,06/26/19 12:34:12 AM,24.351,,,,
80,06/26/19 02:34:12 AM,23.773,,,,
81,06/26/19 04:34:12 AM,23.292,,,,
82,06/26/19 06:34:12 AM,22.812,,,,
83,06/26/19 08:34:12 AM,24.158,,,,
84,06/26/19 10:34:12 AM,28.060,,,,
85,06/26/19 12:34:12 PM,28.060,,,,
86,06/26/19 02:34:12 PM,31.268,,,,
87,06/26/19 04:34:12 PM,29.853,,,,
88,06/26/19 06:34:12 PM,27.862,,,,
89,06/26/19 08:34:12 PM,26.195,,,,
90,06/26/19 10:34:12 PM,25.222,,,,
91,06/27/19 12:34:12 AM,24.351,,,,
92,06/27/19 02:34:12 AM,23.966,,,,
93,06/27/19 04:34:12 AM,23.773,,,,
94,06/27/19 06:34:12 AM,23.388,,,,
95,06/27/19 08:34:12 AM,24.835,,,,
96,06/27/19 10:34:12 AM,28.953,,,,
97,06/27/19 12:34:12 PM,29.953,,Logged,,
98,06/27/19 02:34:12 PM,30.862,,,,
99,06/27/19 04:34:12 PM,29.853,,,,
100,06/27/19 06:34:12 PM,27.961,,,Logged,
101,06/27/19 08:34:12 PM,25.805,,,,
102,06/27/19 10:34:12 PM,24.545,,,,
103,06/28/19 12:34:12 AM,23.677,,,,
104,06/28/19 02:34:12 AM,23.004,,,,
105,06/28/19 04:34:12 AM,22.429,,,,
106,06/28/19 06:34:12 AM,22.142,,,,
