"Plot Title: 20376532"
"#","Date Time, GMT-04:00","Temp, °C (LGR S/N: 20376532, SEN S/N: 20376532)","Host Connected (LGR S/N: 20376532)","Coupler Detached (LGR S/N: 20376532)","Bad Battery (LGR S/N: 20376532)","Coupler Attached (LGR S/N: 20376532)","Stopped (LGR S/N: 20376532)","End Of File (LGR S/N: 20376532)"
1,06/20/19 10:57:09 AM,34.796,,,,,,
2,06/20/19 10:58:21 AM,,Logged,,,,,
3,06/20/19 10:58:22 AM,,,Logged,,,,
4,06/20/19 12:57:09 PM,29.352,,,,,,
5,06/20/19 02:57:09 PM,30.255,,,,,,
6,06/20/19 04:57:09 PM,29.752,,,,,,
7,06/20/19 06:57:09 PM,26.292,,,,,,
8,06/20/19 08:57:09 PM,25.708,,,,,,
9,06/20/19 10:57:09 PM,24.931,,,,,,
10,06/21/19 12:57:09 AM,24.448,,,,,,
11,06/21/19 02:57:09 AM,24.062,,,,,,
12,06/21/19 04:57:09 AM,23.677,,,,,,
13,06/21/19 06:57:09 AM,23.388,,,,,,
14,06/21/19 08:57:09 AM,24.158,,,,,,
15,06/21/19 10:57:09 AM,27.665,,,,,,
16,06/21/19 12:57:09 PM,30.356,,,,,,
17,06/21/19 02:57:09 PM,30.963,,,,,,
18,06/21/19 04:57:09 PM,30.054,,,,,,
19,06/21/19 06:57:09 PM,28.258,,,,,,
20,06/21/19 08:57:09 PM,26.292,,,,,,
21,06/21/19 10:57:09 PM,24.835,,,,,,
22,06/22/19 12:57:09 AM,23.869,,,,,,
23,06/22/19 02:57:09 AM,23.196,,,,,,
24,06/22/19 04:57:09 AM,22.908,,,,,,
25,06/22/19 06:57:09 AM,22.908,,,,,,
26,06/22/19 08:57:09 AM,22.717,,,,,,
27,06/22/19 10:57:09 AM,25.319,,,,,,
28,06/22/19 12:57:09 PM,28.555,,,,,,
29,06/22/19 02:57:09 PM,29.853,,,,,,
30,06/22/19 04:57:09 PM,29.252,,,,,,
31,06/22/19 06:57:09 PM,27.961,,,,,,
32,06/22/19 08:57:09 PM,26.488,,,,,,
33,06/22/19 10:57:09 PM,25.125,,,,,,
34,06/23/19 12:57:09 AM,24.351,,,,,,
35,06/23/19 02:57:09 AM,23.484,,,,,,
36,06/23/19 04:57:09 AM,23.004,,,,,,
37,06/23/19 06:57:09 AM,22.908,,,,,,
38,06/23/19 08:57:09 AM,23.581,,,,,,
39,06/23/19 10:57:09 AM,25.416,,,,,,
40,06/23/19 12:57:09 PM,25.708,,,,,,
41,06/23/19 02:57:09 PM,27.468,,,,,,
42,06/23/19 04:57:09 PM,27.665,,,,,,
43,06/23/19 06:57:09 PM,26.585,,,,,,
44,06/23/19 08:57:09 PM,25.610,,,,,,
45,06/23/19 10:57:09 PM,24.738,,,,,,
46,06/24/19 12:57:09 AM,23.773,,,,,,
47,06/24/19 02:57:09 AM,23.388,,,,,,
48,06/24/19 04:57:09 AM,23.004,,,,,,
49,06/24/19 06:57:09 AM,22.717,,,,,,
50,06/24/19 08:57:09 AM,23.677,,,,,,
51,06/24/19 10:57:09 AM,27.173,,,,,,
52,06/24/19 12:57:09 PM,29.752,,,,,,
53,06/24/19 02:57:09 PM,30.154,,,,,,
54,06/24/19 04:57:09 PM,29.152,,,,,,
55,06/24/19 06:57:09 PM,28.060,,,,,,
56,06/24/19 08:57:09 PM,26.683,,,,,,
57,06/24/19 10:57:09 PM,25.708,,,,,,
58,06/25/19 12:57:09 AM,25.125,,,,,,
59,06/25/19 02:57:09 AM,25.028,,,,,,
60,06/25/19 04:57:09 AM,24.351,,,,,,
61,06/25/19 06:57:09 AM,23.773,,,,,,
62,06/25/19 08:57:09 AM,24.351,,,,,,
63,06/25/19 10:57:09 AM,27.665,,,,,,
64,06/25/19 12:57:09 PM,30.558,,,,,,
65,06/25/19 02:57:09 PM,31.574,,,,,,
66,06/25/19 04:57:09 PM,30.558,,,,,,
67,06/25/19 06:57:09 PM,28.754,,,,,,
68,06/25/19 08:57:09 PM,26.879,,,,,,
69,06/25/19 10:57:09 PM,25.416,,,,,,
70,06/26/19 12:57:09 AM,24.641,,,,,,
71,06/26/19 02:57:09 AM,24.062,,,,,,
72,06/26/19 04:57:09 AM,23.581,,,,,,
73,06/26/19 06:57:09 AM,23.100,,,,,,
