"Plot Title: 20377493"
"#","Date Time, GMT-08:00","Water Content, m³/m³ (LGR S/N: 20377493, SEN S/N: 20377881)","Water Content, m³/m³ (LGR S/N: 20377493, SEN S/N: 20377885)"
1,06/18/19 08:05:44 AM,0.2785,0.4833
2,06/18/19 08:35:44 AM,0.2719,0.4622
3,06/18/19 09:05:44 AM,0.2705,0.4630
4,06/18/19 09:35:44 AM,0.2705,0.4637
5,06/18/19 10:05:44 AM,0.2698,0.4659
6,06/18/19 10:35:44 AM,0.2683,0.4680
7,06/18/19 11:05:44 AM,0.2676,0.4709
8,06/18/19 11:35:44 AM,0.2668,0.4709
9,06/18/19 12:05:44 PM,0.2668,0.4760
10,06/18/19 12:35:44 PM,0.2661,0.4760
11,06/18/19 01:05:44 PM,0.2661,0.4753
12,06/18/19 01:35:44 PM,0.2654,0.4768
13,06/18/19 02:05:44 PM,0.2654,0.4768
14,06/18/19 02:35:44 PM,0.2654,0.4782
15,06/18/19 03:05:44 PM,0.2654,0.4789
16,06/18/19 03:35:44 PM,0.2654,0.4826
17,06/18/19 04:05:44 PM,0.2654,0.4826
18,06/18/19 04:35:44 PM,0.2661,0.4804
19,06/18/19 05:05:44 PM,0.2661,0.4797
20,06/18/19 05:35:44 PM,0.2661,0.4797
21,06/18/19 06:05:44 PM,0.2661,0.4797
22,06/18/19 06:35:44 PM,0.2668,0.4804
23,06/18/19 07:05:44 PM,0.2668,0.4804
24,06/18/19 07:35:44 PM,0.2668,0.4818
25,06/18/19 08:05:44 PM,0.2676,0.4833
26,06/18/19 08:35:44 PM,0.2683,0.4840
27,06/18/19 09:05:44 PM,0.2683,0.4840
28,06/18/19 09:35:44 PM,0.2683,0.4833
29,06/18/19 10:05:44 PM,0.2690,0.4840
30,06/18/19 10:35:44 PM,0.2690,0.4797
31,06/18/19 11:05:44 PM,0.2792,0.4789
32,06/18/19 11:35:44 PM,0.2995,0.4789
33,06/19/19 12:05:44 AM,0.3235,0.4782
34,06/19/19 12:35:44 AM,0.3213,0.4811
35,06/19/19 01:05:44 AM,0.3155,0.4826
36,06/19/19 01:35:44 AM,0.3112,0.4826
37,06/19/19 02:05:44 AM,0.3082,0.4826
38,06/19/19 02:35:44 AM,0.3061,0.4818
39,06/19/19 03:05:44 AM,0.3046,0.4818
40,06/19/19 03:35:44 AM,0.3032,0.4818
41,06/19/19 04:05:44 AM,0.3017,0.4826
42,06/19/19 04:35:44 AM,0.3003,0.4811
43,06/19/19 05:05:44 AM,0.2995,0.4804
