"Plot Title: 20376491"
"#","Date Time, GMT-04:00","Temp, °C (LGR S/N: 20376491, SEN S/N: 20376491)","Coupler Detached (LGR S/N: 20376491)","Bad Battery (LGR S/N: 20376491)","Coupler Attached (LGR S/N: 20376491)","Host Connected (LGR S/N: 20376491)","Stopped (LGR S/N: 20376491)","End Of File (LGR S/N: 20376491)"
1,06/19/19 09:36:52 AM,29.053,,,,,,
2,06/19/19 09:37:10 AM,,Logged,,,,,
3,06/19/19 11:36:52 AM,29.252,,,,,,
4,06/19/19 01:36:52 PM,32.911,,,,,,
5,06/19/19 03:36:52 PM,34.691,,,,,,
6,06/19/19 05:36:52 PM,31.676,,,,,,
7,06/19/19 07:36:52 PM,28.754,,,,,,
8,06/19/19 09:36:52 PM,26.781,,,,,,
9,06/19/19 11:36:52 PM,25.708,,,,,,
10,06/20/19 01:36:52 AM,24.931,,,,,,
11,06/20/19 03:36:52 AM,24.545,,,,,,
12,06/20/19 05:36:52 AM,24.158,,,,,,
13,06/20/19 07:36:52 AM,25.125,,,,,,
14,06/20/19 09:36:52 AM,28.357,,,,,,
15,06/20/19 11:36:52 AM,34.903,,,,,,
16,06/20/19 01:36:52 PM,39.276,,,,,,
17,06/20/19 03:36:52 PM,36.620,,,,,,
18,06/20/19 05:36:52 PM,33.535,,,,,,
19,06/20/19 07:36:52 PM,28.754,,,,,,
20,06/20/19 09:36:52 PM,26.000,,,,,,
21,06/20/19 11:36:52 PM,25.028,,,,,,
22,06/21/19 01:36:52 AM,24.255,,,,,,
23,06/21/19 03:36:52 AM,23.677,,,,,,
24,06/21/19 05:36:52 AM,23.100,,,,,,
25,06/21/19 07:36:52 AM,23.581,,,,,,
26,06/21/19 09:36:52 AM,27.567,,,,,,
27,06/21/19 11:36:52 AM,33.430,,,,,,
28,06/21/19 01:36:52 PM,39.163,,,,,,
29,06/21/19 03:36:52 PM,38.379,,,,,,
30,06/21/19 05:36:52 PM,34.058,,,,,,
31,06/21/19 07:36:52 PM,29.053,,,,,,
32,06/21/19 09:36:52 PM,25.805,,,,,,
33,06/21/19 11:36:52 PM,24.062,,,,,,
34,06/22/19 01:36:52 AM,23.004,,,,,,
35,06/22/19 03:36:52 AM,22.142,,,,,,
36,06/22/19 05:36:52 AM,22.333,,,,,,
37,06/22/19 07:36:52 AM,23.484,,,,,,
38,06/22/19 09:36:52 AM,27.468,,,,,,
39,06/22/19 11:36:52 AM,35.542,,,,,,
40,06/22/19 01:36:52 PM,40.645,,,,,,
41,06/22/19 03:36:52 PM,38.714,,,,,,
42,06/22/19 05:36:52 PM,33.743,,,,,,
43,06/22/19 07:36:52 PM,29.252,,,,,,
44,06/22/19 09:36:52 PM,26.977,,,,,,
45,06/22/19 11:36:52 PM,25.416,,,,,,
46,06/23/19 01:36:52 AM,24.931,,,,,,
47,06/23/19 03:36:52 AM,24.545,,,,,,
48,06/23/19 05:36:52 AM,23.966,,,,,,
49,06/23/19 07:36:52 AM,24.351,,,,,,
50,06/23/19 09:36:52 AM,26.879,,,,,,
51,06/23/19 11:36:52 AM,31.880,,,,,,
52,06/23/19 01:36:52 PM,30.457,,,,,,
53,06/23/19 03:36:52 PM,31.268,,,,,,
54,06/23/19 05:36:52 PM,28.258,,,,,,
55,06/23/19 07:36:52 PM,26.977,,,,,,
56,06/23/19 09:36:52 PM,24.835,,,,,,
57,06/23/19 11:36:52 PM,23.677,,,,,,
58,06/24/19 01:36:52 AM,22.717,,,,,,
59,06/24/19 03:36:52 AM,21.951,,,,,,
60,06/24/19 05:36:52 AM,21.187,,,,,,
61,06/24/19 07:36:52 AM,22.717,,,,,,
62,06/24/19 09:36:52 AM,27.961,,,,,,
63,06/24/19 11:36:52 AM,37.384,,,,,,
64,06/24/19 01:36:52 PM,36.403,,,,,,
65,06/24/19 03:36:52 PM,38.157,,,,,,
66,06/24/19 05:36:52 PM,33.639,,,,,,
67,06/24/19 07:36:52 PM,29.252,,,,,,
68,06/24/19 09:36:52 PM,26.977,,,,,,
69,06/24/19 11:36:52 PM,26.000,,,,,,
70,06/25/19 01:36:52 AM,25.028,,,,,,
71,06/25/19 03:36:52 AM,24.448,,,,,,
72,06/25/19 05:36:52 AM,23.773,,,,,,
73,06/25/19 07:36:52 AM,24.545,,,,,,
74,06/25/19 09:36:52 AM,29.252,,,,,,
75,06/25/19 11:36:52 AM,38.826,,,,,,
76,06/25/19 01:36:52 PM,44.211,,,,,,
77,06/25/19 03:36:52 PM,41.108,,,,,,
78,06/25/19 05:36:52 PM,35.864,,,,,,
79,06/25/19 07:36:52 PM,30.255,,,,,,
80,06/25/19 09:36:52 PM,26.683,,,,,,
81,06/25/19 11:36:52 PM,25.125,,,,,,
82,06/26/19 01:36:52 AM,24.255,,,,,,
83,06/26/19 03:36:52 AM,23.869,,,,,,
84,06/26/19 05:36:52 AM,23.484,,,,,,
85,06/26/19 07:36:52 AM,24.158,,,,,,
86,06/26/19 09:36:52 AM,29.252,,,,,,
87,06/26/19 11:36:52 AM,37.165,,,,,,
88,06/26/19 01:36:52 PM,39.957,,,,,,
89,06/26/19 03:36:52 PM,38.268,,,,,,
90,06/26/19 05:36:52 PM,35.542,,,,,,
91,06/26/19 07:36:52 PM,30.154,,,,,,
92,06/26/19 09:36:52 PM,27.370,,,,,,
93,06/26/19 11:36:52 PM,26.000,,,,,,
94,06/27/19 01:36:52 AM,24.931,,,,,,
95,06/27/19 03:36:52 AM,24.351,,,,,,
96,06/27/19 05:36:52 AM,23.388,,,,,,
97,06/27/19 07:36:52 AM,25.125,,,,,,
98,06/27/19 09:36:52 AM,28.655,,,,,,
99,06/27/19 11:36:52 AM,35.328,,,,,,
100,06/27/19 01:36:52 PM,43.238,,,,,,
101,06/27/19 03:36:52 PM,40.300,,,,,,
102,06/27/19 05:36:52 PM,34.691,,,,,,
103,06/27/19 07:36:52 PM,29.252,,,,,,
104,06/27/19 09:36:52 PM,26.000,,,,,,
105,06/27/19 11:36:52 PM,24.255,,,,,,
106,06/28/19 01:36:52 AM,23.388,,,,,,
107,06/28/19 03:36:52 AM,22.717,,,,,,
108,06/28/19 05:36:52 AM,22.238,,,,,,
109,06/28/19 07:36:52 AM,23.388,,,,,,
110,06/28/19 09:36:52 AM,29.152,,,,,,
111,06/28/19 11:36:52 AM,39.163,,,,,,
112,06/28/19 01:36:52 PM,44.952,,,,,,
113,06/28/19 03:36:52 PM,40.876,,,,,,
114,06/28/19 05:36:52 PM,35.328,,,,,,
115,06/28/19 07:36:52 PM,29.853,,,,,,
116,06/28/19 09:36:52 PM,26.292,,,,,,
117,06/28/19 11:36:52 PM,24.641,,,,,,
118,06/29/19 01:36:52 AM,23.677,,,,,,
119,06/29/19 03:36:52 AM,22.717,,,,,,
120,06/29/19 05:36:52 AM,22.046,,,,,,
121,06/29/19 07:36:52 AM,23.773,,,,,,
122,06/29/19 09:36:52 AM,28.555,,,,,,
123,06/29/19 11:36:52 AM,37.714,,,,,,
124,06/29/19 01:36:52 PM,40.530,,,,,,
125,06/29/19 03:36:52 PM,39.502,,,,,,
126,06/29/19 05:36:52 PM,34.374,,,,,,
127,06/29/19 07:36:52 PM,29.552,,,,,,
128,06/29/19 09:36:52 PM,26.683,,,,,,
129,06/29/19 11:36:52 PM,25.222,,,,,,
130,06/30/19 01:36:52 AM,24.158,,,,,,
131,06/30/19 03:36:52 AM,23.388,,,,,,
132,06/30/19 05:36:52 AM,23.004,,,,,,
133,06/30/19 07:36:52 AM,24.158,,,,,,
134,06/30/19 09:36:52 AM,29.452,,,,,,
135,06/30/19 11:36:52 AM,40.300,,,,,,
136,06/30/19 01:36:52 PM,45.201,,,,,,
137,06/30/19 03:36:52 PM,39.957,,,,,,
138,06/30/19 05:36:52 PM,35.115,,,,,,
139,06/30/19 07:36:52 PM,30.862,,,,,,
140,06/30/19 09:36:52 PM,27.961,,,,,,
141,06/30/19 11:36:52 PM,26.683,,,,,,
142,07/01/19 01:36:52 AM,25.902,,,,,,
143,07/01/19 03:36:52 AM,25.222,,,,,,
144,07/01/19 05:36:52 AM,24.448,,,,,,
145,07/01/19 07:36:52 AM,25.513,,,,,,
146,07/01/19 09:36:52 AM,30.659,,,,,,
147,07/01/19 11:36:52 AM,40.185,,,,,,
148,07/01/19 01:36:52 PM,43.480,,,,,,
149,07/01/19 03:36:52 PM,35.542,,,,,,
150,07/01/19 05:36:52 PM,33.535,,,,,,
151,07/01/19 07:36:52 PM,30.154,,,,,,
152,07/01/19 09:36:52 PM,26.488,,,,,,
153,07/01/19 11:36:52 PM,24.738,,,,,,
154,07/02/19 01:36:52 AM,23.581,,,,,,
155,07/02/19 03:36:52 AM,22.621,,,,,,
156,07/02/19 05:36:52 AM,22.142,,,,,,
157,07/02/19 07:36:52 AM,23.292,,,,,,
158,07/02/19 09:36:52 AM,29.853,,,,,,
159,07/02/19 11:36:52 AM,33.014,,,,,,
160,07/02/19 01:36:52 PM,38.490,,,,,,
161,07/02/19 03:36:52 PM,39.957,,,,,,
162,07/02/19 05:36:52 PM,35.115,,,,,,
163,07/02/19 07:36:52 PM,30.054,,,,,,
164,07/02/19 09:36:52 PM,27.370,,,,,,
165,07/02/19 11:36:52 PM,25.902,,,,,,
166,07/03/19 01:36:52 AM,24.931,,,,,,
167,07/03/19 03:36:52 AM,24.738,,,,,,
168,07/03/19 05:36:52 AM,24.545,,,,,,
169,07/03/19 07:36:52 AM,25.805,,,,,,
170,07/03/19 09:36:52 AM,31.064,,,,,,
171,07/03/19 11:36:52 AM,40.530,,,,,,
172,07/03/19 01:36:52 PM,37.165,,,,,,
173,07/03/19 03:36:52 PM,24.738,,,,,,
174,07/03/19 05:36:52 PM,27.764,,,,,,
175,07/03/19 07:36:52 PM,27.173,,,,,,
176,07/03/19 09:36:52 PM,25.416,,,,,,
177,07/03/19 11:36:52 PM,24.641,,,,,,
178,07/04/19 01:36:52 AM,24.255,,,,,,
179,07/04/19 03:36:52 AM,24.641,,,,,,
180,07/04/19 05:36:52 AM,24.738,,,,,,
181,07/04/19 07:36:52 AM,25.125,,,,,,
182,07/04/19 09:36:52 AM,28.853,,,,,,
183,07/04/19 11:36:52 AM,33.430,,,,,,
184,07/04/19 01:36:52 PM,35.971,,,,,,
185,07/04/19 03:36:52 PM,29.352,,,,,,
186,07/04/19 05:36:52 PM,27.764,,,,,,
187,07/04/19 07:36:52 PM,26.977,,,,,,
188,07/04/19 09:36:52 PM,25.902,,,,,,
189,07/04/19 11:36:52 PM,25.416,,,,,,
190,07/05/19 01:36:52 AM,24.835,,,,,,
191,07/05/19 03:36:52 AM,24.545,,,,,,
192,07/05/19 05:36:52 AM,24.255,,,,,,
193,07/05/19 07:36:52 AM,25.028,,,,,,
194,07/05/19 09:36:52 AM,28.258,,,,,,
195,07/05/19 11:36:52 AM,28.655,,,,,,
196,07/05/19 01:36:52 PM,34.058,,,,,,
197,07/05/19 03:36:52 PM,26.977,,,,,,
198,07/05/19 05:36:52 PM,28.159,,,,,,
199,07/05/19 07:36:52 PM,27.075,,,,,,
200,07/05/19 09:36:52 PM,25.416,,,,,,
201,07/05/19 11:36:52 PM,24.738,,,,,,
202,07/06/19 01:36:52 AM,24.062,,,,,,
203,07/06/19 03:36:52 AM,23.581,,,,,,
204,07/06/19 05:36:52 AM,23.292,,,,,,
