"Plot Title: 20376492"
"#","Date Time, GMT-04:00","Temp, °C (LGR S/N: 20376492, SEN S/N: 20376492)","Good Battery (LGR S/N: 20376492)","Coupler Detached (LGR S/N: 20376492)","Coupler Attached (LGR S/N: 20376492)","Host Connected (LGR S/N: 20376492)","Stopped (LGR S/N: 20376492)","End Of File (LGR S/N: 20376492)"
1,06/12/21 10:30:12 PM,30.054,Logged,,,,,
2,06/12/21 10:30:34 PM,,,Logged,,,,
3,06/13/21 12:30:12 AM,23.100,,,,,,
4,06/13/21 02:30:12 AM,23.292,,,,,,
5,06/13/21 04:30:12 AM,23.484,,,,,,
6,06/13/21 06:30:12 AM,23.292,,,,,,
7,06/13/21 08:30:12 AM,25.125,,,,,,
8,06/13/21 10:30:12 AM,26.879,,,,,,
9,06/13/21 12:30:12 PM,35.864,,,,,,
10,06/13/21 02:30:12 PM,30.558,,,,,,
11,06/13/21 04:30:12 PM,28.258,,,,,,
12,06/13/21 06:30:12 PM,25.513,,,,,,
13,06/13/21 08:30:12 PM,23.581,,,,,,
14,06/13/21 10:30:12 PM,22.908,,,,,,
15,06/14/21 12:30:12 AM,22.525,,,,,,
16,06/14/21 02:30:12 AM,22.238,,,,,,
17,06/14/21 04:30:12 AM,22.238,,,,,,
18,06/14/21 06:30:12 AM,22.525,,,,,,
19,06/14/21 08:30:12 AM,29.452,,,,,,
20,06/14/21 10:30:12 AM,29.953,,,,,,
21,06/14/21 12:30:12 PM,35.542,,,,,,
22,06/14/21 02:30:12 PM,29.953,,,,,,
23,06/14/21 04:30:12 PM,36.946,,,,,,
24,06/14/21 06:30:12 PM,35.649,,,,,,
25,06/14/21 08:30:12 PM,26.390,,,,,,
26,06/14/21 10:30:12 PM,24.835,,,,,,
27,06/15/21 12:30:12 AM,24.641,,,,,,
28,06/15/21 02:30:12 AM,24.641,,,,,,
29,06/15/21 04:30:12 AM,24.448,,,,,,
30,06/15/21 06:30:12 AM,24.545,,,,,,
31,06/15/21 08:30:12 AM,27.173,,,,,,
32,06/15/21 10:30:12 AM,45.703,,,,,,
33,06/15/21 12:30:12 PM,56.520,,,,,,
34,06/15/21 02:30:12 PM,44.211,,,,,,
35,06/15/21 04:30:12 PM,27.468,,,,,,
36,06/15/21 06:30:12 PM,25.416,,,,,,
37,06/15/21 08:30:12 PM,21.091,,,,,,
38,06/15/21 10:30:12 PM,21.951,,,,,,
39,06/16/21 12:30:12 AM,22.525,,,,,,
40,06/16/21 02:30:12 AM,22.717,,,,,,
41,06/16/21 04:30:12 AM,22.908,,,,,,
42,06/16/21 06:30:12 AM,23.581,,,,,,
43,06/16/21 08:30:12 AM,24.738,,,,,,
44,06/16/21 10:30:12 AM,37.384,,,,,,
45,06/16/21 12:30:12 PM,36.187,,,,,,
46,06/16/21 02:30:12 PM,34.691,,,,,,
47,06/16/21 04:30:12 PM,25.610,,,,,,
48,06/16/21 06:30:12 PM,24.641,,,,,,
49,06/16/21 08:30:12 PM,23.484,,,,,,
50,06/16/21 10:30:12 PM,22.621,,,,,,
51,06/17/21 12:30:12 AM,21.855,,,,,,
52,06/17/21 02:30:12 AM,21.473,,,,,,
53,06/17/21 04:30:12 AM,20.996,,,,,,
54,06/17/21 06:30:12 AM,20.519,,,,,,
55,06/17/21 08:30:12 AM,20.424,,,,,,
56,06/17/21 10:30:12 AM,21.091,,,,,,
57,06/17/21 12:30:12 PM,21.760,,,,,,
58,06/17/21 02:30:12 PM,25.610,,,,,,
59,06/17/21 04:30:12 PM,24.738,,,,,,
60,06/17/21 06:30:12 PM,23.966,,,,,,
61,06/17/21 08:30:12 PM,22.812,,,,,,
62,06/17/21 10:30:12 PM,21.855,,,,,,
63,06/18/21 12:30:12 AM,21.091,,,,,,
64,06/18/21 02:30:12 AM,20.424,,,,,,
65,06/18/21 04:30:12 AM,19.948,,,,,,
66,06/18/21 06:30:12 AM,19.567,,,,,,
67,06/18/21 08:30:12 AM,19.662,,,,,,
68,06/18/21 10:30:12 AM,20.805,,,,,,
