"Plot Title: 20572135"
"#","Date Time, GMT-04:00","Temp, °C (LGR S/N: 20572135, SEN S/N: 20572135)","Coupler Detached (LGR S/N: 20572135)","Coupler Attached (LGR S/N: 20572135)","Host Connected (LGR S/N: 20572135)","Stopped (LGR S/N: 20572135)","End Of File (LGR S/N: 20572135)"
1,06/17/21 05:54:15 AM,29.152,,,,,
2,06/17/21 05:54:41 AM,,Logged,,,,
3,06/17/21 07:54:15 AM,22.812,,,,,
4,06/17/21 09:54:15 AM,24.545,,,,,
5,06/17/21 11:54:15 AM,21.378,,,,,
6,06/17/21 01:54:15 PM,23.388,,,,,
7,06/17/21 03:54:15 PM,23.196,,,,,
8,06/17/21 05:54:15 PM,23.004,,,,,
9,06/17/21 07:54:15 PM,22.429,,,,,
10,06/17/21 09:54:15 PM,21.855,,,,,
11,06/17/21 11:54:15 PM,21.282,,,,,
12,06/18/21 01:54:15 AM,20.805,,,,,
13,06/18/21 03:54:15 AM,20.424,,,,,
14,06/18/21 05:54:15 AM,20.138,,,,,
15,06/18/21 07:54:15 AM,19.948,,,,,
16,06/18/21 09:54:15 AM,20.329,,,,,
17,06/18/21 11:54:15 AM,21.091,,,,,
18,06/18/21 01:54:15 PM,22.908,,,,,
19,06/18/21 03:54:15 PM,23.004,,,,,
20,06/18/21 05:54:15 PM,23.004,,,,,
21,06/18/21 07:54:15 PM,22.717,,,,,
22,06/18/21 09:54:15 PM,22.142,,,,,
23,06/18/21 11:54:15 PM,21.760,,,,,
24,06/19/21 01:54:15 AM,21.569,,,,,
25,06/19/21 03:54:15 AM,21.473,,,,,
26,06/19/21 05:54:15 AM,21.378,,,,,
27,06/19/21 07:54:15 AM,21.378,,,,,
28,06/19/21 09:54:15 AM,21.760,,,,,
29,06/19/21 11:54:15 AM,22.429,,,,,
30,06/19/21 01:54:15 PM,24.158,,,,,
31,06/19/21 03:54:15 PM,24.158,,,,,
32,06/19/21 05:54:15 PM,23.966,,,,,
33,06/19/21 07:54:15 PM,23.484,,,,,
34,06/19/21 09:54:15 PM,23.004,,,,,
35,06/19/21 11:54:15 PM,22.717,,,,,
36,06/20/21 01:54:15 AM,22.429,,,,,
37,06/20/21 03:54:15 AM,22.238,,,,,
38,06/20/21 05:54:15 AM,22.046,,,,,
39,06/20/21 07:54:15 AM,21.855,,,,,
40,06/20/21 09:54:15 AM,21.760,,,,,
41,06/20/21 11:54:15 AM,22.333,,,,,
42,06/20/21 01:54:15 PM,23.773,,,,,
43,06/20/21 03:54:15 PM,24.255,,,,,
44,06/20/21 05:54:15 PM,24.062,,,,,
45,06/20/21 07:54:15 PM,23.581,,,,,
46,06/20/21 09:54:15 PM,23.100,,,,,
47,06/20/21 11:54:15 PM,22.812,,,,,
48,06/21/21 01:54:15 AM,22.621,,,,,
49,06/21/21 03:54:15 AM,22.429,,,,,
50,06/21/21 05:54:15 AM,22.333,,,,,
51,06/21/21 07:54:15 AM,22.238,,,,,
52,06/21/21 09:54:15 AM,22.429,,,,,
53,06/21/21 11:54:15 AM,23.004,,,,,
54,06/21/21 01:54:15 PM,24.835,,,,,
55,06/21/21 03:54:15 PM,25.028,,,,,
56,06/21/21 05:54:15 PM,24.931,,,,,
57,06/21/21 07:54:15 PM,24.448,,,,,
58,06/21/21 09:54:15 PM,23.966,,,,,
59,06/21/21 11:54:15 PM,23.677,,,,,
60,06/22/21 01:54:15 AM,23.388,,,,,
61,06/22/21 03:54:15 AM,23.196,,,,,
62,06/22/21 05:54:15 AM,23.100,,,,,
63,06/22/21 07:54:15 AM,23.004,,,,,
64,06/22/21 09:54:15 AM,23.004,,,,,
65,06/22/21 11:54:15 AM,23.196,,,,,
66,06/22/21 01:54:15 PM,23.677,,,,,
