"Plot Title: 20376494"
"#","Date Time, GMT-04:00","Temp, °C (LGR S/N: 20376494, SEN S/N: 20376494)","Coupler Detached (LGR S/N: 20376494)","Coupler Attached (LGR S/N: 20376494)","Host Connected (LGR S/N: 20376494)","Stopped (LGR S/N: 20376494)","End Of File (LGR S/N: 20376494)"
1,06/12/21 10:14:20 PM,28.357,,,,,
2,06/12/21 10:14:39 PM,,Logged,,,,
3,06/13/21 12:14:20 AM,23.004,,,,,
4,06/13/21 02:14:20 AM,23.100,,,,,
5,06/13/21 04:14:20 AM,23.292,,,,,
6,06/13/21 06:14:20 AM,23.388,,,,,
7,06/13/21 08:14:20 AM,25.416,,,,,
8,06/13/21 10:14:20 AM,25.902,,,,,
9,06/13/21 12:14:20 PM,25.805,,,,,
10,06/13/21 02:14:20 PM,26.879,,,,,
11,06/13/21 04:14:20 PM,26.781,,,,,
12,06/13/21 06:14:20 PM,26.488,,,,,
13,06/13/21 08:14:20 PM,25.708,,,,,
14,06/13/21 10:14:20 PM,24.931,,,,,
15,06/14/21 12:14:20 AM,24.545,,,,,
16,06/14/21 02:14:20 AM,24.158,,,,,
17,06/14/21 04:14:20 AM,23.869,,,,,
18,06/14/21 06:14:20 AM,23.677,,,,,
19,06/14/21 08:14:20 AM,23.966,,,,,
20,06/14/21 10:14:20 AM,24.835,,,,,
21,06/14/21 12:14:20 PM,27.370,,,,,
22,06/14/21 02:14:20 PM,28.456,,,,,
23,06/14/21 04:14:20 PM,28.754,,,,,
24,06/14/21 06:14:20 PM,27.961,,,,,
25,06/14/21 08:14:20 PM,26.683,,,,,
26,06/14/21 10:14:20 PM,25.708,,,,,
27,06/15/21 12:14:20 AM,25.125,,,,,
28,06/15/21 02:14:20 AM,24.738,,,,,
29,06/15/21 04:14:20 AM,24.448,,,,,
30,06/15/21 06:14:20 AM,24.158,,,,,
31,06/15/21 08:14:20 AM,24.448,,,,,
32,06/15/21 10:14:20 AM,24.835,,,,,
33,06/15/21 12:14:20 PM,27.567,,,,,
34,06/15/21 02:14:20 PM,29.752,,,,,
35,06/15/21 04:14:20 PM,26.585,,,,,
36,06/15/21 06:14:20 PM,25.222,,,,,
37,06/15/21 08:14:20 PM,24.835,,,,,
38,06/15/21 10:14:20 PM,24.158,,,,,
39,06/16/21 12:14:20 AM,23.581,,,,,
40,06/16/21 02:14:20 AM,23.100,,,,,
41,06/16/21 04:14:20 AM,22.525,,,,,
42,06/16/21 06:14:20 AM,22.142,,,,,
43,06/16/21 08:14:20 AM,22.142,,,,,
44,06/16/21 10:14:20 AM,23.004,,,,,
45,06/16/21 12:14:20 PM,25.319,,,,,
46,06/16/21 02:14:20 PM,26.879,,,,,
47,06/16/21 04:14:20 PM,27.567,,,,,
48,06/16/21 06:14:20 PM,26.781,,,,,
49,06/16/21 08:14:20 PM,25.708,,,,,
50,06/16/21 10:14:20 PM,24.545,,,,,
51,06/17/21 12:14:20 AM,23.773,,,,,
52,06/17/21 02:14:20 AM,23.100,,,,,
53,06/17/21 04:14:20 AM,22.621,,,,,
54,06/17/21 06:14:20 AM,22.142,,,,,
55,06/17/21 08:14:20 AM,22.142,,,,,
56,06/17/21 10:14:20 AM,23.004,,,,,
57,06/17/21 12:14:20 PM,25.708,,,,,
58,06/17/21 02:14:20 PM,27.961,,,,,
59,06/17/21 04:14:20 PM,27.272,,,,,
60,06/17/21 06:14:20 PM,26.781,,,,,
61,06/17/21 08:14:20 PM,25.610,,,,,
62,06/17/21 10:14:20 PM,24.448,,,,,
63,06/18/21 12:14:20 AM,23.581,,,,,
64,06/18/21 02:14:20 AM,22.908,,,,,
65,06/18/21 04:14:20 AM,22.429,,,,,
66,06/18/21 06:14:20 AM,21.855,,,,,
67,06/18/21 08:14:20 AM,21.855,,,,,
68,06/18/21 10:14:20 AM,22.717,,,,,
69,06/18/21 12:14:20 PM,25.902,,,,,
70,06/18/21 02:14:20 PM,28.853,,,,,
71,06/18/21 04:14:20 PM,28.357,,,,,
72,06/18/21 06:14:20 PM,27.272,,,,,
73,06/18/21 08:14:20 PM,25.708,,,,,
74,06/18/21 10:14:20 PM,24.545,,,,,
75,06/19/21 12:14:20 AM,23.966,,,,,
76,06/19/21 02:14:20 AM,23.677,,,,,
77,06/19/21 04:14:20 AM,23.484,,,,,
78,06/19/21 06:14:20 AM,23.100,,,,,
79,06/19/21 08:14:20 AM,23.388,,,,,
80,06/19/21 10:14:20 AM,24.351,,,,,
81,06/19/21 12:14:20 PM,27.468,,,,,
82,06/19/21 02:14:20 PM,30.054,,,,,
83,06/19/21 04:14:20 PM,29.352,,,,,
84,06/19/21 06:14:20 PM,28.060,,,,,
85,06/19/21 08:14:20 PM,26.683,,,,,
86,06/19/21 10:14:20 PM,25.902,,,,,
87,06/20/21 12:14:20 AM,25.416,,,,,
88,06/20/21 02:14:20 AM,25.028,,,,,
89,06/20/21 04:14:20 AM,24.738,,,,,
90,06/20/21 06:14:20 AM,24.351,,,,,
91,06/20/21 08:14:20 AM,24.351,,,,,
