"Plot Title: 20376543"
"#","Date Time, GMT-04:00","Temp, °C (LGR S/N: 20376543, SEN S/N: 20376543)","Good Battery (LGR S/N: 20376543)","Coupler Detached (LGR S/N: 20376543)","Coupler Attached (LGR S/N: 20376543)","Host Connected (LGR S/N: 20376543)","Stopped (LGR S/N: 20376543)","End Of File (LGR S/N: 20376543)"
1,06/12/21 11:00:27 PM,28.258,Logged,,,,,
2,06/12/21 11:00:47 PM,,,Logged,,,,
3,06/13/21 01:00:27 AM,23.004,,,,,,
4,06/13/21 03:00:27 AM,23.292,,,,,,
5,06/13/21 05:00:27 AM,23.388,,,,,,
6,06/13/21 07:00:27 AM,23.196,,,,,,
7,06/13/21 09:00:27 AM,26.097,,,,,,
8,06/13/21 11:00:27 AM,26.683,,,,,,
9,06/13/21 01:00:27 PM,32.807,,,,,,
10,06/13/21 03:00:27 PM,26.879,,,,,,
11,06/13/21 05:00:27 PM,26.879,,,,,,
12,06/13/21 07:00:27 PM,26.195,,,,,,
13,06/13/21 09:00:27 PM,25.319,,,,,,
14,06/13/21 11:00:27 PM,24.738,,,,,,
15,06/14/21 01:00:27 AM,24.351,,,,,,
16,06/14/21 03:00:27 AM,23.966,,,,,,
17,06/14/21 05:00:27 AM,23.677,,,,,,
18,06/14/21 07:00:27 AM,23.677,,,,,,
19,06/14/21 09:00:27 AM,24.545,,,,,,
20,06/14/21 11:00:27 AM,27.075,,,,,,
21,06/14/21 01:00:27 PM,28.357,,,,,,
22,06/14/21 03:00:27 PM,28.953,,,,,,
23,06/14/21 05:00:27 PM,28.258,,,,,,
24,06/14/21 07:00:27 PM,27.272,,,,,,
25,06/14/21 09:00:27 PM,26.097,,,,,,
26,06/14/21 11:00:27 PM,25.416,,,,,,
27,06/15/21 01:00:27 AM,24.931,,,,,,
28,06/15/21 03:00:27 AM,24.545,,,,,,
29,06/15/21 05:00:27 AM,24.255,,,,,,
30,06/15/21 07:00:27 AM,24.062,,,,,,
31,06/15/21 09:00:27 AM,24.545,,,,,,
32,06/15/21 11:00:27 AM,26.585,,,,,,
33,06/15/21 01:00:27 PM,30.255,,,,,,
34,06/15/21 03:00:27 PM,29.352,,,,,,
35,06/15/21 05:00:27 PM,25.416,,,,,,
36,06/15/21 07:00:27 PM,24.448,,,,,,
37,06/15/21 09:00:27 PM,24.062,,,,,,
38,06/15/21 11:00:27 PM,23.484,,,,,,
39,06/16/21 01:00:27 AM,23.100,,,,,,
40,06/16/21 03:00:27 AM,22.525,,,,,,
41,06/16/21 05:00:27 AM,22.142,,,,,,
42,06/16/21 07:00:27 AM,21.855,,,,,,
43,06/16/21 09:00:27 AM,22.429,,,,,,
44,06/16/21 11:00:27 AM,25.319,,,,,,
45,06/16/21 01:00:27 PM,29.352,,,,,,
46,06/16/21 03:00:27 PM,29.252,,,,,,
47,06/16/21 05:00:27 PM,28.258,,,,,,
48,06/16/21 07:00:27 PM,27.075,,,,,,
49,06/16/21 09:00:27 PM,25.805,,,,,,
50,06/16/21 11:00:27 PM,24.545,,,,,,
51,06/17/21 01:00:27 AM,23.677,,,,,,
52,06/17/21 03:00:27 AM,23.004,,,,,,
53,06/17/21 05:00:27 AM,22.333,,,,,,
54,06/17/21 07:00:27 AM,22.046,,,,,,
55,06/17/21 09:00:27 AM,23.100,,,,,,
56,06/17/21 11:00:27 AM,27.567,,,,,,
57,06/17/21 01:00:27 PM,28.159,,,,,,
58,06/17/21 03:00:27 PM,27.764,,,,,,
59,06/17/21 05:00:27 PM,26.683,,,,,,
60,06/17/21 07:00:27 PM,26.292,,,,,,
61,06/17/21 09:00:27 PM,25.125,,,,,,
62,06/17/21 11:00:27 PM,23.966,,,,,,
63,06/18/21 01:00:27 AM,23.100,,,,,,
64,06/18/21 03:00:27 AM,22.429,,,,,,
65,06/18/21 05:00:27 AM,21.855,,,,,,
66,06/18/21 07:00:27 AM,21.473,,,,,,
67,06/18/21 09:00:27 AM,22.621,,,,,,
68,06/18/21 11:00:27 AM,27.665,,,,,,
69,06/18/21 01:00:27 PM,28.853,,,,,,
70,06/18/21 03:00:27 PM,29.352,,,,,,
71,06/18/21 05:00:27 PM,27.272,,,,,,
72,06/18/21 07:00:27 PM,26.292,,,,,,
73,06/18/21 09:00:27 PM,24.835,,,,,,
74,06/18/21 11:00:27 PM,23.966,,,,,,
75,06/19/21 01:00:27 AM,23.484,,,,,,
76,06/19/21 03:00:27 AM,23.196,,,,,,
77,06/19/21 05:00:27 AM,22.812,,,,,,
78,06/19/21 07:00:27 AM,22.621,,,,,,
79,06/19/21 09:00:27 AM,23.869,,,,,,
80,06/19/21 11:00:27 AM,28.159,,,,,,
81,06/19/21 01:00:27 PM,31.778,,,,,,
82,06/19/21 03:00:27 PM,30.862,,,,,,
