"Plot Title: 21109168"
"#","Date Time, GMT-08:00","Water Content, m³/m³ (LGR S/N: 21109168, SEN S/N: 20267510)","Water Content, m³/m³ (LGR S/N: 21109168, SEN S/N: 20267512)"
1,06/15/21 05:42:45 AM,0.2487,0.2668
2,06/15/21 06:12:45 AM,0.2472,0.2676
3,06/15/21 06:42:45 AM,0.2472,0.2676
4,06/15/21 07:12:45 AM,0.2465,0.2676
5,06/15/21 07:42:45 AM,0.2458,0.2668
6,06/15/21 08:12:45 AM,0.2458,0.2668
7,06/15/21 08:42:45 AM,0.2458,0.2661
8,06/15/21 09:12:45 AM,0.2451,0.2668
9,06/15/21 09:42:45 AM,0.2451,0.2668
10,06/15/21 10:12:45 AM,0.2451,0.2668
11,06/15/21 10:42:45 AM,0.2458,0.2668
12,06/15/21 11:12:45 AM,0.2451,0.2668
13,06/15/21 11:42:45 AM,0.2451,0.2668
14,06/15/21 12:12:45 PM,0.2451,0.2661
15,06/15/21 12:42:45 PM,0.2443,0.2654
16,06/15/21 01:12:45 PM,0.2509,0.2683
17,06/15/21 01:42:45 PM,0.2574,0.2698
18,06/15/21 02:12:45 PM,0.2589,0.2705
19,06/15/21 02:42:45 PM,0.2589,0.2712
20,06/15/21 03:12:45 PM,0.2574,0.2705
21,06/15/21 03:42:45 PM,0.2567,0.2705
22,06/15/21 04:12:45 PM,0.2560,0.2705
23,06/15/21 04:42:45 PM,0.2560,0.2705
24,06/15/21 05:12:45 PM,0.2552,0.2705
25,06/15/21 05:42:45 PM,0.2545,0.2705
26,06/15/21 06:12:45 PM,0.2545,0.2712
27,06/15/21 06:42:45 PM,0.2538,0.2698
28,06/15/21 07:12:45 PM,0.2538,0.2705
29,06/15/21 07:42:45 PM,0.2538,0.2705
30,06/15/21 08:12:45 PM,0.2538,0.2698
31,06/15/21 08:42:45 PM,0.2530,0.2698
32,06/15/21 09:12:45 PM,0.2530,0.2698
33,06/15/21 09:42:45 PM,0.2530,0.2698
34,06/15/21 10:12:45 PM,0.2530,0.2698
35,06/15/21 10:42:45 PM,0.2530,0.2698
36,06/15/21 11:12:45 PM,0.2523,0.2690
37,06/15/21 11:42:45 PM,0.2530,0.2698
38,06/16/21 12:12:45 AM,0.2523,0.2690
39,06/16/21 12:42:45 AM,0.2523,0.2698
40,06/16/21 01:12:45 AM,0.2523,0.2690
41,06/16/21 01:42:45 AM,0.2523,0.2690
42,06/16/21 02:12:45 AM,0.2523,0.2690
43,06/16/21 02:42:45 AM,0.2523,0.2690
44,06/16/21 03:12:45 AM,0.2516,0.2690
45,06/16/21 03:42:45 AM,0.2523,0.2690
46,06/16/21 04:12:45 AM,0.2516,0.2690
47,06/16/21 04:42:45 AM,0.2516,0.2690
48,06/16/21 05:12:45 AM,0.2516,0.2690
49,06/16/21 05:42:45 AM,0.2516,0.2690
50,06/16/21 06:12:45 AM,0.2523,0.2698
51,06/16/21 06:42:45 AM,0.2509,0.2690
52,06/16/21 07:12:45 AM,0.2516,0.2698
53,06/16/21 07:42:45 AM,0.2516,0.2698
54,06/16/21 08:12:45 AM,0.2516,0.2690
55,06/16/21 08:42:45 AM,0.2509,0.2690
56,06/16/21 09:12:45 AM,0.2509,0.2690
57,06/16/21 09:42:45 AM,0.2501,0.2690
58,06/16/21 10:12:45 AM,0.2494,0.2698
