"Plot Title: 20376537"
"#","Date Time, GMT-04:00","Temp, °C (LGR S/N: 20376537, SEN S/N: 20376537)","Coupler Detached (LGR S/N: 20376537)","Coupler Attached (LGR S/N: 20376537)","Host Connected (LGR S/N: 20376537)","Stopped (LGR S/N: 20376537)","End Of File (LGR S/N: 20376537)"
1,06/12/21 10:34:20 PM,29.053,,,,,
2,06/12/21 10:34:49 PM,,Logged,,,,
3,06/13/21 12:34:20 AM,22.812,,,,,
4,06/13/21 02:34:20 AM,23.100,,,,,
5,06/13/21 04:34:20 AM,23.292,,,,,
6,06/13/21 06:34:20 AM,23.196,,,,,
7,06/13/21 08:34:20 AM,24.448,,,,,
8,06/13/21 10:34:20 AM,26.000,,,,,
9,06/13/21 12:34:20 PM,35.756,,,,,
10,06/13/21 02:34:20 PM,30.760,,,,,
11,06/13/21 04:34:20 PM,28.456,,,,,
12,06/13/21 06:34:20 PM,24.738,,,,,
13,06/13/21 08:34:20 PM,23.100,,,,,
14,06/13/21 10:34:20 PM,22.621,,,,,
15,06/14/21 12:34:20 AM,22.429,,,,,
16,06/14/21 02:34:20 AM,22.142,,,,,
17,06/14/21 04:34:20 AM,22.046,,,,,
18,06/14/21 06:34:20 AM,22.525,,,,,
19,06/14/21 08:34:20 AM,28.655,,,,,
20,06/14/21 10:34:20 AM,29.853,,,,,
21,06/14/21 12:34:20 PM,35.649,,,,,
22,06/14/21 02:34:20 PM,30.154,,,,,
23,06/14/21 04:34:20 PM,27.468,,,,,
24,06/14/21 06:34:20 PM,25.805,,,,,
25,06/14/21 08:34:20 PM,24.835,,,,,
26,06/14/21 10:34:20 PM,24.062,,,,,
27,06/15/21 12:34:20 AM,23.581,,,,,
28,06/15/21 02:34:20 AM,23.196,,,,,
29,06/15/21 04:34:20 AM,22.812,,,,,
30,06/15/21 06:34:20 AM,22.621,,,,,
31,06/15/21 08:34:20 AM,23.292,,,,,
32,06/15/21 10:34:20 AM,25.416,,,,,
33,06/15/21 12:34:20 PM,26.683,,,,,
34,06/15/21 02:34:20 PM,27.665,,,,,
35,06/15/21 04:34:20 PM,26.292,,,,,
36,06/15/21 06:34:20 PM,24.931,,,,,
37,06/15/21 08:34:20 PM,24.255,,,,,
38,06/15/21 10:34:20 PM,23.388,,,,,
39,06/16/21 12:34:20 AM,22.908,,,,,
40,06/16/21 02:34:20 AM,22.238,,,,,
41,06/16/21 04:34:20 AM,21.760,,,,,
42,06/16/21 06:34:20 AM,21.378,,,,,
43,06/16/21 08:34:20 AM,22.238,,,,,
44,06/16/21 10:34:20 AM,24.641,,,,,
45,06/16/21 12:34:20 PM,26.000,,,,,
46,06/16/21 02:34:20 PM,28.555,,,,,
47,06/16/21 04:34:20 PM,27.272,,,,,
48,06/16/21 06:34:20 PM,26.292,,,,,
49,06/16/21 08:34:20 PM,24.835,,,,,
50,06/16/21 10:34:20 PM,23.484,,,,,
51,06/17/21 12:34:20 AM,22.621,,,,,
52,06/17/21 02:34:20 AM,21.951,,,,,
53,06/17/21 04:34:20 AM,21.473,,,,,
54,06/17/21 06:34:20 AM,20.996,,,,,
55,06/17/21 08:34:20 AM,22.046,,,,,
56,06/17/21 10:34:20 AM,24.255,,,,,
57,06/17/21 12:34:20 PM,25.610,,,,,
58,06/17/21 02:34:20 PM,28.060,,,,,
59,06/17/21 04:34:20 PM,26.781,,,,,
60,06/17/21 06:34:20 PM,25.222,,,,,
61,06/17/21 08:34:20 PM,23.677,,,,,
62,06/17/21 10:34:20 PM,22.238,,,,,
63,06/18/21 12:34:20 AM,21.378,,,,,
64,06/18/21 02:34:20 AM,20.901,,,,,
65,06/18/21 04:34:20 AM,20.424,,,,,
66,06/18/21 06:34:20 AM,20.138,,,,,
67,06/18/21 08:34:20 AM,21.282,,,,,
68,06/18/21 10:34:20 AM,23.773,,,,,
69,06/18/21 12:34:20 PM,25.222,,,,,
70,06/18/21 02:34:20 PM,27.075,,,,,
71,06/18/21 04:34:20 PM,26.195,,,,,
72,06/18/21 06:34:20 PM,24.931,,,,,
73,06/18/21 08:34:20 PM,23.773,,,,,
74,06/18/21 10:34:20 PM,22.717,,,,,
75,06/19/21 12:34:20 AM,22.333,,,,,
76,06/19/21 02:34:20 AM,21.951,,,,,
77,06/19/21 04:34:20 AM,21.569,,,,,
78,06/19/21 06:34:20 AM,21.378,,,,,
79,06/19/21 08:34:20 AM,22.621,,,,,
80,06/19/21 10:34:20 AM,24.641,,,,,
81,06/19/21 12:34:20 PM,26.292,,,,,
82,06/19/21 02:34:20 PM,28.456,,,,,
83,06/19/21 04:34:20 PM,27.468,,,,,
84,06/19/21 06:34:20 PM,26.000,,,,,
85,06/19/21 08:34:20 PM,24.835,,,,,
86,06/19/21 10:34:20 PM,24.062,,,,,
87,06/20/21 12:34:20 AM,23.581,,,,,
88,06/20/21 02:34:20 AM,23.388,,,,,
89,06/20/21 04:34:20 AM,23.100,,,,,
90,06/20/21 06:34:20 AM,22.142,,,,,
91,06/20/21 08:34:20 AM,22.429,,,,,
92,06/20/21 10:34:20 AM,24.835,,,,,
93,06/20/21 12:34:20 PM,26.390,,,,,
94,06/20/21 02:34:20 PM,28.456,,,,,
95,06/20/21 04:34:20 PM,27.173,,,,,
96,06/20/21 06:34:20 PM,26.097,,,,,
97,06/20/21 08:34:20 PM,25.028,,,,,
98,06/20/21 10:34:20 PM,24.545,,,,,
99,06/21/21 12:34:20 AM,23.484,,,,,
100,06/21/21 02:34:20 AM,23.677,,,,,
101,06/21/21 04:34:20 AM,23.581,,,,,
102,06/21/21 06:34:20 AM,23.484,,,,,
103,06/21/21 08:34:20 AM,23.773,,,,,
104,06/21/21 10:34:20 AM,25.610,,,,,
105,06/21/21 12:34:20 PM,27.075,,,,,
106,06/21/21 02:34:20 PM,29.352,,,,,
107,06/21/21 04:34:20 PM,28.555,,,,,
108,06/21/21 06:34:20 PM,27.173,,,,,
109,06/21/21 08:34:20 PM,26.097,,,,,
110,06/21/21 10:34:20 PM,25.222,,,,,
111,06/22/21 12:34:20 AM,24.835,,,,,
112,06/22/21 02:34:20 AM,24.545,,,,,
113,06/22/21 04:34:20 AM,24.351,,,,,
114,06/22/21 06:34:20 AM,24.158,,,,,
115,06/22/21 08:34:20 AM,24.255,,,,,
116,06/22/21 10:34:20 AM,25.513,,,,,
117,06/22/21 12:34:20 PM,26.195,,,,,
118,06/22/21 02:34:20 PM,25.708,,,,,
119,06/22/21 04:34:20 PM,26.195,,,,,
120,06/22/21 06:34:20 PM,25.610,,,,,
121,06/22/21 08:34:20 PM,24.931,,,,,
122,06/22/21 10:34:20 PM,24.158,,,,,
123,06/23/21 12:34:20 AM,23.677,,,,,
124,06/23/21 02:34:20 AM,23.388,,,,,
125,06/23/21 04:34:20 AM,23.100,,,,,
126,06/23/21 06:34:20 AM,22.812,,,,,
127,06/23/21 08:34:20 AM,23.100,,,,,
128,06/23/21 10:34:20 AM,24.545,,,,,
129,06/23/21 12:34:20 PM,25.708,,,,,
130,06/23/21 02:34:20 PM,27.075,,,,,
131,06/23/21 04:34:20 PM,26.292,,,,,
132,06/23/21 06:34:20 PM,25.125,,,,,
133,06/23/21 08:34:20 PM,23.869,,,,,
134,06/23/21 10:34:20 PM,22.812,,,,,
135,06/24/21 12:34:20 AM,22.046,,,,,
136,06/24/21 02:34:20 AM,21.473,,,,,
137,06/24/21 04:34:20 AM,20.901,,,,,
138,06/24/21 06:34:20 AM,20.424,,,,,
139,06/24/21 08:34:20 AM,21.187,,,,,
140,06/24/21 10:34:20 AM,23.292,,,,,
141,06/24/21 12:34:20 PM,23.966,,,,,
142,06/24/21 02:34:20 PM,26.683,,,,,
143,06/24/21 04:34:20 PM,25.513,,,,,
144,06/24/21 06:34:20 PM,24.448,,,,,
145,06/24/21 08:34:20 PM,23.677,,,,,
146,06/24/21 10:34:20 PM,23.004,,,,,
147,06/25/21 12:34:20 AM,22.621,,,,,
148,06/25/21 02:34:20 AM,22.525,,,,,
149,06/25/21 04:34:20 AM,22.142,,,,,
150,06/25/21 06:34:20 AM,21.951,,,,,
151,06/25/21 08:34:20 AM,22.429,,,,,
152,06/25/21 10:34:20 AM,24.641,,,,,
153,06/25/21 12:34:20 PM,24.255,,,,,
154,06/25/21 02:34:20 PM,25.319,,,,,
155,06/25/21 04:34:20 PM,25.319,,,,,
156,06/25/21 06:34:20 PM,24.738,,,,,
157,06/25/21 08:34:20 PM,23.966,,,,,
158,06/25/21 10:34:20 PM,23.196,,,,,
159,06/26/21 12:34:20 AM,22.621,,,,,
160,06/26/21 02:34:20 AM,22.142,,,,,
161,06/26/21 04:34:20 AM,21.855,,,,,
162,06/26/21 06:34:20 AM,21.760,,,,,
163,06/26/21 08:34:20 AM,22.429,,,,,
164,06/26/21 10:34:20 AM,24.062,,,,,
165,06/26/21 12:34:20 PM,25.902,,,,,
166,06/26/21 02:34:20 PM,28.357,,,,,
167,06/26/21 04:34:20 PM,27.567,,,,,
168,06/26/21 06:34:20 PM,26.195,,,,,
169,06/26/21 08:34:20 PM,25.222,,,,,
170,06/26/21 10:34:20 PM,24.158,,,,,
171,06/27/21 12:34:20 AM,23.388,,,,,
172,06/27/21 02:34:20 AM,22.908,,,,,
173,06/27/21 04:34:20 AM,22.525,,,,,
174,06/27/21 06:34:20 AM,22.142,,,,,
175,06/27/21 08:34:20 AM,22.717,,,,,
176,06/27/21 10:34:20 AM,24.738,,,,,
177,06/27/21 12:34:20 PM,26.000,,,,,
178,06/27/21 02:34:20 PM,28.159,,,,,
179,06/27/21 04:34:20 PM,27.173,,,,,
180,06/27/21 06:34:20 PM,26.000,,,,,
181,06/27/21 08:34:20 PM,24.931,,,,,
182,06/27/21 10:34:20 PM,23.773,,,,,
183,06/28/21 12:34:20 AM,23.100,,,,,
184,06/28/21 02:34:20 AM,22.621,,,,,
185,06/28/21 04:34:20 AM,22.525,,,,,
186,06/28/21 06:34:20 AM,22.525,,,,,
187,06/28/21 08:34:20 AM,23.292,,,,,
188,06/28/21 10:34:20 AM,24.351,,,,,
189,06/28/21 12:34:20 PM,24.158,,,,,
190,06/28/21 02:34:20 PM,26.292,,,,,
191,06/28/21 04:34:20 PM,26.390,,,,,
192,06/28/21 06:34:20 PM,25.708,,,,,
193,06/28/21 08:34:20 PM,24.931,,,,,
194,06/28/21 10:34:20 PM,23.966,,,,,
195,06/29/21 12:34:20 AM,23.292,,,,,
196,06/29/21 02:34:20 AM,22.908,,,,,
197,06/29/21 04:34:20 AM,22.621,,,,,
198,06/29/21 06:34:20 AM,22.429,,,,,
199,06/29/21 08:34:20 AM,23.100,,,,,
200,06/29/21 10:34:20 AM,25.319,,,,,
201,06/29/21 12:34:20 PM,25.805,,,,,
202,06/29/21 02:34:20 PM,28.258,,,,,
203,06/29/21 04:34:20 PM,27.665,,,,,
204,06/29/21 06:34:20 PM,26.683,,,,,
205,06/29/21 08:34:20 PM,25.610,,,,,
206,06/29/21 10:34:20 PM,24.545,,,,,
207,06/30/21 12:34:20 AM,23.869,,,,,
208,06/30/21 02:34:20 AM,23.388,,,,,
209,06/30/21 04:34:20 AM,23.004,,,,,
210,06/30/21 06:34:20 AM,22.717,,,,,
211,06/30/21 08:34:20 AM,23.388,,,,,
212,06/30/21 10:34:20 AM,24.835,,,,,
213,06/30/21 12:34:20 PM,26.097,,,,,
214,06/30/21 02:34:20 PM,29.053,,,,,
215,06/30/21 04:34:20 PM,28.159,,,,,
216,06/30/21 06:34:20 PM,26.781,,,,,
217,06/30/21 08:34:20 PM,25.708,,,,,
218,06/30/21 10:34:20 PM,24.738,,,,,
219,07/01/21 12:34:20 AM,24.062,,,,,
220,07/01/21 02:34:20 AM,23.581,,,,,
221,07/01/21 04:34:20 AM,23.196,,,,,
