"Plot Title: 20572137"
"#","Date Time, GMT-04:00","Temp, °C (LGR S/N: 20572137, SEN S/N: 20572137)","Coupler Detached (LGR S/N: 20572137)","Bad Battery (LGR S/N: 20572137)","End Of File (LGR S/N: 20572137)"
1,06/13/21 07:41:15 PM,23.484,,,
2,06/13/21 07:41:22 PM,,Logged,,
3,06/13/21 09:41:15 PM,21.951,,,
4,06/13/21 11:41:15 PM,22.046,,,
5,06/14/21 01:41:15 AM,21.855,,,
6,06/14/21 03:41:15 AM,21.569,,,
7,06/14/21 05:41:15 AM,22.238,,,
8,06/14/21 07:41:15 AM,24.062,,,
9,06/14/21 09:41:15 AM,32.807,,,
10,06/14/21 11:41:15 AM,36.728,,,
11,06/14/21 01:41:15 PM,34.058,,,
12,06/14/21 03:41:15 PM,31.268,,,
13,06/14/21 05:41:15 PM,28.258,,,
14,06/14/21 07:41:15 PM,26.781,,,
15,06/14/21 09:41:15 PM,25.416,,,
16,06/14/21 11:41:15 PM,24.641,,,
17,06/15/21 01:41:15 AM,23.966,,,
18,06/15/21 03:41:15 AM,23.484,,,
19,06/15/21 05:41:15 AM,23.100,,,
20,06/15/21 07:41:15 AM,23.196,,,
21,06/15/21 09:41:15 AM,24.255,,,
22,06/15/21 11:41:15 AM,28.853,,,
23,06/15/21 01:41:15 PM,31.268,,,
24,06/15/21 03:41:15 PM,28.853,,,
25,06/15/21 05:41:15 PM,26.000,,,
26,06/15/21 07:41:15 PM,25.708,,,
27,06/15/21 09:41:15 PM,24.351,,,
28,06/15/21 11:41:15 PM,23.677,,,
29,06/16/21 01:41:15 AM,22.812,,,
30,06/16/21 03:41:15 AM,22.142,,,
31,06/16/21 05:41:15 AM,21.569,,,
32,06/16/21 07:41:15 AM,21.855,,,
33,06/16/21 09:41:15 AM,23.388,,,
34,06/16/21 11:41:15 AM,28.754,,,
35,06/16/21 01:41:15 PM,31.370,,,
36,06/16/21 03:41:15 PM,30.862,,,
37,06/16/21 05:41:15 PM,28.754,,,
38,06/16/21 07:41:15 PM,26.781,,,
39,06/16/21 09:41:15 PM,24.835,,,
40,06/16/21 11:41:15 PM,23.484,,,
41,06/17/21 01:41:15 AM,22.525,,,
42,06/17/21 03:41:15 AM,21.855,,,
43,06/17/21 05:41:15 AM,21.187,,,
44,06/17/21 07:41:15 AM,21.569,,,
45,06/17/21 09:41:15 AM,22.812,,,
46,06/17/21 11:41:15 AM,28.555,,,
47,06/17/21 01:41:15 PM,31.574,,,
48,06/17/21 03:41:15 PM,31.676,,,
