"Plot Title: 20376530"
"#","Date Time, GMT-04:00","Temp, °C (LGR S/N: 20376530, SEN S/N: 20376530)","Coupler Detached (LGR S/N: 20376530)","Coupler Attached (LGR S/N: 20376530)","Host Connected (LGR S/N: 20376530)","Stopped (LGR S/N: 20376530)","End Of File (LGR S/N: 20376530)"
1,06/12/21 10:40:25 PM,28.357,,,,,
2,06/12/21 10:40:37 PM,,Logged,,,,
3,06/13/21 12:40:25 AM,22.908,,,,,
4,06/13/21 02:40:25 AM,23.196,,,,,
5,06/13/21 04:40:25 AM,23.292,,,,,
6,06/13/21 06:40:25 AM,23.196,,,,,
7,06/13/21 08:40:25 AM,24.931,,,,,
8,06/13/21 10:40:25 AM,26.000,,,,,
9,06/13/21 12:40:25 PM,36.295,,,,,
10,06/13/21 02:40:25 PM,29.953,,,,,
11,06/13/21 04:40:25 PM,27.961,,,,,
12,06/13/21 06:40:25 PM,24.351,,,,,
13,06/13/21 08:40:25 PM,23.196,,,,,
14,06/13/21 10:40:25 PM,22.525,,,,,
15,06/14/21 12:40:25 AM,22.333,,,,,
16,06/14/21 02:40:25 AM,22.238,,,,,
17,06/14/21 04:40:25 AM,21.855,,,,,
18,06/14/21 06:40:25 AM,22.621,,,,,
19,06/14/21 08:40:25 AM,30.356,,,,,
20,06/14/21 10:40:25 AM,32.497,,,,,
21,06/14/21 12:40:25 PM,30.659,,,,,
22,06/14/21 02:40:25 PM,32.807,,,,,
23,06/14/21 04:40:25 PM,30.558,,,,,
24,06/14/21 06:40:25 PM,28.655,,,,,
25,06/14/21 08:40:25 PM,26.585,,,,,
26,06/14/21 10:40:25 PM,25.222,,,,,
27,06/15/21 12:40:25 AM,24.448,,,,,
28,06/15/21 02:40:25 AM,23.773,,,,,
29,06/15/21 04:40:25 AM,23.292,,,,,
30,06/15/21 06:40:25 AM,23.388,,,,,
31,06/15/21 08:40:25 AM,24.545,,,,,
32,06/15/21 10:40:25 AM,27.567,,,,,
33,06/15/21 12:40:25 PM,32.497,,,,,
34,06/15/21 02:40:25 PM,32.600,,,,,
35,06/15/21 04:40:25 PM,28.555,,,,,
36,06/15/21 06:40:25 PM,26.879,,,,,
37,06/15/21 08:40:25 PM,25.708,,,,,
38,06/15/21 10:40:25 PM,23.966,,,,,
39,06/16/21 12:40:25 AM,23.100,,,,,
40,06/16/21 02:40:25 AM,22.429,,,,,
41,06/16/21 04:40:25 AM,21.664,,,,,
