"Plot Title: 20569082"
"#","Date Time, GMT-04:00","Water Content, m³/m³ (LGR S/N: 20569082, SEN S/N: 20369777)","Water Content, m³/m³ (LGR S/N: 20569082, SEN S/N: 20369783)"
1,06/14/23 11:03:30 AM,0.1840,0.2298
2,06/14/23 11:33:30 AM,0.1833,0.2305
3,06/14/23 12:03:30 PM,0.1833,0.2305
4,06/14/23 12:33:30 PM,0.1833,0.2313
5,06/14/23 01:03:30 PM,0.1826,0.2313
6,06/14/23 01:33:30 PM,0.1826,0.2313
7,06/14/23 02:03:30 PM,0.1833,0.2320
8,06/14/23 02:33:30 PM,0.1833,0.2320
9,06/14/23 03:03:30 PM,0.1826,0.2313
10,06/14/23 03:33:30 PM,0.1826,0.2313
11,06/14/23 04:03:30 PM,0.1826,0.2305
12,06/14/23 04:33:30 PM,0.1826,0.2305
13,06/14/23 05:03:30 PM,0.1826,0.2313
14,06/14/23 05:33:30 PM,0.1826,0.2305
15,06/14/23 06:03:30 PM,0.1819,0.2305
16,06/14/23 06:33:30 PM,0.1819,0.2305
17,06/14/23 07:03:30 PM,0.1826,0.2298
18,06/14/23 07:33:30 PM,0.1819,0.2298
19,06/14/23 08:03:30 PM,0.1819,0.2298
20,06/14/23 08:33:30 PM,0.1826,0.2298
21,06/14/23 09:03:30 PM,0.1826,0.2291
22,06/14/23 09:33:30 PM,0.1826,0.2291
23,06/14/23 10:03:30 PM,0.1826,0.2291
24,06/14/23 10:33:30 PM,0.1826,0.2291
25,06/14/23 11:03:30 PM,0.1826,0.2291
26,06/14/23 11:33:30 PM,0.1826,0.2291
27,06/15/23 12:03:30 AM,0.1826,0.2291
28,06/15/23 12:33:30 AM,0.1826,0.2291
29,06/15/23 01:03:30 AM,0.1826,0.2291
30,06/15/23 01:33:30 AM,0.1826,0.2291
31,06/15/23 02:03:30 AM,0.1826,0.2291
32,06/15/23 02:33:30 AM,0.1826,0.2291
33,06/15/23 03:03:30 AM,0.1826,0.2291
34,06/15/23 03:33:30 AM,0.1826,0.2291
35,06/15/23 04:03:30 AM,0.1826,0.2291
36,06/15/23 04:33:30 AM,0.1826,0.2291
37,06/15/23 05:03:30 AM,0.1826,0.2291
38,06/15/23 05:33:30 AM,0.1826,0.2291
39,06/15/23 06:03:30 AM,0.1826,0.2291
40,06/15/23 06:33:30 AM,0.1826,0.2291
41,06/15/23 07:03:30 AM,0.1826,0.2284
42,06/15/23 07:33:30 AM,0.1826,0.2291
43,06/15/23 08:03:30 AM,0.1833,0.2291
44,06/15/23 08:33:30 AM,0.1826,0.2291
45,06/15/23 09:03:30 AM,0.1833,0.2291
46,06/15/23 09:33:30 AM,0.1826,0.2291
47,06/15/23 10:03:30 AM,0.1826,0.2291
48,06/15/23 10:33:30 AM,0.1833,0.2298
49,06/15/23 11:03:30 AM,0.1833,0.2298
50,06/15/23 11:33:30 AM,0.1833,0.2298
51,06/15/23 12:03:30 PM,0.1826,0.2298
52,06/15/23 12:33:30 PM,0.1826,0.2305
53,06/15/23 01:03:30 PM,0.1826,0.2305
54,06/15/23 01:33:30 PM,0.1826,0.2305
55,06/15/23 02:03:30 PM,0.1826,0.2305
56,06/15/23 02:33:30 PM,0.1826,0.2305
57,06/15/23 03:03:30 PM,0.1826,0.2298
58,06/15/23 03:33:30 PM,0.1819,0.2305
59,06/15/23 04:03:30 PM,0.1826,0.2298
60,06/15/23 04:33:30 PM,0.1819,0.2291
61,06/15/23 05:03:30 PM,0.1819,0.2291
62,06/15/23 05:33:30 PM,0.1819,0.2291
63,06/15/23 06:03:30 PM,0.1819,0.2291
64,06/15/23 06:33:30 PM,0.1819,0.2291
65,06/15/23 07:03:30 PM,0.1819,0.2284
66,06/15/23 07:33:30 PM,0.1819,0.2291
67,06/15/23 08:03:30 PM,0.1819,0.2284
68,06/15/23 08:33:30 PM,0.1819,0.2284
69,06/15/23 09:03:30 PM,0.1819,0.2284
70,06/15/23 09:33:30 PM,0.1819,0.2284
71,06/15/23 10:03:30 PM,0.1819,0.2276
72,06/15/23 10:33:30 PM,0.1819,0.2284
73,06/15/23 11:03:30 PM,0.1819,0.2284
74,06/15/23 11:33:30 PM,0.1819,0.2284
75,06/16/23 12:03:30 AM,0.1819,0.2284
76,06/16/23 12:33:30 AM,0.1819,0.2276
77,06/16/23 01:03:30 AM,0.1819,0.2284
78,06/16/23 01:33:30 AM,0.1826,0.2284
79,06/16/23 02:03:30 AM,0.1826,0.2284
80,06/16/23 02:33:30 AM,0.1826,0.2284
81,06/16/23 03:03:30 AM,0.1826,0.2284
82,06/16/23 03:33:30 AM,0.1819,0.2284
83,06/16/23 04:03:30 AM,0.1826,0.2284
84,06/16/23 04:33:30 AM,0.1826,0.2284
85,06/16/23 05:03:30 AM,0.1826,0.2291
86,06/16/23 05:33:30 AM,0.1826,0.2291
87,06/16/23 06:03:30 AM,0.1826,0.2291
88,06/16/23 06:33:30 AM,0.1826,0.2284
89,06/16/23 07:03:30 AM,0.1826,0.2291
90,06/16/23 07:33:30 AM,0.1826,0.2291
91,06/16/23 08:03:30 AM,0.1826,0.2291
92,06/16/23 08:33:30 AM,0.1826,0.2291
93,06/16/23 09:03:30 AM,0.1826,0.2291
94,06/16/23 09:33:30 AM,0.1826,0.2291
95,06/16/23 10:03:30 AM,0.1826,0.2298
96,06/16/23 10:33:30 AM,0.1833,0.2298
97,06/16/23 11:03:30 AM,0.1826,0.2298
98,06/16/23 11:33:30 AM,0.1826,0.2298
99,06/16/23 12:03:30 PM,0.1826,0.2305
100,06/16/23 12:33:30 PM,0.1826,0.2305
101,06/16/23 01:03:30 PM,0.1826,0.2298
102,06/16/23 01:33:30 PM,0.1826,0.2305
103,06/16/23 02:03:30 PM,0.1826,0.2305
104,06/16/23 02:33:30 PM,0.1826,0.2305
105,06/16/23 03:03:30 PM,0.1826,0.2305
106,06/16/23 03:33:30 PM,0.1819,0.2298
107,06/16/23 04:03:30 PM,0.1826,0.2298
108,06/16/23 04:33:30 PM,0.1819,0.2298
109,06/16/23 05:03:30 PM,0.1819,0.2298
110,06/16/23 05:33:30 PM,0.1819,0.2298
111,06/16/23 06:03:30 PM,0.1819,0.2298
112,06/16/23 06:33:30 PM,0.1819,0.2291
113,06/16/23 07:03:30 PM,0.1819,0.2291
114,06/16/23 07:33:30 PM,0.1811,0.2291
115,06/16/23 08:03:30 PM,0.1819,0.2291
116,06/16/23 08:33:30 PM,0.1811,0.2291
117,06/16/23 09:03:30 PM,0.1819,0.2284
118,06/16/23 09:33:30 PM,0.1819,0.2284
119,06/16/23 10:03:30 PM,0.1819,0.2284
120,06/16/23 10:33:30 PM,0.1819,0.2284
121,06/16/23 11:03:30 PM,0.1819,0.2284
122,06/16/23 11:33:30 PM,0.1819,0.2284
123,06/17/23 12:03:30 AM,0.1819,0.2284
124,06/17/23 12:33:30 AM,0.1819,0.2284
125,06/17/23 01:03:30 AM,0.1819,0.2284
126,06/17/23 01:33:30 AM,0.1819,0.2276
127,06/17/23 02:03:30 AM,0.1819,0.2276
128,06/17/23 02:33:30 AM,0.1819,0.2276
129,06/17/23 03:03:30 AM,0.1819,0.2276
130,06/17/23 03:33:30 AM,0.1819,0.2276
131,06/17/23 04:03:30 AM,0.1826,0.2276
132,06/17/23 04:33:30 AM,0.1819,0.2276
133,06/17/23 05:03:30 AM,0.1819,0.2276
134,06/17/23 05:33:30 AM,0.1819,0.2284
135,06/17/23 06:03:30 AM,0.1826,0.2276
136,06/17/23 06:33:30 AM,0.1826,0.2276
137,06/17/23 07:03:30 AM,0.1826,0.2276
138,06/17/23 07:33:30 AM,0.1826,0.2276
139,06/17/23 08:03:30 AM,0.1826,0.2276
140,06/17/23 08:33:30 AM,0.1826,0.2276
141,06/17/23 09:03:30 AM,0.1826,0.2276
142,06/17/23 09:33:30 AM,0.1826,0.2284
143,06/17/23 10:03:30 AM,0.1826,0.2284
144,06/17/23 10:33:30 AM,0.1826,0.2284
145,06/17/23 11:03:30 AM,0.1826,0.2284
146,06/17/23 11:33:30 AM,0.1826,0.2284
147,06/17/23 12:03:30 PM,0.1819,0.2284
148,06/17/23 12:33:30 PM,0.1826,0.2291
149,06/17/23 01:03:30 PM,0.1826,0.2298
150,06/17/23 01:33:30 PM,0.1826,0.2305
151,06/17/23 02:03:30 PM,0.1826,0.2305
152,06/17/23 02:33:30 PM,0.1826,0.2305
153,06/17/23 03:03:30 PM,0.1826,0.2298
154,06/17/23 03:33:30 PM,0.1826,0.2291
155,06/17/23 04:03:30 PM,0.1819,0.2284
156,06/17/23 04:33:30 PM,0.1819,0.2284
157,06/17/23 05:03:30 PM,0.1819,0.2284
