"Plot Title: GL"
"#","Date Time, GMT-04:00","Temp, °C (LGR S/N: 20376524, SEN S/N: 20376524)","Coupler Detached (LGR S/N: 20376524)","End Of File (LGR S/N: 20376524)"
1,06/13/23 08:48:06 PM,28.655,,
2,06/13/23 08:49:24 PM,,Logged,
3,06/13/23 09:18:06 PM,23.484,,
4,06/13/23 09:48:06 PM,22.621,,
5,06/13/23 10:18:06 PM,22.238,,
6,06/13/23 10:48:06 PM,22.525,,
7,06/13/23 11:18:06 PM,22.429,,
8,06/13/23 11:48:06 PM,22.525,,
9,06/14/23 12:18:06 AM,22.429,,
10,06/14/23 12:48:06 AM,22.429,,
11,06/14/23 01:18:06 AM,22.429,,
12,06/14/23 01:48:06 AM,22.238,,
13,06/14/23 02:18:06 AM,22.142,,
14,06/14/23 02:48:06 AM,22.238,,
15,06/14/23 03:18:06 AM,22.142,,
16,06/14/23 03:48:06 AM,21.951,,
17,06/14/23 04:18:06 AM,22.046,,
18,06/14/23 04:48:06 AM,22.046,,
19,06/14/23 05:18:06 AM,22.046,,
20,06/14/23 05:48:06 AM,22.046,,
21,06/14/23 06:18:06 AM,18.996,,
22,06/14/23 06:48:06 AM,18.521,,
23,06/14/23 07:18:06 AM,18.521,,
24,06/14/23 07:48:06 AM,18.616,,
25,06/14/23 08:18:06 AM,18.806,,
26,06/14/23 08:48:06 AM,19.187,,
27,06/14/23 09:18:06 AM,19.853,,
28,06/14/23 09:48:06 AM,20.996,,
29,06/14/23 10:18:06 AM,28.060,,
30,06/14/23 10:48:06 AM,37.824,,
31,06/14/23 11:18:06 AM,34.796,,
32,06/14/23 11:48:06 AM,34.479,,
33,06/14/23 12:18:06 PM,35.649,,
34,06/14/23 12:48:06 PM,37.055,,
35,06/14/23 01:18:06 PM,37.824,,
36,06/14/23 01:48:06 PM,39.163,,
37,06/14/23 02:18:06 PM,39.957,,
38,06/14/23 02:48:06 PM,40.415,,
39,06/14/23 03:18:06 PM,40.530,,
40,06/14/23 03:48:06 PM,40.415,,
41,06/14/23 04:18:06 PM,40.415,,
42,06/14/23 04:48:06 PM,40.300,,
43,06/14/23 05:18:06 PM,39.276,,
44,06/14/23 05:48:06 PM,38.046,,
45,06/14/23 06:18:06 PM,35.222,,
46,06/14/23 06:48:06 PM,34.691,,
47,06/14/23 07:18:06 PM,33.430,,
48,06/14/23 07:48:06 PM,32.600,,
49,06/14/23 08:18:06 PM,31.983,,
50,06/14/23 08:48:06 PM,31.472,,
51,06/14/23 09:18:06 PM,30.862,,
52,06/14/23 09:48:06 PM,30.356,,
53,06/14/23 10:18:06 PM,29.853,,
54,06/14/23 10:48:06 PM,29.352,,
55,06/14/23 11:18:06 PM,28.853,,
56,06/14/23 11:48:06 PM,28.258,,
57,06/15/23 12:18:06 AM,27.764,,
58,06/15/23 12:48:06 AM,27.173,,
