"","record_type","site","startyear","TSF","TBF"
"1","landscape","B1",1986,NA,NA
"2","landscape","B1",1987,NA,NA
"3","landscape","B1",1988,NA,NA
"4","landscape","B1",1989,NA,NA
"5","landscape","B1",1990,NA,NA
"6","landscape","B1",1991,NA,NA
"7","landscape","B1",1992,NA,NA
"8","landscape","B1",1993,NA,NA
"9","landscape","B1",1994,NA,NA
"10","landscape","B1",1995,NA,NA
"11","landscape","B1",1996,NA,NA
"12","landscape","B1",1997,NA,NA
"13","landscape","B1",1998,NA,NA
"14","landscape","B1",1999,NA,NA
"15","landscape","B1",2000,NA,NA
"16","landscape","B1",2001,NA,NA
"17","landscape","B1",2002,NA,NA
"18","landscape","B1",2003,NA,NA
"19","landscape","B1",2004,NA,NA
"20","landscape","B1",2005,NA,NA
"21","landscape","B1",2006,NA,NA
"22","landscape","B1",2007,0,NA
"23","landscape","B1",2008,1,NA
"24","landscape","B1",2009,2,NA
"25","landscape","B1",2010,3,NA
"26","landscape","B1",2011,4,NA
"27","landscape","B1",2012,0,4
"28","landscape","B1",2013,1,4
"29","landscape","B1",2014,2,4
"30","landscape","B1",2015,0,2
"31","landscape","B1",2016,1,2
"32","landscape","B1",2017,2,2
"33","landscape","B1",2018,0,2
"34","landscape","B1",2019,1,2
"35","landscape","B1",2020,2,2
"36","landscape","B1",2021,0,2
"37","landscape","B1",2022,1,2
"38","landscape","B1",2023,2,2
"39","landscape","B1",2024,0,2
"40","landscape","B1",2025,NA,NA
"41","landscape","B2",1986,NA,NA
"42","landscape","B2",1987,NA,NA
"43","landscape","B2",1988,NA,NA
"44","landscape","B2",1989,NA,NA
"45","landscape","B2",1990,NA,NA
"46","landscape","B2",1991,NA,NA
"47","landscape","B2",1992,NA,NA
"48","landscape","B2",1993,NA,NA
"49","landscape","B2",1994,0,NA
"50","landscape","B2",1995,1,NA
"51","landscape","B2",1996,2,NA
"52","landscape","B2",1997,3,NA
"53","landscape","B2",1998,4,NA
"54","landscape","B2",1999,5,NA
"55","landscape","B2",2000,6,NA
"56","landscape","B2",2001,7,NA
"57","landscape","B2",2002,8,NA
"58","landscape","B2",2003,9,NA
"59","landscape","B2",2004,10,NA
"60","landscape","B2",2005,11,NA
"61","landscape","B2",2006,12,NA
"62","landscape","B2",2007,0,12
"63","landscape","B2",2008,1,12
"64","landscape","B2",2009,2,12
"65","landscape","B2",2010,3,12
"66","landscape","B2",2011,4,12
"67","landscape","B2",2012,5,12
"68","landscape","B2",2013,6,12
"69","landscape","B2",2014,7,12
"70","landscape","B2",2015,0,7
"71","landscape","B2",2016,1,7
"72","landscape","B2",2017,2,7
"73","landscape","B2",2018,0,2
"74","landscape","B2",2019,1,2
"75","landscape","B2",2020,2,2
"76","landscape","B2",2021,0,2
"77","landscape","B2",2022,1,2
"78","landscape","B2",2023,2,2
"79","landscape","B2",2024,3,2
"80","landscape","B2",2025,NA,NA
"81","landscape","CM",1986,NA,NA
"82","landscape","CM",1987,NA,NA
"83","landscape","CM",1988,NA,NA
"84","landscape","CM",1989,NA,NA
"85","landscape","CM",1990,NA,NA
"86","landscape","CM",1991,NA,NA
"87","landscape","CM",1992,NA,NA
"88","landscape","CM",1993,NA,NA
"89","landscape","CM",1994,NA,NA
"90","landscape","CM",1995,NA,NA
"91","landscape","CM",1996,NA,NA
