"site","ID","site_ID","quad","x","y","mark","Alive15","Alive16","Alive17","Alive18","Alive19","Alive20","Alive21","Alive22","Alive23","Alive24","Alive25","sur_15_16","sur_16_17","sur_17_18","sur_18_19","sur_19_20","sur_20_21","sur_21_22","sur_22_23","sur_23_24","sur_24_25","Alive15_tpry","Alive16_tpry","Alive17_tpry","Alive18_tpry","Alive19_tpry","Alive20_tpry","Alive21_tpry","Alive22_tpry","Alive23_tpry","Alive24_tpry","Alive25_tpry","sur_15_16_tpry","sur_16_17_tpry","sur_17_18_tpry","sur_18_19_tpry","sur_19_20_tpry","sur_20_21_tpry","sur_21_22_tpry","sur_22_23_tpry","sur_23_24_tpry","sur_24_25_tpry","X","Date_Marked2015","N15","L15","size15","CT15","FR15","DT15","Notes15","Comm15","libsur15_16","consur15_16","Total.leaves.including.brown.ones2015","N.DEAD15","date16","N16","L16","size16","CT16","FR16","DT16","Notes16","Comm16","libsur16_17","consur16_17","date17","N17","L17","size17","CT17","FR17","DT17","Notes17","Comm17","libsur17_18","consur17_18","N18","L18","size18","FR18","Notes18","Comm18","include.in.19.census","N19","L19","FR19","Notes19","Comm19","size19","N20","L20","FR20","FLW20","Notes20","Comm20","size20","N21","L21","FR21","FLW21","Notes21","Comm21","size21","N22","L22","FR22","FLW22","Notes22","Comm22","Measurer22","size22","N23","L23","FR23","FLW23","Notes23","Comm23","Measurer23","size23","N24","L24","FR24","FLW24","Note24","Comm24","size24","N25","L25","FR25","FLW25","Note25","Comm25","size25"
"B1","1","B1_1","1","1","27","gp",1,1,1,1,"1","1","1","1","1","1","1",1,1,1,1,1,1,1,1,1,1,1,1,1,1,"1","1","1","1","1","1","1",1,1,1,1,1,1,1,1,1,1,"1",NA,"6","12","72","0","0",NA,NA,NA,"1","1","8",NA,NA,"0","0",NA,NA,"10",NA,"dead16?",NA,"1","1",NA,NA,NA,NA,NA,NA,NA,NA,"tp no plant","1","1","3","12","36","2",NA,"most plants still have mostly flowers and imm fruits- both included in FR number.","Y","0",NA,"4",NA,"sen","0","9","13","0","0",NA,NA,"117","12","13",NA,NA,NA,NA,"156","0",NA,NA,NA,NA,"sen burn, plot burned","as","0","6","22",NA,NA,NA,NA,"gage","132","2","14",NA,NA,NA,NA,"28","2","21","","","","","42"
"B1","2","B1_2","1","8","10","bp",1,1,1,1,"1","1","1","1","1","1","1",1,1,1,1,1,1,1,1,1,1,1,1,1,1,"1","1","1","1","1","1","1",1,1,1,1,1,1,1,1,1,1,"2",NA,"5","8","40","0","0",NA,NA,NA,"1","1","5",NA,NA,"0","0",NA,NA,"0",NA,"dead16?",NA,"1","1",NA,"3","4","12","0","0","0",NA,NA,"1","1","1","18","18","0",NA,NA,"Y","0",NA,NA,NA,"sen","0","9","23","0","0",NA,NA,"207","2","12",NA,"5",NA,"inf herb","24","0",NA,NA,NA,NA,"sen burn","as","0","0",NA,NA,NA,NA,"sen","gage","0","2","9",NA,NA,NA,NA,"18","3","15","","","","","45"
"B1","3","B1_3","1","9","42","bd",1,1,1,1,"1","1","1","1","1","1","1",1,1,1,1,1,1,1,1,1,1,1,1,1,1,"1","1","1","1","1","1","1",1,1,1,1,1,1,1,1,1,1,"3",NA,"4","8","32","0","5",NA,NA,NA,"1","1","10",NA,NA,"0","0",NA,NA,"8",NA,NA,NA,"1","1",NA,"4","6","24","1","1","1",NA,NA,"1","1","3, 5","9, 13","92","0","2ros",NA,"Y","3, 7","16, 20","2","2ros",NA,"360","7,15","16, 19","0","0","2ros",NA,"770","4,5","14,16","1","12","2ros","inf herb","270","0",NA,NA,NA,"2ros","sen burn","as","0","0",NA,NA,NA,"2ros","sen","gage","0",NA,NA,NA,NA,"2ros","sen",NA,"4,4","13,12","","","2ros","","104"
"B1","4","B1_4","1","10","41","rh",1,1,1,1,"1","1","1","1","1","1","1",1,1,1,1,1,1,1,1,1,1,1,1,1,1,"1","1","1","1","1","1","1",1,1,1,1,1,1,1,1,1,1,"4",NA,"5","9","45","0","0",NA,NA,NA,"1","1","11",NA,NA,"0","0",NA,NA,"2",NA,"dead16?",NA,"1","1",NA,"4","6","24","0","0","2",NA,NA,"1","1","3","3","9","0",NA,NA,"Y",NA,NA,NA,"dead19?","PresAlive19","0","14","13","0","0","bew unm plt above",NA,"182","11","14",NA,NA,"bew unm plt above",NA,"154","0",NA,NA,NA,"bew unm pl U","sen burn","as","0","0",NA,NA,NA,"bew unm pl U","sen","gage","0",NA,NA,NA,NA,"!unm pl U","sen",NA,"2","18","","","!unm pl U","","36"
"B1","5","B1_5","1","11","27","rh",1,1,1,1,"1","1","1","1","1","1","1",1,1,1,1,1,1,1,1,1,1,1,1,1,1,"1","1","1","1","1","1","1",1,1,1,1,1,1,1,1,1,1,"5",NA,"0","0",NA,"0","0",NA,NA,NA,"1","1","3",NA,NA,"1","9","9","0","0","0",NA,NA,"1","1",NA,"6","5","30","0","0","6",NA,"fruit stalk broken off","1","1","2","9","18","0",NA,NA,"Y","1","11","2",NA,NA,"11","8","18","0","0",NA,NA,"144","7","16","4","9",NA,NA,"112","0",NA,NA,NA,NA,"sen burn","as","0","0",NA,NA,NA,NA,"sen","gage","0",NA,NA,NA,NA,"dead24",NA,NA,"2","10","","","","","20"
"B1","6","B1_6","1","17","24","rp",NA,1,1,1,"1","1","1","1","1","1","1",NA,1,1,1,1,1,1,1,1,1,NA,1,1,1,"1","1","1","1","1","1","1",NA,1,1,1,1,1,1,1,1,1,"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","5","5","0","0","1",NA,"new16","1","1",NA,NA,NA,NA,NA,NA,NA,NA,"tp no plant","1","1","4","4","16","0",NA,NA,"Y","3","6",NA,NA,NA,"18","9","10","0","0",NA,NA,"90","10","14",NA,NA,NA,NA,"140","0",NA,NA,NA,NA,"sen burn","as","0","0",NA,NA,NA,NA,"sen","gage","0",NA,NA,NA,NA,"dead24",NA,NA,"1","10","","","","","10"
"B1","7","B1_7","1","18","41","wd",1,1,1,1,"1","1","1","1","1","1","1",1,1,1,1,1,1,1,1,1,1,1,1,1,1,"1","1","1","1","1","1","1",1,1,1,1,1,1,1,1,1,1,"7",NA,"0","0",NA,"0","2",NA,"Dead15?","but fruited","1","1","7",NA,NA,"0","0",NA,NA,"14",NA,"dead16?",NA,"1","1",NA,"5","9","45","0","0","5",NA,NA,"1","1","8","8","64","0",NA,NA,"Y","2","17",NA,NA,NA,"34","9","17","0","0",NA,"herb","153","9","11",NA,NA,NA,NA,"99","0",NA,NA,NA,NA,"sen burn","as","0","0",NA,NA,NA,NA,"sen","gage","0","2","7",NA,NA,NA,NA,"14","2","15","","","","","30"
"B1","8","B1_8","1","19","26","wh",1,1,1,1,"1","1","1","1","1","1","1",1,1,1,1,1,1,1,1,1,1,1,1,1,1,"1","1","1","1","1","1","1",1,1,1,1,1,1,1,1,1,1,"8",NA,"3","8","24","1","0",NA,NA,NA,"1","1","6",NA,NA,"0","0",NA,NA,"2","1",NA,NA,"1","1",NA,"4","10","40","0","0","2",NA,"herbivory","1","1","6","14","84","0",NA,NA,"Y","2","7","1",NA,NA,"14","11","13","0","0",NA,NA,"143","8","13","0","7",NA,NA,"104","0",NA,NA,NA,NA,"sen burn","as","0","0",NA,NA,NA,NA,"sen","gage","0",NA,NA,NA,NA,"dead24",NA,NA,"3","18","","","","","54"
"B1","9","B1_9","1","20","38","gp",1,1,1,1,"1","1","1","1","1","1","1",1,1,1,1,1,1,1,1,1,1,1,1,1,1,"1","1","1","1","1","1","1",1,1,1,1,1,1,1,1,1,1,"9",NA,"6","10","60","0","0",NA,NA,NA,"1","1","11",NA,NA,"0","0",NA,NA,"6",NA,"dead16?",NA,"1","1",NA,"5","8","40","0","0","2",NA,NA,"1","1","3","11","33","0",NA,NA,"Y","1","13",NA,NA,NA,"13","10","18","0","0",NA,NA,"180","2","12","6","9",NA,NA,"24","0",NA,NA,NA,NA,"sen burn","as","0","0",NA,NA,NA,NA,"sen","gage","0",NA,NA,NA,NA,NA,"sen",NA,"2","12","","","","","24"
"B1","10","B1_10","1","21","37","oh",1,1,1,1,"1","1","1","1","1","1","1",1,1,1,1,1,1,1,1,1,1,1,1,1,1,"1","1","1","1","1","1","1",1,1,1,1,1,1,1,1,1,1,"10",NA,"3","5","15","0","0",NA,NA,NA,"1","1","6",NA,NA,"0","0",NA,NA,"7",NA,"dead16?",NA,"1","1",NA,"4","7","28","0","0","1",NA,"fruit stalk broken off","1","1","6","18","108","0",NA,"qs25-50, no new 18","Y","4","20","3",NA,"qns25-50","80","12, 8","17, 16","0","0","2ros","qns25-50","660","2,9","7,14","6","12","2ros","qns25-50, 2 inf","231","1","7",NA,NA,NA,"2 ros but 1 sen, qns 25-50","as","7","0",NA,NA,NA,NA,"sen; qns25-50","gage","0","2","11",NA,NA,NA,"qns25-50","22","4","16","","","","qns25-50","64"
