"","...1","site","date.x","regional_P","date_parsed","month","day","year","date.y","regional_T","startyear","newMonth","local_T","local_P","s.regional_P","s.local_P","s.logregional_P","local_T_rm_ex","logLocal_T"
"1",1,"ME","2015-01-01",0,2015-01-01,1,1,2015,2015-01-01,5.8702,2014,12,NA,NA,-0.338566085430931,NA,-0.688262262292883,NA,NA
"2",2,"ME","2015-01-02",1.1711,2015-01-02,1,2,2015,2015-01-02,12.7549,2014,12,NA,NA,-0.244296019514922,NA,0.552413298287645,NA,NA
"3",3,"ME","2015-01-03",7.0858,2015-01-03,1,3,2015,2015-01-03,16.6655,2014,12,NA,NA,0.231819733942017,NA,1.39770551807431,NA,NA
"4",4,"ME","2015-01-04",12.6561,2015-01-04,1,4,2015,2015-01-04,17.1404,2014,12,NA,NA,0.680212312007038,NA,1.67775905702241,NA,NA
"5",5,"ME","2015-01-05",0,2015-01-05,1,5,2015,2015-01-05,6.9004,2014,12,NA,NA,-0.338566085430931,NA,-0.688262262292883,NA,NA
"6",6,"ME","2015-01-06",0,2015-01-06,1,6,2015,2015-01-06,8.3354,2014,12,NA,NA,-0.338566085430931,NA,-0.688262262292883,NA,NA
"7",7,"ME","2015-01-07",0,2015-01-07,1,7,2015,2015-01-07,-0.4349,2014,12,NA,NA,-0.338566085430931,NA,-0.688262262292883,NA,NA
"8",8,"ME","2015-01-08",0,2015-01-08,1,8,2015,2015-01-08,-4.1599,2014,12,NA,NA,-0.338566085430931,NA,-0.688262262292883,NA,NA
"9",9,"ME","2015-01-09",0,2015-01-09,1,9,2015,2015-01-09,5.8754,2014,12,NA,NA,-0.338566085430931,NA,-0.688262262292883,NA,NA
"10",10,"ME","2015-01-10",0,2015-01-10,1,10,2015,2015-01-10,0.8651,2014,12,NA,NA,-0.338566085430931,NA,-0.688262262292883,NA,NA
"11",11,"ME","2015-01-11",1.2203,2015-01-11,1,11,2015,2015-01-11,5.9852,2014,12,NA,NA,-0.240335565887505,NA,0.570945013067476,NA,NA
"12",12,"ME","2015-01-12",25.6173,2015-01-12,1,12,2015,2015-01-12,14.3852,2014,12,NA,NA,1.72355035175649,NA,2.01990893726694,NA,NA
"13",13,"ME","2015-01-13",3.8677,2015-01-13,1,13,2015,2015-01-13,5.2453,2014,12,NA,NA,-0.0272277420415114,NA,1.1078838018525,NA,NA
"14",14,"ME","2015-01-14",0.2854,2015-01-14,1,14,2015,2015-01-14,2.8149,2014,12,NA,NA,-0.315592234510916,NA,-0.0299216612777635,NA,NA
"15",15,"ME","2015-01-15",0.9841,2015-01-15,1,15,2015,2015-01-15,5.9748,2014,1,NA,NA,-0.259348963180103,NA,0.474759678209052,NA,NA
"16",16,"ME","2015-01-16",0,2015-01-16,1,16,2015,2015-01-16,7.4252,2014,1,NA,NA,-0.338566085430931,NA,-0.688262262292883,NA,NA
"17",17,"ME","2015-01-17",3.9366,2015-01-17,1,17,2015,2015-01-17,9.4706,2014,1,NA,NA,-0.0216814970226292,NA,1.11628496385759,NA,NA
"18",18,"ME","2015-01-18",22.9699,2015-01-18,1,18,2015,2015-01-18,10.2253,2014,1,NA,NA,1.51044252791049,NA,1.96689705074148,NA,NA
"19",19,"ME","2015-01-19",0,2015-01-19,1,19,2015,2015-01-19,10.86,2014,1,NA,NA,-0.338566085430931,NA,-0.688262262292883,NA,NA
"20",20,"ME","2015-01-20",0,2015-01-20,1,20,2015,2015-01-20,12.2202,2014,1,NA,NA,-0.338566085430931,NA,-0.688262262292883,NA,NA
"21",21,"ME","2015-01-21",0,2015-01-21,1,21,2015,2015-01-21,10.8203,2014,1,NA,NA,-0.338566085430931,NA,-0.688262262292883,NA,NA
"22",22,"ME","2015-01-22",0,2015-01-22,1,22,2015,2015-01-22,9.8401,2014,1,NA,NA,-0.338566085430931,NA,-0.688262262292883,NA,NA
"23",23,"ME","2015-01-23",68.8901,2015-01-23,1,23,2015,2015-01-23,13.5304,2014,1,NA,NA,5.20688201290437,NA,2.50144799324385,NA,NA
"24",24,"ME","2015-01-24",5.6982,2015-01-24,1,24,2015,2015-01-24,8.1903,2014,1,NA,NA,0.120122062124875,NA,1.29300467447775,NA,NA
"25",25,"ME","2015-01-25",0,2015-01-25,1,25,2015,2015-01-25,7.7456,2014,1,NA,NA,-0.338566085430931,NA,-0.688262262292883,NA,NA
"26",26,"ME","2015-01-26",0,2015-01-26,1,26,2015,2015-01-26,9.1497,2014,1,NA,NA,-0.338566085430931,NA,-0.688262262292883,NA,NA
"27",27,"ME","2015-01-27",0,2015-01-27,1,27,2015,2015-01-27,2.2206,2014,1,NA,NA,-0.338566085430931,NA,-0.688262262292883,NA,NA
"28",28,"ME","2015-01-28",0,2015-01-28,1,28,2015,2015-01-28,1.8056,2014,1,NA,NA,-0.338566085430931,NA,-0.688262262292883,NA,NA
"29",29,"ME","2015-01-29",0,2015-01-29,1,29,2015,2015-01-29,4.6005,2014,1,NA,NA,-0.338566085430931,NA,-0.688262262292883,NA,NA
"30",30,"ME","2015-01-30",0,2015-01-30,1,30,2015,2015-01-30,4.9704,2014,1,NA,NA,-0.338566085430931,NA,-0.688262262292883,NA,NA
"31",31,"ME","2015-01-31",0,2015-01-31,1,31,2015,2015-01-31,3.8849,2014,1,NA,NA,-0.338566085430931,NA,-0.688262262292883,NA,NA
"32",32,"ME","2015-02-01",8.8081,2015-02-01,2,1,2015,2015-02-01,10.6399,2014,1,NA,NA,0.370459760009084,NA,1.50255021204886,NA,NA
"33",33,"ME","2015-02-02",8.2471,2015-02-02,2,2,2015,2015-02-02,8.5445,2014,1,NA,NA,0.32530092901354,NA,1.47080861876146,NA,NA
"34",34,"ME","2015-02-03",0,2015-02-03,2,3,2015,2015-02-03,2.7799,2014,1,NA,NA,-0.338566085430931,NA,-0.688262262292883,NA,NA
"35",35,"ME","2015-02-04",12.0755,2015-02-04,2,4,2015,2015-02-04,6.8148,2014,1,NA,NA,0.633475739322523,NA,1.6550270293297,NA,NA
"36",36,"ME","2015-02-05",0,2015-02-05,2,5,2015,2015-02-05,3.615,2014,1,NA,NA,-0.338566085430931,NA,-0.688262262292883,NA,NA
"37",37,"ME","2015-02-06",0,2015-02-06,2,6,2015,2015-02-06,0.8345,2014,1,NA,NA,-0.338566085430931,NA,-0.688262262292883,NA,NA
"38",38,"ME","2015-02-07",0,2015-02-07,2,7,2015,2015-02-07,8.2101,2014,1,NA,NA,-0.338566085430931,NA,-0.688262262292883,NA,NA
"39",39,"ME","2015-02-08",0,2015-02-08,2,8,2015,2015-02-08,15.9995,2014,1,NA,NA,-0.338566085430931,NA,-0.688262262292883,NA,NA
"40",40,"ME","2015-02-09",0,2015-02-09,2,9,2015,2015-02-09,14.4853,2014,1,NA,NA,-0.338566085430931,NA,-0.688262262292883,NA,NA
"41",41,"ME","2015-02-10",5.216,2015-02-10,2,10,2015,2015-02-10,4.2944,2014,1,NA,NA,0.0813063966951937,NA,1.25063506257539,NA,NA
"42",42,"ME","2015-02-11",0,2015-02-11,2,11,2015,2015-02-11,3.5146,2014,1,NA,NA,-0.338566085430931,NA,-0.688262262292883,NA,NA
"43",43,"ME","2015-02-12",0,2015-02-12,2,12,2015,2015-02-12,8.3498,2014,1,NA,NA,-0.338566085430931,NA,-0.688262262292883,NA,NA
"44",44,"ME","2015-02-13",0,2015-02-13,2,13,2015,2015-02-13,-1.5451,2014,1,NA,NA,-0.338566085430931,NA,-0.688262262292883,NA,NA
"45",45,"ME","2015-02-14",0,2015-02-14,2,14,2015,2015-02-14,3.43,2014,1,NA,NA,-0.338566085430931,NA,-0.688262262292883,NA,NA
"46",46,"ME","2015-02-15",0,2015-02-15,2,15,2015,2015-02-15,-2.7299,2014,2,NA,NA,-0.338566085430931,NA,-0.688262262292883,NA,NA
"47",47,"ME","2015-02-16",21.2674,2015-02-16,2,16,2015,2015-02-16,-1.3402,2014,2,NA,NA,1.37339634293739,NA,1.92948729672187,NA,NA
"48",48,"ME","2015-02-17",2.2045,2015-02-17,2,17,2015,2015-02-17,-1.2999,2014,2,NA,NA,-0.161110393934182,NA,0.842752660282088,NA,NA
"49",49,"ME","2015-02-18",0.7086,2015-02-18,2,18,2015,2015-02-18,1.1398,2014,2,NA,NA,-0.281525893553137,NA,0.331683172235011,NA,NA
"50",50,"ME","2015-02-19",0,2015-02-19,2,19,2015,2015-02-19,-5.9951,2014,2,NA,NA,-0.338566085430931,NA,-0.688262262292883,NA,NA
"51",51,"ME","2015-02-20",0,2015-02-20,2,20,2015,2015-02-20,-5.5003,2014,2,NA,NA,-0.338566085430931,NA,-0.688262262292883,NA,NA
"52",52,"ME","2015-02-21",3.3363,2015-02-21,2,21,2015,2015-02-21,6.03,2014,2,NA,NA,-0.0700038610986093,NA,1.03771641643712,NA,NA
"53",53,"ME","2015-02-22",14.0241,2015-02-22,2,22,2015,2015-02-22,15.165,2014,2,NA,NA,0.790332242135209,NA,1.72747111460212,NA,NA
"54",54,"ME","2015-02-23",4.5763,2015-02-23,2,23,2015,2015-02-23,5.4546,2014,2,NA,NA,0.0298124498362822,NA,1.18806911514286,NA,NA
"55",55,"ME","2015-02-24",12.7152,2015-02-24,2,24,2015,2015-02-24,-1.7055,2014,2,NA,NA,0.684969686181435,NA,1.6800146888567,NA,NA
"56",56,"ME","2015-02-25",34.1203,2015-02-25,2,25,2015,2015-02-25,2.4152,2014,2,NA,NA,2.40801655488502,NA,2.15930316253149,NA,NA
"57",57,"ME","2015-02-26",0,2015-02-26,2,26,2015,2015-02-26,2.2797,2014,2,NA,NA,-0.338566085430931,NA,-0.688262262292883,NA,NA
"58",58,"ME","2015-02-27",0,2015-02-27,2,27,2015,2015-02-27,5.1595,2014,2,NA,NA,-0.338566085430931,NA,-0.688262262292883,NA,NA
"59",59,"ME","2015-02-28",0,2015-02-28,2,28,2015,2015-02-28,4.1469,2014,2,NA,NA,-0.338566085430931,NA,-0.688262262292883,NA,NA
"60",60,"ME","2015-03-01",3.5429,2015-03-01,3,1,2015,2015-03-01,7.7064,2014,2,NA,NA,-0.0533731757444573,NA,1.0662070591762,NA,NA
"61",61,"ME","2015-03-02",0,2015-03-02,3,2,2015,2015-03-02,11.2364,2014,2,NA,NA,-0.338566085430931,NA,-0.688262262292883,NA,NA
"62",62,"ME","2015-03-03",4.1039,2015-03-03,3,3,2015,2015-03-03,11.1119,2014,2,NA,NA,-0.00821434474891352,NA,1.13610182312775,NA,NA
"63",63,"ME","2015-03-04",0,2015-03-04,3,4,2015,2015-03-04,21.3618,2014,2,NA,NA,-0.338566085430931,NA,-0.688262262292883,NA,NA
"64",64,"ME","2015-03-05",7.824,2015-03-05,3,5,2015,2015-03-05,13.757,2014,2,NA,NA,0.291242637758256,NA,1.44542480965463,NA,NA
"65",65,"ME","2015-03-06",0,2015-03-06,3,6,2015,2015-03-06,1.0314,2014,2,NA,NA,-0.338566085430931,NA,-0.688262262292883,NA,NA
"66",66,"ME","2015-03-07",0,2015-03-07,3,7,2015,2015-03-07,7.3515,2014,2,NA,NA,-0.338566085430931,NA,-0.688262262292883,NA,NA
"67",67,"ME","2015-03-08",0,2015-03-08,3,8,2015,2015-03-08,14.7319,2014,2,NA,NA,-0.338566085430931,NA,-0.688262262292883,NA,NA
"68",68,"ME","2015-03-09",0,2015-03-09,3,9,2015,2015-03-09,15.1371,2014,2,NA,NA,-0.338566085430931,NA,-0.688262262292883,NA,NA
"69",69,"ME","2015-03-10",1.1514,2015-03-10,3,10,2015,2015-03-10,19.0019,2014,2,NA,NA,-0.245881810906387,NA,0.544791163062152,NA,NA
"70",70,"ME","2015-03-11",1.6435,2015-03-11,3,11,2015,2015-03-11,22.6966,2014,2,NA,NA,-0.206269224929726,NA,0.7066210612677,NA,NA
"71",71,"ME","2015-03-12",0,2015-03-12,3,12,2015,2015-03-12,12.5471,2014,2,NA,NA,-0.338566085430931,NA,-0.688262262292883,NA,NA
"72",72,"ME","2015-03-13",0,2015-03-13,3,13,2015,2015-03-13,14.0273,2014,2,NA,NA,-0.338566085430931,NA,-0.688262262292883,NA,NA
"73",73,"ME","2015-03-14",22.5763,2015-03-14,3,14,2015,2015-03-14,18.0472,2014,2,NA,NA,1.47875889889116,NA,1.95849967568083,NA,NA
"74",74,"ME","2015-03-15",0,2015-03-15,3,15,2015,2015-03-15,13.8517,2014,3,NA,NA,-0.338566085430931,NA,-0.688262262292883,NA,NA
"75",75,"ME","2015-03-16",0,2015-03-16,3,16,2015,2015-03-16,16.0622,2014,3,NA,NA,-0.338566085430931,NA,-0.688262262292883,NA,NA
"76",76,"ME","2015-03-17",0,2015-03-17,3,17,2015,2015-03-17,18.9521,2014,3,NA,NA,-0.338566085430931,NA,-0.688262262292883,NA,NA
"77",77,"ME","2015-03-18",0,2015-03-18,3,18,2015,2015-03-18,12.2167,2014,3,NA,NA,-0.338566085430931,NA,-0.688262262292883,NA,NA
"78",78,"ME","2015-03-19",16.3565,2015-03-19,3,19,2015,2015-03-19,11.5173,2014,3,NA,NA,0.978083503122742,NA,1.80205311980564,NA,NA
"79",79,"ME","2015-03-20",3.3264,2015-03-20,3,20,2015,2015-03-20,14.0819,2014,3,NA,NA,-0.0708007816455895,NA,1.03630851176539,NA,NA
"80",80,"ME","2015-03-21",0,2015-03-21,3,21,2015,2015-03-21,14.0472,2014,3,NA,NA,-0.338566085430931,NA,-0.688262262292883,NA,NA
"81",81,"ME","2015-03-22",6.5249,2015-03-22,3,22,2015,2015-03-22,14.2264,2014,3,NA,NA,0.186668952648968,NA,1.35804654445956,NA,NA
"82",82,"ME","2015-03-23",0.3149,2015-03-23,3,23,2015,2015-03-23,8.9564,2014,3,NA,NA,-0.313217572274965,NA,0.00606974219438038,NA,NA
"83",83,"ME","2015-03-24",0,2015-03-24,3,24,2015,2015-03-24,14.6218,2014,3,NA,NA,-0.338566085430931,NA,-0.688262262292883,NA,NA
"84",84,"ME","2015-03-25",0,2015-03-25,3,25,2015,2015-03-25,17.6317,2014,3,NA,NA,-0.338566085430931,NA,-0.688262262292883,NA,NA
"85",85,"ME","2015-03-26",0.9743,2015-03-26,3,26,2015,2015-03-26,21.492,2014,3,NA,NA,-0.260137834024588,NA,0.470328391031125,NA,NA
"86",86,"ME","2015-03-27",14.0536,2015-03-27,3,27,2015,2015-03-27,13.2366,2014,3,NA,NA,0.79270690437116,NA,1.72848926247739,NA,NA
"87",87,"ME","2015-03-28",0,2015-03-28,3,28,2015,2015-03-28,4.5768,2014,3,NA,NA,-0.338566085430931,NA,-0.688262262292883,NA,NA
"88",88,"ME","2015-03-29",0,2015-03-29,3,29,2015,2015-03-29,6.1569,2014,3,NA,NA,-0.338566085430931,NA,-0.688262262292883,NA,NA
"89",89,"ME","2015-03-30",0.3444,2015-03-30,3,30,2015,2015-03-30,11.4319,2014,3,NA,NA,-0.310842910039014,NA,0.0395879411848382,NA,NA
"90",90,"ME","2015-03-31",0,2015-03-31,3,31,2015,2015-03-31,16.6255,2014,3,NA,NA,-0.338566085430931,NA,-0.688262262292883,NA,NA
"91",91,"ME","2015-04-01",0,2015-04-01,4,1,2015,2015-04-01,11.0854,2014,3,NA,NA,-0.338566085430931,NA,-0.688262262292883,NA,NA
"92",92,"ME","2015-04-02",0,2015-04-02,4,2,2015,2015-04-02,17.0901,2014,3,NA,NA,-0.338566085430931,NA,-0.688262262292883,NA,NA
"93",93,"ME","2015-04-03",0,2015-04-03,4,3,2015,2015-04-03,23.0406,2014,3,NA,NA,-0.338566085430931,NA,-0.688262262292883,NA,NA
"94",94,"ME","2015-04-04",0.3051,2015-04-04,4,4,2015,2015-04-04,13.6205,2014,3,NA,NA,-0.314006443119451,NA,-0.00559474552058567,NA,NA
"95",95,"ME","2015-04-05",0,2015-04-05,4,5,2015,2015-04-05,14.7005,2014,3,NA,NA,-0.338566085430931,NA,-0.688262262292883,NA,NA
"96",96,"ME","2015-04-06",0,2015-04-06,4,6,2015,2015-04-06,19.3601,2014,3,NA,NA,-0.338566085430931,NA,-0.688262262292883,NA,NA
"97",97,"ME","2015-04-07",0,2015-04-07,4,7,2015,2015-04-07,20.3253,2014,3,NA,NA,-0.338566085430931,NA,-0.688262262292883,NA,NA
"98",98,"ME","2015-04-08",1.4762,2015-04-08,4,8,2015,2015-04-08,22.735,2014,3,NA,NA,-0.219736377203442,NA,0.657394676101834,NA,NA
"99",99,"ME","2015-04-09",9.6446,2015-04-09,4,9,2015,2015-04-09,21.3401,2014,3,NA,NA,0.437795521377662,NA,1.54634762004206,NA,NA
"100",100,"ME","2015-04-10",0,2015-04-10,4,10,2015,2015-04-10,24.3451,2014,3,NA,NA,-0.338566085430931,NA,-0.688262262292883,NA,NA
"101",101,"ME","2015-04-11",0.4035,2015-04-11,4,11,2015,2015-04-11,17.4654,2014,3,NA,NA,-0.306085535864618,NA,0.100516572591948,NA,NA
"102",102,"ME","2015-04-12",0,2015-04-12,4,12,2015,2015-04-12,18.5651,2014,3,NA,NA,-0.338566085430931,NA,-0.688262262292883,NA,NA
"103",103,"ME","2015-04-13",0,2015-04-13,4,13,2015,2015-04-13,22.2506,2014,3,NA,NA,-0.338566085430931,NA,-0.688262262292883,NA,NA
