"","...1","site","Date.Time","Unit","Value","date_parsed","month","day","year","startyear","newMonth"
"1",1,"ME","5/11/15 7:22:00 AM","C",27.5,2015-05-11 07:22:00,5,11,2015,2014,4
"2",2,"ME","5/11/15 8:22:00 AM","C",23.5,2015-05-11 08:22:00,5,11,2015,2014,4
"3",3,"ME","5/11/15 9:22:00 AM","C",23.5,2015-05-11 09:22:00,5,11,2015,2014,4
"4",4,"ME","5/11/15 10:22:00 AM","C",23.5,2015-05-11 10:22:00,5,11,2015,2014,4
"5",5,"ME","5/11/15 11:22:00 AM","C",27.5,2015-05-11 11:22:00,5,11,2015,2014,4
"6",6,"ME","5/11/15 12:22:00 PM","C",32,2015-05-11 12:22:00,5,11,2015,2014,4
"7",7,"ME","5/11/15 1:22:00 PM","C",34,2015-05-11 13:22:00,5,11,2015,2014,4
"8",8,"ME","5/11/15 2:22:00 PM","C",37,2015-05-11 14:22:00,5,11,2015,2014,4
"9",9,"ME","5/11/15 3:22:00 PM","C",40.5,2015-05-11 15:22:00,5,11,2015,2014,4
"10",10,"ME","5/11/15 4:22:00 PM","C",32.5,2015-05-11 16:22:00,5,11,2015,2014,4
"11",11,"ME","5/11/15 5:22:00 PM","C",32,2015-05-11 17:22:00,5,11,2015,2014,4
"12",12,"ME","5/11/15 6:22:00 PM","C",32.5,2015-05-11 18:22:00,5,11,2015,2014,4
"13",13,"ME","5/11/15 7:22:00 PM","C",33,2015-05-11 19:22:00,5,11,2015,2014,4
"14",14,"ME","5/11/15 8:22:00 PM","C",32.5,2015-05-11 20:22:00,5,11,2015,2014,4
"15",15,"ME","5/11/15 9:22:00 PM","C",32,2015-05-11 21:22:00,5,11,2015,2014,4
"16",16,"ME","5/11/15 10:22:00 PM","C",31,2015-05-11 22:22:00,5,11,2015,2014,4
"17",17,"ME","5/11/15 11:22:00 PM","C",30,2015-05-11 23:22:00,5,11,2015,2014,4
"18",18,"ME","5/12/15 12:22:00 AM","C",29.5,2015-05-12 00:22:00,5,12,2015,2014,4
"19",19,"ME","5/12/15 1:22:00 AM","C",28.5,2015-05-12 01:22:00,5,12,2015,2014,4
"20",20,"ME","5/12/15 2:22:00 AM","C",27.5,2015-05-12 02:22:00,5,12,2015,2014,4
"21",21,"ME","5/12/15 3:22:00 AM","C",27,2015-05-12 03:22:00,5,12,2015,2014,4
"22",22,"ME","5/12/15 4:22:00 AM","C",26.5,2015-05-12 04:22:00,5,12,2015,2014,4
"23",23,"ME","5/12/15 5:22:00 AM","C",26,2015-05-12 05:22:00,5,12,2015,2014,4
"24",24,"ME","5/12/15 6:22:00 AM","C",25.5,2015-05-12 06:22:00,5,12,2015,2014,4
"25",25,"ME","5/12/15 7:22:00 AM","C",25,2015-05-12 07:22:00,5,12,2015,2014,4
"26",26,"ME","5/12/15 8:22:00 AM","C",25,2015-05-12 08:22:00,5,12,2015,2014,4
"27",27,"ME","5/12/15 9:22:00 AM","C",25,2015-05-12 09:22:00,5,12,2015,2014,4
"28",28,"ME","5/12/15 10:22:00 AM","C",26.5,2015-05-12 10:22:00,5,12,2015,2014,4
"29",29,"ME","5/12/15 11:22:00 AM","C",28,2015-05-12 11:22:00,5,12,2015,2014,4
"30",30,"ME","5/12/15 12:22:00 PM","C",29,2015-05-12 12:22:00,5,12,2015,2014,4
"31",31,"ME","5/12/15 1:22:00 PM","C",30.5,2015-05-12 13:22:00,5,12,2015,2014,4
"32",32,"ME","5/12/15 2:22:00 PM","C",33,2015-05-12 14:22:00,5,12,2015,2014,4
"33",33,"ME","5/12/15 3:22:00 PM","C",34,2015-05-12 15:22:00,5,12,2015,2014,4
"34",34,"ME","5/12/15 4:22:00 PM","C",34.5,2015-05-12 16:22:00,5,12,2015,2014,4
"35",35,"ME","5/12/15 5:22:00 PM","C",34,2015-05-12 17:22:00,5,12,2015,2014,4
"36",36,"ME","5/12/15 6:22:00 PM","C",34,2015-05-12 18:22:00,5,12,2015,2014,4
"37",37,"ME","5/12/15 7:22:00 PM","C",34.5,2015-05-12 19:22:00,5,12,2015,2014,4
"38",38,"ME","5/12/15 8:22:00 PM","C",35,2015-05-12 20:22:00,5,12,2015,2014,4
"39",39,"ME","5/12/15 9:22:00 PM","C",34.5,2015-05-12 21:22:00,5,12,2015,2014,4
"40",40,"ME","5/12/15 10:22:00 PM","C",33.5,2015-05-12 22:22:00,5,12,2015,2014,4
"41",41,"ME","5/12/15 11:22:00 PM","C",33,2015-05-12 23:22:00,5,12,2015,2014,4
"42",42,"ME","5/13/15 12:22:00 AM","C",32,2015-05-13 00:22:00,5,13,2015,2014,4
"43",43,"ME","5/13/15 1:22:00 AM","C",31,2015-05-13 01:22:00,5,13,2015,2014,4
"44",44,"ME","5/13/15 2:22:00 AM","C",30,2015-05-13 02:22:00,5,13,2015,2014,4
"45",45,"ME","5/13/15 3:22:00 AM","C",29.5,2015-05-13 03:22:00,5,13,2015,2014,4
"46",46,"ME","5/13/15 4:22:00 AM","C",28.5,2015-05-13 04:22:00,5,13,2015,2014,4
"47",47,"ME","5/13/15 5:22:00 AM","C",28,2015-05-13 05:22:00,5,13,2015,2014,4
"48",48,"ME","5/13/15 6:22:00 AM","C",27,2015-05-13 06:22:00,5,13,2015,2014,4
"49",49,"ME","5/13/15 7:22:00 AM","C",26.5,2015-05-13 07:22:00,5,13,2015,2014,4
"50",50,"ME","5/13/15 8:22:00 AM","C",26,2015-05-13 08:22:00,5,13,2015,2014,4
