"","site","ID","quad","size0","rep0","sur0_1","sur0_1_tp","size1","N1","L1","rep1","comm1","startyear","TSF","TBF"
"1","B1","1","1",72,0,"1","1",0,"0","0",10,NA,"2015",0,2
"2","B1","2","1",40,0,"1","1",0,"0","0",0,NA,"2015",0,2
"3","B1","3","1",32,5,"1","1",0,"0","0",8,NA,"2015",0,2
"4","B1","4","1",45,0,"1","1",0,"0","0",2,NA,"2015",0,2
"5","B1","5","1",0,0,"1","1",9,"1","9",0,NA,"2015",0,2
"6","B1","6","1",NA,NA,NA,NA,5,"1","5",0,"new16","2015",0,2
"7","B1","7","1",0,2,"1","1",0,"0","0",14,NA,"2015",0,2
"8","B1","8","1",24,0,"1","1",0,"0","0",2,NA,"2015",0,2
"9","B1","9","1",60,0,"1","1",0,"0","0",6,NA,"2015",0,2
"10","B1","10","1",15,0,"1","1",0,"0","0",7,NA,"2015",0,2
"11","B1","12","2",14,0,"1","1",NA,NA,NA,NA,NA,"2015",0,2
"12","B1","14","2",50,0,"1","1",0,"0","0",8,NA,"2015",0,2
"13","B1","15","2",12,0,"1","1",NA,NA,NA,NA,NA,"2015",0,2
"14","B1","16","2",60,0,"1","1",5,"1","5",0,NA,"2015",0,2
"15","B1","17","2",44,0,"1","1",22,"2","11",3,NA,"2015",0,2
"16","B1","18","2",36,0,"1","1",56,"4","14",0,NA,"2015",0,2
"17","B1","19","2",4,0,"1","1",76,"4","19",0,NA,"2015",0,2
"18","B1","20","2",12,7,"1","1",44,"2","22",12,NA,"2015",0,2
"19","B1","21","2",9,0,"1","1",0,"0","0",1,NA,"2015",0,2
"20","B1","22","3",196,0,"1","1",54,"3","18",3,NA,"2015",0,2
"21","B1","313","3",NA,NA,NA,NA,105,"5","21",0,"sdl; new16","2015",0,2
"22","B1","23","3",110,0,"1","1",200,"8","25",0,NA,"2015",0,2
"23","B1","24","3",150,0,"1","1",200,"5","40",0,"1 leaf+trap herbivorized","2015",0,2
"24","B1","25","3",105,0,"1","1",144,"6","24",NA,"stalk, no fruit","2015",0,2
"25","B1","26","3",126,0,"1","1",124,"4","31",5,NA,"2015",0,2
"26","B1","27","3",155,0,"1","1",170,"5","34",6,"herbivorized leaf","2015",0,2
"27","B1","28","3",56,0,"1","1",132,"6","22",0,NA,"2015",0,2
"28","B1","29","3",96,0,"1","1",152,"4","38",0,NA,"2015",0,2
"29","B1","30","3",242,0,"1","1",200,"5","40",NA,"stalk, no fruit","2015",0,2
"30","B1","31","3",279,0,"1","1",56,"2","28",0,NA,"2015",0,2
"31","B1","32","3",84,0,"1","1",42,"2","21",0,NA,"2015",0,2
"32","B1","33","3",28,0,"1","1",132,"6","22",0,NA,"2015",0,2
"33","B1","34","3",9,0,"1","1",75,"5","15",0,NA,"2015",0,2
"34","B1","35","3",258,0,"1","1",108,"4","27",5,NA,"2015",0,2
"35","B1","36","3",210,0,"1","1",80,"4","20",0,NA,"2015",0,2
"36","B1","37","3",100,8,"1","1",210,"6","35",0,NA,"2015",0,2
"37","B1","38","3",90,0,"1","1",65,"5","13",0,NA,"2015",0,2
"38","B1","39","3",116,1,"1","1",168,"6","28",0,NA,"2015",0,2
"39","B1","40","3",50,7,"1","1",222,"6","37",6,NA,"2015",0,2
"40","B1","314","3",NA,NA,NA,NA,NA,NA,NA,NA,NA,"2015",0,2
"41","B1","41","3",20,0,"1","1",90,"6","15",0,NA,"2015",0,2
"42","B1","42","3",NA,NA,NA,NA,NA,NA,NA,NA,NA,"2015",0,2
"43","B1","43","3",3,0,"1","1",14,"1","14",9,NA,"2015",0,2
"44","B1","44","3",36,0,"1","1",342,"9","38",5,"toothpick missing, approximated location","2015",0,2
"45","B1","45","3",NA,NA,"1","1",76,"4","19",2,NA,"2015",0,2
"46","B1","315","3",NA,NA,NA,NA,NA,NA,NA,NA,NA,"2015",0,2
