x,y,mark,site_ID,site,ID,quad,Date_Marked2015,N15,L15,size15,CT15,FR15,DT15,Notes15,Comm15,libsur15_16,consur15_16,Total.leaves.including.brown.ones2015,N.DEAD15,date16,N16,L16,size16,CT16,FR16,DT16,Notes16,Comm16,libsur16_17,consur16_17,date17,N17,L17,size17,CT17,FR17,DT17,Notes17,Comm17,libsur17_18,consur17_18,N18,L18,size18,FR18,Notes18,Comm18,include.in.19.census,N19,L19,FR19,Notes19,Comm19,libsur18_19,size19,N20,L20,FR20,FLW20,Notes20,Comm20,libsur19_20,size20,N21,L21,FR21,FLW21,Notes21,Comm21,libsur20_21,size21,N22,L22,FR22,FLW22,Notes22,Comm22,Measurer22,libsur21_22,size22,N23,L23,FR23,FLW23,Notes23,Comm23,Measurer23,libsur22_23,size23,N24,L24,FR24,FLW24,Note24,Comm24,libsur23_24,size24
1,27,gp,B1_1,B1,1,1,NA,6,12,72,0,0,NA,NA,NA,1,1,8,NA,NA,0,0,NA,NA,10,NA,dead16?,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,tp no plant,1,1,3,12,36,2,NA,most plants still have mostly flowers and imm fruits- both included in FR number.,Y,0,NA,4,NA,sen,1,0,9,13,0,0,NA,NA,1,117,12,13,NA,NA,NA,NA,1,156,0,NA,NA,NA,NA,"sen burn, plot burned",as,1,0,6,22,NA,NA,NA,NA,gage,1,132,2,14,NA,NA,NA,NA,1,28
8,10,bp,B1_2,B1,2,1,NA,5,8,40,0,0,NA,NA,NA,1,1,5,NA,NA,0,0,NA,NA,0,NA,dead16?,NA,1,1,NA,3,4,12,0,0,0,NA,NA,1,1,1,18,18,0,NA,NA,Y,0,NA,NA,NA,sen,1,0,9,23,0,0,NA,NA,1,207,2,12,NA,5,NA,inf herb,1,24,0,NA,NA,NA,NA,sen burn,as,1,0,0,NA,NA,NA,NA,sen,gage,1,0,2,9,NA,NA,NA,NA,1,18
9,42,bd,B1_3,B1,3,1,NA,4,8,32,0,5,NA,NA,NA,1,1,10,NA,NA,0,0,NA,NA,8,NA,NA,NA,1,1,NA,4,6,24,1,1,1,NA,NA,1,1,"3, 5","9, 13",92,0,2ros,NA,Y,"3, 7","16, 20",2,2ros,NA,1,360,"7,15","16, 19",0,0,2ros,NA,1,770,"4,5","14,16",1,12,2ros,inf herb,1,270,0,NA,NA,NA,2ros,sen burn,as,1,0,0,NA,NA,NA,2ros,sen,gage,1,0,NA,NA,NA,NA,2ros,sen,1,NA
10,41,rh,B1_4,B1,4,1,NA,5,9,45,0,0,NA,NA,NA,1,1,11,NA,NA,0,0,NA,NA,2,NA,dead16?,NA,1,1,NA,4,6,24,0,0,2,NA,NA,1,1,3,3,9,0,NA,NA,Y,NA,NA,NA,dead19?,PresAlive19,1,0,14,13,0,0,bew unm plt above,NA,1,182,11,14,NA,NA,bew unm plt above,NA,1,154,0,NA,NA,NA,bew unm pl U,sen burn,as,1,0,0,NA,NA,NA,bew unm pl U,sen,gage,1,0,NA,NA,NA,NA,!unm pl U,sen,1,NA
11,27,rh,B1_5,B1,5,1,NA,0,0,NA,0,0,NA,NA,NA,1,1,3,NA,NA,1,9,9,0,0,0,NA,NA,1,1,NA,6,5,30,0,0,6,NA,fruit stalk broken off,1,1,2,9,18,0,NA,NA,Y,1,11,2,NA,NA,1,11,8,18,0,0,NA,NA,1,144,7,16,4,9,NA,NA,1,112,0,NA,NA,NA,NA,sen burn,as,1,0,0,NA,NA,NA,NA,sen,gage,1,0,NA,NA,NA,NA,dead24,NA,0,NA
17,24,rp,B1_6,B1,6,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,5,5,0,0,1,NA,new16,1,1,NA,NA,NA,NA,NA,NA,NA,NA,tp no plant,1,1,4,4,16,0,NA,NA,Y,3,6,NA,NA,NA,1,18,9,10,0,0,NA,NA,1,90,10,14,NA,NA,NA,NA,1,140,0,NA,NA,NA,NA,sen burn,as,1,0,0,NA,NA,NA,NA,sen,gage,1,0,NA,NA,NA,NA,dead24,NA,0,NA
18,41,wd,B1_7,B1,7,1,NA,0,0,NA,0,2,NA,Dead15?,but fruited,1,1,7,NA,NA,0,0,NA,NA,14,NA,dead16?,NA,1,1,NA,5,9,45,0,0,5,NA,NA,1,1,8,8,64,0,NA,NA,Y,2,17,NA,NA,NA,1,34,9,17,0,0,NA,herb,1,153,9,11,NA,NA,NA,NA,1,99,0,NA,NA,NA,NA,sen burn,as,1,0,0,NA,NA,NA,NA,sen,gage,1,0,2,7,NA,NA,NA,NA,1,14
19,26,wh,B1_8,B1,8,1,NA,3,8,24,1,0,NA,NA,NA,1,1,6,NA,NA,0,0,NA,NA,2,1,NA,NA,1,1,NA,4,10,40,0,0,2,NA,herbivory,1,1,6,14,84,0,NA,NA,Y,2,7,1,NA,NA,1,14,11,13,0,0,NA,NA,1,143,8,13,0,7,NA,NA,1,104,0,NA,NA,NA,NA,sen burn,as,1,0,0,NA,NA,NA,NA,sen,gage,1,0,NA,NA,NA,NA,dead24,NA,0,NA
20,38,gp,B1_9,B1,9,1,NA,6,10,60,0,0,NA,NA,NA,1,1,11,NA,NA,0,0,NA,NA,6,NA,dead16?,NA,1,1,NA,5,8,40,0,0,2,NA,NA,1,1,3,11,33,0,NA,NA,Y,1,13,NA,NA,NA,1,13,10,18,0,0,NA,NA,1,180,2,12,6,9,NA,NA,1,24,0,NA,NA,NA,NA,sen burn,as,1,0,0,NA,NA,NA,NA,sen,gage,1,0,NA,NA,NA,NA,NA,sen,1,NA
21,37,oh,B1_10,B1,10,1,NA,3,5,15,0,0,NA,NA,NA,1,1,6,NA,NA,0,0,NA,NA,7,NA,dead16?,NA,1,1,NA,4,7,28,0,0,1,NA,fruit stalk broken off,1,1,6,18,108,0,NA,"qs25-50, no new 18",Y,4,20,3,NA,qns25-50,1,80,"12, 8","17, 16",0,0,2ros,qns25-50,1,660,"2,9","7,14",6,12,2ros,"qns25-50, 2 inf",1,231,1,7,NA,NA,NA,"2 ros but 1 sen, qns 25-50",as,1,7,0,NA,NA,NA,NA,sen; qns25-50,gage,1,0,2,11,NA,NA,NA,qns25-50,1,22
