"","s.logsize0","TSF","TBF","s.TSF","s.sq.TSF","s.TBF","newTBF","site","s.P_RD","s.P_RH","s.P_RA","s.sq.P_RA","s.sq.T_RH","s.sq.T_RA","s.T_RA","s.T_RD","s.T_RH","s.T_RC","s.P_LA","s.P_LH","s.sq.T_LA","s.T_LA","s.T_LD","s.sq.P_LA","s.T_LH","s.T_LC","s.sq.T_LH","sur_fit","sur_se","sur_lwr","sur_upr","gr.fit","gr.upr","gr.lwr","prep_fit","prep_se","prep_lwr","prep_upr","crep.fit","crep.upr","crep.lwr"
"1",-0.001092323, 0, 0,-0.7729026,-0.39048116,-1.122397,"Short TBF","CM",-1.772341e-17,2.755233e-16,-3.107209e-16,-2.506893e-16,-5.812635e-16,4.564717e-16,-1.285384e-15,1.37473e-16,-1.253952e-15,3.132945e-16,2.790026e-17,3.980255e-16,7.36403e-16,3.348777e-15,1.889035e-16,1.409629e-16,2.143052e-15,-9.302852e-17,-8.056536e-16,0.9580603,0.004951323,0.9483558,0.9677647,4.603045,6.544103,2.719886,0.0523943984,6.561083e-03, 3.953491e-02,0.0652538849,1.7724543,2.7878732,0.7483606
"2",-0.001092323, 1, 0,-0.2848285,-0.33224787,-1.122397,"Short TBF","CM",-1.772341e-17,2.755233e-16,-3.107209e-16,-2.506893e-16,-5.812635e-16,4.564717e-16,-1.285384e-15,1.37473e-16,-1.253952e-15,3.132945e-16,2.790026e-17,3.980255e-16,7.36403e-16,3.348777e-15,1.889035e-16,1.409629e-16,2.143052e-15,-9.302852e-17,-8.056536e-16,0.9427874,0.006592161,0.9298670,0.9557078,4.661153,6.592478,2.726162,0.0290691191,3.671658e-03, 2.187280e-02,0.0362654366,1.7808847,2.7349147,0.7464825
"3",-0.001092323, 2, 0, 0.2032456,-0.27401458,-1.122397,"Short TBF","CM",-1.772341e-17,2.755233e-16,-3.107209e-16,-2.506893e-16,-5.812635e-16,4.564717e-16,-1.285384e-15,1.37473e-16,-1.253952e-15,3.132945e-16,2.790026e-17,3.980255e-16,7.36403e-16,3.348777e-15,1.889035e-16,1.409629e-16,2.143052e-15,-9.302852e-17,-8.056536e-16,0.9224031,0.009842494,0.9031122,0.9416941,4.677330,6.592280,2.768533,0.0159531211,2.407454e-03, 1.123460e-02,0.0206716446,1.7785468,2.7472933,0.8993219
"4",-0.001092323, 3, 0, 0.6913197,-0.21578128,-1.122397,"Short TBF","CM",-1.772341e-17,2.755233e-16,-3.107209e-16,-2.506893e-16,-5.812635e-16,4.564717e-16,-1.285384e-15,1.37473e-16,-1.253952e-15,3.132945e-16,2.790026e-17,3.980255e-16,7.36403e-16,3.348777e-15,1.889035e-16,1.409629e-16,2.143052e-15,-9.302852e-17,-8.056536e-16,0.8955608,0.015398451,0.8653804,0.9257412,4.717939,6.596477,2.762470,0.0087020267,1.664817e-03, 5.439046e-03,0.0119650071,1.7656657,2.7639374,0.7816811
"5",-0.001092323, 4, 0, 1.1793938,-0.15754799,-1.122397,"Short TBF","CM",-1.772341e-17,2.755233e-16,-3.107209e-16,-2.506893e-16,-5.812635e-16,4.564717e-16,-1.285384e-15,1.37473e-16,-1.253952e-15,3.132945e-16,2.790026e-17,3.980255e-16,7.36403e-16,3.348777e-15,1.889035e-16,1.409629e-16,2.143052e-15,-9.302852e-17,-8.056536e-16,0.8608340,0.023815695,0.8141561,0.9075119,4.733063,6.635632,2.813827,0.0047308920,1.135029e-03, 2.506277e-03,0.0069555075,1.7984921,2.8246650,0.7861204
"6",-0.001092323, 5, 0, 1.6674679,-0.09931470,-1.122397,"Short TBF","CM",-1.772341e-17,2.755233e-16,-3.107209e-16,-2.506893e-16,-5.812635e-16,4.564717e-16,-1.285384e-15,1.37473e-16,-1.253952e-15,3.132945e-16,2.790026e-17,3.980255e-16,7.36403e-16,3.348777e-15,1.889035e-16,1.409629e-16,2.143052e-15,-9.302852e-17,-8.056536e-16,0.8169208,0.035442563,0.7474546,0.8863869,4.750000,6.629569,2.842975,0.0025672753,7.514067e-04, 1.094545e-03,0.0040400053,1.7806526,2.7267209,0.8822564
"7",-0.001092323, 6, 0, 2.1555420,-0.04108141,-1.122397,"Short TBF","CM",-1.772341e-17,2.755233e-16,-3.107209e-16,-2.506893e-16,-5.812635e-16,4.564717e-16,-1.285384e-15,1.37473e-16,-1.253952e-15,3.132945e-16,2.790026e-17,3.980255e-16,7.36403e-16,3.348777e-15,1.889035e-16,1.409629e-16,2.143052e-15,-9.302852e-17,-8.056536e-16,0.7629664,0.050189091,0.6645976,0.8613353,4.753962,6.675366,2.883132,0.0013917790,4.839340e-04, 4.432858e-04,0.0023402723,1.7870402,2.7640005,0.8126845
"8",-0.001092323, 7, 0, 2.6436161, 0.01715189,-1.122397,"Short TBF","CM",-1.772341e-17,2.755233e-16,-3.107209e-16,-2.506893e-16,-5.812635e-16,4.564717e-16,-1.285384e-15,1.37473e-16,-1.253952e-15,3.132945e-16,2.790026e-17,3.980255e-16,7.36403e-16,3.348777e-15,1.889035e-16,1.409629e-16,2.143052e-15,-9.302852e-17,-8.056536e-16,0.6989708,0.067232032,0.5671984,0.8307431,4.810002,6.706207,2.889350,0.0007541085,3.046995e-04, 1.569085e-04,0.0013513085,1.7718355,2.7469552,0.8347485
"9",-0.001092323, 8, 0, 3.1316902, 0.07538518,-1.122397,"Short TBF","CM",-1.772341e-17,2.755233e-16,-3.107209e-16,-2.506893e-16,-5.812635e-16,4.564717e-16,-1.285384e-15,1.37473e-16,-1.253952e-15,3.132945e-16,2.790026e-17,3.980255e-16,7.36403e-16,3.348777e-15,1.889035e-16,1.409629e-16,2.143052e-15,-9.302852e-17,-8.056536e-16,0.6261630,0.084853090,0.4598540,0.7924720,4.788561,6.682542,2.913666,0.0004084796,1.884024e-04, 3.921765e-05,0.0007777415,1.7541056,2.8196316,0.7528996
"10",-0.001092323, 9, 0, 3.6197643, 0.13361847,-1.122397,"Short TBF","CM",-1.772341e-17,2.755233e-16,-3.107209e-16,-2.506893e-16,-5.812635e-16,4.564717e-16,-1.285384e-15,1.37473e-16,-1.253952e-15,3.132945e-16,2.790026e-17,3.980255e-16,7.36403e-16,3.348777e-15,1.889035e-16,1.409629e-16,2.143052e-15,-9.302852e-17,-8.056536e-16,0.5471545,0.100624057,0.3499349,0.7443740,4.848727,6.710692,2.926146,0.0002212269,1.148083e-04,-3.793260e-06,0.0004462471,1.7641445,2.8076615,0.7549326
