"","num_news","num_fr","mean_size0","startx","endx","x","y","site_ID","X","site","ID","quad","size0","rep0","libsur0_1","consur0_1","size1","N1","L1","rep1","comm1","startyear","TSF","TBF","s.logsize0","logsize1","logsize0","prep1","logcrep1","P_LA","P_LW","P_LD","P_LH","T_LA","T_LH","T_LC","T_LW","T_LD","P_RA","P_RW","P_RD","P_RH","T_RA","T_RC","T_RH","T_RW","T_RD","s.T_RA","s.P_RA","s.P_RW","s.P_RD","s.P_RH","s.T_RH","s.T_RD","s.T_RW","s.T_RC","prep_Int","sq.P_RA","sq.T_RA","sq.TSF","s.sq.P_RA","s.sq.T_RA","s.sq.TSF","s.TBF","T_PA","s.T_LA","s.P_LA","s.P_LW","s.P_LD","s.P_LH","s.T_LH","s.T_LD","s.T_LW","s.T_LC","sq.P_LA","sq.T_LA","sq.T_LH","s.sq.T_LH","s.sq.P_LA","s.sq.T_LA","s.TSF","sq.T_RH","s.sq.T_RH","vargrowth","predgrowth","og_predgrowth","og_logsize1","qs","key","key_qsy","mean_logsize0"
"7226",0,0,NA,25,50,41,25,"B2_257",7226,"B2","257","4",NA,NA,1,1,373,"8, 9","23, 21",0,"qs25-50 no new 18",2017,10,12,NA,5.92184648022711,NA,0,NA,0.274257491438356,0.26545564516129,0.261144086021505,0.359236458333333,16.9001074516315,26.0076109545019,2.95764192605381,21.9077277797673,8.11334055484126,1187.7,118.1,52.4,141.7,16.5961643835616,-4,30.05,23.9935483870968,3.61612903225806,-2.63197714739495,-1.4798750373662,-0.904683607833368,-1.26949635467558,-0.515489126832195,0.275160253673554,-2.50160665358052,-2.70343640992636,-1.58219534085182,0,1410631.29,275.432672246199,100,-1.34851106753287,-2.56261432022769,1.02026524938025,1.29517898319194,NA,-2.52546009768141,-1.08176726376219,-1.00656323786084,-1.42223668436663,-0.234451506908762,-1.64789612590271,-1.95831431696998,-3.05093218784306,-0.853419292671136,0.0752171716100599,285.613631876691,676.395827560727,-1.60341191992738,-1.07806508011301,-2.45940861362563,1.39481017310408,903.0025,0.26528073534354,NA,NA,NA,373.099999999999,"N","B2_257_2017","4_B2_2017",NA
"7288",0,0,240.5,25,50,43,31,"B2_319",7288,"B2","319","6",320,0,1,1,232,"5, 4","28, 23",12,"2 stems,QS25-50 no new 18",2017,10,12,1.12137543559333,5.44716831328039,5.76863344697582,1,2.484906649788,0.274257491438356,0.26545564516129,0.261144086021505,0.359236458333333,16.9001074516315,26.0076109545019,2.95764192605381,21.9077277797673,8.11334055484126,1187.7,118.1,52.4,141.7,16.5961643835616,-4,30.05,23.9935483870968,3.61612903225806,-2.63197714739495,-1.4798750373662,-0.904683607833368,-1.26949635467558,-0.515489126832195,0.275160253673554,-2.50160665358052,-2.70343640992636,-1.58219534085182,2.484906649788,1410631.29,275.432672246199,100,-1.34851106753287,-2.56261432022769,1.02026524938025,1.29517898319194,NA,-2.52546009768141,-1.08176726376219,-1.00656323786084,-1.42223668436663,-0.234451506908762,-1.64789612590271,-1.95831431696998,-3.05093218784306,-0.853419292671136,0.0752171716100599,285.613631876691,676.395827560727,-1.60341191992738,-1.07806508011301,-2.45940861362563,1.39481017310408,903.0025,0.26528073534354,0.00221800839596236,5.40007257678586,221.422485753375,232.1,"N","B2_319_2017","6_B2_2017",0.804292783853843
"7297",0,14,118.8,25,50,35,25,"B2_329",7297,"B2","329","7",228,0,1,1,135,"3","45",0,"QS25-50 no new 18",2017,10,12,0.808407291743459,4.90601524496615,5.42978412929034,0,NA,0.274257491438356,0.26545564516129,0.261144086021505,0.359236458333333,16.9001074516315,26.0076109545019,2.95764192605381,21.9077277797673,8.11334055484126,1187.7,118.1,52.4,141.7,16.5961643835616,-4,30.05,23.9935483870968,3.61612903225806,-2.63197714739495,-1.4798750373662,-0.904683607833368,-1.26949635467558,-0.515489126832195,0.275160253673554,-2.50160665358052,-2.70343640992636,-1.58219534085182,0,1410631.29,275.432672246199,100,-1.34851106753287,-2.56261432022769,1.02026524938025,1.29517898319194,NA,-2.52546009768141,-1.08176726376219,-1.00656323786084,-1.42223668436663,-0.234451506908762,-1.64789612590271,-1.95831431696998,-3.05093218784306,-0.853419292671136,0.0752171716100599,285.613631876691,676.395827560727,-1.60341191992738,-1.07806508011301,-2.45940861362563,1.39481017310408,903.0025,0.26528073534354,0.167802777767696,5.3156526184658,203.497275882405,135.1,"N","B2_329_2017","7_B2_2017",0.0768244625484056
"7306",0,0,84,25,50,27,35,"B2_338",7306,"B2","338","9",136,0,1,1,576,"18","32",0,"same pl as ys at 28, 35?,QS25-50 no new 18",2017,10,12,0.331455053748003,6.35628125673834,4.91338990965742,0,NA,0.274257491438356,0.26545564516129,0.261144086021505,0.359236458333333,16.9001074516315,26.0076109545019,2.95764192605381,21.9077277797673,8.11334055484126,1187.7,118.1,52.4,141.7,16.5961643835616,-4,30.05,23.9935483870968,3.61612903225806,-2.63197714739495,-1.4798750373662,-0.904683607833368,-1.26949635467558,-0.515489126832195,0.275160253673554,-2.50160665358052,-2.70343640992636,-1.58219534085182,0,1410631.29,275.432672246199,100,-1.34851106753287,-2.56261432022769,1.02026524938025,1.29517898319194,NA,-2.52546009768141,-1.08176726376219,-1.00656323786084,-1.42223668436663,-0.234451506908762,-1.64789612590271,-1.95831431696998,-3.05093218784306,-0.853419292671136,0.0752171716100599,285.613631876691,676.395827560727,-1.60341191992738,-1.07806508011301,-2.45940861362563,1.39481017310408,903.0025,0.26528073534354,1.36721953048376,5.18699962664071,178.930887269001,576.100000000002,"N","B2_338_2017","9_B2_2017",-0.335645429278093
"7375",0,0,312,25,50,45,43,"B2_88",7375,"B2","88","14",360,0,1,1,497,"7","71",8,"qs25-50 no new",2017,10,12,1.23013018993361,6.20879121310063,5.88638177065483,1,2.07944154167984,0.274257491438356,0.26545564516129,0.261144086021505,0.359236458333333,16.9001074516315,26.0076109545019,2.95764192605381,21.9077277797673,8.11334055484126,1187.7,118.1,52.4,141.7,16.5961643835616,-4,30.05,23.9935483870968,3.61612903225806,-2.63197714739495,-1.4798750373662,-0.904683607833368,-1.26949635467558,-0.515489126832195,0.275160253673554,-2.50160665358052,-2.70343640992636,-1.58219534085182,2.07944154167984,1410631.29,275.432672246199,100,-1.34851106753287,-2.56261432022769,1.02026524938025,1.29517898319194,NA,-2.52546009768141,-1.08176726376219,-1.00656323786084,-1.42223668436663,-0.234451506908762,-1.64789612590271,-1.95831431696998,-3.05093218784306,-0.853419292671136,0.0752171716100599,285.613631876691,676.395827560727,-1.60341191992738,-1.07806508011301,-2.45940861362563,1.39481017310408,903.0025,0.26528073534354,0.607438098848758,5.42940806031327,228.014234794158,497.100000000002,"N","B2_88_2017","14_B2_2017",1.08694411195847
"7381",0,0,NA,25,50,5,19,"B2_97",7381,"B2","97","15",50,0,1,1,440,"8","55",0,"qs25-50 no new",2017,10,12,-0.591582455316443,6.08700197381705,3.91402100809082,0,NA,0.274257491438356,0.26545564516129,0.261144086021505,0.359236458333333,16.9001074516315,26.0076109545019,2.95764192605381,21.9077277797673,8.11334055484126,1187.7,118.1,52.4,141.7,16.5961643835616,-4,30.05,23.9935483870968,3.61612903225806,-2.63197714739495,-1.4798750373662,-0.904683607833368,-1.26949635467558,-0.515489126832195,0.275160253673554,-2.50160665358052,-2.70343640992636,-1.58219534085182,0,1410631.29,275.432672246199,100,-1.34851106753287,-2.56261432022769,1.02026524938025,1.29517898319194,NA,-2.52546009768141,-1.08176726376219,-1.00656323786084,-1.42223668436663,-0.234451506908762,-1.64789612590271,-1.95831431696998,-3.05093218784306,-0.853419292671136,0.0752171716100599,285.613631876691,676.395827560727,-1.60341191992738,-1.07806508011301,-2.45940861362563,1.39481017310408,903.0025,0.26528073534354,1.32016028424303,4.93801969186357,139.493735279673,440.100000000002,"N","B2_97_2017","15_B2_2017",NA
"7398",0,0,NA,25,50,22,27,"B2_109",7398,"B2","109","17",39,0,1,1,420,"10","42",0,"qs25-50 no new",2017,10,12,-0.820546606110505,6.04049277817534,3.66612246699132,0,NA,0.274257491438356,0.26545564516129,0.261144086021505,0.359236458333333,16.9001074516315,26.0076109545019,2.95764192605381,21.9077277797673,8.11334055484126,1187.7,118.1,52.4,141.7,16.5961643835616,-4,30.05,23.9935483870968,3.61612903225806,-2.63197714739495,-1.4798750373662,-0.904683607833368,-1.26949635467558,-0.515489126832195,0.275160253673554,-2.50160665358052,-2.70343640992636,-1.58219534085182,0,1410631.29,275.432672246199,100,-1.34851106753287,-2.56261432022769,1.02026524938025,1.29517898319194,NA,-2.52546009768141,-1.08176726376219,-1.00656323786084,-1.42223668436663,-0.234451506908762,-1.64789612590271,-1.95831431696998,-3.05093218784306,-0.853419292671136,0.0752171716100599,285.613631876691,676.395827560727,-1.60341191992738,-1.07806508011301,-2.45940861362563,1.39481017310408,903.0025,0.26528073534354,1.35544040163087,4.8762589521632,131.13914724233,420.100000000001,"N","B2_109_2017","17_B2_2017",NA
"7449",0,16,302.285714285714,25,50,42,45,"B2_163",7449,"B2","163","18",408,0,1,1,204,"4","51",8,"qs25-50 no new",2017,10,12,1.34570324686736,5.3186100698158,6.01151224241176,1,2.07944154167984,0.274257491438356,0.26545564516129,0.261144086021505,0.359236458333333,16.9001074516315,26.0076109545019,2.95764192605381,21.9077277797673,8.11334055484126,1187.7,118.1,52.4,141.7,16.5961643835616,-4,30.05,23.9935483870968,3.61612903225806,-2.63197714739495,-1.4798750373662,-0.904683607833368,-1.26949635467558,-0.515489126832195,0.275160253673554,-2.50160665358052,-2.70343640992636,-1.58219534085182,2.07944154167984,1410631.29,275.432672246199,100,-1.34851106753287,-2.56261432022769,1.02026524938025,1.29517898319194,NA,-2.52546009768141,-1.08176726376219,-1.00656323786084,-1.42223668436663,-0.234451506908762,-1.64789612590271,-1.95831431696998,-3.05093218784306,-0.853419292671136,0.0752171716100599,285.613631876691,676.395827560727,-1.60341191992738,-1.07806508011301,-2.45940861362563,1.39481017310408,903.0025,0.26528073534354,0.0201562309252698,5.46058271128334,235.234458208806,204.1,"N","B2_163_2017","18_B2_2017",0.860907544165838
"7471",0,0,157,25,50,47,47,"B2_186",7471,"B2","186","19",333,0,1,1,672,"8","84",0,"qs25-50 no new",2017,10,12,1.15814411571988,6.51040713897592,5.80844274519963,0,NA,0.274257491438356,0.26545564516129,0.261144086021505,0.359236458333333,16.9001074516315,26.0076109545019,2.95764192605381,21.9077277797673,8.11334055484126,1187.7,118.1,52.4,141.7,16.5961643835616,-4,30.05,23.9935483870968,3.61612903225806,-2.63197714739495,-1.4798750373662,-0.904683607833368,-1.26949635467558,-0.515489126832195,0.275160253673554,-2.50160665358052,-2.70343640992636,-1.58219534085182,0,1410631.29,275.432672246199,100,-1.34851106753287,-2.56261432022769,1.02026524938025,1.29517898319194,NA,-2.52546009768141,-1.08176726376219,-1.00656323786084,-1.42223668436663,-0.234451506908762,-1.64789612590271,-1.95831431696998,-3.05093218784306,-0.853419292671136,0.0752171716100599,285.613631876691,676.395827560727,-1.60341191992738,-1.07806508011301,-2.45940861362563,1.39481017310408,903.0025,0.26528073534354,1.21091666383517,5.40999055248007,223.629474926645,672.1,"N","B2_186_2017","19_B2_2017",0.340909433358369
"7536",0,0,426.857142857143,25,50,48,47,"B2_240",7536,"B2","240","20",NA,NA,1,1,340,"10","34",0,"qs25-50",2017,10,12,NA,5.82923969201315,NA,0,NA,0.274257491438356,0.26545564516129,0.261144086021505,0.359236458333333,16.9001074516315,26.0076109545019,2.95764192605381,21.9077277797673,8.11334055484126,1187.7,118.1,52.4,141.7,16.5961643835616,-4,30.05,23.9935483870968,3.61612903225806,-2.63197714739495,-1.4798750373662,-0.904683607833368,-1.26949635467558,-0.515489126832195,0.275160253673554,-2.50160665358052,-2.70343640992636,-1.58219534085182,0,1410631.29,275.432672246199,100,-1.34851106753287,-2.56261432022769,1.02026524938025,1.29517898319194,NA,-2.52546009768141,-1.08176726376219,-1.00656323786084,-1.42223668436663,-0.234451506908762,-1.64789612590271,-1.95831431696998,-3.05093218784306,-0.853419292671136,0.0752171716100599,285.613631876691,676.395827560727,-1.60341191992738,-1.07806508011301,-2.45940861362563,1.39481017310408,903.0025,0.26528073534354,NA,NA,NA,340.1,"N","B2_240_2017","20_B2_2017",1.31153518556014
