"site","ID","quad","x","y","mark","Note25","N25","L25","FR25","FLW25","Comm25","Alive25","Alive25_tpry","size25"
"B1","1","1","1","27","gp","","2","21","","","","1","1","42"
"B1","2","1","8","10","bp","","3","15","","","","1","1","45"
"B1","3","1","9","42","bd","2ros","4,4","13,12","","","","1","1","104"
"B1","4","1","10","41","rh","!unm pl U","2","18","","","","1","1","36"
"B1","5","1","11","27","rh","","2","10","","","","1","1","20"
"B1","6","1","17","24","rp","","1","10","","","","1","1","10"
"B1","7","1","18","41","wd","","2","15","","","","1","1","30"
"B1","8","1","19","26","wh","","3","18","","","","1","1","54"
"B1","9","1","20","38","gp","","2","12","","","","1","1","24"
"B1","10","1","21","37","oh","","4","16","","","qns25-50","1","1","64"
"B1","12","2","18","47","rh","","3","26","","","","1","1","78"
"B1","14","2","34","7","gh","","0","","","","new lvs","1","1","0"
"B1","16","2","36","24","op","","0","","","","new lvs","1","1","0"
"B1","17","2","42","13","rp","","3","15","","","","1","1","45"
"B1","18","2","43","15","bd","","2","12","","","","1","1","24"
"B1","19","2","47","14","yh","","4","22","","","","1","1","88"
"B1","20","2","48","8","oh","","3","10","","","","1","1","30"
"B1","21","2","49","46","gd","","3","20","","","qns25-50","1","1","60"
"B1","22","3","4","27","bd","","3","18","","","","1","1","54"
"B1","313","3","24","21","od","","5","31","","","","1","1","155"
"B1","23","3","27","26","rh","","2","19","","","","1","1","38"
"B1","25","3","29","30","bd","","0","","","","","1","0","0"
"B1","27","3","30","33","wp","","0","","","","","1","0","0"
"B1","24.1.","3","30","35","bd","","3","24","","","","1","1","72"
"B1","28","3","31","26","gh","","1","19","","","","1","1","19"
"B1","29","3","31","28","od","","1","18","","","","1","1","18"
"B1","30","3","32","20","bd","","1","28","","","","1","1","28"
"B1","32","3","32","23","gd","","5","18","","","","1","1","90"
"B1","33","3","32","27","bp","","1","17","","","","1","1","17"
"B1","35","3","32","35","rd","!unm pl L","7","27","","","","1","1","189"
"B1","36","3","33","22","yh","","1","18","","","","1","1","18"
"B1","37","3","33","25","wp","","5","28","","","","1","1","140"
"B1","38","3","34","35","gp","","4","14","","","","1","1","56"
"B1","39","3","36","13","gh","","0","","","","","1","0","0"
"B1","314","3","38","10","yd","","0","","","","new lvs","1","1","0"
"B1","41","3","38","38","wd","2ros","4,2","22,21","","","","1","1","132"
"B1","43","3","39","42","gh","","0","","","","","1","0","0"
"B1","51","3","40","34","yp","","3","21","","","","1","1","63"
"B1","44","3","40","38","rh","","0","","","","","1","0","0"
"B1","45","3","40","40","op","","2","21","","","","1","1","42"
"B1","315","3","40","47","gd","!unm pl RU","0","","","","","1","0","0"
"B1","46","3","41","43","bh","2ros","5,2","41,20","","","","1","1","287"
"B1","47","3","43","37","gh","","5","21","","","","1","1","105"
"B1","48","3","43","43","rd","","1","11","","","","1","1","11"
"B1","49","3","43","47","rh","","4","18","","","","1","1","72"
"B1","50","3","44","25","oh","","1","31","","","","1","1","31"
"B1","24.2.","3","45","31","od","","2","11","","","","1","1","22"
"B1","52","3","45","42","bp","","0","","","","","1","0","0"
"B1","54","3","46","49","gh","","3","30","","","was 2ros","1","1","90"
"B1","55","3","47","43","wp","","2","21","","","","1","1","42"
"B1","316","3","48","20","gd","","3","26","","","","1","1","78"
"B1","56","3","49","26","bd","","8","27","0","4","qs25-50, no new, was 2ros","1","1","216"
"B1","317","4","1","8","rd","","2","20","","","","1","1","40"
"B1","318","4","1","40","yh","","7","29","","","","1","1","203"
"B1","321","4","2","2","op","","3","13","","","","1","1","39"
"B1","24.7.","4","4","48","bd","","3","24","","8","","1","1","72"
"B1","58","4","25","8","gd","","3","29","","","oldx=5, unm pls","1","1","87"
"B1","327","4","5","10","wh","","2","13","","","","1","1","26"
"B1","24.3.","4","5","11","oh","","0","","","","","1","0","0"
"B1","24.8.","4","10","40","od","","4","29","","","","1","1","116"
"B1","325","4","10","41","gd","","3","29","","","","1","1","87"
"B1","61","4","12","46","rh","2ros","3,2","17,34","","","","1","1","170"
"B1","63","4","16","45","yh","2ros","2,3","21,23","","","","1","1","115"
"B1","65","4","18","27","wd","R of tp","3","11","","","","1","1","33"
