,"(mm) Precipitation (gridMET), -76.8740E,34.7672N ,2024-06-15 to 2025-06-15","(deg C) Mean Temperature (gridMET), -76.8740E,34.7672N ,2024-06-15 to 2025-06-15"
"2024-06-15",0,25.6
"2024-06-16",0,24.1
"2024-06-17",0,23.3
"2024-06-18",0,23.85
"2024-06-19",0,24.1
"2024-06-20",0,23.8
"2024-06-21",0,25.05
"2024-06-22",1.5,28
"2024-06-23",3.2,28.25
"2024-06-24",82.1,26.75
"2024-06-25",0,25.95
"2024-06-26",0,28.9
"2024-06-27",12.6,26.85
"2024-06-28",0,26.55
"2024-06-29",0,28.05
"2024-06-30",52.4,28
"2024-07-01",3.1,22.45
"2024-07-02",0,24.7
"2024-07-03",0,24.6
"2024-07-04",0,26.8
"2024-07-05",0,29
"2024-07-06",0,28.35
"2024-07-07",0,28.2
"2024-07-08",0.6,27.95
"2024-07-09",1.5,28.25
"2024-07-10",0.8,28.8
"2024-07-11",22.1,28.5
"2024-07-12",36.8,27.5
"2024-07-13",4.3,27.9
"2024-07-14",2.4,30.1
"2024-07-15",0,30.05
"2024-07-16",0,29.7
"2024-07-17",7.1,27.2
"2024-07-18",19.8,26.55
"2024-07-19",32.8,26.35
"2024-07-20",4.5,27.1
"2024-07-21",16.9,26.85
"2024-07-22",6.2,26.6
"2024-07-23",1.6,27.4
"2024-07-24",0.6,27.75
"2024-07-25",12.6,26.9
"2024-07-26",26.2,25.2
"2024-07-27",1.5,24.4
"2024-07-28",0,24
"2024-07-29",0,25.7
"2024-07-30",0,27.95
"2024-07-31",0,27.5
"2024-08-01",0,29.05
"2024-08-02",0,29.1
"2024-08-03",4.1,27.35
"2024-08-04",16.5,26.4
"2024-08-05",2.7,26.1
"2024-08-06",68.1,25.65
"2024-08-07",44.9,25.95
"2024-08-08",33.1,26.6
"2024-08-09",90,26.35
"2024-08-10",19.7,27.45
"2024-08-11",7,27.35
"2024-08-12",36.5,25.65
"2024-08-13",0,24.8
"2024-08-14",0,24.05
"2024-08-15",0,23.5
"2024-08-16",0,24.4
"2024-08-17",0,26.35
"2024-08-18",16,26.6
"2024-08-19",9,25.9
"2024-08-20",5.5,23.45
"2024-08-21",0,20.5
"2024-08-22",0,21.2
"2024-08-23",0,22.9
"2024-08-24",0,24.05
"2024-08-25",0.8,24.95
"2024-08-26",0,24.9
"2024-08-27",0,26.5
"2024-08-28",0,27.95
"2024-08-29",0,28.35
"2024-08-30",6.2,26.4
"2024-08-31",0,26.45
"2024-09-01",0,26.8
"2024-09-02",15,24.2
"2024-09-03",0,23.45
"2024-09-04",0,23.5
"2024-09-05",0,23.3
"2024-09-06",10.6,24.15
"2024-09-07",2.5,20.9
"2024-09-08",0,19.45
"2024-09-09",0,18.55
"2024-09-10",0,20.25
"2024-09-11",0,22.05
"2024-09-12",40.8,24.35
"2024-09-13",22.9,21.5
"2024-09-14",5.7,23.15
"2024-09-15",28,24.35
"2024-09-16",134.3,22.8
"2024-09-17",0,23.25
"2024-09-18",2.6,24.65
"2024-09-19",22.4,23.75
"2024-09-20",0,23.15
"2024-09-21",0,22.95
"2024-09-22",0,22.95
"2024-09-23",0,22.75
"2024-09-24",0.3,24.25
"2024-09-25",1.7,25.65
"2024-09-26",0,25.9
"2024-09-27",6.9,24.75
"2024-09-28",0,25.05
"2024-09-29",0,25.3
"2024-09-30",0,26
"2024-10-01",0,24
"2024-10-02",0,21.8
"2024-10-03",0,22.2
"2024-10-04",0,22.95
