,"(mm) Precipitation (gridMET), -76.9743E,34.7660N ,2024-06-15 to 2025-06-15","(deg C) Mean Temperature (gridMET), -76.9743E,34.7660N ,2024-06-15 to 2025-06-15"
"2024-06-15",0,25.95
"2024-06-16",0,24.4
"2024-06-17",0,23.4
"2024-06-18",0,24.2
"2024-06-19",0,24.3
"2024-06-20",0,24
"2024-06-21",0,25.2
"2024-06-22",0.7,28.05
"2024-06-23",2.2,28.3
"2024-06-24",73.2,27.05
"2024-06-25",0,26.2
"2024-06-26",0,29
"2024-06-27",15.3,26.95
"2024-06-28",5.3,26.65
"2024-06-29",0,28.05
"2024-06-30",62.1,28.1
"2024-07-01",3.6,22.15
"2024-07-02",0,24.6
"2024-07-03",0,24.55
"2024-07-04",0,26.45
"2024-07-05",0,29.1
"2024-07-06",0,28.3
"2024-07-07",0,28.1
"2024-07-08",0.8,27.8
"2024-07-09",2.6,28.25
"2024-07-10",2.9,28.75
"2024-07-11",30.5,28.4
"2024-07-12",38.3,27.35
"2024-07-13",3.5,27.75
"2024-07-14",3.8,29.95
"2024-07-15",0,29.85
"2024-07-16",0,29.55
"2024-07-17",13.5,27.05
"2024-07-18",15,26.35
"2024-07-19",31.4,26.25
"2024-07-20",1,27.1
"2024-07-21",5.6,26.75
"2024-07-22",5.7,26.45
"2024-07-23",2.4,27.25
"2024-07-24",0,27.7
"2024-07-25",25,26.7
"2024-07-26",49.1,25.1
"2024-07-27",0.6,24.25
"2024-07-28",0,23.8
"2024-07-29",0,25.6
"2024-07-30",0,27.8
"2024-07-31",0,27.3
"2024-08-01",0,29
"2024-08-02",0.8,28.95
"2024-08-03",4.2,27.1
"2024-08-04",6.2,26.4
"2024-08-05",2.9,25.9
"2024-08-06",66,25.55
"2024-08-07",55.6,25.9
"2024-08-08",68,26.35
"2024-08-09",40.9,26.35
"2024-08-10",11.7,27.4
"2024-08-11",2.9,27.3
"2024-08-12",27.5,25.45
"2024-08-13",0,24.5
"2024-08-14",0,23.9
"2024-08-15",0,23.5
"2024-08-16",0,24.35
"2024-08-17",0,25.9
"2024-08-18",6.2,26.5
"2024-08-19",10.2,25.75
"2024-08-20",3.5,23.25
"2024-08-21",0,20.35
"2024-08-22",0,20.95
"2024-08-23",0,22.6
"2024-08-24",0,23.8
"2024-08-25",0.6,24.85
"2024-08-26",0,24.85
"2024-08-27",0,26.3
"2024-08-28",0,27.65
"2024-08-29",0,27.9
"2024-08-30",13.8,26.05
"2024-08-31",0,26.2
"2024-09-01",0,26.45
"2024-09-02",5.2,24.15
"2024-09-03",0,23.2
"2024-09-04",0,23.25
"2024-09-05",0,23.15
"2024-09-06",9.5,23.95
"2024-09-07",0.6,20.7
"2024-09-08",0,19.3
"2024-09-09",0,18.35
"2024-09-10",0,20.05
"2024-09-11",0,21.85
"2024-09-12",32.6,24.15
"2024-09-13",22.1,21.45
"2024-09-14",6.5,23.15
"2024-09-15",42.6,24.15
"2024-09-16",121.9,22.55
"2024-09-17",0,22.95
"2024-09-18",5.9,24.65
"2024-09-19",14.9,23.25
"2024-09-20",0,23
"2024-09-21",0,22.8
"2024-09-22",0,22.8
"2024-09-23",0,22.45
"2024-09-24",0.5,23.8
"2024-09-25",0,25.35
"2024-09-26",0,25.85
"2024-09-27",7.3,24.5
"2024-09-28",0,24.95
"2024-09-29",0,25.1
"2024-09-30",0,25.45
"2024-10-01",0,23.75
"2024-10-02",0,21.6
"2024-10-03",0,22
"2024-10-04",0,22.5
"2024-10-05",0,22.05
"2024-10-06",0,18.85
"2024-10-07",0,20.85
"2024-10-08",0,19.95
"2024-10-09",0,18.55
"2024-10-10",0,15.3
"2024-10-11",0,13.75
"2024-10-12",0,16.45
"2024-10-13",0,18.9
"2024-10-14",0,17.75
"2024-10-15",0,15.35
"2024-10-16",0,9.95
"2024-10-17",0,10.5
"2024-10-18",0,13.65
"2024-10-19",0,16.2
"2024-10-20",0,17.2
"2024-10-21",0,18.25
"2024-10-22",0,19.65
"2024-10-23",0,19.95
"2024-10-24",0,15.7
"2024-10-25",0,15.4
"2024-10-26",0,19.65
"2024-10-27",4.2,13.9
"2024-10-28",0,15.5
"2024-10-29",0,18.05
"2024-10-30",0,19.3
"2024-10-31",0,20.4
"2024-11-01",0,21.25
"2024-11-02",0,16.75
"2024-11-03",0,15.75
"2024-11-04",0,18.35
"2024-11-05",0,19.7
"2024-11-06",0,20.45
"2024-11-07",0,21.2
"2024-11-08",0,20.85
"2024-11-09",0,14.45
"2024-11-10",0,17.45
"2024-11-11",1.1,18.6
"2024-11-12",0,14.15
"2024-11-13",0,11.7
"2024-11-14",34.7,13.8
"2024-11-15",0,10.8
"2024-11-16",0,10.85
"2024-11-17",0,12.05
"2024-11-18",0,14.3
"2024-11-19",0,13.95
"2024-11-20",0,15.05
"2024-11-21",0,9
"2024-11-22",0,5.55
"2024-11-23",0,8.3
"2024-11-24",0,9.6
"2024-11-25",0,12
"2024-11-26",1,15.35
"2024-11-27",0,13.85
"2024-11-28",0.3,14.15
"2024-11-29",0,5.55
"2024-11-30",0,2.15
"2024-12-01",0,4.15
"2024-12-02",0,1.9
"2024-12-03",0,0.45
"2024-12-04",0,3.65
"2024-12-05",0,7.3
"2024-12-06",0,-0.9
"2024-12-07",0,0.6
"2024-12-08",0,11.6
"2024-12-09",1.6,13.7
"2024-12-10",5.9,18.85
"2024-12-11",17.2,9.8
"2024-12-12",0,4
"2024-12-13",0,6.15
"2024-12-14",0,10.25
"2024-12-15",0,10.75
"2024-12-16",0.5,14.35
