,"(mm) Precipitation (gridMET), -79.1991E,35.1464N ,2024-06-15 to 2025-06-15","(deg C) Mean Temperature (gridMET), -79.1991E,35.1464N ,2024-06-15 to 2025-06-15"
"2024-06-15",0,27.75
"2024-06-16",0,26.55
"2024-06-17",0,25.55
"2024-06-18",0,25
"2024-06-19",0,25.35
"2024-06-20",0,25.15
"2024-06-21",0,28.5
"2024-06-22",0,29.65
"2024-06-23",0,30.4
"2024-06-24",0,28.5
"2024-06-25",2.9,29.7
"2024-06-26",0,31.1
"2024-06-27",0,26.85
"2024-06-28",0,28.95
"2024-06-29",0,30.5
"2024-06-30",65.4,28.8
"2024-07-01",0.3,22.25
"2024-07-02",0,24.4
"2024-07-03",0,27.25
"2024-07-04",0,29.85
"2024-07-05",1.2,31.85
"2024-07-06",12.2,30.2
"2024-07-07",1.6,28.6
"2024-07-08",0.4,28.55
"2024-07-09",0,30.45
"2024-07-10",5.2,29.65
"2024-07-11",0,27.4
"2024-07-12",8,25.15
"2024-07-13",0,28.95
"2024-07-14",5.1,30.1
"2024-07-15",6.3,30.1
"2024-07-16",0,29.8
"2024-07-17",0.5,28.95
"2024-07-18",14.5,28.15
"2024-07-19",11.1,25.9
"2024-07-20",6.3,26.75
"2024-07-21",35.8,26.7
"2024-07-22",1.5,26.9
"2024-07-23",59.6,27.65
"2024-07-24",5.2,27.85
"2024-07-25",29.8,25.85
"2024-07-26",2.1,24.3
"2024-07-27",0,24.2
"2024-07-28",0,25.7
"2024-07-29",12.5,22.85
"2024-07-30",0,26.8
"2024-07-31",0,28.05
"2024-08-01",0,29.95
"2024-08-02",0.5,28.7
"2024-08-03",13.5,27.05
"2024-08-04",27.7,26.95
"2024-08-05",3.6,25.9
"2024-08-06",32,24.15
"2024-08-07",136,24.55
"2024-08-08",16.2,24.45
"2024-08-09",1.3,27.3
"2024-08-10",24.5,28.1
"2024-08-11",29.1,27.55
"2024-08-12",1.8,25.25
"2024-08-13",1.5,22.8
"2024-08-14",0,24.2
"2024-08-15",0,24.65
"2024-08-16",0,26.95
"2024-08-17",0,26.6
"2024-08-18",7.3,25.8
"2024-08-19",0,25.85
"2024-08-20",0,21.55
"2024-08-21",0,19.35
"2024-08-22",0,19.95
"2024-08-23",0,20.1
"2024-08-24",0,21.8
"2024-08-25",0,23.5
"2024-08-26",0,25.4
"2024-08-27",0,26.95
"2024-08-28",0,29
"2024-08-29",1.5,29.7
"2024-08-30",36.2,28.25
"2024-08-31",0,26.95
"2024-09-01",29.7,26.85
"2024-09-02",12.1,23.1
"2024-09-03",0,21.25
"2024-09-04",0,22
"2024-09-05",0,20.75
"2024-09-06",1.6,22.9
"2024-09-07",0,22.15
"2024-09-08",0,18.45
"2024-09-09",0,18.85
"2024-09-10",0,20.75
"2024-09-11",0,21.3
"2024-09-12",10.8,23
