,"(mm) Precipitation (gridMET), -78.3000E,34.0820N ,2024-06-15 to 2025-06-15","(deg C) Mean Temperature (gridMET), -78.3000E,34.0820N ,2024-06-15 to 2025-06-15"
"2024-06-15",1,27.55
"2024-06-16",0,24.6
"2024-06-17",0,23.8
"2024-06-18",0,23.2
"2024-06-19",0,24.05
"2024-06-20",0,24.6
"2024-06-21",13.2,24.7
"2024-06-22",0,27.15
"2024-06-23",0,29.1
"2024-06-24",2.7,28.85
"2024-06-25",16.9,26.95
"2024-06-26",0,29.2
"2024-06-27",3,27.6
"2024-06-28",0,27.1
"2024-06-29",0,28.5
"2024-06-30",0,28.95
"2024-07-01",1,25
"2024-07-02",0,25.4
"2024-07-03",0,25.9
"2024-07-04",0,27.45
"2024-07-05",0,28.75
"2024-07-06",0,29.25
"2024-07-07",0,28.5
"2024-07-08",0.8,28.9
"2024-07-09",3.3,28.8
"2024-07-10",1.1,28.9
"2024-07-11",100.7,28
"2024-07-12",31.8,27.45
"2024-07-13",1.8,27.8
"2024-07-14",0,30
"2024-07-15",0,29.15
"2024-07-16",0,30
"2024-07-17",4.6,26.7
"2024-07-18",13.8,26.15
"2024-07-19",15.6,27.2
"2024-07-20",0,27.75
"2024-07-21",8.6,28.3
"2024-07-22",1.5,27.25
"2024-07-23",6.8,27.35
"2024-07-24",25.8,28.35
"2024-07-25",4.9,26.95
"2024-07-26",45.3,26.95
"2024-07-27",0,23.6
"2024-07-28",0,24.15
"2024-07-29",0,24.65
"2024-07-30",0,27.7
"2024-07-31",0,27.2
"2024-08-01",0,29.65
"2024-08-02",6.6,29.25
"2024-08-03",4.9,27.2
"2024-08-04",0.9,26.6
"2024-08-05",14.3,25.8
"2024-08-06",44.9,24.55
"2024-08-07",98.5,25.85
"2024-08-08",36,25.8
"2024-08-09",0.5,26.55
"2024-08-10",0,29.05
"2024-08-11",15.6,27.55
"2024-08-12",0,28
"2024-08-13",0,24.75
"2024-08-14",0,25.8
"2024-08-15",0,24.25
"2024-08-16",0,25.9
"2024-08-17",0,27.35
"2024-08-18",4.3,26.7
"2024-08-19",0,26.35
"2024-08-20",13.8,24
"2024-08-21",0,21.6
"2024-08-22",0,21.55
"2024-08-23",0,21.55
"2024-08-24",0,24.4
"2024-08-25",0.8,25.25
"2024-08-26",0,25.65
"2024-08-27",0,25.85
"2024-08-28",0,27.45
"2024-08-29",0,27.25
"2024-08-30",0,27.4
"2024-08-31",3,26.55
"2024-09-01",1.5,27.05
"2024-09-02",34.4,23.7
"2024-09-03",0,22.8
"2024-09-04",0,23.75
"2024-09-05",0,23.5
"2024-09-06",2.8,24.75
"2024-09-07",0,22.6
"2024-09-08",0.3,18.55
"2024-09-09",0,19.25
"2024-09-10",0,21.2
"2024-09-11",0,22.75
"2024-09-12",0.5,24.4
"2024-09-13",1.7,24.3
"2024-09-14",15.5,21.8
"2024-09-15",33.6,21.75
"2024-09-16",130.4,22.1
"2024-09-17",0,21.8
"2024-09-18",0,25.15
"2024-09-19",10.6,24.25
