,"(mm) Precipitation (gridMET), -77.6745E,34.4575N ,2024-06-15 to 2025-06-15","(deg C) Mean Temperature (gridMET), -77.6745E,34.4575N ,2024-06-15 to 2025-06-15"
15/06/2024,0,27.4
16/06/2024,0,25.2
17/06/2024,0,23.85
18/06/2024,0,24
19/06/2024,0,24.05
20/06/2024,0,23.6
21/06/2024,4.3,25.75
22/06/2024,1.9,27.35
23/06/2024,0.3,29.3
24/06/2024,17.5,28.8
25/06/2024,0,27.1
26/06/2024,0,29.8
27/06/2024,21.6,28.2
28/06/2024,0,27.4
29/06/2024,5.6,28.1
30/06/2024,1.4,29.1
1/07/2024,0,23.05
2/07/2024,0,24.35
3/07/2024,0,25.1
4/07/2024,0,27.55
5/07/2024,0,30.3
6/07/2024,0,28.85
7/07/2024,3,28.3
8/07/2024,0.3,28
9/07/2024,0,28.75
10/07/2024,1.1,29.75
11/07/2024,13.9,28.9
12/07/2024,37.6,27.7
13/07/2024,3.1,27.65
14/07/2024,0,30.6
15/07/2024,0.5,30.15
16/07/2024,0,30.35
17/07/2024,3.5,26.4
18/07/2024,15.5,26.9
19/07/2024,15.1,27
20/07/2024,0,28.5
21/07/2024,13.1,27.65
22/07/2024,3.2,26.75
23/07/2024,7.8,27.95
24/07/2024,6.2,28.35
25/07/2024,32.4,27.45
26/07/2024,66.3,26.2
27/07/2024,0.5,23.5
28/07/2024,0,24.05
29/07/2024,0.6,25.95
30/07/2024,4.4,28.15
31/07/2024,0.4,28.15
1/08/2024,0,29.8
2/08/2024,59,27.65
3/08/2024,4.2,27.65
4/08/2024,0,26.8
5/08/2024,10.1,26.75
6/08/2024,78.4,25
7/08/2024,59,26.55
8/08/2024,38.4,26.8
9/08/2024,49.5,26.15
10/08/2024,3,28.7
11/08/2024,15.7,28.15
12/08/2024,0.6,27.15
13/08/2024,0,25.75
14/08/2024,0,25.3
15/08/2024,0,24.5
16/08/2024,0,26.05
17/08/2024,0,27.75
18/08/2024,1.4,27.5
19/08/2024,1.8,27.25
20/08/2024,0,24.4
21/08/2024,0,21.45
22/08/2024,0,21.7
23/08/2024,0,22.95
24/08/2024,0,24.7
25/08/2024,1.4,25.5
26/08/2024,0,26.4
27/08/2024,0,27.2
28/08/2024,0,28.45
29/08/2024,0,28.5
30/08/2024,4.6,27.4
31/08/2024,0.9,26.55
1/09/2024,0,27.1
2/09/2024,10.8,23.8
3/09/2024,0,22.45
4/09/2024,0,23.9
5/09/2024,0,23.05
6/09/2024,13.3,24.7
7/09/2024,0.9,21.65
8/09/2024,0,19.05
9/09/2024,0,18.45
10/09/2024,0,20.7
11/09/2024,0,22.5
12/09/2024,4.9,24.5
13/09/2024,19.6,23.05
14/09/2024,24.4,23.2
15/09/2024,18.4,23.1
16/09/2024,87,22.6
17/09/2024,0,23.25
18/09/2024,0,25.1
19/09/2024,12.1,24.05
20/09/2024,0,23.3
21/09/2024,0,23.95
22/09/2024,14.9,24.65
23/09/2024,0,23.8
24/09/2024,0.8,24.65
25/09/2024,0,26.75
26/09/2024,0,26.65
27/09/2024,5.7,24.8
28/09/2024,0,25.25
29/09/2024,0,25.35
30/09/2024,0,26.45
1/10/2024,0,25.3
2/10/2024,0,22.15
3/10/2024,0,22.75
4/10/2024,0,24.05
5/10/2024,0,23
6/10/2024,0,20.7
7/10/2024,0,23
8/10/2024,0,19.5
9/10/2024,0,19.05
10/10/2024,0,14.85
11/10/2024,0,14.4
12/10/2024,0,16.85
13/10/2024,0,19.75
14/10/2024,0,17.75
15/10/2024,0,15.15
16/10/2024,0,10.05
17/10/2024,0,10
18/10/2024,0,12.45
19/10/2024,0,15.15
20/10/2024,0,17.2
21/10/2024,0,19.5
22/10/2024,0,19.8
23/10/2024,0,20.85
24/10/2024,0,16.45
25/10/2024,0,16
26/10/2024,0.5,20.8
27/10/2024,1.1,14.45
28/10/2024,0,16.95
29/10/2024,0,18.95
30/10/2024,0,20.85
31/10/2024,0,20.8
1/11/2024,0,22.3
2/11/2024,0,18.25
3/11/2024,0,15.65
4/11/2024,0,18.6
5/11/2024,0.5,20.55
6/11/2024,1,22.4
7/11/2024,0.9,21.25
8/11/2024,0,21.85
9/11/2024,0,15.5
10/11/2024,0,17.45
11/11/2024,0,18.85
12/11/2024,0,14.1
13/11/2024,0,11.8
14/11/2024,21.9,13.5
15/11/2024,0,10.2
16/11/2024,0,11.15
17/11/2024,0,12.45
18/11/2024,0,15.1
19/11/2024,0,15.55
20/11/2024,0.5,15.35
21/11/2024,0,9.1
22/11/2024,0,6
23/11/2024,0,8.35
24/11/2024,0,10.6
25/11/2024,0,13.55
26/11/2024,0,14.75
27/11/2024,0,13.8
28/11/2024,0.3,14.4
29/11/2024,0,4.95
30/11/2024,0,3.2
1/12/2024,0,4.7
2/12/2024,0,2.85
3/12/2024,0,0.35
4/12/2024,0,2.7
5/12/2024,0,7.35
6/12/2024,0,-0.45
7/12/2024,0,1.55
8/12/2024,0,12.15
9/12/2024,3.1,13.4
10/12/2024,3,20.15
11/12/2024,10.6,9.9
12/12/2024,0,4.85
13/12/2024,0,7.8
14/12/2024,0,11.2
15/12/2024,0,12.85
16/12/2024,0,15.7
17/12/2024,0,19.3
18/12/2024,3.2,18.6
19/12/2024,0.4,12.3
20/12/2024,0,8
21/12/2024,0,4.85
22/12/2024,0,1.25
23/12/2024,0,3.8
24/12/2024,12.7,6
25/12/2024,0,6.7
26/12/2024,2.3,8.65
27/12/2024,0,12.75
28/12/2024,0,15.1
29/12/2024,8,18.3
30/12/2024,0,12.3
31/12/2024,0,13.8
1/01/2025,0,10.4
2/01/2025,0,7.55
3/01/2025,0,7.6
4/01/2025,0,4
5/01/2025,0,6.45
6/01/2025,1.7,11.95
7/01/2025,0,3.95
8/01/2025,0,3.55
9/01/2025,0,2.1
10/01/2025,7.7,5.75
11/01/2025,0,5.05
12/01/2025,0,4.95
13/01/2025,0,7.3
14/01/2025,0,7.8
15/01/2025,0,1.95
16/01/2025,0,5.9
17/01/2025,0,7.8
18/01/2025,11.4,11.55
19/01/2025,0.3,10.45
20/01/2025,0,3.55
21/01/2025,9.7,1.2
22/01/2025,0,-2.45
23/01/2025,0,-0.4
24/01/2025,0,3.4
25/01/2025,0,5.25
26/01/2025,0.8,8.8
27/01/2025,4.4,9.75
28/01/2025,0,12.45
29/01/2025,0,13.55
30/01/2025,0,12.65
31/01/2025,1.6,14.5
1/02/2025,0,10.25
2/02/2025,1.5,6.05
3/02/2025,0,10.05
4/02/2025,0,14.55
5/02/2025,1.6,8.4
6/02/2025,0,10.65
7/02/2025,7.6,15.15
8/02/2025,0,11.35
9/02/2025,1.9,13.2
10/02/2025,0,2.55
11/02/2025,2.5,2.15
12/02/2025,1.1,7.9
13/02/2025,5.7,9.9
14/02/2025,0,3.95
15/02/2025,2.3,9.95
16/02/2025,7.2,9.15
17/02/2025,0,2.2
18/02/2025,0.9,3.7
19/02/2025,12,-1.65
20/02/2025,0,-5.6
21/02/2025,2.6,12.4
22/02/2025,0.4,2.95
23/02/2025,0,-0.2
24/02/2025,0,0.95
25/02/2025,0,9.95
26/02/2025,11.2,12.55
27/02/2025,12.7,7.95
28/02/2025,0,11.55
1/03/2025,0,15
2/03/2025,0,2.65
3/03/2025,0,5.2
4/03/2025,0,10.8
5/03/2025,16.9,15
6/03/2025,0,6.55
7/03/2025,0,8.55
8/03/2025,0,16.45
9/03/2025,0,12.05
10/03/2025,0,13.2
11/03/2025,0,14.25
12/03/2025,0,17
13/03/2025,0,16.95
14/03/2025,0,14.75
15/03/2025,0,18.75
16/03/2025,15.7,20.15
17/03/2025,35.7,13.1
18/03/2025,0,11.85
19/03/2025,0,14.9
20/03/2025,1,15.85
21/03/2025,0,10.95
22/03/2025,0,14.65
23/03/2025,0,14.95
24/03/2025,0.6,18.35
25/03/2025,0,15.25
26/03/2025,0,12.1
27/03/2025,0,12.7
28/03/2025,0,17.9
29/03/2025,0,20.25
30/03/2025,1.3,21.6
31/03/2025,9.3,21.65
1/04/2025,0,18.75
2/04/2025,1.8,19.75
3/04/2025,0,24.05
4/04/2025,0,22.75
5/04/2025,0,23.9
6/04/2025,0,25.3
7/04/2025,14.8,19.8
8/04/2025,0,14.35
9/04/2025,0,11.55
10/04/2025,6.6,16.75
11/04/2025,0.9,15.75
12/04/2025,0,9.75
13/04/2025,0,13
14/04/2025,0,21.3
15/04/2025,0,17.15
16/04/2025,0,14.2
17/04/2025,0,16.2
18/04/2025,0,19.4
19/04/2025,0,20.8
20/04/2025,0,21.3
21/04/2025,0,21.1
22/04/2025,0,22.9
23/04/2025,38.2,21.2
24/04/2025,0,20.35
25/04/2025,0.5,23.25
26/04/2025,0,22.4
27/04/2025,0,14.9
28/04/2025,0,16.95
29/04/2025,0,19.9
30/04/2025,0,23
1/05/2025,0,23.5
2/05/2025,0,23.4
3/05/2025,20.9,23.4
4/05/2025,1.4,21.05
5/05/2025,0,20.5
6/05/2025,0,20.65
7/05/2025,0,24
8/05/2025,0.6,21.85
9/05/2025,3.7,21.75
10/05/2025,2.6,20.4
11/05/2025,17.5,20.95
12/05/2025,95.6,22.5
13/05/2025,1.8,23.7
14/05/2025,5.1,23.35
15/05/2025,0,25.9
16/05/2025,0,28.05
17/05/2025,0,25.7
18/05/2025,0,24.65
19/05/2025,0,23.95
20/05/2025,0,24.4
21/05/2025,0,25.05
22/05/2025,0.7,21.9
23/05/2025,0,20
24/05/2025,0,20.85
25/05/2025,1.5,22.5
26/05/2025,0.8,18.05
27/05/2025,16.7,20.6
28/05/2025,0,24.35
29/05/2025,36.7,24.3
30/05/2025,0.8,22.05
31/05/2025,0.9,20.7
1/06/2025,9.4,21.9
2/06/2025,0,21.55
3/06/2025,0,22.45
4/06/2025,1,24.8
5/06/2025,66.9,23.05
6/06/2025,0,26.85
7/06/2025,11.3,28.45
8/06/2025,19.3,27.25
9/06/2025,4.6,27.3
10/06/2025,5.8,24.15
11/06/2025,11,25.85
12/06/2025,0,26.9
13/06/2025,19.8,26.45
14/06/2025,24.1,25.85
15/06/2025,0,28.15
