,"(mm) Precipitation (gridMET), -77.3088E,34.5915N ,2024-06-15 to 2025-06-15","(deg C) Mean Temperature (gridMET), -77.3088E,34.5915N ,2024-06-15 to 2025-06-15"
"2024-06-15",0,27.45
"2024-06-16",0,26.3
"2024-06-17",0,25.5
"2024-06-18",0,26.15
"2024-06-19",0,26.55
"2024-06-20",0,26.25
"2024-06-21",1.2,26.45
"2024-06-22",0,29.05
"2024-06-23",0,28.8
"2024-06-24",4.9,27.8
"2024-06-25",0,28
"2024-06-26",0,29.25
"2024-06-27",60.4,27.35
"2024-06-28",1.8,28.2
"2024-06-29",0,29.35
"2024-06-30",9.4,28.3
"2024-07-01",1.8,23.45
"2024-07-02",0,25.5
"2024-07-03",0,26
"2024-07-04",0,26.95
"2024-07-05",0,29.15
"2024-07-06",0,29
"2024-07-07",0,28.95
"2024-07-08",1.9,28.7
"2024-07-09",0,29.3
"2024-07-10",0.6,29.55
"2024-07-11",10.4,28.65
"2024-07-12",36.5,28
"2024-07-13",3.3,28.4
"2024-07-14",0,30.5
"2024-07-15",0.5,30.55
"2024-07-16",0,30.25
"2024-07-17",15.6,27.85
"2024-07-18",10.7,26.8
"2024-07-19",9.8,26.85
"2024-07-20",0,27.9
"2024-07-21",4.9,27.15
"2024-07-22",3.7,26.9
"2024-07-23",2.4,27.7
"2024-07-24",0.9,27.9
"2024-07-25",14.3,27.2
"2024-07-26",66.9,25.6
"2024-07-27",0,25.2
"2024-07-28",0,25
"2024-07-29",0,27.25
"2024-07-30",0.6,28.05
"2024-07-31",0,27.7
"2024-08-01",0,29.35
"2024-08-02",10.2,29.35
"2024-08-03",7.4,27.6
"2024-08-04",3.9,26.9
"2024-08-05",3.1,26.35
"2024-08-06",52,26.7
"2024-08-07",58.4,26.95
"2024-08-08",51.8,26.65
"2024-08-09",32.4,27.4
"2024-08-10",12.1,27.85
"2024-08-11",11.2,27.4
"2024-08-12",2.6,26.25
"2024-08-13",0,25.25
"2024-08-14",0,24.95
"2024-08-15",0,24.25
"2024-08-16",0,25.45
"2024-08-17",0,25.8
"2024-08-18",2.6,26.65
"2024-08-19",2.1,25.85
"2024-08-20",5.3,23.75
"2024-08-21",0,21.6
"2024-08-22",0,21.65
"2024-08-23",0,23.75
"2024-08-24",0,24.7
"2024-08-25",0,25.2
"2024-08-26",0,25.3
"2024-08-27",0,26
"2024-08-28",0,28.05
"2024-08-29",0,28.25
"2024-08-30",2.4,27.15
"2024-08-31",0,26.3
"2024-09-01",0,26.7
"2024-09-02",10.3,23.45
"2024-09-03",0,22.4
"2024-09-04",0,23.3
"2024-09-05",0,22.9
"2024-09-06",18,24.35
"2024-09-07",3.2,20.9
"2024-09-08",0,19.15
"2024-09-09",0,20.25
"2024-09-10",0,21.75
"2024-09-11",0,22.5
"2024-09-12",19.1,23.8
"2024-09-13",28.7,21.85
"2024-09-14",6.1,22.75
"2024-09-15",22,23
"2024-09-16",147.7,22.45
"2024-09-17",0.4,22.75
"2024-09-18",0.6,23.8
"2024-09-19",13,23.65
"2024-09-20",0,23.25
"2024-09-21",0,23.45
"2024-09-22",0.4,23.05
"2024-09-23",0,22.7
"2024-09-24",0,24.85
"2024-09-25",0,26.15
"2024-09-26",6.7,26.6
"2024-09-27",16.1,24.9
"2024-09-28",0,24.75
"2024-09-29",0,25.1
"2024-09-30",0,24.75
"2024-10-01",0,23.15
"2024-10-02",0,21.2
"2024-10-03",0,21.35
"2024-10-04",0,22
"2024-10-05",0,21.7
"2024-10-06",0,19.75
"2024-10-07",0,20.7
"2024-10-08",0,18.75
"2024-10-09",0,18.05
"2024-10-10",0,14.25
"2024-10-11",0,13.7
"2024-10-12",0,15.8
"2024-10-13",0,18.75
"2024-10-14",0,17.15
"2024-10-15",0,14.2
"2024-10-16",0,9.25
"2024-10-17",0,9.6
"2024-10-18",0,11.95
"2024-10-19",0,14.8
"2024-10-20",0,15.9
"2024-10-21",0,18.55
"2024-10-22",0,18.95
"2024-10-23",0,19.9
"2024-10-24",0,16.25
"2024-10-25",0,15.5
"2024-10-26",0,19.4
"2024-10-27",0.9,13.2
"2024-10-28",0,15
"2024-10-29",0,17.5
"2024-10-30",0,18.95
"2024-10-31",0,20.3
"2024-11-01",0,20.6
"2024-11-02",0,16.6
"2024-11-03",0,15
"2024-11-04",0,17.45
"2024-11-05",0,19.45
"2024-11-06",0.4,21.25
"2024-11-07",2.6,20.1
"2024-11-08",0,20.7
"2024-11-09",0,14.75
"2024-11-10",0,16.95
"2024-11-11",0.4,18.8
"2024-11-12",0,13.75
"2024-11-13",0,11.6
"2024-11-14",22.3,13.7
"2024-11-15",0,10.75
"2024-11-16",0,11.45
"2024-11-17",0,12.25
"2024-11-18",0,15.4
"2024-11-19",0,15.05
"2024-11-20",0.7,14.55
"2024-11-21",0,8.65
"2024-11-22",0,5.7
"2024-11-23",0,8.55
"2024-11-24",0,9.9
"2024-11-25",0,13.05
"2024-11-26",0.4,15.1
"2024-11-27",0,14
"2024-11-28",3.6,13.8
"2024-11-29",0,5.4
"2024-11-30",0,3.75
"2024-12-01",0,5.85
"2024-12-02",0,3.5
"2024-12-03",0,1.45
"2024-12-04",0,4.4
"2024-12-05",0,6.85
"2024-12-06",0,0.4
"2024-12-07",0,2.05
"2024-12-08",0,11.9
"2024-12-09",1.2,13.3
"2024-12-10",2.6,18.45
"2024-12-11",11.7,10.1
"2024-12-12",0,5.35
"2024-12-13",0,8.25
"2024-12-14",0,10.65
"2024-12-15",0,12.05
"2024-12-16",0.9,14.05
"2024-12-17",0.3,17.95
"2024-12-18",0.7,17
"2024-12-19",1,11.75
"2024-12-20",0,8.7
"2024-12-21",0,4.6
"2024-12-22",0,1.8
"2024-12-23",0,3.75
"2024-12-24",12.4,5.9
"2024-12-25",0,6.9
"2024-12-26",0.6,7.6
"2024-12-27",0,11.8
"2024-12-28",1.8,14.3
"2024-12-29",7.7,16.55
"2024-12-30",0,11.6
"2024-12-31",0,13.7
"2025-01-01",0,10.85
"2025-01-02",0,8.6
"2025-01-03",0,7.1
"2025-01-04",0,3.35
"2025-01-05",0,6.25
"2025-01-06",2.4,11.35
"2025-01-07",0,3.45
"2025-01-08",0,2.4
"2025-01-09",0,1.8
"2025-01-10",9.8,6.25
"2025-01-11",0,4.95
"2025-01-12",0,4.65
"2025-01-13",0,7.7
"2025-01-14",0,7.7
"2025-01-15",0,1.75
"2025-01-16",0,4.9
"2025-01-17",0,7.65
"2025-01-18",8.5,11.35
"2025-01-19",1.2,9.6
"2025-01-20",0,3.35
"2025-01-21",11.2,0.6
"2025-01-22",0,-1.5
"2025-01-23",0,0.8
"2025-01-24",0,3.95
"2025-01-25",0,5.2
"2025-01-26",0.8,8.65
"2025-01-27",4.8,9.4
"2025-01-28",0,12.75
"2025-01-29",0,12.5
"2025-01-30",0,12.8
"2025-01-31",2.2,12.8
"2025-02-01",0,9.75
"2025-02-02",1.8,5.7
"2025-02-03",0,7.65
"2025-02-04",0,13.4
"2025-02-05",0.4,6.9
"2025-02-06",0.4,7.3
"2025-02-07",7.9,13.95
"2025-02-08",0,9.3
"2025-02-09",0.9,10.75
"2025-02-10",0,2.2
"2025-02-11",3,2.5
"2025-02-12",1.4,7.65
"2025-02-13",6.4,9.1
"2025-02-14",0,3.3
"2025-02-15",2.2,9.95
"2025-02-16",9.7,8.25
"2025-02-17",0,2.4
"2025-02-18",0.7,3.6
"2025-02-19",12.7,-1.35
"2025-02-20",0,-5.75
"2025-02-21",2,11.55
"2025-02-22",0.5,3.05
"2025-02-23",0,-0.3
"2025-02-24",0,0.15
"2025-02-25",0,7.75
"2025-02-26",12.9,10.7
"2025-02-27",13.8,7.2
"2025-02-28",0,11.65
"2025-03-01",0,13.4
"2025-03-02",0,3.85
"2025-03-03",0,6
"2025-03-04",0,12.5
"2025-03-05",26.1,14.2
"2025-03-06",0,7.25
"2025-03-07",0,8.8
"2025-03-08",0,15.2
"2025-03-09",0,11.3
"2025-03-10",0,12.7
"2025-03-11",0,15
"2025-03-12",0,15.85
"2025-03-13",0,15.8
"2025-03-14",0,13.55
"2025-03-15",0,17.2
"2025-03-16",58.1,18.15
"2025-03-17",6.8,13.25
"2025-03-18",0,12.45
"2025-03-19",0,14.45
"2025-03-20",2.5,14.05
"2025-03-21",0,12.35
"2025-03-22",0,14.2
"2025-03-23",0,14.85
"2025-03-24",0,16.7
"2025-03-25",0,16.3
"2025-03-26",0,13.85
"2025-03-27",0,13.75
"2025-03-28",0,18.65
"2025-03-29",0,20.35
"2025-03-30",0,21.6
"2025-03-31",4.7,21
"2025-04-01",0,19.05
"2025-04-02",0,19.15
"2025-04-03",0,22.85
"2025-04-04",0,22.1
"2025-04-05",0,22.5
"2025-04-06",0,23.2
"2025-04-07",18.3,18.55
"2025-04-08",0,15.15
"2025-04-09",0,12.75
"2025-04-10",8.9,17.6
"2025-04-11",10.9,16.55
"2025-04-12",0,11.8
"2025-04-13",0,14.2
"2025-04-14",0,19.8
"2025-04-15",0,18.45
"2025-04-16",0,16.1
"2025-04-17",0,17.65
"2025-04-18",0,21.5
"2025-04-19",0,21.95
"2025-04-20",0,21.75
"2025-04-21",0,23.05
"2025-04-22",0,23.3
"2025-04-23",4.5,22
"2025-04-24",0,22.15
"2025-04-25",0,24.7
"2025-04-26",0,21.95
"2025-04-27",0,17.4
"2025-04-28",0,18.55
"2025-04-29",0,22.45
"2025-04-30",0,23.35
"2025-05-01",0,23.85
"2025-05-02",0,24.1
"2025-05-03",12.2,23.85
"2025-05-04",6.3,22.05
"2025-05-05",0,22.75
"2025-05-06",0,22.6
"2025-05-07",0,23.6
"2025-05-08",0,23.15
"2025-05-09",1.9,22.35
"2025-05-10",0,21.65
"2025-05-11",33.5,21.8
"2025-05-12",148,22.35
"2025-05-13",6.6,24.2
"2025-05-14",2.7,24.95
"2025-05-15",0,25.25
"2025-05-16",0,27.95
"2025-05-17",0,26.3
"2025-05-18",0,26.15
"2025-05-19",0,25.1
"2025-05-20",0.6,25.45
"2025-05-21",0,24.9
"2025-05-22",5.2,23.35
"2025-05-23",0,22.25
"2025-05-24",0,21.7
"2025-05-25",5.5,23.05
"2025-05-26",2.9,18.9
"2025-05-27",34.3,21.7
"2025-05-28",1.6,24.95
"2025-05-29",34.4,24.4
"2025-05-30",0.6,22.65
"2025-05-31",2.8,22.35
"2025-06-01",4.3,22.2
"2025-06-02",0,23.45
"2025-06-03",0,24.85
"2025-06-04",1,26.3
"2025-06-05",57.1,23.5
"2025-06-06",0,27.4
"2025-06-07",20.4,27.4
"2025-06-08",28,27.2
"2025-06-09",6.5,26.2
"2025-06-10",8.4,25.1
"2025-06-11",1.1,26.9
"2025-06-12",0,27.8
"2025-06-13",14.6,26.65
"2025-06-14",43.6,26
"2025-06-15",0,28.25
