OBJECTID,Burn_ID,Burn_Date,Acres,Burn_Type,Burn_Fuel_,Burn_Year,Game_Land,Site,Block_Name,Burn_Statu,Burn_Seaso,Cooperator,Burn_Boss,Notes,Archived,Created,Edited,Created_So,Edited_Sou,created_us,created_da,last_edite,last_edi_1,GlobalID,CreationDa,Creator,EditDate,Editor,Shape__Are,Shape__Len,Work_Area,Next_Burn_,Region
4349,319_20040809_1,8/08/2004 20:00,32.346,RX, ,2004,Holly Shelter,HS Site2,8H,Complete, , , , , , , , , ,john.lovette@ncwildlife.org,2/14/2022 10:37:09 AM,john.lovette@ncwildlife.org,2/14/2022 10:37:09 AM,6ec878e2-3037-4103-8e7c-024ea3966283,3/28/2022 11:25:10 AM,john.lovette@ncwildlife.org,5/09/2023 11:41,john.lovette@ncwildlife.org,193009.5781,2361.180168,RASP, ,Coastal
4351,319_20040120_1,1/19/2004 7:00:00 PM,78.515,RX, ,2004,Holly Shelter,HS Site3,10H-3,Complete, , , , , , , , , ,john.lovette@ncwildlife.org,2/14/2022 10:37:09 AM,john.lovette@ncwildlife.org,2/14/2022 10:37:09 AM,262a5b4e-6bf0-4a56-b947-156ee81f8061,3/28/2022 11:25:10 AM,john.lovette@ncwildlife.org,5/09/2023 11:41,john.lovette@ncwildlife.org,468151.5195,5309.560213,RASP, ,Coastal
4412,319_20010815_1,8/14/2001 8:00:00 PM,34.312,RX, ,2001,Holly Shelter,HS Site2,8H,Complete, , , , , , , , , ,john.lovette@ncwildlife.org,2/14/2022 10:37:09 AM,john.lovette@ncwildlife.org,2/14/2022 10:37:09 AM,9cdce9b1-72f0-4e7b-a58e-b3493a5d77e0,3/28/2022 11:25:10 AM,john.lovette@ncwildlife.org,5/09/2023 11:41,john.lovette@ncwildlife.org,204737.5586,5241.420769,RASP, ,Coastal
4435,319_20090617_1,6/16/2009 8:00:00 PM,192.177,RX, ,2009,Holly Shelter,HS Site2,8H,Complete, , , , , , , , , ,john.lovette@ncwildlife.org,2/14/2022 10:37:09 AM,john.lovette@ncwildlife.org,2/14/2022 10:37:09 AM,a7778839-9407-4663-b1cf-9994d144a154,3/28/2022 11:25:10 AM,john.lovette@ncwildlife.org,5/09/2023 11:41,john.lovette@ncwildlife.org,1146423.125,16898.1853,RASP, ,Coastal
4438,319_20090629_1,6/28/2009 8:00:00 PM,77.803,RX, ,2009,Holly Shelter,HS Site3,10H-3,Complete, , , , , , , , , ,john.lovette@ncwildlife.org,2/14/2022 10:37:09 AM,john.lovette@ncwildlife.org,2/14/2022 10:37:09 AM,13449055-26fc-45c7-a0f1-b7bf2b46764f,3/28/2022 11:25:10 AM,john.lovette@ncwildlife.org,5/09/2023 11:41,john.lovette@ncwildlife.org,463909.1797,5416.598847,RASP, ,Coastal
4455,319_20110128_1,1/27/2011 7:00:00 PM,530.275,RX, ,2011,Holly Shelter,HS Site1,8E,Complete, , , , , , , , , ,john.lovette@ncwildlife.org,2/14/2022 10:37:09 AM,john.lovette@ncwildlife.org,2/14/2022 10:37:09 AM,572a45ed-5fd2-4ac6-9e5b-1d3393919bea,3/28/2022 11:25:10 AM,john.lovette@ncwildlife.org,5/09/2023 11:41,john.lovette@ncwildlife.org,3163653.168,7284.160145,RASP, ,Coastal
4475,319_20130129_3,1/28/2013 7:00:00 PM,99.975,RX, ,2013,Holly Shelter,HS Site1,8E,Complete, , , , , , , , , ,john.lovette@ncwildlife.org,2/14/2022 10:37:09 AM,john.lovette@ncwildlife.org,2/14/2022 10:37:09 AM,23f27ad3-e48a-43b6-b5ba-f9dda6127439,3/28/2022 11:25:10 AM,john.lovette@ncwildlife.org,5/09/2023 11:41,john.lovette@ncwildlife.org,596399.6484,9688.370236,RASP, ,Coastal
4494,319_20140107_1,1/06/2014 19:00,77.922,RX, ,2014,Holly Shelter,HS Site3,10H-3,Complete, , , , , , , , , ,john.lovette@ncwildlife.org,2/14/2022 10:37:09 AM,john.lovette@ncwildlife.org,2/14/2022 10:37:09 AM,125803e8-c7e5-44a6-b297-eab00258ec5f,3/28/2022 11:25:10 AM,john.lovette@ncwildlife.org,5/09/2023 11:41,john.lovette@ncwildlife.org,464615.2578,5359.899908,RASP, ,Coastal
4502,319_20130621_2,6/20/2013 8:00:00 PM,192.177,RX, ,2013,Holly Shelter,HS Site2,8H,Complete, , , , , , , , , ,john.lovette@ncwildlife.org,2/14/2022 10:37:09 AM,john.lovette@ncwildlife.org,2/14/2022 10:37:09 AM,f588b056-dc87-4e47-9e90-6b1cda0df386,3/28/2022 11:25:10 AM,john.lovette@ncwildlife.org,5/09/2023 11:41,john.lovette@ncwildlife.org,1146423.125,16898.1853,RASP, ,Coastal
4804,319_20160622_2,6/21/2016 8:00:00 PM,530.275,RX, ,2016,Holly Shelter,HS Site1,8E,Complete, , , , , , , , , ,john.lovette@ncwildlife.org,2/14/2022 10:37:09 AM,john.lovette@ncwildlife.org,2/14/2022 10:37:09 AM,f4ec4faf-9ae2-4487-baee-8e2be170c9a8,3/28/2022 11:25:10 AM,john.lovette@ncwildlife.org,5/09/2023 11:41,john.lovette@ncwildlife.org,3163653.168,7284.160145,RASP, ,Coastal
4825,319_20170329_1,3/28/2017 8:00:00 PM,78.515,RX, ,2017,Holly Shelter,HS Site3,10H-3,Complete, , , , , , , , , ,john.lovette@ncwildlife.org,2/14/2022 10:37:09 AM,john.lovette@ncwildlife.org,2/14/2022 10:37:09 AM,339c70c1-f421-467b-a841-b4308d9bacb6,3/28/2022 11:25:10 AM,john.lovette@ncwildlife.org,5/09/2023 11:41,john.lovette@ncwildlife.org,468151.5195,5309.560213,RASP, ,Coastal
4869,319_20180711_1,7/10/2018 20:00,530.275,RX, ,2018,Holly Shelter,HS Site1,8E,Complete, , , , , , , , , ,john.lovette@ncwildlife.org,2/14/2022 10:37:09 AM,john.lovette@ncwildlife.org,2/14/2022 10:37:09 AM,039327a9-3d6b-4271-af43-18a281028681,3/28/2022 11:25:10 AM,john.lovette@ncwildlife.org,5/09/2023 11:41,john.lovette@ncwildlife.org,3163653.168,7284.160145,RASP, ,Coastal
