,"(mm) Precipitation (gridMET) at -79.2103E,35.1464N, 2015-01-01 to 2026-03-20"
1/01/2015,0
2/01/2015,2.5981
3/01/2015,1.2007
4/01/2015,6.9185
5/01/2015,0
6/01/2015,0
7/01/2015,0
8/01/2015,0
9/01/2015,0
10/01/2015,0
11/01/2015,32.6539
12/01/2015,5.836
13/01/2015,1.5451
14/01/2015,0
15/01/2015,0
16/01/2015,0
17/01/2015,15.8447
18/01/2015,0
19/01/2015,0
20/01/2015,0
21/01/2015,0
22/01/2015,0
23/01/2015,25.6173
24/01/2015,3.1001
25/01/2015,0
26/01/2015,0.8857
27/01/2015,0
28/01/2015,0
29/01/2015,0
30/01/2015,0
31/01/2015,0
1/02/2015,10.3532
2/02/2015,6.515
3/02/2015,0
4/02/2015,0
5/02/2015,0
6/02/2015,0
7/02/2015,0
8/02/2015,0
9/02/2015,22.9995
10/02/2015,1.2007
11/02/2015,0
12/02/2015,0
13/02/2015,0
14/02/2015,0
15/02/2015,0
16/02/2015,14.772
17/02/2015,0
18/02/2015,1.6435
19/02/2015,0
20/02/2015,0
21/02/2015,2.234
22/02/2015,3.9366
23/02/2015,1.9092
24/02/2015,3.8874
25/02/2015,40.1925
26/02/2015,0.4527
27/02/2015,0
28/02/2015,1.7321
1/03/2015,10.8748
2/03/2015,0
3/03/2015,3.1001
4/03/2015,0
5/03/2015,18.0689
6/03/2015,0
7/03/2015,0
8/03/2015,0
9/03/2015,0
10/03/2015,0
11/03/2015,3.1493
12/03/2015,0
13/03/2015,3.3166
14/03/2015,17.0651
15/03/2015,0
16/03/2015,0
17/03/2015,0
18/03/2015,0
19/03/2015,10.3237
20/03/2015,0
21/03/2015,0
22/03/2015,0
23/03/2015,0
24/03/2015,0
25/03/2015,9.8119
26/03/2015,0
27/03/2015,5.4423
28/03/2015,0
29/03/2015,0
30/03/2015,3.5134
31/03/2015,0
1/04/2015,0
2/04/2015,0
3/04/2015,0
4/04/2015,0
5/04/2015,0
6/04/2015,4.1531
7/04/2015,0.6692
8/04/2015,2.795
9/04/2015,5.9836
10/04/2015,0
11/04/2015,0
12/04/2015,0
13/04/2015,0
14/04/2015,4.281
15/04/2015,9.5364
16/04/2015,3.8677
17/04/2015,0.6299
18/04/2015,0
19/04/2015,19.4664
20/04/2015,0
21/04/2015,0
22/04/2015,0
23/04/2015,0
24/04/2015,0
25/04/2015,5.7769
26/04/2015,0.7184
27/04/2015,0
28/04/2015,0
29/04/2015,3.5724
30/04/2015,7.6173
1/05/2015,2.7359
2/05/2015,0
3/05/2015,0
4/05/2015,0
5/05/2015,0
6/05/2015,0
7/05/2015,0
8/05/2015,0
9/05/2015,3.3264
10/05/2015,4.4582
11/05/2015,4.655
12/05/2015,0
13/05/2015,0
14/05/2015,0
15/05/2015,0
16/05/2015,0
17/05/2015,0
18/05/2015,25.1449
19/05/2015,0
20/05/2015,0
21/05/2015,10.4024
22/05/2015,0
23/05/2015,0
24/05/2015,0
25/05/2015,0
26/05/2015,0
27/05/2015,3.3658
28/05/2015,0
29/05/2015,0
30/05/2015,0
31/05/2015,0
1/06/2015,0
2/06/2015,28.245
3/06/2015,0.2952
4/06/2015,0
5/06/2015,0
6/06/2015,0
7/06/2015,0
8/06/2015,3.2182
9/06/2015,0
10/06/2015,0
11/06/2015,0.9645
12/06/2015,0.6299
13/06/2015,0
14/06/2015,0
15/06/2015,0
16/06/2015,0
17/06/2015,1.2007
18/06/2015,7.1843
19/06/2015,9.0738
20/06/2015,6.1017
21/06/2015,0
22/06/2015,0
23/06/2015,0
24/06/2015,0
25/06/2015,0
26/06/2015,62.7884
27/06/2015,24.3871
28/06/2015,0
29/06/2015,0
30/06/2015,11.1504
1/07/2015,0
2/07/2015,1.6435
3/07/2015,8.4636
4/07/2015,4.6648
5/07/2015,3.9956
6/07/2015,16.0022
7/07/2015,0
8/07/2015,6.8693
9/07/2015,0
10/07/2015,0
11/07/2015,0
12/07/2015,2.5096
13/07/2015,3.6413
14/07/2015,0
15/07/2015,0
16/07/2015,0
17/07/2015,0
18/07/2015,11.0618
19/07/2015,0.4035
20/07/2015,0
21/07/2015,6.4265
22/07/2015,0
23/07/2015,0.6594
24/07/2015,0
25/07/2015,0
26/07/2015,0
27/07/2015,0
28/07/2015,0
29/07/2015,0
30/07/2015,1.6337
31/07/2015,0
1/08/2015,0
2/08/2015,0
3/08/2015,0
4/08/2015,0
5/08/2015,7.3516
6/08/2015,3.4642
7/08/2015,0.9251
8/08/2015,0
9/08/2015,0
10/08/2015,0
11/08/2015,4.3106
12/08/2015,0
13/08/2015,0
14/08/2015,0
15/08/2015,0
16/08/2015,0
17/08/2015,0.5118
18/08/2015,16.3171
19/08/2015,94.0055
20/08/2015,0
21/08/2015,0
22/08/2015,0
23/08/2015,0
24/08/2015,7.0662
25/08/2015,1.7419
26/08/2015,0
27/08/2015,0
28/08/2015,0
29/08/2015,0
30/08/2015,16.5238
31/08/2015,0.8365
1/09/2015,0
2/09/2015,0
3/09/2015,0
4/09/2015,13.8076
5/09/2015,0.8365
6/09/2015,5.3045
7/09/2015,0
8/09/2015,0
9/09/2015,3.9071
10/09/2015,0.4527
11/09/2015,0.4133
12/09/2015,0
13/09/2015,0
14/09/2015,0
15/09/2015,0
16/09/2015,0
17/09/2015,0
18/09/2015,0
19/09/2015,0
20/09/2015,0
21/09/2015,0
22/09/2015,0
23/09/2015,0
24/09/2015,6.7611
25/09/2015,34.5041
26/09/2015,14.7031
27/09/2015,1.8305
28/09/2015,8.6211
29/09/2015,0.5806
30/09/2015,18.6397
1/10/2015,30.6266
2/10/2015,84.5085
3/10/2015,4.9995
4/10/2015,1.1613
5/10/2015,3.4642
6/10/2015,0
7/10/2015,0
8/10/2015,0
9/10/2015,2.6966
10/10/2015,13.0006
11/10/2015,0
12/10/2015,0
13/10/2015,0
14/10/2015,0
15/10/2015,0
16/10/2015,0
17/10/2015,0
18/10/2015,0
19/10/2015,0
20/10/2015,0
21/10/2015,0
22/10/2015,0
23/10/2015,0
24/10/2015,0
25/10/2015,0
26/10/2015,1.5648
27/10/2015,10.7567
28/10/2015,23.088
29/10/2015,0
30/10/2015,0
31/10/2015,0
1/11/2015,36.4232
2/11/2015,48.5676
3/11/2015,2.2931
4/11/2015,0
5/11/2015,0
6/11/2015,0.5216
7/11/2015,0.5905
8/11/2015,5.0487
9/11/2015,32.2603
10/11/2015,0
11/11/2015,0
12/11/2015,0
13/11/2015,0
14/11/2015,0
15/11/2015,0
16/11/2015,0
17/11/2015,0
18/11/2015,27.0837
19/11/2015,12.8529
20/11/2015,0
21/11/2015,1.9388
22/11/2015,1.0727
23/11/2015,0
24/11/2015,0
25/11/2015,0
26/11/2015,0
27/11/2015,0
28/11/2015,0
29/11/2015,5.6391
30/11/2015,4.9404
1/12/2015,0.2854
2/12/2015,2.9032
3/12/2015,0
4/12/2015,0
5/12/2015,0
6/12/2015,0
7/12/2015,1.6435
8/12/2015,0
9/12/2015,0
10/12/2015,0
11/12/2015,0
12/12/2015,0
13/12/2015,0
14/12/2015,2.7359
15/12/2015,0
16/12/2015,0
17/12/2015,20.362
18/12/2015,0
19/12/2015,0
20/12/2015,0
21/12/2015,3.4051
22/12/2015,46.1761
23/12/2015,26.1684
24/12/2015,0.3248
25/12/2015,0
26/12/2015,0
27/12/2015,0
28/12/2015,5.649
29/12/2015,0.3444
30/12/2015,22.596
31/12/2015,0
1/01/2016,0
2/01/2016,0
3/01/2016,0
4/01/2016,0
5/01/2016,0
6/01/2016,0
7/01/2016,0
8/01/2016,0.8
9/01/2016,6.3
10/01/2016,0
11/01/2016,0
12/01/2016,0
13/01/2016,0
14/01/2016,0
15/01/2016,11.7
16/01/2016,0
17/01/2016,1.3
18/01/2016,0
19/01/2016,0
20/01/2016,0
21/01/2016,5.6
22/01/2016,27.4
23/01/2016,0
24/01/2016,0
25/01/2016,0
26/01/2016,0
27/01/2016,0
28/01/2016,1.8
29/01/2016,0
