,"(mm) Precipitation (gridMET) at -78.2999E,34.0820N, 2015-01-01 to 2026-03-20"
1/01/2015,0
2/01/2015,6.1509
3/01/2015,15.1854
4/01/2015,1.0826
5/01/2015,0
6/01/2015,0
7/01/2015,0
8/01/2015,0
9/01/2015,0
10/01/2015,0
11/01/2015,5.216
12/01/2015,44.1783
13/01/2015,2.5588
14/01/2015,0.2756
15/01/2015,0.6594
16/01/2015,0
17/01/2015,5.6884
18/01/2015,4.1826
19/01/2015,0
20/01/2015,0
21/01/2015,0
22/01/2015,0
23/01/2015,59.6097
24/01/2015,6.2887
25/01/2015,0
26/01/2015,0.7775
27/01/2015,0
28/01/2015,0
29/01/2015,1.5156
30/01/2015,0
31/01/2015,0
1/02/2015,7.5976
2/02/2015,5.3242
3/02/2015,0
4/02/2015,10.6386
5/02/2015,0
6/02/2015,0
7/02/2015,0
8/02/2015,0
9/02/2015,3.8972
10/02/2015,5.7474
11/02/2015,0
12/02/2015,0
13/02/2015,0
14/02/2015,0
15/02/2015,0
16/02/2015,16.199
17/02/2015,0.8759
18/02/2015,0
19/02/2015,0
20/02/2015,0
21/02/2015,3.4445
22/02/2015,4.4877
23/02/2015,10.4418
24/02/2015,12.4691
25/02/2015,32.9787
26/02/2015,0
27/02/2015,0
28/02/2015,0
1/03/2015,1.7616
2/03/2015,0
3/03/2015,1.3089
4/03/2015,0
5/03/2015,9.8218
6/03/2015,0
7/03/2015,0
8/03/2015,0
9/03/2015,0
10/03/2015,0.8956
11/03/2015,0
12/03/2015,0
13/03/2015,0
14/03/2015,15.7857
15/03/2015,0
16/03/2015,0
17/03/2015,0
18/03/2015,0
19/03/2015,8.5621
20/03/2015,0
21/03/2015,0
22/03/2015,14.9098
23/03/2015,1.181
24/03/2015,0
25/03/2015,0.9448
26/03/2015,3.8086
27/03/2015,16.8584
28/03/2015,0
29/03/2015,0
30/03/2015,0
31/03/2015,0
1/04/2015,0
2/04/2015,0
3/04/2015,0
4/04/2015,0
5/04/2015,0
6/04/2015,0
7/04/2015,1.4861
8/04/2015,0
9/04/2015,16.1006
10/04/2015,0
11/04/2015,3.4839
12/04/2015,0
13/04/2015,1.5746
14/04/2015,6.1804
15/04/2015,7.076
16/04/2015,1.0235
17/04/2015,1.1219
18/04/2015,7.3712
19/04/2015,14.8212
20/04/2015,0
21/04/2015,0
22/04/2015,0
23/04/2015,0
24/04/2015,0
25/04/2015,1.4369
26/04/2015,2.4308
27/04/2015,0
28/04/2015,0
29/04/2015,12.2624
30/04/2015,0
1/05/2015,2.0667
2/05/2015,0
3/05/2015,0
4/05/2015,0
5/05/2015,0
6/05/2015,0.4625
7/05/2015,0
8/05/2015,4.6944
9/05/2015,32.959
10/05/2015,125.1832
11/05/2015,4.6452
12/05/2015,0
13/05/2015,0
14/05/2015,0
15/05/2015,0
16/05/2015,0
17/05/2015,0
18/05/2015,0
19/05/2015,4.9207
20/05/2015,1.0334
21/05/2015,9.31
22/05/2015,0
23/05/2015,0
24/05/2015,0
25/05/2015,0
26/05/2015,0
27/05/2015,0
28/05/2015,0
29/05/2015,0
30/05/2015,0
31/05/2015,0
1/06/2015,0
2/06/2015,50.9197
3/06/2015,8.1487
4/06/2015,1.1121
5/06/2015,0
6/06/2015,0
7/06/2015,0
8/06/2015,0
9/06/2015,25.2925
10/06/2015,0
11/06/2015,0
12/06/2015,0
13/06/2015,0
14/06/2015,0
15/06/2015,0
16/06/2015,0
17/06/2015,0
18/06/2015,23.5211
19/06/2015,26.8967
20/06/2015,0
21/06/2015,0
22/06/2015,0
23/06/2015,0
24/06/2015,7.2827
25/06/2015,0
26/06/2015,0
27/06/2015,6.6823
28/06/2015,2.3521
29/06/2015,0
30/06/2015,0
1/07/2015,0
2/07/2015,5.1569
3/07/2015,2.7458
4/07/2015,0
5/07/2015,0
6/07/2015,0
7/07/2015,0
8/07/2015,0
9/07/2015,0
10/07/2015,0
11/07/2015,0
12/07/2015,0
13/07/2015,64.9634
14/07/2015,0
15/07/2015,0
16/07/2015,0
17/07/2015,0
18/07/2015,0
19/07/2015,0
20/07/2015,0
21/07/2015,3.2772
22/07/2015,0
23/07/2015,12.105
24/07/2015,0
25/07/2015,0
26/07/2015,0
27/07/2015,0
28/07/2015,0
29/07/2015,0
30/07/2015,0
31/07/2015,5.7966
1/08/2015,0
2/08/2015,2.6867
3/08/2015,20.4899
4/08/2015,19.6337
5/08/2015,0
6/08/2015,39.8579
7/08/2015,5.0585
8/08/2015,0
9/08/2015,0
10/08/2015,2.4997
11/08/2015,6.8496
12/08/2015,0
13/08/2015,0
14/08/2015,0
15/08/2015,0
16/08/2015,0
17/08/2015,0
18/08/2015,4.3401
19/08/2015,1.3188
20/08/2015,0
21/08/2015,22.5271
22/08/2015,0
23/08/2015,0
24/08/2015,0
25/08/2015,24.0525
26/08/2015,0
27/08/2015,2.0273
28/08/2015,0
29/08/2015,1.6238
30/08/2015,6.269
31/08/2015,22.7337
1/09/2015,0
2/09/2015,0
3/09/2015,1.24
4/09/2015,0
5/09/2015,1.5648
6/09/2015,42.4265
7/09/2015,0
8/09/2015,0
9/09/2015,1.988
10/09/2015,1.1121
11/09/2015,0
12/09/2015,0.807
13/09/2015,0
14/09/2015,0
15/09/2015,0
16/09/2015,0
17/09/2015,0
18/09/2015,0
19/09/2015,0
20/09/2015,0
21/09/2015,0
22/09/2015,0
23/09/2015,0
24/09/2015,22.0055
25/09/2015,4.2909
26/09/2015,0.7479
27/09/2015,16.1105
28/09/2015,4.901
29/09/2015,0
30/09/2015,0
1/10/2015,51.1559
2/10/2015,78.1805
3/10/2015,23.1569
4/10/2015,106.7699
5/10/2015,27.3002
6/10/2015,0
7/10/2015,0
8/10/2015,0
9/10/2015,0
10/10/2015,18.2362
11/10/2015,0.3346
12/10/2015,0.3444
13/10/2015,0
14/10/2015,0
15/10/2015,0
16/10/2015,0
17/10/2015,0
18/10/2015,0
19/10/2015,0
20/10/2015,0
21/10/2015,0
22/10/2015,0
23/10/2015,0
24/10/2015,0
25/10/2015,0
26/10/2015,5.1766
27/10/2015,16.3368
28/10/2015,12.8332
29/10/2015,0
30/10/2015,0
31/10/2015,0
1/11/2015,3.4445
2/11/2015,82.6386
3/11/2015,18.1083
4/11/2015,1.5746
5/11/2015,0
6/11/2015,0
7/11/2015,14.0733
8/11/2015,10.8256
9/11/2015,22.2909
10/11/2015,2.5489
11/11/2015,0
12/11/2015,0
13/11/2015,0
14/11/2015,0
15/11/2015,0
16/11/2015,0
17/11/2015,0
18/11/2015,1.1613
19/11/2015,42.8005
20/11/2015,0
21/11/2015,1.4664
22/11/2015,4.4287
23/11/2015,0
24/11/2015,0
25/11/2015,0
26/11/2015,0
27/11/2015,0
28/11/2015,0
29/11/2015,0
30/11/2015,1.2302
1/12/2015,0.5413
2/12/2015,3.0115
3/12/2015,0
4/12/2015,0
5/12/2015,0
6/12/2015,1.9978
7/12/2015,18.3838
8/12/2015,0
9/12/2015,0.561
10/12/2015,0
11/12/2015,0
