,"(mm) Precipitation (gridMET) at -77.4705E,34.6437N, 2015-01-01 to 2026-03-23"
"2015-01-01",0
"2015-01-02",1.1711
"2015-01-03",7.0858
"2015-01-04",12.6561
"2015-01-05",0
"2015-01-06",0
"2015-01-07",0
"2015-01-08",0
"2015-01-09",0
"2015-01-10",0
"2015-01-11",1.2203
"2015-01-12",25.6173
"2015-01-13",3.8677
"2015-01-14",0.2854
"2015-01-15",0.9841
"2015-01-16",0
"2015-01-17",3.9366
"2015-01-18",22.9699
"2015-01-19",0
"2015-01-20",0
"2015-01-21",0
"2015-01-22",0
"2015-01-23",68.8901
"2015-01-24",5.6982
"2015-01-25",0
"2015-01-26",0
"2015-01-27",0
"2015-01-28",0
"2015-01-29",0
"2015-01-30",0
"2015-01-31",0
"2015-02-01",8.8081
"2015-02-02",8.2471
"2015-02-03",0
"2015-02-04",12.0755
"2015-02-05",0
"2015-02-06",0
"2015-02-07",0
"2015-02-08",0
"2015-02-09",0
"2015-02-10",5.216
"2015-02-11",0
"2015-02-12",0
"2015-02-13",0
"2015-02-14",0
"2015-02-15",0
"2015-02-16",21.2674
"2015-02-17",2.2045
"2015-02-18",0.7086
"2015-02-19",0
"2015-02-20",0
"2015-02-21",3.3363
"2015-02-22",14.0241
"2015-02-23",4.5763
"2015-02-24",12.7152
"2015-02-25",34.1203
"2015-02-26",0
"2015-02-27",0
"2015-02-28",0
"2015-03-01",3.5429
"2015-03-02",0
"2015-03-03",4.1039
"2015-03-04",0
"2015-03-05",7.824
"2015-03-06",0
"2015-03-07",0
"2015-03-08",0
"2015-03-09",0
"2015-03-10",1.1514
"2015-03-11",1.6435
"2015-03-12",0
"2015-03-13",0
"2015-03-14",22.5763
"2015-03-15",0
"2015-03-16",0
"2015-03-17",0
"2015-03-18",0
"2015-03-19",16.3565
"2015-03-20",3.3264
"2015-03-21",0
"2015-03-22",6.5249
"2015-03-23",0.3149
"2015-03-24",0
"2015-03-25",0
"2015-03-26",0.9743
"2015-03-27",14.0536
"2015-03-28",0
"2015-03-29",0
"2015-03-30",0.3444
"2015-03-31",0
"2015-04-01",0
"2015-04-02",0
"2015-04-03",0
"2015-04-04",0.3051
"2015-04-05",0
"2015-04-06",0
"2015-04-07",0
"2015-04-08",1.4762
"2015-04-09",9.6446
"2015-04-10",0
"2015-04-11",0.4035
"2015-04-12",0
"2015-04-13",0
"2015-04-14",1.614
"2015-04-15",2.175
"2015-04-16",0
"2015-04-17",7.9322
"2015-04-18",24.5643
"2015-04-19",13.2269
"2015-04-20",0
"2015-04-21",0
"2015-04-22",0
"2015-04-23",0
"2015-04-24",0
"2015-04-25",2.0175
"2015-04-26",0.7775
"2015-04-27",0
"2015-04-28",0
"2015-04-29",10.6091
"2015-04-30",4.9207
"2015-05-01",4.094
"2015-05-02",0
"2015-05-03",0
"2015-05-04",0
"2015-05-05",0
"2015-05-06",0
"2015-05-07",1.6435
"2015-05-08",3.2378
"2015-05-09",35.2422
"2015-05-10",71.7638
"2015-05-11",0.866
"2015-05-12",0
"2015-05-13",0
"2015-05-14",0
"2015-05-15",0
"2015-05-16",0
"2015-05-17",0
"2015-05-18",0
"2015-05-19",0
"2015-05-20",0
"2015-05-21",8.9951
"2015-05-22",0
"2015-05-23",0
"2015-05-24",0
"2015-05-25",0
"2015-05-26",0
"2015-05-27",0
"2015-05-28",0
"2015-05-29",0
"2015-05-30",0
"2015-05-31",0
"2015-06-01",0
"2015-06-02",33.4019
"2015-06-03",41.2652
"2015-06-04",0.3051
"2015-06-05",0
"2015-06-06",13.2269
"2015-06-07",0
"2015-06-08",0
"2015-06-09",22.9207
"2015-06-10",0
"2015-06-11",0
"2015-06-12",0
"2015-06-13",0
"2015-06-14",0
"2015-06-15",0
"2015-06-16",0
"2015-06-17",2.8835
"2015-06-18",6.5249
"2015-06-19",18.0295
"2015-06-20",8.4243
"2015-06-21",0
"2015-06-22",0
"2015-06-23",0
"2015-06-24",2.3226
"2015-06-25",0
"2015-06-26",35.5473
"2015-06-27",3.5331
"2015-06-28",0
"2015-06-29",0
"2015-06-30",0
"2015-07-01",0
"2015-07-02",0
"2015-07-03",6.1706
"2015-07-04",0
"2015-07-05",0.8168
"2015-07-06",3.3166
"2015-07-07",1.8305
"2015-07-08",0
"2015-07-09",0
"2015-07-10",0
"2015-07-11",0.8168
"2015-07-12",0.6889
"2015-07-13",24.2296
"2015-07-14",2.5785
"2015-07-15",0
"2015-07-16",2.2242
"2015-07-17",0
"2015-07-18",0.7479
"2015-07-19",0.9153
"2015-07-20",0
"2015-07-21",8.9656
"2015-07-22",0
"2015-07-23",75.228
"2015-07-24",0
"2015-07-25",0
"2015-07-26",0
"2015-07-27",0
"2015-07-28",0
"2015-07-29",0
"2015-07-30",0.8267
"2015-07-31",3.3166
"2015-08-01",0
"2015-08-02",6.0426
"2015-08-03",19.9683
"2015-08-04",5.5998
"2015-08-05",0
"2015-08-06",9.2706
"2015-08-07",11.5342
"2015-08-08",0.2854
"2015-08-09",0
"2015-08-10",0
"2015-08-11",40.7436
"2015-08-12",0
"2015-08-13",0
"2015-08-14",0
"2015-08-15",0
"2015-08-16",0
"2015-08-17",0
"2015-08-18",16.5435
"2015-08-19",48.853
"2015-08-20",0
"2015-08-21",12.6463
"2015-08-22",0
"2015-08-23",0
"2015-08-24",0
"2015-08-25",8.0601
"2015-08-26",19.0235
"2015-08-27",17.5178
"2015-08-28",0
"2015-08-29",0
"2015-08-30",0
"2015-08-31",16.2187
"2015-09-01",0
"2015-09-02",5.1471
"2015-09-03",0
