,"(deg C) Mean Temperature (gridMET) at -79.1991E,35.1464N, 2015-01-01 to 2026-03-20"
1/01/2015,4.2964
2/01/2015,8.7213
3/01/2015,13.241
4/01/2015,13.4112
5/01/2015,5.1814
6/01/2015,5.7811
7/01/2015,-2.929
8/01/2015,-6.8484
9/01/2015,1.8412
10/01/2015,-1.4339
11/01/2015,0.8762
12/01/2015,7.4559
13/01/2015,2.4616
14/01/2015,0.1063
15/01/2015,1.8163
16/01/2015,5.2606
17/01/2015,5.5861
18/01/2015,7.5859
19/01/2015,8.3911
20/01/2015,10.7861
21/01/2015,7.6107
22/01/2015,7.236
23/01/2015,4.3761
24/01/2015,3.9415
25/01/2015,5.9008
26/01/2015,5.8312
27/01/2015,1.9267
28/01/2015,1.2812
29/01/2015,2.2466
30/01/2015,2.4706
31/01/2015,3.1496
1/02/2015,9.0245
2/02/2015,5.729
3/02/2015,1.5639
4/02/2015,5.0945
5/02/2015,2.2396
6/02/2015,-0.4901
7/02/2015,6.8946
8/02/2015,14.1098
9/02/2015,11.7043
10/02/2015,3.4695
11/02/2015,5.324
12/02/2015,5.3241
13/02/2015,-1.6105
14/02/2015,2.5144
15/02/2015,-3.7302
16/02/2015,-2.6207
17/02/2015,-1.7955
18/02/2015,-1.9205
19/02/2015,-8.1608
20/02/2015,-6.8256
21/02/2015,3.29
22/02/2015,10.6791
23/02/2015,1.9244
24/02/2015,-3.0358
25/02/2015,1.7344
26/02/2015,-0.0153
27/02/2015,3.6148
28/02/2015,2.1162
1/03/2015,2.0859
2/03/2015,11.2564
3/03/2015,4.3413
4/03/2015,16.5359
5/03/2015,10.3058
6/03/2015,-0.1438
7/03/2015,5.7808
8/03/2015,12.7462
9/03/2015,14.0064
10/03/2015,18.4811
11/03/2015,19.9263
12/03/2015,13.4159
13/03/2015,10.9713
14/03/2015,14.191
15/03/2015,14.1265
16/03/2015,16.5115
17/03/2015,18.391
18/03/2015,11.8865
19/03/2015,8.0713
20/03/2015,9.9116
21/03/2015,13.1363
22/03/2015,14.5658
23/03/2015,9.5409
24/03/2015,13.2214
25/03/2015,15.6865
26/03/2015,19.7359
27/03/2015,9.0867
28/03/2015,2.8959
29/03/2015,5.3411
30/03/2015,10.8616
31/03/2015,15.3877
1/04/2015,12.233
2/04/2015,15.7626
3/04/2015,22.6225
4/04/2015,10.9973
5/04/2015,13.6924
6/04/2015,18.8677
7/04/2015,19.6076
8/04/2015,23.123
9/04/2015,23.7176
10/04/2015,23.7328
11/04/2015,17.3878
12/04/2015,17.1774
13/04/2015,19.7923
14/04/2015,20.3724
15/04/2015,12.8277
16/04/2015,13.8926
17/04/2015,20.0675
18/04/2015,21.8026
19/04/2015,19.9576
20/04/2015,20.0876
21/04/2015,15.2876
22/04/2015,19.1374
23/04/2015,13.9624
24/04/2015,15.6475
25/04/2015,12.9424
26/04/2015,9.2823
27/04/2015,13.193
28/04/2015,14.053
29/04/2015,14.768
30/04/2015,16.8981
1/05/2015,12.1284
2/05/2015,15.7285
3/05/2015,19.0485
4/05/2015,19.7389
5/05/2015,19.5832
6/05/2015,20.6338
7/05/2015,21.4887
8/05/2015,22.4586
9/05/2015,23.5833
10/05/2015,21.8041
11/05/2015,25.9834
12/05/2015,25.4234
13/05/2015,20.8688
14/05/2015,18.6387
15/05/2015,20.0132
16/05/2015,22.7633
17/05/2015,24.979
18/05/2015,26.1784
19/05/2015,24.4737
20/05/2015,25.9781
21/05/2015,21.2185
22/05/2015,16.6439
23/05/2015,19.6331
24/05/2015,20.8634
25/05/2015,23.0086
26/05/2015,25.7332
27/05/2015,24.8488
28/05/2015,23.8534
29/05/2015,24.5084
30/05/2015,24.3486
31/05/2015,26.1569
1/06/2015,26.0316
2/06/2015,23.3318
3/06/2015,19.952
4/06/2015,19.832
5/06/2015,22.0318
6/06/2015,24.9415
7/06/2015,23.7123
8/06/2015,25.5767
