,"(deg C) Mean Temperature (gridMET) at -76.8740E,34.7672N, 2015-01-01 to 2026-03-20"
"2015-01-01",5.6047
"2015-01-02",13.0348
"2015-01-03",16.3296
"2015-01-04",16.66
"2015-01-05",6.7246
"2015-01-06",7.925
"2015-01-07",-0.6398
"2015-01-08",-4.4499
"2015-01-09",5.7392
"2015-01-10",1.2499
"2015-01-11",6.58
"2015-01-12",13.6797
"2015-01-13",4.9292
"2015-01-14",3.2799
"2015-01-15",5.8246
"2015-01-16",7.9197
"2015-01-17",9.715
"2015-01-18",10.0197
"2015-01-19",10.8151
"2015-01-20",11.2546
"2015-01-21",10.2099
"2015-01-22",9.8796
"2015-01-23",12.9998
"2015-01-24",8.17
"2015-01-25",7.37
"2015-01-26",8.7051
"2015-01-27",1.7794
"2015-01-28",1.835
"2015-01-29",4.44
"2015-01-30",4.5398
"2015-01-31",3.1488
"2015-02-01",10.2291
"2015-02-02",8.0739
"2015-02-03",2.384
"2015-02-04",7.2345
"2015-02-05",2.8589
"2015-02-06",0.5038
"2015-02-07",7.1239
"2015-02-08",14.4444
"2015-02-09",13.8841
"2015-02-10",4.1439
"2015-02-11",2.4339
"2015-02-12",7.579
"2015-02-13",-2.151
"2015-02-14",3.0291
"2015-02-15",-3.1259
"2015-02-16",-1.3859
"2015-02-17",-1.296
"2015-02-18",0.6889
"2015-02-19",-6.441
"2015-02-20",-5.9961
"2015-02-21",5.8642
"2015-02-22",13.5342
"2015-02-23",3.704
"2015-02-24",-1.9761
"2015-02-25",1.8689
"2015-02-26",1.9438
"2015-02-27",4.9042
"2015-02-28",3.9824
"2015-03-01",9.1529
"2015-03-02",10.9128
"2015-03-03",10.4983
"2015-03-04",19.1179
"2015-03-05",12.1677
"2015-03-06",0.5683
"2015-03-07",7.0932
"2015-03-08",14.1229
"2015-03-09",14.2729
"2015-03-10",19.073
"2015-03-11",20.3274
"2015-03-12",12.0524
"2015-03-13",14.2877
"2015-03-14",17.4629
"2015-03-15",13.3581
"2015-03-16",14.6628
