,"(deg C) Mean Temperature (gridMET) at -76.9743E,34.7660N, 2015-01-01 to 2026-03-20"
"2015-01-01",5.7806
"2015-01-02",13.4809
"2015-01-03",16.531
"2015-01-04",16.9559
"2015-01-05",6.9354
"2015-01-06",8.0306
"2015-01-07",-0.4341
"2015-01-08",-4.1639
"2015-01-09",6.3305
"2015-01-10",1.531
"2015-01-11",6.5759
"2015-01-12",13.8159
"2015-01-13",5.1652
"2015-01-14",3.4602
"2015-01-15",6.1455
"2015-01-16",8.4757
"2015-01-17",10.0302
"2015-01-18",10.2707
"2015-01-19",11.0753
"2015-01-20",11.6659
"2015-01-21",10.4455
"2015-01-22",10.2055
"2015-01-23",13.1806
"2015-01-24",8.3207
"2015-01-25",7.7907
"2015-01-26",9.126
"2015-01-27",2.0006
"2015-01-28",2.0557
"2015-01-29",4.5156
"2015-01-30",4.8108
"2015-01-31",3.1721
"2015-02-01",10.1969
"2015-02-02",7.9968
"2015-02-03",2.4721
"2015-02-04",7.0567
"2015-02-05",2.7967
"2015-02-06",0.4968
"2015-02-07",6.8968
"2015-02-08",14.5971
"2015-02-09",14.0268
"2015-02-10",4.1267
"2015-02-11",2.5868
"2015-02-12",7.6318
"2015-02-13",-2.0684
"2015-02-14",3.0521
"2015-02-15",-3.1684
"2015-02-16",-1.5633
"2015-02-17",-1.4429
"2015-02-18",0.6618
"2015-02-19",-6.4982
"2015-02-20",-5.9783
"2015-02-21",5.8372
"2015-02-22",13.6616
"2015-02-23",4.0323
"2015-02-24",-2.0737
"2015-02-25",1.9069
"2015-02-26",1.8766
"2015-02-27",4.8968
"2015-02-28",4.3246
"2015-03-01",9.2246
"2015-03-02",11.354
"2015-03-03",10.4193
"2015-03-04",19.2446
"2015-03-05",12.6042
"2015-03-06",0.7047
"2015-03-07",7.3799
"2015-03-08",14.4446
"2015-03-09",14.4648
"2015-03-10",19.3792
"2015-03-11",20.7042
"2015-03-12",12.2393
"2015-03-13",14.4689
"2015-03-14",17.7547
"2015-03-15",13.6343
"2015-03-16",15.0096
"2015-03-17",17.7295
"2015-03-18",11.6495
"2015-03-19",11.2988
"2015-03-20",13.8843
"2015-03-21",13.3542
"2015-03-22",14.5238
"2015-03-23",10.1595
"2015-03-24",14.374
"2015-03-25",18.6793
"2015-03-26",21.1543
"2015-03-27",12.7191
"2015-03-28",4.9745
"2015-03-29",6.2441
"2015-03-30",11.2745
"2015-03-31",15.9525
"2015-04-01",10.5568
"2015-04-02",17.0373
"2015-04-03",22.207
"2015-04-04",13.3174
"2015-04-05",15.357
"2015-04-06",19.4178
"2015-04-07",20.3821
"2015-04-08",22.4172
"2015-04-09",19.8473
"2015-04-10",23.4024
"2015-04-11",17.7169
"2015-04-12",17.8623
"2015-04-13",22.2076
"2015-04-14",21.5525
"2015-04-15",15.9175
"2015-04-16",19.067
"2015-04-17",21.447
"2015-04-18",21.7272
"2015-04-19",22.0169
"2015-04-20",22.4872
"2015-04-21",17.6024
"2015-04-22",20.4624
"2015-04-23",15.0272
"2015-04-24",15.932
"2015-04-25",16.0175
"2015-04-26",11.5572
"2015-04-27",14.9726
"2015-04-28",15.2023
"2015-04-29",16.7871
"2015-04-30",14.0654
"2015-05-01",13.2854
"2015-05-02",15.1308
"2015-05-03",17.6753
"2015-05-04",18.4603
"2015-05-05",18.6554
"2015-05-06",20.3451
"2015-05-07",21.6158
"2015-05-08",23.1105
"2015-05-09",23.5756
"2015-05-10",21.6751
"2015-05-11",25.0153
"2015-05-12",26.0657
"2015-05-13",20.2749
"2015-05-14",16.4204
"2015-05-15",18.0156
"2015-05-16",20.7754
"2015-05-17",24.5457
"2015-05-18",25.8657
"2015-05-19",25.2551
"2015-05-20",24.6702
"2015-05-21",21.6907
"2015-05-22",16.8455
"2015-05-23",19.6458
"2015-05-24",20.17
"2015-05-25",21.8905
"2015-05-26",25.5106
"2015-05-27",22.7053
"2015-05-28",21.8601
"2015-05-29",23.5056
"2015-05-30",23.6159
"2015-05-31",23.833
"2015-06-01",25.2776
"2015-06-02",24.4676
"2015-06-03",22.2479
"2015-06-04",23.2585
"2015-06-05",20.2029
"2015-06-06",23.4232
"2015-06-07",20.723
"2015-06-08",26.693
"2015-06-09",23.9385
"2015-06-10",25.2379
"2015-06-11",26.4332
"2015-06-12",27.7182
"2015-06-13",29.1983
"2015-06-14",28.9031
"2015-06-15",30.7884
"2015-06-16",32.7079
"2015-06-17",29.5179
"2015-06-18",28.5278
"2015-06-19",28.8583
"2015-06-20",29.073
"2015-06-21",29.7329
"2015-06-22",30.2181
"2015-06-23",29.6434
"2015-06-24",28.6731
"2015-06-25",28.7526
"2015-06-26",28.5333
"2015-06-27",27.1632
"2015-06-28",24.3529
"2015-06-29",25.5184
"2015-06-30",28.1894
"2015-07-01",27.3144
"2015-07-02",26.5398
"2015-07-03",25.8593
"2015-07-04",27.9548
"2015-07-05",28.5941
"2015-07-06",28.2247
"2015-07-07",28.8196
"2015-07-08",28.8094
"2015-07-09",29.6947
"2015-07-10",29.1094
"2015-07-11",28.3845
"2015-07-12",26.2745
"2015-07-13",23.5195
"2015-07-14",28.6745
"2015-07-15",26.6192
"2015-07-16",26.2097
"2015-07-17",25.7938
"2015-07-18",28.2944
"2015-07-19",28.1744
"2015-07-20",29.6643
"2015-07-21",28.1893
"2015-07-22",27.1741
"2015-07-23",24.9695
"2015-07-24",23.2393
"2015-07-25",24.1397
"2015-07-26",26.2645
"2015-07-27",25.8194
"2015-07-28",26.3296
"2015-07-29",26.9691
"2015-07-30",27.3639
"2015-07-31",28.0551
"2015-08-01",27.355
"2015-08-02",27.6796
"2015-08-03",25.4603
"2015-08-04",26.8902
"2015-08-05",30.22
"2015-08-06",27.4502
"2015-08-07",26.2201
"2015-08-08",24.015
"2015-08-09",24.1803
"2015-08-10",26.4699
"2015-08-11",24.6147
"2015-08-12",24.9653
"2015-08-13",25.3248
"2015-08-14",24.4549
"2015-08-15",24.1453
"2015-08-16",25.9854
"2015-08-17",26.7249
"2015-08-18",26.2698
"2015-08-19",26.0198
"2015-08-20",27.8353
"2015-08-21",27.43
"2015-08-22",25.5651
"2015-08-23",25.675
"2015-08-24",26.0198
"2015-08-25",26.4752
"2015-08-26",25.6199
"2015-08-27",23.685
"2015-08-28",24.7201
"2015-08-29",24.5051
"2015-08-30",25.82
"2015-08-31",24.8903
"2015-09-01",26.7849
"2015-09-02",27.0098
"2015-09-03",26.6953
"2015-09-04",28.1645
"2015-09-05",27.1747
"2015-09-06",25.3894
"2015-09-07",26.5397
"2015-09-08",26.8348
"2015-09-09",27.1748
"2015-09-10",27.3598
"2015-09-11",26.1348
"2015-09-12",24.8745
"2015-09-13",19.5948
"2015-09-14",18.525
"2015-09-15",20.4349
"2015-09-16",23.6201
"2015-09-17",22.9796
"2015-09-18",24.8547
"2015-09-19",24.79
"2015-09-20",25.5603
"2015-09-21",25.5749
"2015-09-22",24.5848
"2015-09-23",22.9601
"2015-09-24",23.15
"2015-09-25",22.4752
"2015-09-26",21.975
"2015-09-27",23.8902
"2015-09-28",24.7602
"2015-09-29",26.1596
"2015-09-30",24.9091
"2015-10-01",20.0937
"2015-10-02",21.3537
"2015-10-03",25.5987
"2015-10-04",23.5186
"2015-10-05",19.2535
"2015-10-06",18.6635
"2015-10-07",21.1536
"2015-10-08",21.8237
"2015-10-09",22.8082
"2015-10-10",18.7937
"2015-10-11",19.6386
"2015-10-12",18.5435
"2015-10-13",21.4537
"2015-10-14",19.6936
"2015-10-15",18.1685
"2015-10-16",19.4386
"2015-10-17",15.5041
"2015-10-18",11.1387
"2015-10-19",11.4289
"2015-10-20",16.4491
"2015-10-21",18.3636
"2015-10-22",17.9087
"2015-10-23",18.9541
"2015-10-24",17.4084
"2015-10-25",19.6988
"2015-10-26",17.374
"2015-10-27",18.6939
"2015-10-28",21.1741
"2015-10-29",19.6435
"2015-10-30",16.4238
"2015-10-31",17.7663
"2015-11-01",22.7262
"2015-11-02",20.8115
"2015-11-03",20.3612
"2015-11-04",21.8218
"2015-11-05",23.142
"2015-11-06",24.5712
"2015-11-07",21.8167
"2015-11-08",16.3013
"2015-11-09",20.2459
"2015-11-10",18.746
"2015-11-11",15.9416
"2015-11-12",18.8469
"2015-11-13",14.7668
"2015-11-14",11.4616
"2015-11-15",12.4712
"2015-11-16",14.0667
"2015-11-17",16.8617
"2015-11-18",20.0565
"2015-11-19",18.9862
"2015-11-20",14.2913
"2015-11-21",14.6061
"2015-11-22",10.2566
"2015-11-23",6.9013
"2015-11-24",10.1819
"2015-11-25",13.8814
"2015-11-26",17.9217
"2015-11-27",17.9465
"2015-11-28",18.3764
"2015-11-29",17.8719
"2015-11-30",16.6497
"2015-12-01",16.7597
"2015-12-02",19.5645
"2015-12-03",11.5197
"2015-12-04",10.109
"2015-12-05",11.5845
"2015-12-06",11.8098
"2015-12-07",10.0141
"2015-12-08",9.4346
"2015-12-09",11.8745
"2015-12-10",14.4697
"2015-12-11",15.6593
"2015-12-12",18.1548
"2015-12-13",18.2044
"2015-12-14",18.3395
"2015-12-15",14.8194
"2015-12-16",14.8243
"2015-12-17",19.0896
"2015-12-18",11.8994
"2015-12-19",8.1342
"2015-12-20",9.1648
"2015-12-21",14.9594
"2015-12-22",18.5143
"2015-12-23",19.6548
"2015-12-24",20.5845
"2015-12-25",19.9695
"2015-12-26",18.8247
"2015-12-27",19.2391
"2015-12-28",17.9595
"2015-12-29",21.4394
"2015-12-30",19.7346
"2015-12-31",9.3379
"2016-01-01",9.7
"2016-01-02",6.2
"2016-01-03",5.9
"2016-01-04",2.65
"2016-01-05",-0.65
"2016-01-06",5.95
"2016-01-07",10.3
"2016-01-08",10.7
"2016-01-09",14.35
"2016-01-10",10
"2016-01-11",3.6
"2016-01-12",6.55
"2016-01-13",2.7
"2016-01-14",8.1
"2016-01-15",9.75
"2016-01-16",11.5
"2016-01-17",3.25
"2016-01-18",0.05
"2016-01-19",-2.55
"2016-01-20",-0.55
"2016-01-21",3
"2016-01-22",3.85
"2016-01-23",-0.45
"2016-01-24",2.75
"2016-01-25",5.5
"2016-01-26",12.6
"2016-01-27",9.75
"2016-01-28",6.55
"2016-01-29",7
"2016-01-30",7.15
"2016-01-31",12.35
"2016-02-01",16.2
"2016-02-02",13.9
"2016-02-03",19.05
"2016-02-04",12.05
"2016-02-05",4.55
"2016-02-06",5.9
"2016-02-07",4.2
"2016-02-08",7.8
"2016-02-09",4.4
"2016-02-10",2.15
"2016-02-11",1.85
"2016-02-12",0.65
"2016-02-13",-1.65
"2016-02-14",-2.05
"2016-02-15",9
"2016-02-16",11
"2016-02-17",8.8
"2016-02-18",4.85
"2016-02-19",6.2
"2016-02-20",14.65
"2016-02-21",16.25
"2016-02-22",12.95
"2016-02-23",14.3
"2016-02-24",14.95
"2016-02-25",8.75
"2016-02-26",5.95
"2016-02-27",4.9
"2016-02-28",11.05
"2016-02-29",12.75
"2016-03-01",14.3
"2016-03-02",9.65
"2016-03-03",7.85
"2016-03-04",4.8
"2016-03-05",7.3
"2016-03-06",7.8
"2016-03-07",10.75
"2016-03-08",15.95
"2016-03-09",18.15
"2016-03-10",20.55
"2016-03-11",19.9
"2016-03-12",19.55
"2016-03-13",20.7
"2016-03-14",19.85
"2016-03-15",18.9
"2016-03-16",20.1
"2016-03-17",19.05
"2016-03-18",16.75
"2016-03-19",14.8
"2016-03-20",7.05
"2016-03-21",8
"2016-03-22",12.35
"2016-03-23",17.2
"2016-03-24",20.2
"2016-03-25",20.2
"2016-03-26",16.2
"2016-03-27",17.1
"2016-03-28",17.65
"2016-03-29",13.6
"2016-03-30",16.2
"2016-03-31",20.35
"2016-04-01",21.45
"2016-04-02",15.9
"2016-04-03",11.5
"2016-04-04",15.15
"2016-04-05",6.45
"2016-04-06",12.45
"2016-04-07",17.65
"2016-04-08",12.9
"2016-04-09",9.6
"2016-04-10",9.65
"2016-04-11",17.75
"2016-04-12",15.05
"2016-04-13",12.2
"2016-04-14",13.55
"2016-04-15",12.4
"2016-04-16",12.9
"2016-04-17",13.05
"2016-04-18",19.45
"2016-04-19",23.05
"2016-04-20",17.5
"2016-04-21",19.7
"2016-04-22",20.85
"2016-04-23",18.75
"2016-04-24",15.55
"2016-04-25",19.3
"2016-04-26",21.9
"2016-04-27",22.9
"2016-04-28",22.55
"2016-04-29",18.95
"2016-04-30",17.6
"2016-05-01",22.35
"2016-05-02",23.05
"2016-05-03",20.65
"2016-05-04",20.35
"2016-05-05",15.35
"2016-05-06",14.35
"2016-05-07",20.15
"2016-05-08",23.75
"2016-05-09",24.15
"2016-05-10",23.4
"2016-05-11",23.85
"2016-05-12",23.5
"2016-05-13",20.05
"2016-05-14",20.35
"2016-05-15",14.95
"2016-05-16",18.9
"2016-05-17",21.7
"2016-05-18",16.6
"2016-05-19",19.25
"2016-05-20",20.25
"2016-05-21",21.55
"2016-05-22",17
"2016-05-23",15.6
"2016-05-24",20.4
"2016-05-25",24.05
"2016-05-26",22.55
"2016-05-27",23
"2016-05-28",25.45
"2016-05-29",25.2
"2016-05-30",24.6
"2016-05-31",24.3
"2016-06-01",24.4
"2016-06-02",25.25
"2016-06-03",26.75
"2016-06-04",27.25
"2016-06-05",27.1
"2016-06-06",25.1
"2016-06-07",24.8
"2016-06-08",21.95
"2016-06-09",22.45
"2016-06-10",23.45
"2016-06-11",26.35
"2016-06-12",27.1
"2016-06-13",23.1
"2016-06-14",26.55
"2016-06-15",26.45
"2016-06-16",26.8
"2016-06-17",25.3
"2016-06-18",23.15
"2016-06-19",21.15
"2016-06-20",24.5
"2016-06-21",26.2
"2016-06-22",28.3
"2016-06-23",26.8
"2016-06-24",26.9
"2016-06-25",25.65
"2016-06-26",24.7
"2016-06-27",26.05
"2016-06-28",25.35
"2016-06-29",25.6
"2016-06-30",27.05
"2016-07-01",25.55
"2016-07-02",28
"2016-07-03",27.5
"2016-07-04",27.85
"2016-07-05",28.65
"2016-07-06",27.9
"2016-07-07",28
"2016-07-08",28.1
"2016-07-09",28.35
"2016-07-10",28.2
"2016-07-11",25.9
"2016-07-12",26.95
"2016-07-13",29.25
"2016-07-14",30.1
"2016-07-15",27.45
"2016-07-16",26.5
"2016-07-17",26.95
"2016-07-18",28.4
"2016-07-19",26.3
"2016-07-20",27
"2016-07-21",26.55
"2016-07-22",27.6
"2016-07-23",28.55
"2016-07-24",29
"2016-07-25",28.85
"2016-07-26",29.5
"2016-07-27",29.35
"2016-07-28",30.5
"2016-07-29",29.55
"2016-07-30",29.85
"2016-07-31",27.05
"2016-08-01",27.45
"2016-08-02",26.6
"2016-08-03",26.3
"2016-08-04",27
"2016-08-05",27.3
"2016-08-06",28.25
"2016-08-07",27.75
"2016-08-08",27.85
"2016-08-09",27.05
"2016-08-10",27.45
"2016-08-11",28.35
"2016-08-12",28.65
"2016-08-13",29
"2016-08-14",29.3
"2016-08-15",28.3
"2016-08-16",27.85
"2016-08-17",28.7
"2016-08-18",27.95
"2016-08-19",26.75
"2016-08-20",27.05
"2016-08-21",28.25
"2016-08-22",26.25
"2016-08-23",24.35
"2016-08-24",24.4
"2016-08-25",25.7
"2016-08-26",27
"2016-08-27",28.3
"2016-08-28",26.25
"2016-08-29",26.45
"2016-08-30",26.55
"2016-08-31",25.5
"2016-09-01",26.85
"2016-09-02",22.55
"2016-09-03",21.55
"2016-09-04",22.2
"2016-09-05",21.8
"2016-09-06",25.65
"2016-09-07",26.3
"2016-09-08",27.1
"2016-09-09",25.85
"2016-09-10",25.9
"2016-09-11",26.65
"2016-09-12",23.85
"2016-09-13",23.75
"2016-09-14",24.4
"2016-09-15",24.65
"2016-09-16",25.15
"2016-09-17",25.65
"2016-09-18",26.5
"2016-09-19",25.25
"2016-09-20",23.55
"2016-09-21",25.35
"2016-09-22",24.7
"2016-09-23",24.7
"2016-09-24",25.8
"2016-09-25",21.7
"2016-09-26",23.3
"2016-09-27",23.25
"2016-09-28",25.1
"2016-09-29",23.7
"2016-09-30",24.1
"2016-10-01",23.45
"2016-10-02",22.8
"2016-10-03",22.6
"2016-10-04",21.4
"2016-10-05",22.4
"2016-10-06",22.3
"2016-10-07",24.55
"2016-10-08",21.2
"2016-10-09",15.9
"2016-10-10",14.25
"2016-10-11",17.5
"2016-10-12",19.75
"2016-10-13",20.1
"2016-10-14",17.1
"2016-10-15",18.1
"2016-10-16",19.9
"2016-10-17",20.9
"2016-10-18",22.2
"2016-10-19",22.25
"2016-10-20",21.75
"2016-10-21",19.3
"2016-10-22",12.45
"2016-10-23",14.45
"2016-10-24",18.35
"2016-10-25",12.65
"2016-10-26",14.65
"2016-10-27",18.8
"2016-10-28",17.15
"2016-10-29",17.8
"2016-10-30",21.1
"2016-10-31",15.45
"2016-11-01",16.7
"2016-11-02",18.65
"2016-11-03",20.55
