,"(deg C) Mean Temperature (gridMET) at -78.3020E,34.0855N, 2015-01-01 to 2026-03-20"
"2015-01-01",5.1281
"2015-01-02",10.8833
"2015-01-03",16.1181
"2015-01-04",15.8534
"2015-01-05",6.5832
"2015-01-06",7.2779
"2015-01-07",-0.297
"2015-01-08",-4.8265
"2015-01-09",5.5181
"2015-01-10",1.7082
"2015-01-11",5.4479
"2015-01-12",14.5783
"2015-01-13",5.3678
"2015-01-14",2.0233
"2015-01-15",4.9631
"2015-01-16",5.8936
"2015-01-17",7.2078
"2015-01-18",8.8482
"2015-01-19",10.2386
"2015-01-20",11.3482
"2015-01-21",10.263
"2015-01-22",9.1284
"2015-01-23",12.8781
"2015-01-24",6.1731
"2015-01-25",6.8384
"2015-01-26",9.5033
"2015-01-27",1.8735
"2015-01-28",1.3985
"2015-01-29",3.5832
"2015-01-30",3.7484
"2015-01-31",3.5144
"2015-02-01",9.3939
"2015-02-02",7.319
"2015-02-03",3.1891
"2015-02-04",6.7393
"2015-02-05",4.1541
"2015-02-06",1.1338
"2015-02-07",7.0044
"2015-02-08",14.8537
"2015-02-09",14.6941
"2015-02-10",3.9443
"2015-02-11",5.3795
"2015-02-12",8.5339
"2015-02-13",-1.0507
"2015-02-14",2.704
"2015-02-15",-2.1708
"2015-02-16",0.654
"2015-02-17",-0.246
"2015-02-18",1.979
"2015-02-19",-5.7913
"2015-02-20",-4.6509
"2015-02-21",5.0588
"2015-02-22",13.8741
"2015-02-23",5.999
"2015-02-24",-1.2711
"2015-02-25",2.6696
"2015-02-26",1.9495
"2015-02-27",5.4641
"2015-02-28",4.6681
"2015-03-01",6.8282
"2015-03-02",11.5181
"2015-03-03",9.5076
"2015-03-04",19.078
"2015-03-05",12.2683
"2015-03-06",0.6833
"2015-03-07",6.9777
"2015-03-08",11.7381
"2015-03-09",14.0981
"2015-03-10",17.7481
"2015-03-11",21.3475
"2015-03-12",13.6983
"2015-03-13",13.5034
"2015-03-14",16.7427
"2015-03-15",13.3533
"2015-03-16",14.2877
"2015-03-17",18.403
"2015-03-18",11.9926
"2015-03-19",10.9228
"2015-03-20",12.9082
"2015-03-21",14.6735
"2015-03-22",13.0029
"2015-03-23",9.9282
"2015-03-24",13.7481
"2015-03-25",16.8528
"2015-03-26",20.1831
"2015-03-27",12.5583
"2015-03-28",3.9782
"2015-03-29",5.228
"2015-03-30",10.8377
"2015-03-31",14.2166
"2015-04-01",12.2767
"2015-04-02",15.3221
"2015-04-03",20.6015
"2015-04-04",11.9071
"2015-04-05",13.7468
"2015-04-06",18.037
"2015-04-07",19.7273
"2015-04-08",22.2367
"2015-04-09",22.3722
"2015-04-10",23.0324
"2015-04-11",15.8816
"2015-04-12",16.9623
"2015-04-13",19.5219
"2015-04-14",20.7371
"2015-04-15",13.5168
"2015-04-16",16.812
"2015-04-17",20.4016
"2015-04-18",21.1567
"2015-04-19",20.7919
"2015-04-20",20.9119
"2015-04-21",16.2422
"2015-04-22",19.9068
"2015-04-23",14.7973
"2015-04-24",14.2769
"2015-04-25",17.112
"2015-04-26",13.1266
"2015-04-27",13.1016
