,"(deg C) Mean Temperature (gridMET) at -77.4705E,34.6437N, 2015-01-01 to 2025-01-01"
"2015-01-01",5.8702
"2015-01-02",12.7549
"2015-01-03",16.6655
"2015-01-04",17.1404
"2015-01-05",6.9004
"2015-01-06",8.3354
"2015-01-07",-0.4349
"2015-01-08",-4.1599
"2015-01-09",5.8754
"2015-01-10",0.8651
"2015-01-11",5.9852
"2015-01-12",14.3852
"2015-01-13",5.2453
"2015-01-14",2.8149
"2015-01-15",5.9748
"2015-01-16",7.4252
"2015-01-17",9.4706
"2015-01-18",10.2253
"2015-01-19",10.86
"2015-01-20",12.2202
"2015-01-21",10.8203
"2015-01-22",9.8401
"2015-01-23",13.5304
"2015-01-24",8.1903
"2015-01-25",7.7456
"2015-01-26",9.1497
"2015-01-27",2.2206
"2015-01-28",1.8056
"2015-01-29",4.6005
"2015-01-30",4.9704
"2015-01-31",3.8849
"2015-02-01",10.6399
"2015-02-02",8.5445
"2015-02-03",2.7799
"2015-02-04",6.8148
"2015-02-05",3.615
"2015-02-06",0.8345
"2015-02-07",8.2101
"2015-02-08",15.9995
"2015-02-09",14.4853
"2015-02-10",4.2944
"2015-02-11",3.5146
"2015-02-12",8.3498
"2015-02-13",-1.5451
"2015-02-14",3.43
"2015-02-15",-2.7299
"2015-02-16",-1.3402
"2015-02-17",-1.2999
"2015-02-18",1.1398
"2015-02-19",-5.9951
"2015-02-20",-5.5003
"2015-02-21",6.03
"2015-02-22",15.165
"2015-02-23",5.4546
"2015-02-24",-1.7055
"2015-02-25",2.4152
"2015-02-26",2.2797
"2015-02-27",5.1595
"2015-02-28",4.1469
"2015-03-01",7.7064
"2015-03-02",11.2364
"2015-03-03",11.1119
"2015-03-04",21.3618
"2015-03-05",13.757
"2015-03-06",1.0314
"2015-03-07",7.3515
"2015-03-08",14.7319
"2015-03-09",15.1371
"2015-03-10",19.0019
"2015-03-11",22.6966
"2015-03-12",12.5471
"2015-03-13",14.0273
"2015-03-14",18.0472
"2015-03-15",13.8517
"2015-03-16",16.0622
"2015-03-17",18.9521
"2015-03-18",12.2167
"2015-03-19",11.5173
"2015-03-20",14.0819
"2015-03-21",14.0472
"2015-03-22",14.2264
"2015-03-23",8.9564
"2015-03-24",14.6218
"2015-03-25",17.6317
"2015-03-26",21.492
"2015-03-27",13.2366
"2015-03-28",4.5768
"2015-03-29",6.1569
"2015-03-30",11.4319
"2015-03-31",16.6255
"2015-04-01",11.0854
"2015-04-02",17.0901
"2015-04-03",23.0406
"2015-04-04",13.6205
"2015-04-05",14.7005
"2015-04-06",19.3601
"2015-04-07",20.3253
"2015-04-08",22.735
"2015-04-09",21.3401
"2015-04-10",24.3451
"2015-04-11",17.4654
"2015-04-12",18.5651
"2015-04-13",22.2506
"2015-04-14",21.625
"2015-04-15",14.9105
"2015-04-16",18.2805
"2015-04-17",21.7802
"2015-04-18",21.6855
"2015-04-19",22.0749
"2015-04-20",22.4751
"2015-04-21",17.3404
"2015-04-22",20.7005
"2015-04-23",15.1353
"2015-04-24",15.4457
"2015-04-25",15.6149
"2015-04-26",11.6754
"2015-04-27",14.7907
"2015-04-28",15.1653
"2015-04-29",16.4255
"2015-04-30",14.1003
"2015-05-01",13.4955
"2015-05-02",15.5355
"2015-05-03",18.2155
"2015-05-04",19.1756
"2015-05-05",19.4905
"2015-05-06",21.0903
"2015-05-07",21.8758
"2015-05-08",23.2157
"2015-05-09",23.2009
"2015-05-10",22.4557
"2015-05-11",25.29
"2015-05-12",26.6708
"2015-05-13",21.4107
"2015-05-14",17.7704
"2015-05-15",18.911
"2015-05-16",20.9807
"2015-05-17",24.3611
"2015-05-18",26.0056
"2015-05-19",26.5653
"2015-05-20",26.0552
"2015-05-21",22.6104
"2015-05-22",17.5111
"2015-05-23",20.7556
"2015-05-24",21.0759
"2015-05-25",22.0505
"2015-05-26",25.4351
"2015-05-27",23.7457
"2015-05-28",22.3854
"2015-05-29",24.6258
"2015-05-30",24.1806
"2015-05-31",24.616
"2015-06-01",26.0055
"2015-06-02",24.641
"2015-06-03",22.7163
"2015-06-04",23.8505
"2015-06-05",21.1807
"2015-06-06",24.2257
"2015-06-07",21.8459
"2015-06-08",26.6261
"2015-06-09",24.3105
"2015-06-10",25.9056
"2015-06-11",27.1706
"2015-06-12",27.7061
"2015-06-13",29.3261
"2015-06-14",29.5808
"2015-06-15",30.471
"2015-06-16",31.3806
"2015-06-17",29.7863
"2015-06-18",28.4308
"2015-06-19",28.5559
"2015-06-20",29.3713
"2015-06-21",29.921
"2015-06-22",30.456
"2015-06-23",30.2406
"2015-06-24",29.1111
"2015-06-25",29.5859
"2015-06-26",28.456
"2015-06-27",27.1309
"2015-06-28",25.456
"2015-06-29",25.981
"2015-06-30",27.9676
"2015-07-01",26.9975
"2015-07-02",27.1878
"2015-07-03",26.6174
"2015-07-04",28.353
"2015-07-05",28.4575
"2015-07-06",27.823
"2015-07-07",28.4027
"2015-07-08",28.6631
"2015-07-09",29.9381
"2015-07-10",30.1426
"2015-07-11",29.588
"2015-07-12",27.3729
"2015-07-13",24.2576
"2015-07-14",28.8328
"2015-07-15",27.3529
"2015-07-16",27.0774
"2015-07-17",27.2424
"2015-07-18",28.503
"2015-07-19",29.4027
"2015-07-20",30.303
"2015-07-21",29.7329
"2015-07-22",28.6623
"2015-07-23",26.6278
"2015-07-24",24.6677
"2015-07-25",24.7629
"2015-07-26",27.0724
"2015-07-27",27.0583
"2015-07-28",27.3178
"2015-07-29",27.6829
"2015-07-30",28.173
"2015-07-31",28.7525
"2015-08-01",28.2775
"2015-08-02",28.412
"2015-08-03",25.9821
"2015-08-04",27.2572
"2015-08-05",30.4522
"2015-08-06",28.0968
"2015-08-07",26.567
"2015-08-08",24.2674
"2015-08-09",25.1276
"2015-08-10",26.9071
"2015-08-11",25.0121
"2015-08-12",25.6772
"2015-08-13",26.0368
"2015-08-14",25.3271
"2015-08-15",25.2874
"2015-08-16",26.3569
"2015-08-17",27.512
"2015-08-18",26.2373
"2015-08-19",26.5274
"2015-08-20",28.2419
"2015-08-21",28.087
"2015-08-22",25.3921
"2015-08-23",26.1674
