,"(deg C) Minimum Temperature (gridMET) at -79.2103E,35.1464N, 1979-01-01 to 2026-04-10"
"1979-01-01",12.388
"1979-01-02",-0.7026
"1979-01-03",-8.9931
"1979-01-04",-9.862
"1979-01-05",-4.6324
"1979-01-06",0.5172
"1979-01-07",5.7177
"1979-01-08",-1.7026
"1979-01-09",-6.1628
"1979-01-10",-7.2321
"1979-01-11",-5.9626
"1979-01-12",-2.983
"1979-01-13",0.2671
"1979-01-14",-2.3325
"1979-01-15",-5.5232
"1979-01-16",-3.6724
"1979-01-17",-0.8931
"1979-01-18",-1.6128
"1979-01-19",-6.1932
"1979-01-20",-2.273
"1979-01-21",3.1775
"1979-01-22",-1.1128
"1979-01-23",-2.7622
"1979-01-24",-0.9028
"1979-01-25",-4.5523
"1979-01-26",-4.2622
"1979-01-27",-3.2124
"1979-01-28",-1.8531
"1979-01-29",-3.903
"1979-01-30",-5.562
"1979-01-31",-3.2427
"1979-02-01",-6.6131
"1979-02-02",-8.1726
"1979-02-03",-4.4334
"1979-02-04",-0.4829
"1979-02-05",-2.9126
"1979-02-06",-6.6325
"1979-02-07",-4.5729
"1979-02-08",-7.8534
"1979-02-09",-8.1035
"1979-02-10",-9.1423
"1979-02-11",-5.8327
"1979-02-12",-5.3133
"1979-02-13",-1.6128
"1979-02-14",-3.0024
"1979-02-15",4.5271
"1979-02-16",4.3365
"1979-02-17",-7.993
"1979-02-18",-10.5429
"1979-02-19",-8.4833
"1979-02-20",-8.9033
"1979-02-21",0.0475
"1979-02-22",4.5174
"1979-02-23",5.4871
"1979-02-24",8.0868
"1979-02-25",7.9168
"1979-02-26",4.0865
"1979-02-27",-0.5824
"1979-02-28",-1.2172
"1979-03-01",2.7127
"1979-03-02",4.9434
"1979-03-03",5.0028
"1979-03-04",8.6729
"1979-03-05",13.223
"1979-03-06",7.4933
"1979-03-07",3.413
"1979-03-08",5.9726
"1979-03-09",3.5234
"1979-03-10",4.0635
"1979-03-11",-0.0266
"1979-03-12",-2.2269
"1979-03-13",0.3533
"1979-03-14",4.9228
"1979-03-15",-1.0764
"1979-03-16",-3.3568
"1979-03-17",-0.5169
"1979-03-18",1.9226
"1979-03-19",6.5636
"1979-03-20",9.8429
"1979-03-21",6.8937
"1979-03-22",2.4032
"1979-03-23",5.0635
"1979-03-24",6.6631
"1979-03-25",3.9627
"1979-03-26",-1.0363
"1979-03-27",1.9432
"1979-03-28",6.0636
"1979-03-29",9.4036
"1979-03-30",11.1136
"1979-03-31",12.2484
"1979-04-01",13.0688
"1979-04-02",13.0785
"1979-04-03",13.6077
"1979-04-04",10.1985
"1979-04-05",8.2882
"1979-04-06",4.6084
"1979-04-07",-0.4113
"1979-04-08",5.4883
"1979-04-09",7.8477
"1979-04-10",3.0586
"1979-04-11",4.1788
"1979-04-12",12.2787
"1979-04-13",15.0883
"1979-04-14",11.2483
"1979-04-15",7.6486
"1979-04-16",3.1484
"1979-04-17",2.8183
"1979-04-18",4.6582
"1979-04-19",4.4179
"1979-04-20",7.7688
"1979-04-21",5.2286
"1979-04-22",11.1986
"1979-04-23",14.4585
"1979-04-24",15.4488
"1979-04-25",13.5883
"1979-04-26",15.1381
"1979-04-27",16.268
"1979-04-28",11.5287
"1979-04-29",9.338
"1979-04-30",9.1681
"1979-05-01",10.1779
"1979-05-02",9.7276
"1979-05-03",10.9486
"1979-05-04",18.148
"1979-05-05",12.8783
"1979-05-06",11.8078
"1979-05-07",12.7885
"1979-05-08",17.188
"1979-05-09",17.1686
"1979-05-10",16.9877
"1979-05-11",18.8483
"1979-05-12",20.5984
"1979-05-13",20.3884
"1979-05-14",13.7388
"1979-05-15",11.0384
"1979-05-16",14.4682
"1979-05-17",9.5686
"1979-05-18",5.6886
"1979-05-19",10.718
"1979-05-20",12.0579
"1979-05-21",13.098
"1979-05-22",14.1077
"1979-05-23",19.2985
"1979-05-24",19.2087
"1979-05-25",10.8685
"1979-05-26",6.4787
"1979-05-27",8.128
"1979-05-28",13.1186
"1979-05-29",15.6879
"1979-05-30",17.9878
"1979-05-31",18.9102
"1979-06-01",19.3495
"1979-06-02",20.71
"1979-06-03",19.6092
"1979-06-04",15.7097
"1979-06-05",14.3201
"1979-06-06",15.7595
"1979-06-07",16.5593
"1979-06-08",17.0897
"1979-06-09",17.1601
"1979-06-10",18.6699
"1979-06-11",12.8297
"1979-06-12",10.0298
"1979-06-13",13.8092
"1979-06-14",14.3602
"1979-06-15",10.8891
"1979-06-16",12.2994
"1979-06-17",12.7897
"1979-06-18",14.4293
"1979-06-19",20.1797
"1979-06-20",14.9196
"1979-06-21",13.9694
"1979-06-22",15.2898
"1979-06-23",19.0194
"1979-06-24",19.3094
"1979-06-25",13.5895
"1979-06-26",11.6901
"1979-06-27",13.24
"1979-06-28",13.2497
"1979-06-29",15.4391
"1979-06-30",18.0351
"1979-07-01",18.9441
"1979-07-02",16.245
"1979-07-03",16.2644
"1979-07-04",18.2451
"1979-07-05",16.2146
"1979-07-06",13.814
"1979-07-07",14.5349
"1979-07-08",13.4244
"1979-07-09",16.9549
"1979-07-10",17.1249
"1979-07-11",17.654
"1979-07-12",18.7852
"1979-07-13",22.3642
"1979-07-14",19.9745
"1979-07-15",21.6142
"1979-07-16",22.2951
"1979-07-17",22.3048
"1979-07-18",21.9346
"1979-07-19",21.954
"1979-07-20",20.954
"1979-07-21",20.6845
"1979-07-22",21.9941
"1979-07-23",21.0948
"1979-07-24",21.1846
"1979-07-25",19.9842
"1979-07-26",19.9041
"1979-07-27",19.5048
"1979-07-28",20.2743
"1979-07-29",20.8545
"1979-07-30",18.9551
"1979-07-31",19.2682
"1979-08-01",22.6688
"1979-08-02",22.4286
"1979-08-03",22.1883
"1979-08-04",20.1881
"1979-08-05",19.7282
"1979-08-06",20.0983
"1979-08-07",19.7488
"1979-08-08",21.7586
"1979-08-09",21.1482
"1979-08-10",21.6785
"1979-08-11",20.1978
"1979-08-12",14.3286
"1979-08-13",11.1682
"1979-08-14",12.7581
"1979-08-15",15.2279
"1979-08-16",13.9888
"1979-08-17",11.4486
"1979-08-18",15.5289
"1979-08-19",15.7886
"1979-08-20",21.0086
"1979-08-21",21.1081
"1979-08-22",18.449
"1979-08-23",18.5182
"1979-08-24",19.3981
"1979-08-25",20.6287
"1979-08-26",20.0789
"1979-08-27",20.3981
"1979-08-28",19.6881
"1979-08-29",19.7087
"1979-08-30",20.159
"1979-08-31",22.6567
"1979-09-01",21.7161
"1979-09-02",21.4661
"1979-09-03",22.1761
"1979-09-04",19.6359
"1979-09-05",19.3665
"1979-09-06",20.5365
"1979-09-07",22.7368
"1979-09-08",18.4271
"1979-09-09",15.3869
"1979-09-10",15.8663
"1979-09-11",15.586
"1979-09-12",17.0763
"1979-09-13",18.6759
"1979-09-14",21.0171
"1979-09-15",16.2862
"1979-09-16",14.7667
"1979-09-17",13.507
"1979-09-18",13.8965
"1979-09-19",14.6963
"1979-09-20",15.927
"1979-09-21",16.8263
"1979-09-22",20.4867
"1979-09-23",12.0967
"1979-09-24",9.747
"1979-09-25",11.417
"1979-09-26",13.9864
"1979-09-27",16.427
"1979-09-28",17.9271
"1979-09-29",19.977
"1979-09-30",15.6952
"1979-10-01",16.8251
"1979-10-02",15.8153
"1979-10-03",13.7849
"1979-10-04",10.8952
"1979-10-05",6.3852
"1979-10-06",4.6048
"1979-10-07",6.0951
"1979-10-08",4.1351
"1979-10-09",10.4449
"1979-10-10",1.0852
"1979-10-11",0.255
"1979-10-12",4.3851
"1979-10-13",5.055
"1979-10-14",-0.2147
"1979-10-15",0.4249
"1979-10-16",6.9447
"1979-10-17",9.9946
"1979-10-18",12.0955
"1979-10-19",13.4256
"1979-10-20",14.4852
"1979-10-21",13.7752
"1979-10-22",12.9547
"1979-10-23",11.9256
"1979-10-24",4.6849
"1979-10-25",0.9456
"1979-10-26",1.4845
"1979-10-27",-2.2451
"1979-10-28",1.0245
"1979-10-29",7.4447
"1979-10-30",10.0954
"1979-10-31",8.5395
"1979-11-01",8.0698
"1979-11-02",11.3794
"1979-11-03",4.3596
"1979-11-04",-1.131
"1979-11-05",-1.6104
"1979-11-06",1.6896
"1979-11-07",3.0792
"1979-11-08",0.5997
"1979-11-09",5.8293
"1979-11-10",14.95
"1979-11-11",10.2592
"1979-11-12",6.6097
"1979-11-13",5.6594
"1979-11-14",-0.4805
"1979-11-15",-2.1602
"1979-11-16",0.499
"1979-11-17",0.2696
"1979-11-18",3.169
"1979-11-19",6.1097
"1979-11-20",7.1001
"1979-11-21",7.4192
"1979-11-22",7.7591
"1979-11-23",10.3599
"1979-11-24",11.3393
"1979-11-25",11.86
"1979-11-26",6.5891
"1979-11-27",2.3498
"1979-11-28",5.1193
"1979-11-29",-0.7499
"1979-11-30",-5.3569
"1979-12-01",-3.8471
"1979-12-02",-6.1677
"1979-12-03",-7.6872
"1979-12-04",-5.4468
"1979-12-05",-2.7075
"1979-12-06",1.6726
"1979-12-07",5.8026
"1979-12-08",-0.2669
"1979-12-09",-3.3374
"1979-12-10",-1.807
"1979-12-11",1.0026
"1979-12-12",6.0029
"1979-12-13",9.9521
"1979-12-14",0.2429
"1979-12-15",-3.0376
"1979-12-16",3.203
"1979-12-17",-3.8168
"1979-12-18",-5.3666
"1979-12-19",-2.6177
"1979-12-20",-3.1578
"1979-12-21",-2.2876
"1979-12-22",0.1931
"1979-12-23",8.7421
"1979-12-24",6.833
"1979-12-25",3.7928
"1979-12-26",1.4031
"1979-12-27",-0.7972
"1979-12-28",-2.5971
"1979-12-29",-1.9369
"1979-12-30",2.4724
"1979-12-31",4.3887
"1980-01-01",0.629
"1980-01-02",-3.2121
"1980-01-03",-2.112
"1980-01-04",-0.691
"1980-01-05",-1.6313
"1980-01-06",-4.6213
"1980-01-07",-3.5917
"1980-01-08",0.9581
"1980-01-09",1.7279
"1980-01-10",-3.6411
"1980-01-11",3.1889
"1980-01-12",1.2589
"1980-01-13",-1.0718
"1980-01-14",2.6482
"1980-01-15",4.3584
"1980-01-16",2.6388
"1980-01-17",3.1783
"1980-01-18",6.588
"1980-01-19",0.7288
"1980-01-20",0.0389
"1980-01-21",3.1383
"1980-01-22",2.9585
"1980-01-23",-0.7721
"1980-01-24",-5.7415
"1980-01-25",-1.4115
"1980-01-26",2.9385
"1980-01-27",1.239
"1980-01-28",-0.001
"1980-01-29",2.419
"1980-01-30",-4.371
"1980-01-31",-8.0228
"1980-02-01",-11.3127
"1980-02-02",-11.7828
"1980-02-03",-11.5136
"1980-02-04",-7.883
"1980-02-05",-9.4427
"1980-02-06",-4.9928
"1980-02-07",-6.4831
"1980-02-08",-6.7335
"1980-02-09",-3.7727
"1980-02-10",-4.773
"1980-02-11",-5.953
"1980-02-12",-4.4027
"1980-02-13",-4.8529
"1980-02-14",-1.9027
"1980-02-15",0.797
"1980-02-16",1.0368
"1980-02-17",-5.0833
"1980-02-18",-6.2034
"1980-02-19",-3.9432
"1980-02-20",0.8464
"1980-02-21",2.6964
"1980-02-22",10.5666
"1980-02-23",9.5769
"1980-02-24",8.1865
"1980-02-25",5.2469
"1980-02-26",-2.9935
"1980-02-27",-4.8729
"1980-02-28",-1.5737
"1980-02-29",0.9228
"1980-03-01",-9.1171
"1980-03-02",-9.6777
"1980-03-03",-14.767
"1980-03-04",-10.3477
"1980-03-05",0.8029
"1980-03-06",2.7328
"1980-03-07",1.2825
"1980-03-08",9.7427
"1980-03-09",9.1432
"1980-03-10",4.9026
"1980-03-11",4.5029
"1980-03-12",0.8323
"1980-03-13",1.923
"1980-03-14",1.6727
"1980-03-15",-0.8273
"1980-03-16",3.5732
"1980-03-17",10.6829
"1980-03-18",6.4728
"1980-03-19",3.3523
"1980-03-20",7.8021
"1980-03-21",5.2328
"1980-03-22",0.5925
"1980-03-23",-0.5875
"1980-03-24",4.7321
"1980-03-25",8.753
"1980-03-26",8.9728
"1980-03-27",6.5727
"1980-03-28",5.1129
"1980-03-29",9.7227
"1980-03-30",10.7123
"1980-03-31",7.3073
"1980-04-01",5.7077
"1980-04-02",6.6479
"1980-04-03",11.5081
"1980-04-04",10.3174
"1980-04-05",4.4477
"1980-04-06",1.9477
"1980-04-07",8.7083
"1980-04-08",12.9972
"1980-04-09",10.7182
"1980-04-10",6.4775
"1980-04-11",7.3273
"1980-04-12",8.3181
"1980-04-13",12.8773
"1980-04-14",10.958
"1980-04-15",4.0375
"1980-04-16",3.1078
"1980-04-17",-0.3924
"1980-04-18",3.5979
"1980-04-19",7.7375
"1980-04-20",9.8073
"1980-04-21",10.2281
"1980-04-22",9.6181
"1980-04-23",9.7873
"1980-04-24",13.0278
"1980-04-25",13.7776
"1980-04-26",15.0976
"1980-04-27",13.6977
"1980-04-28",10.8075
"1980-04-29",8.9575
"1980-04-30",8.4921
"1980-05-01",5.8123
"1980-05-02",10.2622
"1980-05-03",13.532
"1980-05-04",14.2419
"1980-05-05",12.6728
"1980-05-06",12.232
"1980-05-07",12.8127
"1980-05-08",11.3928
"1980-05-09",7.4519
"1980-05-10",5.0718
"1980-05-11",10.482
"1980-05-12",14.4217
"1980-05-13",17.6222
"1980-05-14",17.3319
"1980-05-15",12.4025
"1980-05-16",9.2525
"1980-05-17",11.7125
"1980-05-18",11.6126
"1980-05-19",17.232
"1980-05-20",18.5026
"1980-05-21",13.7823
"1980-05-22",16.032
"1980-05-23",18.4427
"1980-05-24",19.162
"1980-05-25",18.4826
"1980-05-26",12.9725
"1980-05-27",10.9121
"1980-05-28",12.9525
"1980-05-29",15.7722
"1980-05-30",18.6824
"1980-05-31",15.69
"1980-06-01",16.9006
"1980-06-02",18.0301
"1980-06-03",18.68
"1980-06-04",18.09
"1980-06-05",14.5005
"1980-06-06",13.7506
"1980-06-07",19.1807
"1980-06-08",17.9807
"1980-06-09",12.7809
"1980-06-10",11.3799
"1980-06-11",16.24
"1980-06-12",15.3609
"1980-06-13",12.0804
"1980-06-14",10.7405
"1980-06-15",19.0009
"1980-06-16",18.9104
"1980-06-17",19.3101
"1980-06-18",16.461
"1980-06-19",14.611
"1980-06-20",16.9899
